matrix_id,card_name,color_identity,card_type_band,canonicality_tier,rakdos_role,mechanical_axis,mechanical_signals,narrative_axis,narrative_signals,placement_usage,animation_hook,query_seed,source_url,confidence,notes
rakdos-026,"Mahadi, Emporium Master",BR,legendary creature,black-red staple,treasure-after-death engine,treasure-after-death engine,end-step treasure; creature death; sacrifice economy,the concession stand of death,bodies become tickets; carnage becomes spending money,treasure/aristocrats bridge,coin-blood-rain,"!""Mahadi, Emporium Master""",https://scryfall.com/search?q=%21%22Mahadi%2C%20Emporium%20Master%22&unique=cards,medium,Included as a Rakdos-adjacent black-red archetype anchor; keep separate from strict Ravnica guild canon if needed.
rakdos-027,"Kardur, Doomscourge",BR,legendary creature,black-red archetype anchor,combat goad commander,combat goad commander,goad; life drain; forced combat; table pressure,weaponized audience,everyone is pushed onto the stage; conflict becomes choreography,goad/combat politics bridge,crowd-turn,"!""Kardur, Doomscourge""",https://scryfall.com/search?q=%21%22Kardur%2C%20Doomscourge%22&unique=cards,medium,Included as a Rakdos-adjacent black-red archetype anchor; keep separate from strict Ravnica guild canon if needed.
rakdos-028,"Kroxa, Titan of Death's Hunger",BR,legendary creature,black-red archetype anchor,discard/life-pressure titan,discard/life-pressure titan,discard; life loss; escape; graveyard recursion,hunger that returns,appetite is not satisfied; discarded resources feed the comeback,graveyard/discard bridge,grave-crack-red,"!""Kroxa, Titan of Death's Hunger""",https://scryfall.com/search?q=%21%22Kroxa%2C%20Titan%20of%20Death%27s%20Hunger%22&unique=cards,medium,Included as a Rakdos-adjacent black-red archetype anchor; keep separate from strict Ravnica guild canon if needed.
rakdos-029,"Mogis, God of Slaughter",BR,legendary enchantment creature,black-red archetype anchor,punishment deity,punishment deity,upkeep sacrifice or damage; indestructible threat,ritualized slaughter,every turn demands tribute; refusal becomes pain,punisher bridge,altar-pulse,"!""Mogis, God of Slaughter""",https://scryfall.com/search?q=%21%22Mogis%2C%20God%20of%20Slaughter%22&unique=cards,medium,Included as a Rakdos-adjacent black-red archetype anchor; keep separate from strict Ravnica guild canon if needed.
rakdos-030,"Ob Nixilis, Captive Kingpin",BR,legendary creature,black-red archetype anchor,damage-trigger value commander,damage-trigger value commander,opponent one-damage triggers; exile impulse draw; counters,crime boss spectacle,small injuries become leverage; cruelty compounds into advantage,ping/impulse bridge,kingpin-counter-glow,"!""Ob Nixilis, Captive Kingpin""",https://scryfall.com/search?q=%21%22Ob%20Nixilis%2C%20Captive%20Kingpin%22&unique=cards,medium,Included as a Rakdos-adjacent black-red archetype anchor; keep separate from strict Ravnica guild canon if needed.
rakdos-031,Rakdos Cackler,BR,creature,guild-canonical,unleash one-drop,unleash; aggressive hybrid body,+1/+1 counter; cannot block with counter,laughing first blood,choosing more power means giving up defense,aggro/unleash primer,cackle-pop,"!""Rakdos Cackler""",https://scryfall.com/search?q=%21%22Rakdos%20Cackler%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-032,Gore-House Chainwalker,R,creature,mechanic-canonical,unleash attacker,unleash; aggressive body,+1/+1 counter; cannot block with counter,body as spectacle,"the body is altered for the charge, not the shield",unleash example,chain-snap,"!""Gore-House Chainwalker""",https://scryfall.com/search?q=%21%22Gore-House%20Chainwalker%22&unique=cards,high,"Included because it carries a Rakdos set mechanic or Rakdos-limited play pattern, even when mono-colored."
rakdos-033,Dead Reveler,B,creature,mechanic-canonical,unleash attacker,unleash; aggressive creature,+1/+1 counter; cannot block with counter,party after death,even death is not an excuse to stop performing,unleash example,dead-step,"!""Dead Reveler""",https://scryfall.com/search?q=%21%22Dead%20Reveler%22&unique=cards,high,"Included because it carries a Rakdos set mechanic or Rakdos-limited play pattern, even when mono-colored."
rakdos-034,Grim Roustabout,B,creature,mechanic-canonical,unleash/regeneration body,unleash; regeneration,+1/+1 counter; can't block; resilience,ugly resilience,Rakdos pressure survives by being difficult to cleanly remove,unleash/resilience example,grin-regenerate,"!""Grim Roustabout""",https://scryfall.com/search?q=%21%22Grim%20Roustabout%22&unique=cards,high,"Included because it carries a Rakdos set mechanic or Rakdos-limited play pattern, even when mono-colored."
rakdos-035,Splatter Thug,R,creature,mechanic-canonical,unleash first striker,unleash; first strike,+1/+1 counter; cannot block; combat pressure,blood in the front row,aggression is made safer only by striking first,unleash/combat example,splatter-firststrike,"!""Splatter Thug""",https://scryfall.com/search?q=%21%22Splatter%20Thug%22&unique=cards,high,"Included because it carries a Rakdos set mechanic or Rakdos-limited play pattern, even when mono-colored."
rakdos-036,Hellhole Flailer,BR,creature,guild-canonical,unleash fling threat,unleash; sacrifice damage,+1/+1 counter; cannot block; sacrifice to damage player,body-as-firework,a creature's final purpose is a bigger reaction,sacrifice/aggro bridge,flailer-burst,"!""Hellhole Flailer""",https://scryfall.com/search?q=%21%22Hellhole%20Flailer%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-037,Cryptborn Horror,BR,creature,guild-canonical,damage-scaling horror,opponent life loss scaling,enters with counters based on life lost,horror from applause,"the more the audience bleeds, the larger the act becomes",damage-scaling bridge,horror-grow,"!""Cryptborn Horror""",https://scryfall.com/search?q=%21%22Cryptborn%20Horror%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-038,Rakdos Shred-Freak,BR,creature,guild-canonical,haste hybrid attacker,haste; hybrid aggression,fast body; early pressure,no rehearsal,the point is not perfection; the point is immediate impact,aggro tempo anchor,shred-dash,"!""Rakdos Shred-Freak""",https://scryfall.com/search?q=%21%22Rakdos%20Shred-Freak%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-039,Spike Jester,BR,creature,guild-canonical,haste attacker,haste; high power low curve,fast damage; low-cost pressure,punchline with teeth,laughter arrives before consent; momentum is the joke,aggro anchor,jester-lunge,"!""Spike Jester""",https://scryfall.com/search?q=%21%22Spike%20Jester%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-040,Carnage Gladiator,BR,creature,guild-canonical,combat taxer,blocking punishment; regeneration,life loss when blocking; combat pressure,arena rules,defense has a cover charge; cowardice is made painful,combat-tax bridge,arena-tax,"!""Carnage Gladiator""",https://scryfall.com/search?q=%21%22Carnage%20Gladiator%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-041,Carnival Hellsteed,BR,creature,guild-canonical,large unleashed finisher,first strike; haste; unleash,big hasty threat; +1/+1 counter tradeoff,parade beast,the parade is dangerous because it never slows down,top-end creature anchor,hellsteed-gallop,"!""Carnival Hellsteed""",https://scryfall.com/search?q=%21%22Carnival%20Hellsteed%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-042,Rakdos Firewheeler,BR,creature,guild-canonical,ETB damage body,enter damage; opponent/player pressure,damage on entry; creature body,wheel of pain,the act hits the stage already burning,ETB damage anchor,firewheel-roll,"!""Rakdos Firewheeler""",https://scryfall.com/search?q=%21%22Rakdos%20Firewheeler%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-043,Hackrobat,BR,creature,guild-canonical,modal spectacle acrobat,spectacle; choice of counters,spectacle; +1/+1 counter; deathtouch counter,acrobatics with knives,style changes depending on how recently someone was hurt,spectacle/counter bridge,knife-flip,"!""Hackrobat""",https://scryfall.com/search?q=%21%22Hackrobat%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-044,Blade Juggler,B,creature,mechanic-canonical,spectacle draw body,spectacle; card draw,alternative cost; ETB draw,dangerous draw,the reward comes after someone has been cut,spectacle-value example,blade-draw,"!""Blade Juggler""",https://scryfall.com/search?q=%21%22Blade%20Juggler%22&unique=cards,high,"Included because it carries a Rakdos set mechanic or Rakdos-limited play pattern, even when mono-colored."
rakdos-045,Skewer the Critics,R,sorcery,mechanic-canonical,spectacle burn,spectacle; direct damage,alternative cost; three damage; opponent-life-loss gate,heckler punishment,the crowd gets burned once the first laugh lands,spectacle/burn example,skewer-flash,"!""Skewer the Critics""",https://scryfall.com/search?q=%21%22Skewer%20the%20Critics%22&unique=cards,high,"Included because it carries a Rakdos set mechanic or Rakdos-limited play pattern, even when mono-colored."
rakdos-046,Light Up the Stage,R,sorcery,mechanic-canonical,spectacle impulse draw,spectacle; exile play access,alternative cost; impulse card advantage,stage lights reveal options,damage earns a glimpse behind the curtain,spectacle-card-flow example,stage-lamp-pop,"!""Light Up the Stage""",https://scryfall.com/search?q=%21%22Light%20Up%20the%20Stage%22&unique=cards,high,"Included because it carries a Rakdos set mechanic or Rakdos-limited play pattern, even when mono-colored."
rakdos-047,Footlight Fiend,BR,creature,guild-canonical,death ping performer,death trigger damage,dies trigger; one damage any target,"small role, sharp exit",even the smallest performer leaves a mark,death-trigger primer,footlight-pop,"!""Footlight Fiend""",https://scryfall.com/search?q=%21%22Footlight%20Fiend%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-048,Rafter Demon,BR,creature,guild-canonical,spectacle discard body,spectacle; discard,opponent discard on spectacle cost; evasive demon flavor,demon in the rigging,pain earns the right to strip the audience's plan,spectacle/discard example,rafter-shadow,"!""Rafter Demon""",https://scryfall.com/search?q=%21%22Rafter%20Demon%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-049,Blood Crypt,BR,land,guild-canonical,shock land,mana fixing; life payment,black/red mana; life as entry cost,pay blood to enter,access to Rakdos power asks for life up front,mana-base anchor,blood-gate,"!""Blood Crypt""",https://scryfall.com/search?q=%21%22Blood%20Crypt%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-050,Rakdos Guildgate,BR,land,guild-canonical,guildgate,mana fixing; gate,black/red mana; enters tapped; guild location,public entrance,"the door is slow, obvious, and unmistakably Rakdos",mana-base/breadcrumb anchor,gate-glow,"!""Rakdos Guildgate""",https://scryfall.com/search?q=%21%22Rakdos%20Guildgate%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-051,"Rix Maadi, Dungeon Palace",BR,land,guild-canonical,guild landmark,mutual discard,land utility; each player discards,the dungeon venue,the building itself strips hands clean,lore/location anchor,dungeon-pulse,"!""Rix Maadi, Dungeon Palace""",https://scryfall.com/search?q=%21%22Rix%20Maadi%2C%20Dungeon%20Palace%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-052,Rakdos Carnarium,BR,land,guild-canonical,bounce land,mana fixing; tempo cost,black/red mana; returns land; ramp-like fixing,venue with a cover charge,more mana later costs tempo now,mana-base anchor,carnarium-rise,"!""Rakdos Carnarium""",https://scryfall.com/search?q=%21%22Rakdos%20Carnarium%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-053,Rakdos Signet,BR,artifact,guild-canonical,mana rock,mana fixing; acceleration,artifact ramp; black/red filtering,portable guild mark,the symbol turns generic force into Rakdos fuel,mana-rock anchor,signet-ignite,"!""Rakdos Signet""",https://scryfall.com/search?q=%21%22Rakdos%20Signet%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-054,Rakdos Keyrune,BR,artifact,guild-canonical,mana rock/creature,mana fixing; animated attacker,artifact ramp; becomes first strike devil,tool becomes performer,even infrastructure can step onto the stage,mana-rock/animation anchor,keyrune-awaken,"!""Rakdos Keyrune""",https://scryfall.com/search?q=%21%22Rakdos%20Keyrune%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-055,Rakdos Locket,BR,artifact,guild-canonical,mana rock/card draw,mana fixing; sacrifice draw,artifact ramp; later sacrifice for cards,souvenir with a fuse,resources become cards when the act demands it,mana-rock/value anchor,locket-crack,"!""Rakdos Locket""",https://scryfall.com/search?q=%21%22Rakdos%20Locket%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
rakdos-056,Rakdos Cluestone,BR,artifact,guild-canonical,mana rock/card draw,mana fixing; sacrifice draw,artifact ramp; later sacrifice for card,clue as prop,the object matters until breaking it matters more,mana-rock/value anchor,cluestone-shatter,"!""Rakdos Cluestone""",https://scryfall.com/search?q=%21%22Rakdos%20Cluestone%22&unique=cards,high,Strict Rakdos/Ravnica guild-facing anchor.
