id,faction,color_pair,card_name,set_context,type_line,color_identity,canonical_basis,confidence,mechanic_or_theme,translation_function,orzhov_axis,structural_role,narrative_read,animation_motif,tags,source_url
ORZ-014,Orzhov Syndicate,white-black,Orzhov Basilica,Guildpact,Land,{W}{B},Orzhov-named guild infrastructure,strong,Bounce land dual mana,ConstraintField,Basilica Infrastructure,Trades tempo for long-term white-black resource stability.,The entrance loops back through obligation before opening into power.,marble basilica reflected in black water with two mana sigils,"land, fixing, infrastructure",https://scryfall.com/search?q=%21%22Orzhov%20Basilica%22
ORZ-015,Orzhov Syndicate,white-black,Orzhov Euthanist,Guildpact,Creature — Human Assassin,{B},Orzhov-watermarked haunt assassin,strong,Haunt + destroys damaged creature,Detain,Merciful Execution,Converts prior injury into a sanctioned final removal.,The Syndicate calls it mercy because the bill is easier to close that way.,black-gloved cleric placing a death seal over a wounded figure,"haunt, assassin, removal, damaged creature",https://scryfall.com/search?q=%21%22Orzhov%20Euthanist%22
ORZ-016,Orzhov Syndicate,white-black,Orzhov Guildmage,Guildpact,Creature — Human Wizard,{W/B},Orzhov-named guildmage,strong,Life gain and life loss activations,AccretionEngine,Ledger Mage,Turns mana into either stabilizing credit or extracted payment.,"Every spell has two columns: what we gain, and what you owe.",mage splitting a ledger into white gain and black loss,"guildmage, drain, lifegain, activated ability",https://scryfall.com/search?q=%21%22Orzhov%20Guildmage%22
ORZ-017,Orzhov Syndicate,white-black,Orzhov Pontiff,Guildpact,Creature — Human Cleric,{W}{B},Orzhov-watermarked haunt cleric,strong,Team pump or enemy shrink + haunt,ConstraintField,Pontifical Decree,Issues a temporary decree that blesses insiders or diminishes outsiders.,The pontiff raises one side of the room and lowers the other with the same sermon.,"bishop silhouette waving incense, tokens brighten while enemies dim","haunt, pump, debuff, clergy",https://scryfall.com/search?q=%21%22Orzhov%20Pontiff%22
ORZ-018,Orzhov Syndicate,white-black,Orzhov Signet,Guildpact,Artifact,{W}{B},Orzhov-named guild infrastructure,strong,Mana filtering,AccretionEngine,Syndicate Funding,Converts neutral resource into Orzhov operating capital.,Generic mana enters the seal and comes out wearing a debt collar.,guild seal rotating like a coin press,"artifact, ramp, fixing",https://scryfall.com/search?q=%21%22Orzhov%20Signet%22
ORZ-019,Orzhov Syndicate,white-black,"Orzhova, the Church of Deals",Guildpact,Land,Colorless / {W}{B},Orzhov guild hall location,strong,Land-based drain,AccretionEngine,Church of Deals,Embeds life-drain commerce into the land base itself.,The church is not where deals happen; it is the deal.,cathedral doors opening into a glowing contract table,"land, drain, church, infrastructure",https://scryfall.com/search?q=%21%22Orzhova%2C%20the%20Church%20of%20Deals%22
ORZ-020,Orzhov Syndicate,white-black,Pillory of the Sleepless,Guildpact,Enchantment — Aura,{W}{B},Orzhov-watermarked pacification/drain aura,strong,Enchanted creature cannot attack/block and drains controller,Detain,Punitive Display,Immobilizes a body while converting shame into ongoing loss.,The prisoner remains visible because public suffering is part of the payment.,gold-black stocks holding a creature while life drips away,"pacifism, drain, aura, punishment",https://scryfall.com/search?q=%21%22Pillory%20of%20the%20Sleepless%22
ORZ-021,Orzhov Syndicate,white-black,Plagued Rusalka,Guildpact,Creature — Spirit,{B},Orzhov-watermarked sacrifice spirit,supported,Sacrifice to shrink creature,ConstraintField,Sacrificial Pressure,Converts expendable bodies into local suppression.,A minor ghost can make a major problem smaller if the account needs balancing.,small spirit dissolving into a black minus sigil,"sacrifice, debuff, spirit",https://scryfall.com/search?q=%21%22Plagued%20Rusalka%22
ORZ-022,Orzhov Syndicate,white-black,Shrieking Grotesque,Guildpact,Creature — Gargoyle,{W/B},Orzhov-watermarked discard creature,strong,ETB discard if black spent,Override,Confessional Alarm,Forces a card from hand when animated with black payment.,The gargoyle screams and the secret falls out.,stone gargoyle shriek cracking a sealed hand of cards,"discard, gargoyle, hybrid, hand pressure",https://scryfall.com/search?q=%21%22Shrieking%20Grotesque%22
ORZ-023,Orzhov Syndicate,white-black,Souls of the Faultless,Guildpact,Creature — Spirit,{W}{B},Orzhov-watermarked punishment defender,strong,Damage prevention/retaliatory drain,ConstraintField,Faultless Liability,Discourages combat by transforming damage into opponent loss and your gain.,Harm them and the liability clause activates against you.,white spirits forming a legal shield that reflects black life energy,"defender, drain, combat deterrent",https://scryfall.com/search?q=%21%22Souls%20of%20the%20Faultless%22
ORZ-024,Orzhov Syndicate,white-black,"Teysa, Orzhov Scion",Guildpact,Legendary Creature — Human Advisor,{W}{B},Legendary Orzhov character / guild champion,strong,Sacrifice white/black creature engine,AccretionEngine,Sacrifice Governance,"Turns death, tokens, and exile authority into a political machine.","Teysa does not waste bodies; she turns them into votes, verdicts, and leverage.",Teysa silhouette beside white spirits and black sacrifice sigils,"legendary, sacrifice, tokens, exile",https://scryfall.com/search?q=%21%22Teysa%2C%20Orzhov%20Scion%22
ORZ-025,Orzhov Syndicate,white-black,Basilica Guards,Gatecrash,Creature — Human Soldier,{W},Orzhov-watermarked extort defender,strong,Defender + extort,ConstraintField,Guarded Toll,Blocks pressure while collecting incremental payments from every spell.,The guard does not chase you; the toll booth is already in the doorway.,spear guards beside an offering plate that lights on each cast,"extort, defender, tax",https://scryfall.com/search?q=%21%22Basilica%20Guards%22
ORZ-026,Orzhov Syndicate,white-black,Basilica Screecher,Gatecrash,Creature — Bat,{B},Orzhov-watermarked extort flier,strong,Flying + extort,AccretionEngine,Aerial Collection,Adds evasive pressure with repeatable spell-tax drain.,Every shriek is a reminder that the account is still open.,bat circling a cathedral spire with draining coin motes,"extort, flying, drain",https://scryfall.com/search?q=%21%22Basilica%20Screecher%22
ORZ-027,Orzhov Syndicate,white-black,Blind Obedience,Gatecrash,Enchantment,{W},Orzhov-watermarked extort/prison card,strong,Creatures/artifacts enter tapped + extort,ConstraintField,Compliance Field,Slows opponents while monetizing every spell through extort.,The Syndicate does not need you dead immediately; late and paying is better.,white-black command sigil forcing permanents to kneel,"extort, tapdown, prison, tempo",https://scryfall.com/search?q=%21%22Blind%20Obedience%22
ORZ-028,Orzhov Syndicate,white-black,Cartel Aristocrat,Gatecrash,Creature — Human Advisor,{W}{B},Orzhov-watermarked sacrifice aristocrat,strong,Sacrifice for protection,Detain,Protected Aristocracy,Converts disposable servants into elite survival.,The aristocrat survives because someone else always becomes the cost.,noble mask gleaming while a shadow servant fades,"sacrifice, protection, aristocrats",https://scryfall.com/search?q=%21%22Cartel%20Aristocrat%22
ORZ-029,Orzhov Syndicate,white-black,Crypt Ghast,Gatecrash,Creature — Spirit,{B},Orzhov-watermarked extort mana engine,strong,Swamp mana doubling + extort,AccretionEngine,Crypt Interest,Turns black mana infrastructure into accelerating debt collection.,The crypt does not store the dead; it compounds them.,ghostly accountant multiplying swamp mana into black-gold coins,"extort, ramp, swamp, spirit",https://scryfall.com/search?q=%21%22Crypt%20Ghast%22
ORZ-030,Orzhov Syndicate,white-black,Deathpact Angel,Gatecrash,Creature — Angel,{W}{B},Orzhov-watermarked death-contract angel,strong,Death creates token that can return Angel,AccretionEngine,Deathpact Renewal,Makes death a temporary clause rather than a final state.,The angel dies only into paperwork that can call her back.,angel contract burning into a cleric token and reforming wings,"angel, recursion, token, death pact",https://scryfall.com/search?q=%21%22Deathpact%20Angel%22
ORZ-031,Orzhov Syndicate,white-black,Dutiful Thrull,Gatecrash,Creature — Thrull,{B},Orzhov-watermarked thrull servant,supported,Regeneration,ConstraintField,Debt Servant,Provides persistent expendable service through regeneration.,A thrull survives because the debt has not finished using it.,small thrull stitched by black-white contract threads,"thrull, regenerate, servant",https://scryfall.com/search?q=%21%22Dutiful%20Thrull%22
ORZ-032,Orzhov Syndicate,white-black,Executioner's Swing,Gatecrash,Instant,{W}{B},Orzhov-watermarked combat removal,strong,Damaged creature gets -5/-5,Detain,Sanctioned Execution,Turns combat damage into legal permission for lethal reduction.,"Once the mark is injured, the sentence becomes easy to justify.",executioner blade crossing a wounded silhouette with decree ribbon,"removal, combat, debuff",https://scryfall.com/search?q=%21%22Executioner%27s%20Swing%22
ORZ-033,Orzhov Syndicate,white-black,Gift of Orzhova,Gatecrash,Enchantment — Aura,{W/B},Orzhov-named aura,strong,Flying + lifelink buff,AccretionEngine,Blessed Elevation,Turns a creature into an evasive life-extracting asset.,The gift is beautiful until you notice repayment starts immediately.,white-black wings unfolding from a contract seal,"aura, flying, lifelink, gift",https://scryfall.com/search?q=%21%22Gift%20of%20Orzhova%22
ORZ-034,Orzhov Syndicate,white-black,High Priest of Penance,Gatecrash,Creature — Human Cleric,{W}{B},Orzhov-watermarked cleric punishment card,strong,Damage-trigger permanent destruction,ConstraintField,Penance Liability,Makes harming the priest create a destructive legal consequence.,Strike the priest and the church repossesses something valuable.,priest bleeding into a glowing destruction writ,"punisher, destroy, cleric",https://scryfall.com/search?q=%21%22High%20Priest%20of%20Penance%22
ORZ-035,Orzhov Syndicate,white-black,Kingpin's Pet,Gatecrash,Creature — Thrull,{W}{B},Orzhov-watermarked extort flier,strong,Flying + extort,AccretionEngine,Petty Tribute,Combines evasive board presence with spell-by-spell payment.,Even the pet has authority to collect.,winged thrull carrying a coin leash above the board,"extort, flying, thrull, drain",https://scryfall.com/search?q=%21%22Kingpin%27s%20Pet%22
ORZ-036,Orzhov Syndicate,white-black,Knight of Obligation,Gatecrash,Creature — Human Knight,{W},Orzhov-watermarked extort knight,strong,Vigilance + extort,ConstraintField,Obligated Patrol,Defends and attacks while the table pays incremental dues.,Duty is a patrol route with a donation box at every step.,white-black knight holding a lance and ledger shield,"extort, vigilance, knight",https://scryfall.com/search?q=%21%22Knight%20of%20Obligation%22
ORZ-037,Orzhov Syndicate,white-black,Merciless Eviction,Gatecrash,Sorcery,{W}{B},Orzhov-watermarked mass exile spell,strong,Choose artifact/creature/enchantment/planeswalker exile,Override,Total Repossession,Selectively removes an entire asset class from the game.,The Syndicate does not destroy the property; it removes your right to have it.,grand foreclosure decree exiling rows of permanents,"board wipe, exile, modal, authority",https://scryfall.com/search?q=%21%22Merciless%20Eviction%22
ORZ-038,Orzhov Syndicate,white-black,"Obzedat, Ghost Council",Gatecrash,Legendary Creature — Spirit Advisor,{W}{B},Orzhov guild leaders / Obzedat,strong,ETB drain + self-exile return,AccretionEngine,Deathless Boardroom,Repeatedly drains while evading sorcery-speed accountability.,The council leaves before consequences arrive and returns when payment is due.,ghost boardroom phasing through cathedral doors,"legendary, drain, flicker, ghost council",https://scryfall.com/search?q=%21%22Obzedat%2C%20Ghost%20Council%22
ORZ-039,Orzhov Syndicate,white-black,One Thousand Lashes,Gatecrash,Enchantment — Aura,{W}{B},Orzhov-watermarked lockdown aura,strong,Cannot attack/block/activate + life loss,Detain,Contractual Torment,Locks a creature down and converts captivity into recurring payment.,The sentence has too many clauses to escape and every clause hurts.,bound creature wrapped in one thousand black-gold ribbons,"aura, lockdown, drain, punishment",https://scryfall.com/search?q=%21%22One%20Thousand%20Lashes%22
ORZ-040,Orzhov Syndicate,white-black,Orzhov Charm,Gatecrash,Instant,{W}{B},Orzhov-named guild charm,strong,Modal removal/bounce/recursion,Override,Syndicate Clause,"Selects the clause needed: kill, recover, or reposition.",The charm is a contract with three hidden escape hatches.,"tri-fold guild seal switching between blade, hand, and spirit","charm, modal, removal, recursion",https://scryfall.com/search?q=%21%22Orzhov%20Charm%22
ORZ-041,Orzhov Syndicate,white-black,Orzhov Guildgate,Gatecrash,Land,{W}{B},Orzhov-named guild infrastructure,strong,Tapped dual land,ConstraintField,Gate Infrastructure,Provides formal access to white-black guild resources.,The gate opens only after the visitor accepts the terms.,arched gate with black-white mana lamps and coin bars,"land, fixing, gate, infrastructure",https://scryfall.com/search?q=%21%22Orzhov%20Guildgate%22
ORZ-042,Orzhov Syndicate,white-black,Orzhov Keyrune,Gatecrash,Artifact,{W}{B},Orzhov-named guild infrastructure,strong,Mana rock that animates into lifelink Thrull,AccretionEngine,Liquid Asset,Stores mana and becomes a lifelinking collection body.,The treasury can walk when the account demands it.,keyrune unfurling into a winged thrull made of coin-metal,"artifact, ramp, creature, lifelink",https://scryfall.com/search?q=%21%22Orzhov%20Keyrune%22
ORZ-043,Orzhov Syndicate,white-black,Syndic of Tithes,Gatecrash,Creature — Human Cleric,{W},Orzhov-watermarked extort cleric,strong,Extort,AccretionEngine,Tithe Collection,Turns each spell into a small payment from every opponent.,The sermon is optional; the tithe is not.,cleric raising a collection plate that drains the table,"extort, cleric, tithe",https://scryfall.com/search?q=%21%22Syndic%20of%20Tithes%22
ORZ-044,Orzhov Syndicate,white-black,Syndicate Enforcer,Gatecrash,Creature — Human Rogue,{B},Orzhov-watermarked extort enforcer,strong,Extort body,AccretionEngine,Street-Level Collection,Extends Orzhov debt enforcement into the street.,The contract gets a bodyguard when politeness fails.,black-clad enforcer with a gold debt chain,"extort, rogue, enforcer",https://scryfall.com/search?q=%21%22Syndicate%20Enforcer%22
ORZ-045,Orzhov Syndicate,white-black,Treasury Thrull,Gatecrash,Creature — Thrull,{W}{B},Orzhov-watermarked extort recursion creature,strong,Extort + attack recursion,AccretionEngine,Treasury Recovery,Recovers artifacts/creatures/enchantments while draining through extort.,The treasury sends a thrull to retrieve anything still valuable.,massive thrull hauling relics from crypt shelves,"extort, recursion, treasury, thrull",https://scryfall.com/search?q=%21%22Treasury%20Thrull%22
ORZ-046,Orzhov Syndicate,white-black,Vizkopa Confessor,Gatecrash,Creature — Human Cleric,{W}{B},Orzhov-watermarked discard/exile cleric,strong,Extort + paid hand exile,Override,Confessor Audit,Scales payment into targeted confession and card removal.,"The bigger the donation, the deeper the confession.",confessor booth with black-gold window pulling a card from hand,"extort, discard, exile, cleric",https://scryfall.com/search?q=%21%22Vizkopa%20Confessor%22
ORZ-047,Orzhov Syndicate,white-black,Vizkopa Guildmage,Gatecrash,Creature — Human Wizard,{W}{B},Orzhov guildmage / Vizkopa identity,strong,Lifelink granting + life-gain drain conversion,AccretionEngine,Life Ledger Conversion,Turns life gain into opponent life loss across the table.,Profit in one column becomes debt in every other column.,guildmage balancing white life light against black draining ledgers,"lifegain, drain, guildmage, combo",https://scryfall.com/search?q=%21%22Vizkopa%20Guildmage%22
ORZ-048,Orzhov Syndicate,white-black,Blood Baron of Vizkopa,Dragon's Maze,Creature — Vampire,{W}{B},Orzhov/Vizkopa legendary-style guild payoff,strong,Lifelink/protection + threshold power,AccretionEngine,Noble Blood Debt,Stabilizes through lifelink and becomes dominant when totals diverge.,The baron rises when the table is poor and he is not.,vampire noble with coin-blood halo and white-black shield,"vampire, lifelink, protection, payoff",https://scryfall.com/search?q=%21%22Blood%20Baron%20of%20Vizkopa%22
ORZ-049,Orzhov Syndicate,white-black,Debt to the Deathless,Dragon's Maze,Sorcery,{W}{B},Orzhov-named debt/drain spell,strong,Massive X drain/life gain,AccretionEngine,Final Debt Call,Converts mana into tablewide life extraction and stabilization.,"When the last bill comes due, even death signs the receipt.",giant debt ledger draining life from multiple opponents,"x-spell, drain, lifegain, finisher",https://scryfall.com/search?q=%21%22Debt%20to%20the%20Deathless%22
ORZ-050,Orzhov Syndicate,white-black,Maw of the Obzedat,Dragon's Maze,Creature — Thrull,{W}{B},Obzedat/Orzhov sacrifice payoff,strong,Sacrifice creatures to pump team,AccretionEngine,Obzedat Consumption,Turns creatures into collective force through consumption.,The maw eats servants and calls the result unity.,huge thrull mouth swallowing tokens into a gold-white battle aura,"sacrifice, pump, thrull, obzedat",https://scryfall.com/search?q=%21%22Maw%20of%20the%20Obzedat%22
ORZ-051,Orzhov Syndicate,white-black,Obzedat's Aid,Dragon's Maze,Sorcery,{W}{B},Obzedat-named recursion spell,strong,Return permanent from graveyard to battlefield,AccretionEngine,Executive Reinstatement,Restores any permanent as a reclaimed asset.,The Obzedat do not resurrect for mercy; they reinstate property.,ghost council hands lifting a permanent out of a signed grave,"recursion, permanent, obzedat",https://scryfall.com/search?q=%21%22Obzedat%27s%20Aid%22
ORZ-052,Orzhov Syndicate,white-black,Pontiff of Blight,Dragon's Maze,Creature — Zombie Cleric,{B},Orzhov/extort lord,strong,Gives all creatures extort,AccretionEngine,Mass Tithe Engine,Turns the entire board into a collection network.,"Under the pontiff, every body becomes a payment terminal.",zombie pontiff radiating extort sigils over a crowd,"extort, lord, cleric, drain engine",https://scryfall.com/search?q=%21%22Pontiff%20of%20Blight%22
ORZ-053,Orzhov Syndicate,white-black,Sin Collector,Dragon's Maze,Creature — Human Cleric,{W}{B},Orzhov hand-disruption cleric,strong,ETB exile instant/sorcery from hand,Override,Sin Audit,Turns the opponent hand into evidence and removes a dangerous spell.,Private intentions are audited as sins and confiscated as assets.,cleric pulling a glowing spell from a confessional shadow,"hand disruption, exile, cleric",https://scryfall.com/search?q=%21%22Sin%20Collector%22
ORZ-054,Orzhov Syndicate,white-black,"Teysa, Envoy of Ghosts",Dragon's Maze,Legendary Creature — Human Advisor,{W}{B},Legendary Orzhov envoy,strong,Vigilance/protection; destroys attackers and creates Spirits,ConstraintField,Ghostly Retaliation,Makes attacking you costly while converting death into spirits.,Violence against Teysa becomes testimony for the dead.,Teysa framed by seven spectral witnesses and black-white law wards,"legendary, pillowfort, spirits, removal",https://scryfall.com/search?q=%21%22Teysa%2C%20Envoy%20of%20Ghosts%22
ORZ-055,Orzhov Syndicate,white-black,Tithe Drinker,Dragon's Maze,Creature — Vampire,{W}{B},Orzhov extort/lifelink vampire,strong,Lifelink + extort,AccretionEngine,Double Collection,Combines combat life swing with spell-tax drain.,The vampire collects at the altar and at the throat.,vampire sipping from a chalice shaped like a coin,"extort, lifelink, vampire, drain",https://scryfall.com/search?q=%21%22Tithe%20Drinker%22
ORZ-056,Orzhov Syndicate,white-black,Profit // Loss,Dragon's Maze,Split Card — Instant,{W}{B},Orzhov-color split payoff/debuff,supported,Team pump or enemy shrink,ConstraintField,Asymmetric Accounting,Frames combat as one side gaining profit and the other side taking loss.,The same ledger line blesses your side and diminishes theirs.,"split ledger page: white profit glow, black loss shadow","split card, pump, debuff",https://scryfall.com/search?q=%21%22Profit%20//%20Loss%22
ORZ-057,Orzhov Syndicate,white-black,Bankrupt in Blood,Ravnica Allegiance,Sorcery,{B},Orzhov-watermarked sacrifice draw spell,strong,Sacrifice two creatures to draw three,AccretionEngine,Liquidation Draw,Converts bodies into cards through forced liquidation.,"When assets fail, the Syndicate sells the servants.","two silhouettes stamped bankrupt, three cards drawn from black ink","sacrifice, draw, liquidation",https://scryfall.com/search?q=%21%22Bankrupt%20in%20Blood%22
ORZ-058,Orzhov Syndicate,white-black,Basilica Bell-Haunt,Ravnica Allegiance,Creature — Spirit,{W}{B},Orzhov-watermarked discard/drain spirit,strong,ETB discard + life swing,AccretionEngine,Bell-Haunt Audit,Combines hand pressure with life stabilization.,"The bell rings once: you lose a secret, we gain the offering.",haunted bell sending black discard smoke and white life light,"discard, drain, spirit, etb",https://scryfall.com/search?q=%21%22Basilica%20Bell-Haunt%22
ORZ-059,Orzhov Syndicate,white-black,Consecrate // Consume,Ravnica Allegiance,Split Card — Instant/Sorcery,{W}{B},Orzhov split card / graveyard and edict drain,strong,Graveyard exile/draw or sacrifice/lifegain,Override,Sanctify and Consume,Controls the graveyard or extracts value from the largest creature.,The church can bless the corpse or eat the estate.,"split altar: white consecration flame, black maw consuming a creature","split card, graveyard hate, edict, lifegain",https://scryfall.com/search?q=%21%22Consecrate%20//%20Consume%22
ORZ-060,Orzhov Syndicate,white-black,Debtors' Transport,Ravnica Allegiance,Creature — Thrull,{B},Orzhov-watermarked afterlife carrier,strong,Afterlife 2,AccretionEngine,Debt Carriage,Turns death into multiple spirit obligations.,The cart carries debt so old it has learned to fly when unloaded.,black carriage spilling two white spirit tokens,"afterlife, thrull, spirits, token",https://scryfall.com/search?q=%21%22Debtors%27%20Transport%22
ORZ-061,Orzhov Syndicate,white-black,Ethereal Absolution,Ravnica Allegiance,Enchantment,{W}{B},Orzhov mythic enchantment / afterlife-era payoff,strong,Team buff/enemy debuff + graveyard exile to make Spirits,ConstraintField,Absolution Regime,Defines the whole board through sanctioned blessing and suppression.,Absolution means your side is elevated and theirs is reduced to material.,cathedral halo dimming enemies while white spirits rise from graves,"anthem, debuff, graveyard, spirits",https://scryfall.com/search?q=%21%22Ethereal%20Absolution%22
ORZ-062,Orzhov Syndicate,white-black,Final Payment,Ravnica Allegiance,Instant,{W}{B},Orzhov-watermarked removal spell,strong,Destroy creature by paying/sacrificing,Detain,Payment Clause,Removes a creature by converting life or sacrifice into cost.,There is always a final payment; the only question is who becomes currency.,black-white contract pierced by a dagger and blood coin,"removal, sacrifice, life payment",https://scryfall.com/search?q=%21%22Final%20Payment%22
ORZ-063,Orzhov Syndicate,white-black,Grasping Thrull,Ravnica Allegiance,Creature — Thrull,{W}{B},Orzhov-watermarked drain creature,strong,ETB drain 2,AccretionEngine,Grasping Collection,Adds body plus immediate life swing.,The thrull closes its hand and the balance changes.,large thrull hand squeezing black life from target into white chalice,"drain, thrull, etb",https://scryfall.com/search?q=%21%22Grasping%20Thrull%22
ORZ-064,Orzhov Syndicate,white-black,Imperious Oligarch,Ravnica Allegiance,Creature — Human Cleric,{W}{B},Orzhov-watermarked afterlife creature,strong,Vigilance + afterlife 1,ConstraintField,Oligarchic Continuity,Defends in life and leaves a spirit claim after death.,Rank persists; even death files a continuation form.,noble cleric with a spirit silhouette standing behind him,"afterlife, vigilance, cleric",https://scryfall.com/search?q=%21%22Imperious%20Oligarch%22
ORZ-065,Orzhov Syndicate,white-black,"Kaya, Orzhov Usurper",Ravnica Allegiance,Legendary Planeswalker — Kaya,{W}{B},Orzhov guildmaster-era planeswalker,strong,"Graveyard exile/lifegain, edict, exile payoff",Override,Usurper Justice,Rewrites ghost debt structures by exiling graves and claiming authority.,Kaya does not inherit the ledger; she cuts ghosts out of it.,Kaya blade slicing spectral contracts into white-black sparks,"planeswalker, graveyard hate, exile, lifegain",https://scryfall.com/search?q=%21%22Kaya%2C%20Orzhov%20Usurper%22
