card_id,card_name,card_type,tier,domain,constraint_class,accretion_weight,detain_flag,override_priority,field_strength,narrative_role,animation_preset,tags,description
IZ-015,Causal Thread,Causal,II,Causal,Soft,1.0,FALSE,3,6,Sequencer,trail,"cause,effect,chain","Establishes a causal dependency: card A must resolve before card B. Breaking the thread triggers a Void Surge at half magnitude."
IZ-016,Material Shard,Material,I,Material,Soft,0.6,FALSE,1,3,Fragment,shatter,"object,piece,physical","Represents a discrete material object. Can be combined (Accretion) or destroyed (Void) depending on adjacent card interactions."
IZ-017,Temporal Lock,Detain,III,Temporal,Lock,2.8,TRUE,7,8,Arrester,ice,"time,freeze,stasis","Freezes all Temporal domain cards in place for two full phases. Immune to standard Override (requires tier III Override or Void Surge)."
IZ-018,Cognitive Lattice,Cognitive,II,Cognitive,Soft,1.3,FALSE,2,6,Framework,grid,"thought,structure,logic","Creates a logical dependency map. Any card that violates a lattice-defined rule is automatically Detained."
IZ-019,Elemental Spark,Elemental,I,Elemental,Soft,0.4,FALSE,1,2,Initiator,flash,"fire,origin,trigger","The simplest initiation card. Fires once and is removed from play. Triggers one adjacent card's primary ability."
IZ-020,Override Cascade,Override,III,Causal,Override,3.5,FALSE,10,10,Disruptor,cascade,"chain-override,multi,wave","Applies Override to every non-Hard-constraint card in the active zone simultaneously. Resolves in phase-order priority."
IZ-021,Null Boundary,Null,II,Void,Hard,0.0,TRUE,0,0,Vacuum,flatline,"zero-field,wall,absolute","A hard-null card that blocks all propagation across its position. Neither field_strength nor effects can cross it."
IZ-022,The Witness,Echo,II,Semantic,Soft,0.7,FALSE,0,4,Observer,scan,"record,observe,archive","Passively records every card resolution within its zone. Its log can be read to reconstruct prior game states."
IZ-023,Accretion Shell,Accretion,II,Material,Soft,2.0,FALSE,1,5,Accumulator,thicken,"layer,coat,build","Wraps target card in a material layer. Each layer adds +0.3 to that card's field_strength and +0.2 to accretion_weight."
IZ-024,Deep Detain,Detain,III,Social,Lock,3.0,TRUE,6,9,Arrester,sink,"heavy-bind,permanent,anchor","Applies a non-expiring detainment. Only a tier-III Override or Void Surge can lift it. Increases target's constraint_class to Hard."
IZ-025,Liminal Fold,Liminal,III,Temporal,Soft,1.5,FALSE,2,6,Threshold,fold,"time-door,skip,warp","Moves a card from its current phase position to any other phase position in the active timeline without triggering in-between effects."
IZ-026,Resonance Loop,Echo,III,Semantic,Soft,1.8,FALSE,3,7,Mirror,loop,"repeat,cycle,oscillate","Creates a bounded echo loop between two designated cards. The loop runs for exactly three iterations then collapses into the Null state."
IZ-027,Constraint Weave,Constraint,II,Social,Hard,1.6,TRUE,5,6,Boundary,lace,"social-limit,network-bind,shared","Applies a shared constraint to all cards in a Social Weave link. If any linked card is Overridden, all others receive an Override notification."
IZ-028,Field Inversion,Override,III,Elemental,Override,2.7,FALSE,9,8,Disruptor,invert,"flip,negate,reverse","Inverts the field_strength of all Elemental domain cards (positive becomes negative and vice versa) for one full phase."
IZ-029,Somatic Anchor,Anchor,II,Somatic,Hard,1.9,TRUE,0,7,Foundation,plant,"body-root,physical-ground,steady","A somatic variant of The Anchor. Fixes all Somatic domain cards in their current state. Immune to Flux Wave and Liminal Gate."
IZ-030,Cognitive Override,Override,II,Cognitive,Override,2.1,FALSE,8,7,Disruptor,rewrite,"mind-change,logic-break,reframe","Overrides the behavioral rule of a Cognitive Lattice without destroying it. The lattice continues operating under the new rule."
IZ-031,Affective Detain,Detain,II,Affective,Lock,1.7,TRUE,4,5,Arrester,numb,"emotion-lock,suppress,still","Detains an Affective domain card, preventing Affective Bloom and all emotional propagation through it for two phases."
IZ-032,The Singularity,Accretion,IV,Void,Hard,10.0,TRUE,10,10,Apex,implode,"endpoint,maximum,collapse","The terminal accretion state. Cannot be Detained or Overridden. Resolves the entire active zone and resets the board to baseline."
