id,school,color_pair,card_name,source_set_or_product,canonical_basis,structural_role,mechanical_signal,prismari_expression_axis,core_pattern,blue_signal,red_signal,elemental_signal,performance_signal,improvisation_signal,elemental_medium,narrative_taxon,animation_signature,translation_hook,ui_use,confidence,source_url
PRISMARI-011,Prismari,Blue/Red,Magma Opus,Strixhaven: School of Mages,Prismari watermark; named STX card,signature masterpiece,"large instant, split damage, tap, token, card draw, treasure mode",maximum spectacle under composed structure,technique + emotion -> elemental spectacle,5,5,5,5,3,"magma, orchestra, multi-target composition",spectacle as truth,orchestral staff explodes into lava arcs,ConstraintField,Use as the canonical top-end Prismari expression card.,high,https://scryfall.com/card/stx/203/magma-opus
PRISMARI-012,Prismari,Blue/Red,Multiple Choice,Strixhaven: School of Mages,Prismari watermark; named STX card,scalable lesson,X-spell modular outcome,"one question, many staged outcomes",technique + emotion -> elemental spectacle,5,2,3,3,4,"classroom test, staged escalation",performed research,answer options unlock in escalating rings,ConstraintField,Excellent model for tiered result explanations.,high,https://scryfall.com/card/stx/48/multiple-choice
PRISMARI-013,Prismari,Blue/Red,Muse Vortex,Commander 2021,Prismari watermark search result,chaotic inspiration well,X-spell / top-card free casting,study risks being swallowed by inspiration,technique + emotion -> elemental spectacle,5,3,4,4,5,"vortex, unknown spell, falling notes",improvised breakthrough,deep-blue spiral revealing ember cards,Override,Use where user choices pull from a hidden pool or future draw.,medium,https://scryfall.com/search?q=%22Muse+Vortex%22+%22Watermark%3A+Prismari%22
PRISMARI-014,Prismari,Blue/Red,"Octavia, Living Thesis",Commander 2021,Prismari watermark search result,thesis embodied,graveyard threshold / spell-cost reduction / creature transformation,idea becomes enormous living argument,technique + emotion -> elemental spectacle,5,2,3,4,3,"octopus thesis, ink, scholarly monster",theory embodied,ink thesis lines unfurl into tentacles,AccretionEngine,Good for graveyard-density thresholds and scholarly payoff visuals.,medium,https://scryfall.com/search?q=%22Octavia%2C+Living+Thesis%22+%22Watermark%3A+Prismari%22
PRISMARI-015,Prismari,Blue/Red,Practical Research,Strixhaven: School of Mages,Prismari watermark; DailyMTG story spotlight result,study / discard filter,draw and selective discard,practice separates useful insight from noise,technique + emotion -> elemental spectacle,5,2,1,2,3,"notes, laboratory movement, sibling contrast",performed research,notebook pages split into spark and diagram,Detain,Use when explaining disciplined review inside a flamboyant faction.,high,https://scryfall.com/card/stx/212/practical-research
PRISMARI-016,Prismari,Blue/Red,Prismari Apprentice,Strixhaven: School of Mages,Prismari watermark; named STX card,student threshold,magecraft / pressure after enough spells,student becomes stage-ready through risk,technique + emotion -> elemental spectacle,3,4,3,4,5,"training sparks, unsafe art, first performance",apprentice ignition,small glyph grows into spotlight flare,Override,Good beginner signal for Prismari as risk-friendly creativity.,high,https://scryfall.com/card/stx/213/prismari-apprentice
PRISMARI-017,Prismari,Blue/Red,Prismari Campus,Strixhaven / Secrets of Strixhaven Commander,Prismari name and watermark; campus flavor,environment / mana site,dual land / scry utility,campus as stage and studio,technique + emotion -> elemental spectacle,4,4,3,4,2,"campus lights, studio space, elemental architecture",place of practice,campus arch with red-blue glints,ConstraintField,Best environment anchor for Prismari page chrome.,high,https://scryfall.com/card/stx/270/prismari-campus
PRISMARI-018,Prismari,Blue/Red,Prismari Charm,Secrets of Strixhaven,Prismari name and watermark,modal school charm,damage / bounce / school utility,"small spell, many expressive gestures",technique + emotion -> elemental spectacle,4,4,4,4,4,"quick flame, recoil, return gesture",modal expression,three charm facets orbiting a stage mark,ConstraintField,Use for compact multi-action cards and UI chips.,high,https://scryfall.com/card/sos/211/prismari-charm
PRISMARI-019,Prismari,Blue/Red,Prismari Command,Strixhaven / Secrets of Strixhaven Commander,Prismari name and watermark,modal command,"damage, loot, treasure, artifact answer",command as performed problem-solving,technique + emotion -> elemental spectacle,4,5,4,4,4,"conductor baton, coin sparks, shattering artifact",modal expression,baton click selects two orbiting modes,ConstraintField,Core model for Prismari as flexible but theatrical interaction.,high,https://scryfall.com/card/stx/214/prismari-command
PRISMARI-020,Prismari,Blue/Red,Prismari Pianist,Secrets of Strixhaven Commander,Prismari name and watermark,rhythm caster,performance creature / tempo support,musical practice becomes spell rhythm,technique + emotion -> elemental spectacle,3,4,2,5,4,"piano scales, stage pulse, note sparks",rhythmic study,keyboard ripple to glyph cascade,AccretionEngine,Use for audio-reactive or rhythm-coded animation notes.,high,https://scryfall.com/card/soc/34/prismari-pianist
PRISMARI-021,Prismari,Blue/Red,Prismari Pledgemage,Strixhaven: School of Mages,Prismari name and watermark,pledged maker,defender that attacks after magecraft,courage to share the creation,technique + emotion -> elemental spectacle,3,4,2,4,4,"student vow, first public display",apprentice ignition,defensive frame breaks into forward motion,Override,Use for state change from passive identity to active expression.,high,https://scryfall.com/card/stx/215/prismari-pledgemage
PRISMARI-022,Prismari,Blue/Red,"Prismari, the Inspiration",Secrets of Strixhaven,Prismari name and watermark,elder-dragon inspiration,legendary dragon / storm-like spell copying,inspiration multiplies performance,technique + emotion -> elemental spectacle,5,5,5,5,4,"elder dragon, storm, multiplied spell echoes",founder axiom,dragon-wing storm copies radiate outward,AccretionEngine,Use as a modern/current Prismari apex signal.,high,https://scryfall.com/card/sos/212/prismari-the-inspiration
PRISMARI-023,Prismari,Blue/Red,Rapturous Moment,Secrets of Strixhaven,Prismari watermark search result,festival beat,momentary payoff / celebratory effect,emotion peaks into display,technique + emotion -> elemental spectacle,2,5,4,5,4,"fireworks, Summitfest, ecstatic flare",festival spectacle,firework pop with delayed shimmer,Override,Good for celebratory placement moments or score reveal bursts.,medium,https://scryfall.com/card/sos/219/rapturous-moment
PRISMARI-024,Prismari,Blue/Red,Reinterpret,Commander 2021,Prismari watermark and Nassari flavor result,counter-conversion,counter spell into free cast,answer becomes a new performance,technique + emotion -> elemental spectacle,5,4,3,5,5,"redirected spell energy, sudden demonstration",improvised breakthrough,incoming spell bends into a new stage prop,Override,Excellent model for transforming user input instead of merely rejecting it.,high,https://scryfall.com/card/c21/73/reinterpret
PRISMARI-025,Prismari,Blue/Red,Resculpt,Strixhaven / Secrets of Strixhaven Commander,Prismari watermark search result,removal as sculpture,"exile artifact/creature, replace with Elemental",destruction becomes form-making,technique + emotion -> elemental spectacle,4,3,5,4,3,"sculpture, elemental body, critique impact",elemental medium,target dissolves into angular elemental mass,Override,Use for visualizing removal that leaves behind a transformed remainder.,high,https://scryfall.com/card/soc/201/resculpt
PRISMARI-026,Prismari,Blue/Red,"Rionya, Fire Dancer",Commander 2021 / Secrets of Strixhaven Commander,Prismari watermark search result,copy choreographer,combat-start token copies based on spell count,dance multiplies the cast,technique + emotion -> elemental spectacle,2,5,4,5,5,"fire dance, mirrored bodies, combat rhythm",kinetic technique,dancer silhouette duplicates with flame trails,AccretionEngine,Great for showing spell-count momentum turning into board copies.,high,https://scryfall.com/card/soc/252/rionya-fire-dancer
PRISMARI-027,Prismari,Blue/Red,"Rootha, Mercurial Artist",Strixhaven / Secrets of Strixhaven Commander,Prismari watermark; named STX card,copy artisan,returns to hand to copy instant/sorcery,the artist revises by leaving and returning,technique + emotion -> elemental spectacle,5,4,3,5,4,"mercurial brush, unfinished art, doubled spell",performed revision,artist glyph snaps back then creates echo copy,Detain,Use as the cleanest micro-loop for Prismari copy identity.,high,https://scryfall.com/card/stx/227/rootha-mercurial-artist
PRISMARI-028,Prismari,Blue/Red,Rousing Refrain,Commander 2021,Prismari watermark search result,mana crescendo,suspend / burst mana from opponent hand size,audience scale becomes performance fuel,technique + emotion -> elemental spectacle,1,5,3,5,4,"refrain, red mana crescendo, crowd response",rhythmic study,red sound wave swells by audience icons,AccretionEngine,Use for delayed resource surges and chorus/crowd metaphors.,medium,https://scryfall.com/search?q=%22Rousing+Refrain%22+%22Watermark%3A+Prismari%22
PRISMARI-029,Prismari,Blue/Red,Scorched Geyser,Secrets of Strixhaven Commander,Prismari watermark result,environmental hazard,land / geyser energy,the landscape responds to rhythm,technique + emotion -> elemental spectacle,2,5,5,4,3,"geyser, drumbeat, heat plume",place of practice,vertical steam-and-fire column on beat,ConstraintField,Useful as a background environment effect for Prismari sections.,high,https://scryfall.com/card/soc/54/scorched-geyser
PRISMARI-030,Prismari,Blue/Red,Spectacle Mage,Strixhaven: School of Mages,Prismari watermark; named STX card,cost reducer / performer,reduces expensive instant/sorcery costs,"the bigger the spell, the more natural the stage",technique + emotion -> elemental spectacle,4,4,2,5,3,"spotlight, showmanship, high-cost spell staging",spectacle as truth,spotlight cone lowers cost marker,ConstraintField,Use for UI hints that highlight big-spell thresholds.,high,https://scryfall.com/card/stx/235/spectacle-mage
PRISMARI-031,Prismari,Blue/Red,Splatter Technique,Secrets of Strixhaven,Prismari watermark result,messy method,technique / elemental display,mess can be a method when intention is visible,technique + emotion -> elemental spectacle,2,5,5,5,5,"paint splatter, elemental whales, festival display",festival spectacle,ink splatters become whale-shaped trails,Override,Use when the UI needs purposeful chaos rather than random noise.,medium,https://scryfall.com/card/sos/231/splatter-technique
PRISMARI-032,Prismari,Blue/Red,Storm-Kiln Artist,Strixhaven / Secrets of Strixhaven Commander,Prismari watermark result,spell-to-resource engine,magecraft treasure generation / power from artifacts,each cast leaves material residue,technique + emotion -> elemental spectacle,2,5,4,4,4,"kiln, captured elemental, molten treasure",resource residue,spell spark drops into treasure kiln,AccretionEngine,Use to visualize spell-chain resource accumulation.,high,https://scryfall.com/card/soc/255/storm-kiln-artist
PRISMARI-033,Prismari,Blue/Red,Surge to Victory,Commander 2021 / Secrets of Strixhaven Commander,Prismari watermark search result,finale conversion,"graveyard spell exiled, team buff, attack-to-cast copies",old spell becomes battle choreography,technique + emotion -> elemental spectacle,2,5,4,5,4,"chorus assault, staged encore, spell-memory",kinetic technique,graveyard card lifts into marching flame wave,AccretionEngine,Use for culmination states where stored history fuels a finale.,medium,https://scryfall.com/search?q=%22Surge+to+Victory%22+%22Watermark%3A+Prismari%22
PRISMARI-034,Prismari,Blue/Red,Teach by Example,Strixhaven: School of Mages,Prismari watermark and Uvilda flavor result,copy lesson,copy next instant/sorcery,imitation becomes mastery,technique + emotion -> elemental spectacle,5,3,2,4,3,"teacher/student echo, copied gesture",technique vs emotion,master stroke duplicates into student stroke,Detain,Good for tutorial animations and copy-example patterns.,high,https://scryfall.com/card/stx/241/teach-by-example
PRISMARI-035,Prismari,Blue/Red,Tome Shredder,Strixhaven: School of Mages,Prismari watermark search result,graveyard-growth creature,exile instant/sorcery from graveyard for counters,discarded study becomes bodily force,technique + emotion -> elemental spectacle,1,4,2,2,3,"torn pages, embers, predatory rehearsal",resource residue,pages shred into red counter sparks,AccretionEngine,Use for graveyard-resource conversion examples.,high,https://scryfall.com/card/stx/117/tome-shredder
PRISMARI-036,Prismari,Blue/Red,"Veyran, Voice of Duality",Commander 2021 / Secrets of Strixhaven Commander,Prismari watermark; named commander,trigger doubler,magecraft amplification and spell-copy scaling,one voice becomes two events,technique + emotion -> elemental spectacle,5,5,4,5,4,"dual voice, echo wave, repeated trigger",duality amplifier,single waveform splits into red and blue echoes,AccretionEngine,Best model for trigger-doubling and identity amplification.,high,https://scryfall.com/card/c21/3/veyran-voice-of-duality
PRISMARI-037,Prismari,Blue/Red,Visionary's Dance,Secrets of Strixhaven,Prismari watermark result,choreography spell,dance / improvisation / spell shaping,choreography provides frame; improvisation gives life,technique + emotion -> elemental spectacle,4,4,4,5,5,"dance line, gust, shifting light",kinetic technique,footwork path turns into moving spell circle,ConstraintField,Use as the purest animation grammar reference for Prismari motion.,high,https://scryfall.com/card/sos/242/visionarys-dance
PRISMARI-038,Prismari,Blue/Red,"Zaffai, Thunder Conductor",Commander 2021,Prismari watermark; named commander,conductor / payoff ladder,"magecraft scaling by mana value, creature and damage payoffs",spell size conducts escalating spectacle,technique + emotion -> elemental spectacle,4,5,5,5,4,"thunder, baton, orchestral spell size",spectacle ladder,conductor baton triggers 5/10 mana value crescendos,AccretionEngine,Use for big-spell threshold ladders and progression animations.,high,https://scryfall.com/card/c21/4/zaffai-thunder-conductor
