matrix_id,card_name,mana_value,color_identity,type_line,set_context,canonical_tier,mechanical_role,primary_signal,secondary_signal,instinct_axis,combat_axis,resource_axis,board_axis,commander_relevance,vox_mana_read,maze_query_seed,why_canonical,source_url
GRU-011,Zhur-Taa Goblin,2,R/G,Creature — Goblin Berserker,Ravnica Allegiance,mechanic-core,cheap riot attacker,choice arrives on turn two,haste pressure or counter growth,impulse choice,early attack option,low-cost pressure,curve pressure,medium,The first decision is already a charge: hit now or become harder to stop.,ci=gruul o:riot mv<=2,Clean low-cost riot example for onboarding the mechanic.,https://scryfall.com/search?q=%21%22Zhur-Taa%20Goblin%22
GRU-012,Cindervines,2,R/G,Enchantment,Ravnica Allegiance,structural-anchor,noncreature punishment / artifact-enchantment break,civilized engines burn themselves,spells and artifacts become liabilities,anti-artifice instinct,punishes noncreature sequencing,incremental damage plus sacrifice removal,checks combo/control surfaces,medium,Every delicate machine catches fire when the wild gets close enough.,ci=gruul o:noncreature o:artifact o:enchantment,Modern Gruul sideboard-style identity: punish spells and break artifacts/enchantments.,https://scryfall.com/search?q=%21%22Cindervines%22
GRU-013,Clan Defiance,3,R/G,Sorcery,Gatecrash,guild-core,multi-target damage spell,defiance spreads through every lane,"one spell hits flyer, ground body, and player",force rejects partitions,clears blockers and pressures life total,mana scales into damage,multi-axis removal/reach,medium,Gruul does not choose one target when the whole battlefield is an insult.,ci=gruul o:damage o:flying o:target,Signature Gatecrash Gruul spell showing scalable violence across board layers.,https://scryfall.com/search?q=%21%22Clan%20Defiance%22
GRU-014,Gruul Charm,2,R/G,Instant,Gatecrash,guild-core,modal evasion / anti-flyer / theft correction,the clan chooses the route through,"blockers, flyers, and stolen bodies all become problems to solve",direct answer instinct,opens combat lines,"small spell, large tempo",modal board correction,medium,A Gruul charm is not subtle utility; it is a way to clear the charge lane.,ci=gruul o:creatures o:flying o:gain control,Named Gruul charm and flexible expression of combat-first utility.,https://scryfall.com/search?q=%21%22Gruul%20Charm%22
GRU-015,Gruul War Chant,4,R/G,Enchantment,Dragon's Maze,guild-core,team pump / blocking restriction,the chant makes a crowd into a stampede,all bodies become louder and harder to block,pack momentum,combat-wide attack boost,wide bodies become pressure,forces bad blocks,medium,The song is not inspiration; it is the sound of a street becoming a herd.,ci=gruul o:creatures o:block o:+1/+0,Named Gruul anthem that turns board presence into difficult combat math.,https://scryfall.com/search?q=%21%22Gruul%20War%20Chant%22
GRU-016,Skarrg Guildmage,2,R/G,Creature — Human Shaman,Gatecrash,guild-core,trample granting / land animation,territory joins the riot,lands become attackers and creatures gain trample,land as muscle,trample breaks stalls,mana sinks into threats,turns resources into board pressure,medium,Gruul does not stand on land; it wakes the land up and sends it forward.,ci=gruul o:trample o:land o:creature,Guildmage names Skarrg and captures Gruul's trample/land animation identity.,https://scryfall.com/search?q=%21%22Skarrg%20Guildmage%22
GRU-017,Burning-Tree Emissary,2,R/G,Creature — Human Shaman,Gatecrash,guild-core,free-body chain / explosive curve,momentum refunds itself,a creature enters and pays for the next motion,impulse chaining,early combat deployment,mana rebate,go-wide tempo burst,high,The riot is strongest when each body pays for the next body.,ci=gruul o:add {R}{G},Iconic Gruul hybrid creature that enables explosive creature chains.,https://scryfall.com/search?q=%21%22Burning-Tree%20Emissary%22
GRU-018,Burning-Tree Shaman,3,R/G,Creature — Centaur Shaman,Guildpact,guild-core,activated-ability punishment,machinery and tricks draw blood,non-mana activation becomes pain,anti-artifice instinct,combat body with passive punishment,damage taxes board tricks,punishes engineered game states,medium,Every little lever in the city has thorns on it when Gruul is watching.,ci=gruul o:activated abilities o:damage,Original Ravnica Gruul card punishing fiddly activated abilities.,https://scryfall.com/search?q=%21%22Burning-Tree%20Shaman%22
GRU-019,Zhur-Taa Druid,2,R/G,Creature — Human Druid,Dragon's Maze,guild-core,mana dork with table damage,ramp also hurts,the clan grows while opponents feel the pulse,life-force aggression,enables larger attackers,mana plus incidental damage,accelerates pressure,medium,Even Gruul ramp is not peaceful; the mana comes with a bruise.,ci=gruul o:add {G} o:damage,Named Zhur-Taa card joining ramp with direct damage.,https://scryfall.com/search?q=%21%22Zhur-Taa%20Druid%22
GRU-020,Ghor-Clan Rampager,4,R/G,Creature — Beast,Gatecrash,mechanic-core,bloodrush combat trick / trampler,the creature can become a moment of impact,body in hand turns an attacker into a breakthrough,instinct commits mid-combat,bloodrush pump and trample,card becomes temporary force,breaks blocks or remains threat,very high,Sometimes the monster is not cast; it is thrown into the attack already happening.,ci=gruul o:bloodrush o:trample,Most famous bloodrush card and core Gruul combat-translation anchor.,https://scryfall.com/search?q=%21%22Ghor-Clan%20Rampager%22
GRU-021,Rubblehulk,6,R/G,Creature — Elemental,Gatecrash,mechanic-core,land-scaling bloodrush / massive body,territory measures impact,lands turn into power during combat,land as mass,bloodrush pump scales with lands,mana base becomes force,combat surprise or huge body,medium,"The more ground Gruul holds, the harder the swing lands.",ci=gruul o:bloodrush o:lands o:+X/+X,Bloodrush card that converts land count into attack force.,https://scryfall.com/search?q=%21%22Rubblehulk%22
GRU-022,Rubblebelt Raiders,4,R/G,Creature — Human Warrior,Gatecrash,guild-core,attack-scaling counter threat,each attacker makes the leader larger,wide pressure becomes tall pressure,pack growth,rewards attacking with many bodies,counters from combat posture,snowball attacker,medium,"The more the clan charges, the bigger the charge leader becomes.",ci=gruul o:attacks o:+1/+1 counter,Named Rubblebelt Gruul creature connecting attacking to growth.,https://scryfall.com/search?q=%21%22Rubblebelt%20Raiders%22
GRU-023,Rubblebelt Maaka,4,R,Creature — Cat,Dragon's Maze,mechanic-core,mono-red bloodrush pump,red side of Gruul combat translation,card in hand becomes sudden force,impulse burst,bloodrush attack support,temporary power resource,combat trick,low,A body can be a creature later or a roar right now.,ci<=gruul o:bloodrush c:r,Mono-red bloodrush example that still belongs to the Gruul mechanic family.,https://scryfall.com/search?q=%21%22Rubblebelt%20Maaka%22
GRU-024,Slaughterhorn,3,G,Creature — Beast,Gatecrash,mechanic-core,mono-green bloodrush pump,green side of Gruul combat translation,stored muscle becomes combat growth,instinctive support,bloodrush pump,creature-as-pump resource,combat math disruption,low,The wild does not need a spell to make the attack larger.,ci<=gruul o:bloodrush c:g,Mono-green bloodrush example showing Gruul's creature/spell boundary blur.,https://scryfall.com/search?q=%21%22Slaughterhorn%22
GRU-025,Skarrg Goliath,8,G,Creature — Beast,Gatecrash,mechanic-core,huge bloodrush / trample finisher,the biggest body can become the biggest swing,threat in hand becomes lethal combat math,primal overcommitment,bloodrush trample pump,late-game card becomes reach,finisher combat surprise,medium,Sometimes the endgame is not casting the giant; it is letting the giant inhabit the attacker.,ci<=gruul o:bloodrush o:trample,Large mono-green bloodrush expression tied to Skarrg/Gruul naming.,https://scryfall.com/search?q=%21%22Skarrg%20Goliath%22
GRU-026,Wasteland Viper,1,G,Creature — Snake,Gatecrash,mechanic-core,deathtouch bloodrush / cheap combat threat,small wild things change huge decisions,one green card turns any attacker into a dangerous blocker problem,predatory instinct,bloodrush deathtouch support,low-cost combat leverage,trade-up pressure,medium,Gruul force is not only size; it is the certainty that contact matters.,ci<=gruul o:bloodrush o:deathtouch,Efficient bloodrush card demonstrating combat leverage beyond raw stats.,https://scryfall.com/search?q=%21%22Wasteland%20Viper%22
GRU-027,Scorchwalker,4,R,Creature — Elemental,Gatecrash,mechanic-core,mono-red bloodrush power burst,fire becomes impact,red body converts to sudden attacking power,impulse burst,bloodrush pump,temporary force,aggressive combat trick,low,The creature is optional; the damage is the point.,ci<=gruul o:bloodrush c:r o:+5/+1,Mono-red bloodrush card representing burst-force mode.,https://scryfall.com/search?q=%21%22Scorchwalker%22
GRU-028,Wrecking Ogre,5,R,Creature — Ogre Warrior,Gatecrash,mechanic-core,double strike bloodrush finisher,one discarded body can double the ending,combat trick turns pressure into kill threat,reckless overdrive,bloodrush grants double strike,card becomes finisher multiplier,lethal surprise,medium,Gruul does not just hit harder; it hits again before the table finishes understanding the first hit.,ci<=gruul o:bloodrush o:double strike,Bloodrush finisher that translates a creature card into lethal combat compression.,https://scryfall.com/search?q=%21%22Wrecking%20Ogre%22
GRU-029,Zhur-Taa Swine,5,R/G,Creature — Boar,Gatecrash,mechanic-core,straightforward bloodrush body,boar-force in card form,simple large pump or creature,direct instinct,bloodrush pump,flexible body/trick,curve threat,low,There is no hidden layer here; it is either a boar or the force of a boar.,ci=gruul o:bloodrush,Named Zhur-Taa bloodrush common for baseline mechanic readability.,https://scryfall.com/search?q=%21%22Zhur-Taa%20Swine%22
GRU-030,Viashino Shanktail,4,R,Creature — Lizard Warrior,Gatecrash,mechanic-core,first strike bloodrush trick,timing and violence align,bloodrush changes who survives combat,predatory timing,bloodrush first strike support,combat keyword as resource,trade control,low,The wild does not need patience; it needs the first bite to matter.,ci<=gruul o:bloodrush o:first strike,Mono-red bloodrush card showing keyword-based combat translation.,https://scryfall.com/search?q=%21%22Viashino%20Shanktail%22
GRU-031,Pyrewild Shaman,3,R,Creature — Goblin Shaman,Dragon's Maze,mechanic-core,recursive bloodrush pressure,the trick comes back after impact,combat investment can return from graveyard,impulse repeats,bloodrush plus recursion,mana recovers threat/trick,recursive combat leverage,medium,Gruul momentum is not careful recursion; it is the same shove coming back for another swing.,ci<=gruul o:bloodrush o:return o:graveyard,Dragon's Maze bloodrush card that adds recursive combat pressure.,https://scryfall.com/search?q=%21%22Pyrewild%20Shaman%22
GRU-032,Scab-Clan Mauler,2,R/G,Creature — Human Berserker,Guildpact,mechanic-core,bloodthirst early attacker,damage unlocks bigger bodies,the second hit arrives larger because the first hit landed,pain momentum,trample rewards early damage,damage dealt becomes size,curve pressure,medium,Gruul asks one question first: has someone already been hurt? Good. Now grow.,ci=gruul o:bloodthirst o:trample,Classic Guildpact bloodthirst creature and early Gruul pressure example.,https://scryfall.com/search?q=%21%22Scab-Clan%20Mauler%22
GRU-033,Skarrgan Pit-Skulk,1,G,Creature — Human Warrior,Guildpact,mechanic-core,bloodthirst evasive one-drop,small creature scales after first blood,damage makes even the smallest body hard to block,momentum from damage,bloodthirst and evasion,low-cost growth,early snowball,medium,"Once the first wound opens, even the small fighters know where to slip through.",ci<=gruul o:bloodthirst o:block,Guildpact bloodthirst card tied to Skarrg/Gruul naming and early momentum.,https://scryfall.com/search?q=%21%22Skarrgan%20Pit-Skulk%22
GRU-034,Skarrgan Firebird,6,R,Creature — Phoenix,Guildpact,mechanic-core,bloodthirst recursion-style threat,damage calls the firebird back,opponent damage turns graveyard access into pressure,wound memory,bloodthirst plus return condition,graveyard as repeated threat,recursive finisher,medium,The fire comes back because the fight is still warm.,ci<=gruul o:bloodthirst o:return o:graveyard,Bloodthirst rare demonstrating Gruul pressure that reappears if damage keeps happening.,https://scryfall.com/search?q=%21%22Skarrgan%20Firebird%22
GRU-035,Rumbling Slum,4,R/G,Creature — Elemental,Guildpact,mechanic-core,upkeep damage / efficient body,the environment itself shakes damage loose,everyone takes pressure whether they negotiate or not,constant force,large attacker with passive damage,damage clocks the table,board pressure without subtlety,medium,The slum does not attack first; the world around it starts hurting.,ci=gruul o:upkeep o:damage,Original Gruul rare: big efficient body plus unavoidable pressure.,https://scryfall.com/search?q=%21%22Rumbling%20Slum%22
GRU-036,Burning-Tree Bloodscale,4,R/G,Creature — Viashino Berserker,Guildpact,mechanic-core,bloodthirst plus blocking manipulation,first blood makes the fighter disruptive,damage unlocks control over blocks,momentum coercion,bloodthirst plus combat manipulation,combat mana sink,blocks become bad choices,low,"After blood is drawn, Gruul starts deciding who is allowed to stand in the way.",ci=gruul o:bloodthirst o:block,Guildpact bloodthirst card showing post-damage combat manipulation.,https://scryfall.com/search?q=%21%22Burning-Tree%20Bloodscale%22
GRU-037,"Skarrg, the Rage Pits",0,R/G,Land,Guildpact,structural-anchor,land-based trample/pump,place itself becomes rage infrastructure,mana base turns any body into a trampler,terrain as instinct,trample and power from land,land utility,breaks stalled boards,medium,Gruul territory is not neutral ground; it teaches creatures how to hit through.,ci=gruul t:land o:trample o:+1/+1,Original Gruul guild land and named Skarrg anchor.,https://scryfall.com/search?q=%21%22Skarrg%2C%20the%20Rage%20Pits%22
GRU-038,Stomping Ground,0,R/G,Land — Mountain Forest,Guildpact,structural-anchor,shock land / color foundation,the mana base has a footprint,Gruul starts with ground that hurts,identity foundation,enables red-green curve,mana fixing,core land base,high,The first Gruul choice is often whether the ground should hurt now so the deck can move faster.,ci=gruul t:land t:mountain t:forest,Canonical Gruul shock land and Commander mana-base anchor.,https://scryfall.com/search?q=%21%22Stomping%20Ground%22
GRU-039,Gruul Turf,0,R/G,Land,Guildpact,structural-anchor,bounce land / resource consolidation,territory is lifted and slammed back down,one land drop stores more future force,terrain memory,delayed board development,mana consolidation,slower ramp posture,medium,Gruul can pause only if the next step lands heavier.,ci=gruul t:land o:return o:add,Original Ravnica Gruul bounceland and common mana-base identity piece.,https://scryfall.com/search?q=%21%22Gruul%20Turf%22
GRU-040,"Ulasht, the Hate Seed",4,R/G,Legendary Creature — Hellion Hydra,Guildpact,commander-structural-anchor,token/pinger sacrifice monster,the crowd feeds the beast,red and green bodies determine its initial mass,pack-body scaling,counters convert into damage or tokens,board presence becomes utility,wide-to-tall conversion,medium,A Gruul monster is born from the number of bodies already willing to be near it.,ci=gruul commander o:+1/+1 counter o:damage o:Saproling,Original Ravnica-era Gruul legendary for body-count scaling and conversion.,https://scryfall.com/search?q=%21%22Ulasht%2C%20the%20Hate%20Seed%22
GRU-041,Rosheen Meanderer,4,R/G,Legendary Creature — Giant Shaman,Shadowmoor,commander-structural-anchor,X-spell mana engine,raw mana seeks oversized outlets,resources are built to become enormous effects,big-mana instinct,supports hydras and scalable damage,mana engine,enables huge X plays,medium,Gruul math is simple: make the X large enough that nobody cares how elegant the equation was.,ci=gruul commander o:add o:X,Hybrid red-green commander often used for hydras and oversized X-spells.,https://scryfall.com/search?q=%21%22Rosheen%20Meanderer%22
GRU-042,"Mina and Denn, Wildborn",4,R/G,Legendary Creature — Elf Ally,Oath of the Gatewatch,commander-structural-anchor,extra lands / trample granting,more land means more routes and bigger movement,land drops and trample turn terrain into velocity,wild mobility,trample opens attacks,lands as acceleration,landfall-adjacent pressure,high,The wildborn do not hold territory; they turn it into forward motion.,ci=gruul commander o:land o:trample,Popular red-green land commander that fits Gruul terrain-to-combat translation.,https://scryfall.com/search?q=%21%22Mina%20and%20Denn%2C%20Wildborn%22
GRU-043,"Radha, Heir to Keld",2,R/G,Legendary Creature — Elf Warrior,Planar Chaos,commander-structural-anchor,combat mana generation,attacking produces mana,the attack step becomes resource phase,instinctive action,attacks unlock mana,combat creates resources,bridges aggression and ramp,medium,Gruul does not ramp before combat; sometimes combat is the ramp.,ci=gruul commander o:attacks o:add,Classic red-green legend joining attack pressure to mana production.,https://scryfall.com/search?q=%21%22Radha%2C%20Heir%20to%20Keld%22
GRU-044,"Radha, Heart of Keld",3,R/G,Legendary Creature — Elf Warrior,Core Set 2021,commander-structural-anchor,land-topdeck / land-scaling attack,the land tells the next move,terrain on top of library becomes playable force,land instinct,attack grows with lands,lands as card access and power,scaling combat threat,high,Radha reads the ground ahead and swings with every piece of it behind her.,ci=gruul commander o:land o:+X/+X,Modern Radha commander for land-driven combat scaling.,https://scryfall.com/search?q=%21%22Radha%2C%20Heart%20of%20Keld%22
GRU-045,"Raggadragga, Goreguts Boss",4,R/G,Legendary Creature — Human Boar,Commander Legends: Battle for Baldur's Gate,commander-structural-anchor,mana-creature combat / big-spell payoff,ramp creatures join the brawl,mana dorks become attackers and giant spells become finishers,ramp aggression,attacks with mana bodies,mana creatures become damage,turns ramp into pressure,high,The workers who make the mana also know how to throw a punch.,ci=gruul commander o:mana o:creature o:attack,Commander anchor that literally converts mana creatures into Gruul combat pressure.,https://scryfall.com/search?q=%21%22Raggadragga%2C%20Goreguts%20Boss%22
GRU-046,"Xenagos, God of Revels",5,R/G,Legendary Enchantment Creature — God,Born of the Gods,commander-structural-anchor,haste/doubling combat finisher,revelry doubles the chosen monster,one body becomes a sudden lethal event,ecstatic impulse,haste plus power doubling,threat amplification,one-shot commander pressure,very high,The party is over when one creature becomes the entire stampede.,ci=gruul commander o:haste o:double o:power,Premier Gruul Commander payoff for haste and oversized attacks.,https://scryfall.com/search?q=%21%22Xenagos%2C%20God%20of%20Revels%22
GRU-047,"Xenagos, the Reveler",4,R/G,Legendary Planeswalker — Xenagos,Theros,commander-structural-anchor,creature-count mana / hasty tokens,celebration becomes resource production,board presence makes mana and hasty bodies,riotous abundance,hasty satyrs attack,mana scales with creatures,wide-to-big conversion,medium,A revel is just ramp if enough bodies show up.,ci=gruul o:creature o:mana o:haste,Red-green planeswalker translating creature density into mana and hasty pressure.,https://scryfall.com/search?q=%21%22Xenagos%2C%20the%20Reveler%22
GRU-048,"Atarka, World Render",7,R/G,Legendary Creature — Dragon,Fate Reforged,commander-structural-anchor,dragon double-strike finisher,the sky joins the stampede,dragons become lethal through combat multiplication,apex instinct,attacking dragons gain double strike,tribal combat payoff,airborne finisher,high,Gruul does not leave the sky to blue; it fills it with teeth.,ci=gruul commander t:dragon o:attacking o:double strike,Iconic red-green Dragon commander for combat multiplication.,https://scryfall.com/search?q=%21%22Atarka%2C%20World%20Render%22
GRU-049,Dragonlord Atarka,7,R/G,Legendary Creature — Elder Dragon,Dragons of Tarkir,commander-structural-anchor,ETB damage / giant flyer,arrival is a board-clearing impact,one body enters and burns the obstacles away,apex predator,large evasive attacker,damage as entry resource,stabilizes and threatens,medium,The predator does not ask for a clear lane; it clears the lane by landing.,ci=gruul commander o:damage o:creature o:planeswalker,Powerful red-green elder dragon expressing big threat plus removal on entry.,https://scryfall.com/search?q=%21%22Dragonlord%20Atarka%22
GRU-050,Savage Ventmaw,6,R/G,Creature — Dragon,Dragons of Tarkir,structural-anchor,attack-trigger mana engine,the swing funds the next swing,attacking makes a burst of red-green mana,combat-as-ramp,mana from attack trigger,mana for post-combat threats,combo/combat bridge,high,"In Gruul, a dragon attack is also a ritual.",ci=gruul o:attacks o:add {R}{R}{R}{G}{G}{G},Staple red-green attack-mana engine and Commander combo/combat anchor.,https://scryfall.com/search?q=%21%22Savage%20Ventmaw%22
GRU-051,Neyith of the Dire Hunt,4,R/G,Legendary Creature — Human Warrior,Jumpstart,commander-structural-anchor,fight/draw/double-power attack,combat becomes card flow,fights and blocked power generate advantage,predatory proof,fight and block incentives,cards from combat outcomes,turns conflict into draw,high,Gruul card draw is the record kept by whatever survived the fight.,ci=gruul commander o:fight o:draw o:block,"Commander anchor for fight, power, and combat-based card advantage.",https://scryfall.com/search?q=%21%22Neyith%20of%20the%20Dire%20Hunt%22
GRU-052,"Klothys, God of Destiny",3,R/G,Legendary Enchantment Creature — God,Theros Beyond Death,commander-structural-anchor,graveyard pressure / mana or drain,destiny feeds from what already happened,graveyards become mana or damage,natural inevitability,incremental pressure without attacking,resource conversion from graveyards,slow inevitability,medium,Even Gruul can be patient when destiny itself keeps burning the old fuel.,ci=gruul commander o:graveyard o:mana o:damage,Red-green god that adds inexorable resource/damage pressure beyond pure combat.,https://scryfall.com/search?q=%21%22Klothys%2C%20God%20of%20Destiny%22
GRU-053,"Omnath, Locus of Rage",7,R/G,Legendary Creature — Elemental,Battle for Zendikar,commander-structural-anchor,landfall elemental swarm / death damage,landfall becomes anger with bodies,terrain creates elementals and dead elementals throw damage,living landscape,big elemental combat,lands become bodies and damage,wide-to-reach engine,very high,"When the land itself is furious, every new place becomes another body in the fight.",ci=gruul commander o:landfall o:elemental o:damage,"Major red-green Commander landfall payoff aligning terrain, bodies, and damage.",https://scryfall.com/search?q=%21%22Omnath%2C%20Locus%20of%20Rage%22
GRU-054,"Etali, Primal Conqueror",7,R/G,Legendary Creature — Elder Dinosaur,March of the Machine,commander-structural-anchor,ETB spell theft / transformed poison titan,apex appetite consumes libraries,arrival converts every player's top card into Gruul momentum,primal conquest,huge trampling backside,opponents' cards become fuel,explosive ETB threat,high,The predator does not draw from a library; it eats the top of everyone else's.,ci=gruul commander o:exile o:library o:trample,Modern red-green color-identity commander with massive ETB and apex threat posture.,https://scryfall.com/search?q=%21%22Etali%2C%20Primal%20Conqueror%22
GRU-055,"Goreclaw, Terror of Qal Sisma",4,G,Legendary Creature — Bear,Core Set 2019,mono-green structural-anchor,big-creature cost reduction / attack pump,the deck discounts large bodies and rewards attacking,green muscle supports Gruul top-end,beast instinct,attacking large creatures gain trample,mana efficiency for power 4+,big creature curve engine,medium,"Goreclaw is the green half of Gruul saying: make them huge, then make them trample.",ci<=gruul commander o:power 4 o:trample,Mono-green commander useful as a Gruul-adjacent big-creature/ramp anchor.,https://scryfall.com/search?q=%21%22Goreclaw%2C%20Terror%20of%20Qal%20Sisma%22
GRU-056,"Ghalta, Primal Hunger",12,G,Legendary Creature — Elder Dinosaur,Rivals of Ixalan,mono-green structural-anchor,discounted colossal trampler,existing power calls a larger predator,board strength turns into cheaper apex threat,primal escalation,trample finisher,power on board discounts cost,tall finisher,medium,"The more force already on the board, the cheaper the largest force becomes.",ci<=gruul commander o:costs less o:power o:trample,Mono-green apex creature that cleanly expresses Gruul's power-scaling finisher logic.,https://scryfall.com/search?q=%21%22Ghalta%2C%20Primal%20Hunger%22
