Record ID	Type	Term	Aliases	Proposed copy	Provenance role	Primary locator	Supporting locators	Limitations	Disposition	Owner decision	Replacement locator	Copy SHA-256
glossary_populate	GLOSSARY_TERM	Populate		Create a token that's a copy of a creature token you control.	official_game_rule	https://magic.wizards.com/en/news/feature/return-to-ravnica-mechanics#populate	https://magic.wizards.com/en/rules	Explains the game term only; it does not establish an identity relationship or placement preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_populate	b14510706d305187e5b28e3b3743f3153681561c04227a4d2039bf986d9127fe
glossary_protection	GLOSSARY_TERM	Protection		Protection from a quality prevents damage, enchanting or equipping, blocking, and targeting from sources with that quality; it does not stop effects that do none of those things.	official_game_rule	https://magic.wizards.com/en/news/feature/modern-horizons-mechanics-2019-05-31#protection	https://magic.wizards.com/en/rules	Explains the game term only; it does not establish an identity relationship or placement preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_protection	36b18a3d5a1135e4278b558f113cfd8bb9885ff3c2e14efb00f4fe44c19020be
glossary_ramp	GLOSSARY_TERM	Ramp	mana acceleration	Getting access to more mana than normal for your turn count.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#ramp		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_ramp	bfdfcc9ba8d9407890571ac294f4c8bc07eab4030bc41696b3a06f58a7011593
glossary_self_mill	GLOSSARY_TERM	Self-mill	self mill | mill yourself | stock the graveyard	Putting cards from your own library into your graveyard on purpose.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#self-mill		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_self_mill	b9fcdd31859504212451f4b8f54a94eba98d98e495e9ffcc1d16225715fe0498
glossary_spell_copying	GLOSSARY_TERM	Spell copying	copy spells | spell copy	Copying instants, sorceries, or other spells for extra effects.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#spell-copy		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_spell_copying	eaba653064f2073c25229c29bb23f09c8e5a9a9f19c6c0cf173174ef1e19ae84
glossary_spellslinger	GLOSSARY_TERM	Spellslinger		Rewarding the casting of instants and sorceries, often in chains.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#spellslinger		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_spellslinger	cb0053e50c0daf55cbd2f901a7819363265f161e3000d50e4fae5c0b6c9887b9
glossary_storm	GLOSSARY_TERM	Storm		Casting many spells in one turn, sometimes using the Storm keyword.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#storm		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_storm	8edc7c2332bd283c7e0cd1386879374072eaf6445e6d7b529822ae1c7975ef44
glossary_tokens	GLOSSARY_TERM	Tokens	token deck	Creating token permanents, especially creature tokens, as resources or threats.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#tokens		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_tokens	c3bf62936514bd2da63b820b4d28ea10453bc34a1953c007c89629b209ad318b
glossary_voltron	GLOSSARY_TERM	Voltron		Building one creature, often a commander, into a lethal protected threat.	vox_mana_commander_vocabulary	data/taxonomy/vox-mana-tags.json#voltron		A teaching definition only; the term does not prove an identity, placement, power level, or player preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_voltron	9cbd4df9d1635691f95f680529558d99210b027243b1ec72f1fe94b369c6046a
glossary_wastes	GLOSSARY_TERM	Wastes		Wastes is a basic land with no land types that taps for one colorless mana; a Commander deck may include any number of it.	official_game_rule	docs/research/colorless/source-material/official/colorless-off-001-current-comprehensive-rules.md#rules-305-6-305-7	https://magic.wizards.com/en/rules	Explains the game term only; it does not establish an identity relationship or placement preference.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#glossary_wastes	a9d2c8a8be373e9545499dbb894e744514ffaceaa8be9c419051fe7e115f42dc
microcopy_browse_builds	DISCOVERY_LABEL	Decks — Browse builds		Browse exact-commander deck pages from verified providers.	verified_runtime_contract	data/placement/commander-provider-validation.json#providers		The action renders only for destinations verified to describe the exact displayed commander.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#microcopy_browse_builds	969069b918408fa5c6a66bb69e1d965fb7f770e3d605aea953a8f3e9db2f1cb3
microcopy_commanders_that_fit	MAZE_EXPLANATION	Commanders That Fit		Browse Commander-legal cards with exactly this reading's color identity.	verified_runtime_contract	assets/js/archscry-presentation.js#buildMazeRouteQuery		This basic route adds no hidden mechanic, Oracle-text, price, set, rarity, or flavor restriction.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#microcopy_commanders_that_fit	7f6d68dba55c0e571f2cb08b687ecd43c4beb1899884dc93eb71538ca031d5a8
microcopy_flavor_echoes	MAZE_EXPLANATION	Flavor Echoes		Browse cards using the visible flavor term shown by this route.	verified_runtime_contract	assets/js/archscry-presentation.js#ARCHSCRY_MAZE_PATHS		Flavor search is exploratory and does not prove placement or identity ownership.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#microcopy_flavor_echoes	e28f67339f1b480997ddb3d994610e1290bbb2016173cd59b02a70f53bdf7c4a
microcopy_support_cards	MAZE_EXPLANATION	Support Cards		Browse cards within this color identity using only the support theme named by the route.	verified_runtime_contract	assets/js/archscry-presentation.js#ARCHSCRY_MAZE_PATHS		The visible route must name every additional search restriction before navigation.	PENDING_AUTOMATIC_VALIDATION		data/dossier/discovery-education-authority.source.json#microcopy_support_cards	0a155f5ed79dab7cdb9e5204d24dc54ad38f815211472c47b75df55109664b0a
