proposal_id	identity_key	canonical_card_name	canonical_card_id	exact_excerpt	relationship_class	certified_identity_claim_ids	why_voice_belongs	relationship_bridge	false_positive_analysis	adjacent_identity_confusion_risk	agent_recommendation	source	limitations
packet1_voice_bg_fc17d8dd_887f_405e_a195_777aa3da36f5_1	BG	Bloodbond March	fc17d8dd-887f-405e-a195-777aa3da36f5	The Golgari support a vast army because death never ends its soldiers' service.	EXPLICIT_IDENTITY_REFERENCE	golgari_swarm_claim_001 | golgari_swarm_claim_007 | golgari_swarm_claim_0018	Bloodbond March's exact excerpt provides a bounded voice echo of the Golgari named directly through death continuing as useful service.	The excerpt is admissible for owner review only because its language corresponds to certified claims golgari_swarm_claim_001, golgari_swarm_claim_007, golgari_swarm_claim_0018; the relationship does not arise from card color, product membership, tags, or mechanics.	Witherbloom and generic graveyard decks also join life and death; the explicit Golgari reclamation-and-service frame is required.	Witherbloom and generic graveyard decks also join life and death; the explicit Golgari reclamation-and-service frame is required.	REVIEW_REQUIRED	data/scryfall/indexes/card-flavor-index.json#oracle_id=fc17d8dd-887f-405e-a195-777aa3da36f5	Exact card text is verified, but public use remains owner-gated. Witherbloom and generic graveyard decks also join life and death; the explicit Golgari reclamation-and-service frame is required.
packet1_voice_br_3f806353_592e_431c_a7dd_a4c64034f94d_1	BR	Avatar of Discord	3f806353-592e-431c-a7dd-a4c64034f94d	Such is the power of Rakdos that even his shadow takes on a cruel life of its own.	EXPLICIT_IDENTITY_REFERENCE	cult_of_rakdos_claim_001 | cult_of_rakdos_claim_002 | cult_of_rakdos_claim_006	Avatar of Discord's exact excerpt provides a bounded voice echo of Rakdos named directly through cruelty made vivid and performative.	The excerpt is admissible for owner review only because its language corresponds to certified claims cult_of_rakdos_claim_001, cult_of_rakdos_claim_002, cult_of_rakdos_claim_006; the relationship does not arise from card color, product membership, tags, or mechanics.	Mono-Red, Black, and Gruul can express danger or cruelty; only the explicit Rakdos spectacle/transgression frame supports this relationship.	Mono-Red, Black, and Gruul can express danger or cruelty; only the explicit Rakdos spectacle/transgression frame supports this relationship.	REVIEW_REQUIRED	data/scryfall/indexes/card-flavor-index.json#oracle_id=3f806353-592e-431c-a7dd-a4c64034f94d	Exact card text is verified, but public use remains owner-gated. Mono-Red, Black, and Gruul can express danger or cruelty; only the explicit Rakdos spectacle/transgression frame supports this relationship.
packet1_voice_br_a6496440_dc0c_4d9b_bf37_f537b6f0187b_3	BR	Blightning	a6496440-dc0c-4d9b-bf37-f537b6f0187b	While the smell of burning flesh is common in Grixis, the odor of smoldering brain matter is a rare treat.	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Mono-Red, Black, and Gruul can express danger or cruelty; only the explicit Rakdos spectacle/transgression frame supports this relationship.	Mono-Red, Black, and Gruul can express danger or cruelty; only the explicit Rakdos spectacle/transgression frame supports this relationship.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=a6496440-dc0c-4d9b-bf37-f537b6f0187b	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_br_c01516e0_eec3_4370_b935_7674982e8850_2	BR	Judith, the Scourge Diva	c01516e0-eec3-4370-b935-7674982e8850	At the end of the show, she stands alone on a stage brilliant with blood.	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Mono-Red, Black, and Gruul can express danger or cruelty; only the explicit Rakdos spectacle/transgression frame supports this relationship.	Mono-Red, Black, and Gruul can express danger or cruelty; only the explicit Rakdos spectacle/transgression frame supports this relationship.	REJECTED	data/scryfall/indexes/commander-index.json#oracle_id=c01516e0-eec3-4370-b935-7674982e8850	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_colorless_14693689_d087_43b6_9c3f_63ab0648fc20_1	COLORLESS	All Is Dust	14693689-d087-43b6-9c3f-63ab0648fc20	"The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complet...	CERTIFIED_SEMANTIC_ECHO	colorless_claim_0004 | colorless_claim_0005 | colorless_claim_0006	All Is Dust's exact excerpt provides a bounded voice echo of Eldrazi-scale emergence and an outside-WUBRG sense of completion and erasure.	The excerpt is admissible for owner review only because its language corresponds to certified claims colorless_claim_0004, colorless_claim_0005, colorless_claim_0006; the relationship does not arise from card color, product membership, tags, or mechanics.	Eldrazi flavor can also occur in Five-Color or Devoid decks. This is a bounded Eldrazi branch, not proof that every Eldrazi card or artifact belongs to Colorless.	Eldrazi flavor can also occur in Five-Color or Devoid decks. This is a bounded Eldrazi branch, not proof that every Eldrazi card or artifact belongs to Colorless.	REVIEW_REQUIRED	data/scryfall/indexes/card-flavor-index.json#oracle_id=14693689-d087-43b6-9c3f-63ab0648fc20	Exact card text is verified, but public use remains owner-gated. Eldrazi flavor can also occur in Five-Color or Devoid decks. This is a bounded Eldrazi branch, not proof that every Eldrazi card or artifact belongs to Colorless.
packet1_voice_colorless_38839894_1706_4e11_8310_5ea8dd8866d9_3	COLORLESS	Bane of Bala Ged	38839894-1706-4e11-8310-5ea8dd8866d9	The continent of Bala Ged was ravaged by massive Eldrazi of Ulamog's lineage, its lush jungles and cascading rivers r...	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Eldrazi flavor can also occur in Five-Color or Devoid decks. This is a bounded Eldrazi branch, not proof that every Eldrazi card or artifact belongs to Colorless.	Eldrazi flavor can also occur in Five-Color or Devoid decks. This is a bounded Eldrazi branch, not proof that every Eldrazi card or artifact belongs to Colorless.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=38839894-1706-4e11-8310-5ea8dd8866d9	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_colorless_bd372a53_48f9_4e9a_ab00_0f9c4606d452_2	COLORLESS	Adarkar Sentinel	bd372a53-48f9-4e9a-ab00-0f9c4606d452	"We encountered the sentinels in the wastes, near no living thing. Their purpose was inscrutable." —Disa the Restless...	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Eldrazi flavor can also occur in Five-Color or Devoid decks. This is a bounded Eldrazi branch, not proof that every Eldrazi card or artifact belongs to Colorless.	Eldrazi flavor can also occur in Five-Color or Devoid decks. This is a bounded Eldrazi branch, not proof that every Eldrazi card or artifact belongs to Colorless.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=bd372a53-48f9-4e9a-ab00-0f9c4606d452	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_dune_0f5a3a09_2f07_4774_9e0f_e99d9a444166_1	DUNE	Aurelia, the Warleader	0f5a3a09-2f07-4774-9e0f-e99d9a444166	Where Razia was aloof and untouchable, Aurelia is on the frontlines, calling for war.	CERTIFIED_SEMANTIC_ECHO	dune_claim_0005	Aurelia, the Warleader's exact excerpt provides a bounded voice echo of front-line leadership, immediate action, and organized force.	The excerpt is admissible for owner review only because its language corresponds to certified claims dune_claim_0005; the relationship does not arise from card color, product membership, tags, or mechanics.	This excerpt is canonically Boros and therefore carries a high Boros/Mardu confusion risk. It is only a cross-identity voice echo for Dune's bounded direct-action frame.	This excerpt is canonically Boros and therefore carries a high Boros/Mardu confusion risk. It is only a cross-identity voice echo for Dune's bounded direct-action frame.	REVIEW_REQUIRED	data/scryfall/indexes/card-flavor-index.json#oracle_id=0f5a3a09-2f07-4774-9e0f-e99d9a444166	Exact card text is verified, but public use remains owner-gated. This excerpt is canonically Boros and therefore carries a high Boros/Mardu confusion risk. It is only a cross-identity voice echo for Dune's bounded direct-action frame.
packet1_voice_dune_40d6e1ff_995b_42fc_8146_8d5e5f1adcd9_2	DUNE	Apprentice Sharpshooter	40d6e1ff-995b-42fc-8146-8d5e5f1adcd9	Innistrad's best archers are trained by the Quiver of Kessig, an order of cathars who specialize in ranged combat.	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to This excerpt is canonically Boros and therefore carries a high Boros/Mardu confusion risk. It is only a cross-identity voice echo for Dune's bounded direct-action frame.	This excerpt is canonically Boros and therefore carries a high Boros/Mardu confusion risk. It is only a cross-identity voice echo for Dune's bounded direct-action frame.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=40d6e1ff-995b-42fc-8146-8d5e5f1adcd9	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_dune_a80a1f84_ea49_4c8d_912d_c7036b814a6c_3	DUNE	Augusta, Order Returned	a80a1f84-ea49-4c8d-912d-c7036b814a6c	"I won't leave my students without a guide."	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to This excerpt is canonically Boros and therefore carries a high Boros/Mardu confusion risk. It is only a cross-identity voice echo for Dune's bounded direct-action frame.	This excerpt is canonically Boros and therefore carries a high Boros/Mardu confusion risk. It is only a cross-identity voice echo for Dune's bounded direct-action frame.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=a80a1f84-ea49-4c8d-912d-c7036b814a6c	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_esper_518115c9_0f0f_4249_81ff_e79b27dda1be_2	ESPER	Aven Trailblazer	518115c9-0f0f-4249-81ff-e79b27dda1be	"The bird wore the form of a man, bereft of filigree. Why do the Texts not speak of it?" —Belator of Esper	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Blue, Dimir, Azorius, and Grixis also use information or control; the excerpt explicitly contrasts Esper's surgical precision with Grixis.	Blue, Dimir, Azorius, and Grixis also use information or control; the excerpt explicitly contrasts Esper's surgical precision with Grixis.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=518115c9-0f0f-4249-81ff-e79b27dda1be	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_esper_60d591f6_6d84_45d2_9d78_a2ef07a3e403_1	ESPER	Desperate Farmer // Depraved Harvester	60d591f6-6d84-45d2-9d78-a2ef07a3e403	A tragic moment pushed him to a blasphemous act.	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Blue, Dimir, Azorius, and Grixis also use information or control; the excerpt explicitly contrasts Esper's surgical precision with Grixis.	Blue, Dimir, Azorius, and Grixis also use information or control; the excerpt explicitly contrasts Esper's surgical precision with Grixis.	REJECTED	data/scryfall/indexes/card-flavor-index.json#oracle_id=60d591f6-6d84-45d2-9d78-a2ef07a3e403	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_esper_fef94125_aa8d_4147_a609_1e990961bde2_3	ESPER	Brainbite	fef94125-aa8d-4147-a609-1e990961bde2	An Esper mage will leave a hole in your memory with surgical precision. A Grixis mage sees no reason to be so kind.	EXPLICIT_IDENTITY_REFERENCE	esper_claim_0003 | esper_claim_0004 | esper_claim_0006	Brainbite's exact excerpt provides a bounded voice echo of Esper named directly through precise, controlled use of information.	The excerpt is admissible for owner review only because its language corresponds to certified claims esper_claim_0003, esper_claim_0004, esper_claim_0006; the relationship does not arise from card color, product membership, tags, or mechanics.	Blue, Dimir, Azorius, and Grixis also use information or control; the excerpt explicitly contrasts Esper's surgical precision with Grixis.	Blue, Dimir, Azorius, and Grixis also use information or control; the excerpt explicitly contrasts Esper's surgical precision with Grixis.	REVIEW_REQUIRED	data/scryfall/indexes/card-flavor-index.json#oracle_id=fef94125-aa8d-4147-a609-1e990961bde2	Exact card text is verified, but public use remains owner-gated. Blue, Dimir, Azorius, and Grixis also use information or control; the excerpt explicitly contrasts Esper's surgical precision with Grixis.
packet1_voice_g_6c2c8bf3_9bf8_4a86_89d3_3bb36260dc51_1	G	Azusa, Lost but Seeking	6c2c8bf3-9bf8-4a86-89d3-3bb36260dc51	"I do not miss Jukai Forest. It is not my home. My home is Kamigawa, its people my family. Wherever I set my pack and rest my head, I am home."	GENERIC_THEMATIC_ANALOGY		The excerpt is authentic, but the prior heuristic assignment does not establish a specific relationship to the certified identity.	No certified claim authorizes this candidate strongly enough. Name, color, product, mechanic, or broad theme overlap cannot supply the missing bridge.	This candidate can sound plausible through broad mood or theme alone. Without the selected identity-specific bridge, it could be reassigned by intuition to Gruul, Naya, and Temur also use primal nature; this is a mono-Green voice echo only, not proof from creature size or card color.	Gruul, Naya, and Temur also use primal nature; this is a mono-Green voice echo only, not proof from creature size or card color.	REJECTED	data/scryfall/indexes/commander-index.json#oracle_id=6c2c8bf3-9bf8-4a86-89d3-3bb36260dc51	Rejected from owner decision workload because exact text provenance alone does not establish a source-complete identity relationship.
packet1_voice_g_b0b6be0c_41cf_4757_9f0e_87227b6ba6b3_3	G	Ghalta, Primal Hunger	b0b6be0c-41cf-4757-9f0e-87227b6ba6b3	The earth walks, strongest of all.	CERTIFIED_SEMANTIC_ECHO	green_claim_0002 | green_claim_0004 | green_claim_0006	Ghalta, Primal Hunger's exact excerpt provides a bounded voice echo of the earth itself embodied as primal strength.	The excerpt is admissible for owner review only because its language corresponds to certified claims green_claim_0002, green_claim_0004, green_claim_0006; the relationship does not arise from card color, product membership, tags, or mechanics.	Gruul, Naya, and Temur also use primal nature; this is a mono-Green voice echo only, not proof from creature size or card color.	Gruul, Naya, and Temur also use primal nature; this is a mono-Green voice echo only, not proof from creature size or card color.	REVIEW_REQUIRED	data/scryfall/indexes/commander-index.json#oracle_id=b0b6be0c-41cf-4757-9f0e-87227b6ba6b3	Exact card text is verified, but public use remains owner-gated. Gruul, Naya, and Temur also use primal nature; this is a mono-Green voice echo only, not proof from creature size or card color.
