matrix_id,card_name,mana_value,color_identity,type_line,set_context,canonical_tier,mechanical_role,primary_signal,secondary_signal,lifecycle_axis,graveyard_axis,resource_axis,board_axis,commander_relevance,vox_mana_read,maze_query_seed,why_canonical,source_url
GOL-023,"Svogthos, the Restless Tomb",0,B/G,Land,Ravnica: City of Guilds,guild-core,graveyard-scaling creature land,the tomb itself wakes up,land becomes threat from dead creature count,burial site becomes body,creature cards in graveyard,land slot turns into finisher,late-game threat,medium,"In Golgari territory, even the ground has unfinished business.","ci=golgari t:land o:""creature cards in your graveyard""",Original Golgari guild land; mechanically literalizes the restless grave.,https://scryfall.com/search?q=%21%22Svogthos%2C%20the%20Restless%20Tomb%22
GOL-024,Golgari Signet,2,B/G,Artifact,Ravnica: City of Guilds,guild-core,mana rock / color identity support,guild identity infrastructure,mana conversion into black-green path,support rather than expression,none,mana filtering,ramp/fixing,high,"Before the swarm blooms, the infrastructure has to hum underground.","ci=golgari t:artifact o:""{B}{G}""",Guild signet; core Commander identity support and guild marker.,https://scryfall.com/search?q=%21%22Golgari%20Signet%22
GOL-025,Overgrown Tomb,0,B/G,Land — Swamp Forest,Ravnica: City of Guilds,guild-core,shock land / identity terrain,forest and swamp fused around burial,mana base as worldview,growth over grave,flavor anchor,mana fixing,mana development,very high,Golgari begins where forest stops pretending it is separate from the grave.,ci=golgari t:land t:swamp t:forest,The black-green Ravnica shock land; one of the cleanest environment anchors.,https://scryfall.com/search?q=%21%22Overgrown%20Tomb%22
GOL-026,Deathrite Shaman,1,B/G,Creature — Elf Shaman,Return to Ravnica,guild-core,graveyard utility / drain / ramp,every graveyard zone is usable matter,"lands, spells, and creatures each become different outputs",all remains have functions,exile cards from graveyards,"mana, life drain, life gain",utility engine,high,A proper shaman does not ask whether the dead are yours; only what they can still do.,"ci=golgari o:""graveyard"" o:exile o:""add one mana""",Return to Ravnica Golgari-aligned staple with compact graveyard resource conversion.,https://scryfall.com/search?q=%21%22Deathrite%20Shaman%22
GOL-027,Lotleth Troll,2,B/G,Creature — Zombie Troll,Return to Ravnica,guild-core,discard outlet / counter threat / regeneration,feeding the graveyard grows the body,discard becomes strength and setup,dead creatures become muscle,discard creature cards,+1/+1 counters and regeneration,resilient early threat,medium,It gets stronger by making the graveyard ready.,"ci=golgari o:discard o:""+1/+1 counter"" o:regenerate","Return to Ravnica Golgari card linking discard, counters, and resilience.",https://scryfall.com/search?q=%21%22Lotleth%20Troll%22
GOL-028,Dreg Mangler,3,B/G,Creature — Plant Zombie,Return to Ravnica,mechanic-core,scavenge attacker / haste pressure,body matters twice,early threat later becomes counters,"creature to attack, corpse to growth",scavenge,counters from graveyard,aggressive body and late buff,medium,"First it hits you; later, what remains of it teaches something else to hit harder.",ci=golgari o:scavenge o:haste,Iconic scavenge card from Return to Ravnica and a practical death-to-counter bridge.,https://scryfall.com/search?q=%21%22Dreg%20Mangler%22
GOL-029,Corpsejack Menace,4,B/G,Creature — Fungus,Return to Ravnica,guild-core,+1/+1 counter multiplier / scavenge amplifier,growth compounds when fed by death,counters become exponential biomass,corpse-born growth accelerates,supports scavenge outputs,+1/+1 counters,counter-doubling threat,high,The right fungus turns one lesson from the dead into two.,"ci=golgari o:""+1/+1 counters"" o:double",Return to Ravnica Golgari card that turns scavenge/counter play into a signature engine.,https://scryfall.com/search?q=%21%22Corpsejack%20Menace%22
GOL-030,Grisly Salvage,2,B/G,Instant,Return to Ravnica,guild-core,self-mill selection / creature-land dig,selection through burial,find a useful piece while feeding the yard,search by composting,mill five,creature/land selection,setup/filtering,high,Golgari does not waste the cards it does not keep; it plants them.,"ci=golgari o:""reveal the top five"" o:graveyard",Return to Ravnica Golgari staple that captures self-mill as both selection and fuel.,https://scryfall.com/search?q=%21%22Grisly%20Salvage%22
GOL-031,Deadbridge Goliath,4,G,Creature — Insect,Return to Ravnica,mechanic-core,scavenge body / large counter inheritance,big corpse becomes bigger future,threat leaves behind power,dead mass transfers forward,scavenge,+1/+1 counters,large body and late upgrade,medium,A giant dying is not a loss; it is a postponed harvest.,"ci<=golgari o:scavenge o:""+1/+1 counters""",Prominent scavenge rare from Return to Ravnica.,https://scryfall.com/search?q=%21%22Deadbridge%20Goliath%22
GOL-032,Slitherhead,1,B/G,Creature — Plant Zombie,Return to Ravnica,mechanic-core,zero-cost scavenge / disposable body,even scraps become growth,fodder with post-death use,"minimal body, still useful corpse",scavenge,free counter,tiny body / counter seed,low,The swarm keeps value in pieces too small for anyone else to track.,ci=golgari o:scavenge mv=1,Compact scavenge example and clean token-like expression of no-waste design.,https://scryfall.com/search?q=%21%22Slitherhead%22
GOL-033,Korozda Guildmage,2,B/G,Creature — Elf Shaman,Return to Ravnica,guild-core,evasion / sacrifice into saprolings,the body becomes many bodies,guild utility converts one large threat into fodder swarm,one corpse into many sprouts,sacrifice death adjacent,tokens from power,go-wide conversion,medium,"When one body has served its purpose, divide it among the roots.",ci=golgari o:sacrifice o:Saproling o:intimidate,Return to Ravnica guildmage; converts Golgari bodies into swarm resources.,https://scryfall.com/search?q=%21%22Korozda%20Guildmage%22
GOL-034,Jarad's Orders,4,B/G,Sorcery,Return to Ravnica,guild-core,creature tutor / graveyard setup,"one body to hand, one body to grave",planning across life and death zones,assign each creature its correct stage,targeted graveyard placement,library tutoring,engine setup,high,A Golgari order does not distinguish recruitment from burial.,"ci=golgari o:""search your library"" o:""graveyard""",Named for Jarad and structurally maps the guild’s dual-zone planning.,https://scryfall.com/search?q=%21%22Jarad%27s%20Orders%22
GOL-035,Golgari Charm,2,B/G,Instant,Return to Ravnica,guild-core,modal protection/removal/sweeper,survival through ugly utility,"regenerate, rot small bodies, or remove enchantments",protection and decay in one hand,regeneration prevents death,modal flexibility,protection and cleanup,high,The swarm’s magic is not elegant; it is exactly the tool that keeps the colony alive.,"ci=golgari o:regenerate o:""-1/-1"" o:destroy",Guild charm; precise three-mode summary of Golgari utility.,https://scryfall.com/search?q=%21%22Golgari%20Charm%22
GOL-036,Abrupt Decay,2,B/G,Instant,Return to Ravnica,guild-core,uncounterable low-cost removal,some rot cannot be negotiated with,practical answer to small permanents,sudden breakdown,destroyed permanents leave play,efficient interaction,answer spell,high,Decay does not ask permission from the system it is dissolving.,"ci=golgari o:""can't be countered"" o:destroy",Return to Ravnica Golgari removal staple and flavor-perfect decomposition answer.,https://scryfall.com/search?q=%21%22Abrupt%20Decay%22
GOL-037,Vraska the Unseen,5,B/G,Legendary Planeswalker — Vraska,Return to Ravnica,guild-core,assassin planeswalker / deterrent / removal,vengeance from below,threats that punish contact,predatory justice,death through assassination,assassin tokens and removal,deterrence and win condition,medium,"The undercity’s patience ends in a blade, not a sermon.",ci=golgari t:planeswalker o:destroy o:Assassin,"Vraska’s Ravnica-era Golgari expression, strongly linked to undercity assassination.",https://scryfall.com/search?q=%21%22Vraska%20the%20Unseen%22
GOL-038,Deadbridge Chant,6,B/G,Enchantment,Dragon's Maze,guild-core,self-mill / random graveyard recursion,the graveyard sings back,milled cards become recurring possibility,buried voices return,mill ten and recurring random card,graveyard as recurring hand,long-game value engine,high,"After enough burial, the soil starts answering questions.","ci=golgari o:""put the top ten"" o:""return""",Dragon's Maze Golgari enchantment; high-fidelity graveyard-as-engine card.,https://scryfall.com/search?q=%21%22Deadbridge%20Chant%22
GOL-039,"Varolz, the Scar-Striped",3,B/G,Legendary Creature — Troll Warrior,Dragon's Maze,guild-core,scavenge-granter / sacrifice outlet / commander engine,the dead donate their size,all creatures become posthumous upgrades,dead body to living strength,scavenge for all creature cards,sacrifice and counters,counter engine,very high,The scar is the record of what survived by using what did not.,ci=golgari commander o:scavenge o:sacrifice,Legendary Golgari scavenge commander and one of the clearest mechanical translations of the guild.,https://scryfall.com/search?q=%21%22Varolz%2C%20the%20Scar-Striped%22
GOL-040,Find // Finality,6,B/G,Sorcery,Guilds of Ravnica,guild-core,split recursion / sweeper with counters,retrieve what matters or end what does not,Golgari modes of reclaiming and pruning,"find the dead, finalize the living",return creatures from graveyard,recursion and board reset,value or sweeper,high,The swarm’s mercy is retrieval; its judgment is compost.,"ci=golgari o:""return up to two"" o:""-4/-4""",Guilds of Ravnica split card pairing Golgari recursion with pruning finality.,https://scryfall.com/search?q=%21%22Find%20//%20Finality%22
GOL-041,Status // Statue,5,B/G,Instant,Guilds of Ravnica,guild-core,combat trick / permanent removal,life-touch and stone-death in one tool,small body becomes lethal; larger answer destroys,contact decides survival,destroy permanent,modal split flexibility,combat and removal,medium,Golgari magic makes the smallest touch matter and the largest monument rot.,ci=golgari o:deathtouch o:destroy,Guilds of Ravnica Golgari split card; official mechanics article uses it as hybrid/split example.,https://scryfall.com/search?q=%21%22Status%20//%20Statue%22
GOL-042,Assassin's Trophy,2,B/G,Instant,Guilds of Ravnica,guild-core,universal removal / compensation tradeoff,nothing is too permanent to be hunted,clean kill with ecological replacement,death traded for land,destroyed permanent,universal answer,removal,very high,The trophy is not the death; it is proof that every structure has a throat.,"ci=golgari o:""destroy target permanent""",Guilds of Ravnica Golgari staple; iconic black-green answer card.,https://scryfall.com/search?q=%21%22Assassin%27s%20Trophy%22
GOL-043,Underrealm Lich,5,B/G,Creature — Zombie Elf Shaman,Guilds of Ravnica,guild-core,draw replacement / graveyard selection / indestructible-like survival,draw becomes graveyard curation,life pays to keep the lich intact,knowledge filtered through burial,put rejected cards into graveyard,life and card selection,engine creature,high,A Golgari mind does not draw a card; it chooses which futures deserve burial.,"ci=golgari o:""draw a card"" o:graveyard o:indestructible",Guilds of Ravnica Golgari mythic that turns card draw into graveyard feeding.,https://scryfall.com/search?q=%21%22Underrealm%20Lich%22
GOL-044,Hatchery Spider,7,G,Creature — Spider,Guilds of Ravnica,mechanic-core,undergrowth cast payoff / permanent cheat,dead creatures determine how deep the web reaches,large body plus graveyard-scaled selection,web woven from the dead,undergrowth creature-card count,free permanent selection,late-game stabilizer,medium,"The more bodies below, the farther the hatchery can reach.","ci<=golgari o:undergrowth o:""creature cards in your graveyard""",One of the clearest undergrowth payoffs from Guilds of Ravnica.,https://scryfall.com/search?q=%21%22Hatchery%20Spider%22
GOL-045,Molderhulk,9,B/G,Creature — Fungus Zombie,Guilds of Ravnica,mechanic-core,undergrowth cost reduction / land recursion,graveyard mass discounts the monster,dead creatures make room for land recovery,rot mass becomes body and infrastructure,creature-card count,cost reduction and land return,big recursive threat,medium,Enough dead weight becomes a discount; enough rot becomes a road.,"ci=golgari o:""costs {1} less"" o:""creature cards in your graveyard""",Guilds of Ravnica undergrowth-associated Golgari creature with land recursion.,https://scryfall.com/search?q=%21%22Molderhulk%22
GOL-046,Lotleth Giant,7,B,Creature — Zombie Giant,Guilds of Ravnica,mechanic-core,undergrowth drain finisher,graveyard count becomes damage,late-game corpse math,the dead strike once more,creature-card count,opponent life total,ETB finisher,medium,"When the pile is tall enough, it casts a shadow that kills.","ci<=golgari o:undergrowth o:""loses 1 life""",Guilds of Ravnica undergrowth card and clean death-count finisher.,https://scryfall.com/search?q=%21%22Lotleth%20Giant%22
GOL-047,Moodmark Painter,4,B,Creature — Human Shaman,Guilds of Ravnica,mechanic-core,undergrowth combat amplifier,the dead paint power onto the living,graveyard count creates evasive pressure,remains become markings,undergrowth,temporary power boost,combat pressure,low,"The swarm wears its dead as color, threat, and momentum.",ci<=golgari o:undergrowth o:menace,Featured in Wizards’ Guilds of Ravnica mechanics article as an undergrowth example.,https://scryfall.com/search?q=%21%22Moodmark%20Painter%22
GOL-048,Golgari Raiders,4,G,Creature — Elf Warrior,Guilds of Ravnica,mechanic-core,undergrowth +1/+1 counter body,dead creature count becomes size,haste turns graveyard mass into immediate pressure,raiders ride out of the compost,undergrowth,+1/+1 counters,scaling attacker,low,"The swarm counts its dead, then attacks with the total.","ci<=golgari o:undergrowth o:""+1/+1 counters"" o:haste",Named Golgari undergrowth common from Guilds of Ravnica.,https://scryfall.com/search?q=%21%22Golgari%20Raiders%22
GOL-049,Glowspore Shaman,2,B/G,Creature — Elf Shaman,Guilds of Ravnica,guild-core,self-mill / land topdeck setup,spores turn burial into navigation,fills graveyard while stabilizing land access,mold maps the next step,mill three,land selection,setup creature,high,The undergrowth is not random; it is a map written in decay.,"ci=golgari o:""put the top three"" o:""land card""",Guilds of Ravnica Golgari signpost-style creature for self-mill and resource fixing.,https://scryfall.com/search?q=%21%22Glowspore%20Shaman%22
GOL-050,Charnel Troll,3,B/G,Creature — Troll,Guilds of Ravnica,guild-core,graveyard fuel / regeneration-like sustain / trampler,kept alive by consuming the dead,graveyard as maintenance cost,corpse-fed survival,exile creature card from graveyard,self-mill and counters,aggressive resilient threat,medium,Some Golgari bodies stay alive by making smaller deaths disappear.,ci=golgari o:graveyard o:exile o:regenerate,"Guilds of Ravnica black-green troll with self-mill, graveyard consumption, and survival logic.",https://scryfall.com/search?q=%21%22Charnel%20Troll%22
GOL-051,Necrotic Wound,1,B,Instant,Guilds of Ravnica,mechanic-core,undergrowth removal / graveyard-scaling debuff,the dead deepen the wound,cheap interaction scaled by graveyard,death count becomes weakening,creature-card count,removal efficiency,scaled removal,medium,The wound is only as small as the graveyard behind it.,"ci<=golgari o:""creature cards in your graveyard"" o:""-X/-X""",Guilds of Ravnica undergrowth-adjacent removal spell using the graveyard count as force.,https://scryfall.com/search?q=%21%22Necrotic%20Wound%22
GOL-052,Golgari Findbroker,4,B/G,Creature — Elf Shaman,Guilds of Ravnica,guild-core,permanent recursion / value body,nothing permanent is permanently gone,reclaims any permanent type,return from loss,permanent card return,graveyard value,recursion body,high,The broker’s market is built from what everyone else marked as lost.,"ci=golgari o:""permanent card"" o:""graveyard""",Named Golgari Guilds of Ravnica recursion creature.,https://scryfall.com/search?q=%21%22Golgari%20Findbroker%22
GOL-053,Deathsprout,4,B/G,Instant,War of the Spark,structural-anchor,removal plus land ramp,kill becomes cultivation,death directly grows mana infrastructure,death to sprout,creature destruction,land ramp,removal and acceleration,high,"The most Golgari answer possible: remove a body, find a root.","ci=golgari o:destroy o:""search your library"" o:land","Not guild-named, but Ravnica-era black-green card with perfect Golgari death-to-growth structure.",https://scryfall.com/search?q=%21%22Deathsprout%22
GOL-054,Meren of Clan Nel Toth,4,B/G,Legendary Creature — Human Shaman,Commander 2015,commander-structural-anchor,experience recursion / sacrifice commander,"the more death you witness, the stronger your restoration",end-step graveyard recursion tied to experience,death trains the living,creature recursion,experience counters,sacrifice-recursion engine,very high,Memory is composted into authority; authority is spent to raise what died well.,"ci=golgari commander o:experience o:""graveyard to the battlefield""","Not Ravnica, but one of Commander’s clearest black-green recursion archetype anchors.",https://scryfall.com/search?q=%21%22Meren%20of%20Clan%20Nel%20Toth%22
GOL-055,Skull Prophet,2,B/G,Creature — Human Druid,Ikoria: Lair of Behemoths,structural-anchor,mana dork / self-mill utility,ramp or bury depending on need,cheap enabler for graveyard decks,resource choice: growth now or compost later,mill two,mana and self-mill,setup creature,high,"The prophet offers two futures: mana above ground, fuel below it.","ci=golgari o:""mill two"" o:""add"" o:""{B} or {G}""",Commander-friendly Golgari-colored enabler that bridges ramp and graveyard fueling.,https://scryfall.com/search?q=%21%22Skull%20Prophet%22
GOL-056,Old Stickfingers,2,B/G,Legendary Creature — Horror,Innistrad: Midnight Hunt,commander-structural-anchor,self-mill commander / graveyard-scaling body,the library is excavated for bodies,creatures buried become size and future recursion targets,summoning by deliberate burial,mill until X creatures,graveyard density,scaling commander and combo setup,very high,It grows from the exact number of bodies you are willing to bury.,"ci=golgari commander o:""creature cards"" o:graveyard o:""power and toughness""","Non-Ravnica, but a modern commander-expression of Golgari self-mill and graveyard scale.",https://scryfall.com/search?q=%21%22Old%20Stickfingers%22
