case_id,utterance,disposition,primary_query,confidence,missing_components,forbidden_present,failure_reasons,unresolved_terms,compiler_error
VM578-025,red burn spells that hit players,PARTIAL,c:r o:damage,0.7,,,optionality needs owner review,hit; players,
VM578-026,cards with surveil for dimir,PARTIAL,c:ub kw:surveil,0.78,id<=ub,,required constraint missing; color-vs-identity interpretation,,
VM578-027,spells with flashback in izzet,PARTIAL,c:ur kw:flashback,0.71,id<=ur,,required constraint missing; color-vs-identity interpretation,spells,
VM578-028,cheap creatures with menace or deathtouch,PARTIAL,type:creature (kw:menace OR kw:deathtouch) usd<=1,0.96,,,optionality needs owner review,,
VM578-029,vehicles that crew easily,PARTIAL,type:vehicle o:crew,0.77,,,functional-language unresolved,easily,
VM578-030,sagas in enchantress colors,PARTIAL,type:saga type:enchantment,0.81,,,owner interpretation review,colors,
VM578-031,ramp for a six mana commander,PARTIAL,otag:ramp legal:commander,0.47,,,owner interpretation review,six; mana; commander,
VM578-032,cheap interaction for izzet,FAIL,c:ur usd<=1,0.61,id<=ur,,required constraint missing; color-vs-identity interpretation,interaction,
VM578-033,cards that let me reuse my etbs,PARTIAL,*,0.35,,,functional-language unresolved,let; reuse; etbs,
VM578-034,things that care when my creatures die,PARTIAL,type:creature,0.49,,,owner interpretation review,things; care; when,
VM578-035,ways to protect my commander,PARTIAL,legal:commander,0.52,,,owner interpretation review,ways; protect,
VM578-036,cards that help a token deck without making tokens,FAIL,o:token,0.52,,o:token,forbidden component present; OR/exclusion/scope handling; functional-language unresolved,help; making,
VM578-037,draw engines for a grindy black deck,FAIL,c:b otag:draw,0.71,id<=b,,required constraint missing,grindy,
VM578-038,graveyard recursion in abzan,FAIL,c:wbg o:return o:graveyard,0.86,id<=wbg,,required constraint missing; color-vs-identity interpretation,,
VM578-039,sacrifice outlets for meren,PARTIAL,o:sacrifice,0.52,,,functional-language unresolved,outlets; meren,
VM578-040,blink payoffs for bant,FAIL,c:wug o:exile o:return o:battlefield,0.77,id<=wug,,required constraint missing; color-vs-identity interpretation,payoffs,
VM578-041,board wipes that spare my creatures,PARTIAL,type:creature otag:board-wipe,0.71,,,functional-language unresolved,spare,
VM578-042,graveyard hate that doesn't hurt my own graveyard,PARTIAL,o:/exile.*graveyard/,0.38,,,functional-language unresolved,doesnt; hurt; own; graveyard,
VM578-043,mana dorks under two mana,FAIL,"t:creature o:""{T}: add""",0.53,mv<=2,,required constraint missing,under; two; mana,
VM578-044,cards that punish opponents for drawing extra cards,PARTIAL,*,0.35,,,functional-language unresolved,punish; opponents; drawing; extra,
VM578-045,finishers for go wide tokens,PARTIAL,o:token,0.59,,,functional-language unresolved,finishers,
VM578-046,recursion pieces that bring creatures back from the graveyard,PARTIAL,type:creature c:b o:return o:graveyard,0.86,,,owner interpretation review,pieces; bring,
VM578-047,cards that double my death triggers,PARTIAL,o:double otag:death-trigger,0.94,,,functional-language unresolved; high-confidence bad or incomplete interpretation,,
VM578-048,ways to make treasures in rakdos,FAIL,c:br o:treasure,0.61,id<=br,,required constraint missing; color-vs-identity interpretation,ways,
VM578-049,cards that care about combat damage to players,PARTIAL,type:wombat,0.42,,,owner interpretation review,care; about; damage; players,
VM578-050,interaction that stops combos without being stax,PARTIAL,otag:stax,0.38,,,functional-language unresolved,interaction; stops; combos; being,
VM578-051,counterspells preferably two mana or less,PARTIAL,otag:counterspell,0.32,,,owner interpretation review,preferably; two; mana; less,
VM578-052,removal for my deck bonus if it exiles,PARTIAL,otag:removal,0.46,,,owner interpretation review,bonus; exiles,
VM578-053,green ramp spells if possible on creatures,PARTIAL,type:creature c:g otag:ramp,0.8,,,optionality needs owner review,spells; possible,
VM578-054,draw cards maybe artifacts would be nice,PARTIAL,t:artifact otag:draw,0.47,,,owner interpretation review,maybe; would; nice,
VM578-055,"show me dragons, preferably not super expensive",PASS,type:dragon usd>=20,0.63,,,,show; preferably; super,
VM578-056,i need board wipes but not too many colors,PARTIAL,otag:board-wipe,0.32,,,functional-language unresolved,need; too; many; colors,
VM578-057,cheap protection spells under three mana if possible,PARTIAL,kw:protection usd<=1,0.56,,,owner interpretation review,spells; under; three; mana; possible,
VM578-058,"tokens stuff for selesnya, bonus if it draws cards",FAIL,c:wg o:token,0.47,id<=gw,,required constraint missing; color-vs-identity interpretation,stuff; bonus; draws,
VM578-059,something like Sol Ring for a green deck,FAIL,c:g,0.44,id<=g,,required constraint missing; color-vs-identity interpretation,something; like; sol; ring,
VM578-060,little creatures that replace themselves would be great,PARTIAL,type:creature,0.44,,,optionality needs owner review,little; replace; themselves; would; great,
VM578-061,dragons with haste or trample,PASS,type:dragon (kw:haste OR kw:trample),0.9,,,,,
VM578-062,creatures with flying and not defender,PASS,type:creature kw:flying -kw:defender,0.96,,,,,
VM578-063,only goblins that make treasure,PARTIAL,type:goblin o:treasure,0.77,,,optionality needs owner review,only,
VM578-064,elves or druids that tap for mana,PARTIAL,(type:elf OR type:druid),0.58,,,owner interpretation review,tap; mana,
VM578-065,equipment but not creatures,PASS,type:equipment -type:creature,0.9,,,,,
VM578-066,artifacts except vehicles,FAIL,t:artifact type:vehicle,0.77,type:artifact -type:vehicle,,required constraint missing; OR/exclusion/scope handling,except,
VM578-067,at least three toughness walls,PARTIAL,type:wall,0.51,toughness>=3,,required constraint missing; OR/exclusion/scope handling,least; three; toughness,
VM578-068,no more than two mana rocks,FAIL,otag:mana-rock,0.39,mv<=2,,required constraint missing; OR/exclusion/scope handling,more; than; two,
VM578-069,either removal or counterspells for dimir,FAIL,c:ub kw:wither otag:counterspell otag:removal,0.96,id<=ub,,required constraint missing; color-vs-identity interpretation; OR/exclusion/scope handling; high-confidence bad or incomplete interpretation,,
VM578-070,lifegain without lifelink,PARTIAL,"o:""gain life"" -kw:lifelink",0.94,,,optionality needs owner review,,
VM578-071,deathouch creatures,PARTIAL,type:creature kw:deathtouch,0.96,,,optionality needs owner review,,
VM578-072,wurm creatures not worm,PASS,type:wurm type:creature -type:worm,0.96,,,,,
VM578-073,etb creatures in bant,FAIL,c:wug is:etb t:creature,0.86,type:creature id<=wug,,required constraint missing; color-vs-identity interpretation,,
VM578-074,aristos stuff for orzhov,FAIL,c:wb,0.46,id<=wb,,required constraint missing; color-vs-identity interpretation,aristos; stuff,
VM578-075,boardwipes for esper,FAIL,c:wub,0.53,id<=wub,,required constraint missing; color-vs-identity interpretation,boardwipes,
VM578-076,mana dorkes for green,FAIL,c:g,0.58,id<=g,,required constraint missing,mana; dorkes,
VM578-077,izzet spellslinger cantrips,FAIL,c:ur o:whenever o:cast (o:instant OR o:sorcery) mv=1 o:draw,0.96,id<=ur,,required constraint missing; color-vs-identity interpretation; high-confidence bad or incomplete interpretation,,
VM578-078,cheap rocks for colorless,FAIL,c:c usd<=1,0.77,id<=c,,required constraint missing; color-vs-identity interpretation,rocks,
VM578-079,token doublers naya,FAIL,c:wrg o:token,0.61,id<=wrg,,required constraint missing; color-vs-identity interpretation,doublers,
VM578-080,recure creatures from graveyard,PARTIAL,type:creature o:return o:graveyard,0.85,,,owner interpretation review,recure,
VM578-081,stuff for my aristocrats deck,PARTIAL,otag:death-trigger,0.59,,,functional-language unresolved,stuff,
VM578-082,draw go control cards,PARTIAL,o:draw,0.59,,,functional-language unresolved,control,
VM578-083,group slug cards in rakdos,FAIL,type:slug c<=br -c:c,0.85,id<=br,,required constraint missing; color-vs-identity interpretation,group,
VM578-084,stax pieces that are still fun for a casual table,PARTIAL,otag:stax,0.38,,,functional-language unresolved,pieces; still; fun; casual; table,
VM578-085,pet cards for a zombie deck,PARTIAL,type:zombie,0.65,,,owner interpretation review,pet,
VM578-086,creepy graveyard cards that fit zombies,PARTIAL,type:zombie o:graveyard,0.7,,,functional-language unresolved,creepy; fit,
VM578-087,cards like Blood Artist,PARTIAL,type:blood,0.58,,,functional-language unresolved; similarity unsupported,like; artist,
VM578-088,something like craterhoof for tokens,PARTIAL,o:token,0.45,,,functional-language unresolved; similarity unsupported,something; like; craterhoof,
VM578-089,hidden gems for enchantress,PARTIAL,type:enchantment,0.56,,,owner interpretation review,hidden; gems,
VM578-090,cards that make my artifacts deck actually go wide,FAIL,t:artifact o:token,0.67,type:artifact,,required constraint missing,actually,
VM578-091,counter cards,PARTIAL,o:counter,0.7,,,owner interpretation review,,
VM578-092,blink cards,PARTIAL,o:exile o:return o:battlefield,0.86,,,owner interpretation review,,
VM578-093,chaos commanders,PARTIAL,id=ubrg is:commander legal:commander,0.92,,,high-confidence bad or incomplete interpretation,,
VM578-094,equipment for creatures but not equipment,PARTIAL,-type:equipment type:creature,0.9,,,high-confidence bad or incomplete interpretation,,
VM578-095,goblins but not creatures,PASS,type:goblin -type:creature,0.9,,,,,
VM578-096,show me mono black cards for my simic commander deck,PARTIAL,id=ubg c:ug legal:commander,0.69,c=b id<=ug,,required constraint missing; color-vs-identity interpretation,show,
VM578-097,exactly blue and green cards but no blue cards,PARTIAL,c=g -c:u,0.86,c=ug,,required constraint missing; OR/exclusion/scope handling,,
VM578-098,legendary instant creatures,PASS,type:legendary type:instant type:creature,0.96,,,,,
VM578-099,cards with storm but no spells,PARTIAL,kw:storm,0.59,-type:instant -type:sorcery,,required constraint missing,spells,
VM578-100,all the goodstuff staples for casual commander,PARTIAL,legal:commander,0.45,,,owner interpretation review,goodstuff; staples; casual,
