id,school,color_pair,card_name,source_set_or_product,canonical_basis,structural_role,mechanical_signal,lorehold_expression_axis,core_pattern,white_signal,red_signal,artifact_relic_signal,spirit_history_signal,excavation_signal,historical_medium,narrative_taxon,animation_signature,translation_hook,ui_use,confidence,source_url
LOREHOLD-015,Lorehold,Red/White,Hofri Ghostforge,Strixhaven: School of Mages,Lorehold legendary / spirit-forging identity card,spirit armorer,spirit buff / death-to-spirit recursion,death is reforged into active service,excavation + precedent -> revived action,5,4,3,5,3,"ghost forge, statue bodies, commemorative battle craft",spirit conscription,forge sparks + ghost silhouette,AccretionEngine,Use for identity panels around memory becoming a fighting companion.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-016,Lorehold,Red/White,Illustrious Historian // Archive Haunt,Strixhaven: School of Mages,Lorehold-aligned modal DFC historian/spirit card,historian becoming haunt,creature body; graveyard exile to make Spirit,the scholar becomes the archive's ghost,excavation + precedent -> revived action,2,4,2,5,3,"student notes, archive ghost, embodied memory",scholar afterimage,red scholar fade -> white spirit trace,AccretionEngine,Use for transformation rows: living scholar to useful afterlife.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-017,Lorehold,Red/White,"Laelia, the Blade Reforged",Commander 2021 / Lorehold Legacies,Official Lorehold Legacies deck card,exile-forged adventurer,exile impulse / attack growth,the path is discovered by moving through it,excavation + precedent -> revived action,1,5,2,2,4,"reforged blade, field expedition, impulsive archive",reckless discovery,exile-card trail + blade flare,Override,Use where Lorehold needs adventure and momentum rather than stationary archive.,high,https://edhrec.com/precon/lorehold-legacies
LOREHOLD-018,Lorehold,Red/White,Lorehold Apprentice,Strixhaven: School of Mages,Lorehold-watermarked named card,student signal node,magecraft pings opponents / lesson-by-casting,study leaves impact marks,excavation + precedent -> revived action,3,4,2,3,2,"apprentice notes, spell sparks, campus exercise",field practice,student glyph ping,AccretionEngine,Use as common row for low-complexity Lorehold spellcraft signals.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-019,Lorehold,Red/White,Lorehold Campus,Strixhaven: School of Mages / Commander 2021,Named Lorehold campus land; Scryfall result notes Lorehold archaeomancy,campus anchor,RW fixing / late scry,the site teaches through repeated visits,excavation + precedent -> revived action,3,3,3,4,5,"Pillardrop paths, campus ruins, scrying from place",campus geography,campus arch + dust-scry shimmer,ConstraintField,Use as geographic anchor for the Lorehold visual theme.,high,https://scryfall.com/card/soc/384/lorehold-campus
LOREHOLD-020,Lorehold,Red/White,Lorehold Command,Strixhaven: School of Mages,Lorehold-watermarked named command,modal college thesis,Spirit token / anthem / damage / life / sacrifice-draw,history acts in several registers at once,excavation + precedent -> revived action,5,5,3,5,3,"command spell, spirit cohort, sacrifice-as-research",modal precedent,five-mode command radial,ConstraintField,Use as compact expression of the whole Lorehold system.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-021,Lorehold,Red/White,Lorehold Excavation,Strixhaven: School of Mages,Lorehold-watermarked named enchantment,excavation engine,mill/land checks; Spirits from graveyard fuel,digging turns buried matter into witnesses,excavation + precedent -> revived action,3,4,4,5,5,"dig layers, campus trench, unearthed spirits",gravebreak engine,strata scroll + spirit rise,AccretionEngine,Primary row for Lorehold graveyard-as-archaeology modeling.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-022,Lorehold,Red/White,Lorehold Pledgemage,Strixhaven: School of Mages,Lorehold-watermarked named student card,pledged combat scholar,first strike / magecraft combat boost,spell study sharpens martial memory,excavation + precedent -> revived action,4,4,1,3,1,"campus oath, martial class, spell-drilled blade",combat scholarship,first-strike glyph edge,AccretionEngine,"Use where Lorehold should feel active and trained, not passive.",high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-023,Lorehold,Red/White,"Lorehold, the Historian",Secrets of Strixhaven,Scryfall SOS card result / named Lorehold founder-style dragon,historian dragon,miracle/cast timing identity; founder-scale history,the founder makes past timing erupt into present opportunity,excavation + precedent -> revived action,4,5,3,5,4,"elder dragon, miracle archive, temporal precedent",founder axiom,dragon-wing archive flare,Override,Use as top-level Lorehold dragon/founder identity row.,high,https://scryfall.com/card/sos/201/lorehold-the-historian
LOREHOLD-024,Lorehold,Red/White,"Losheel, Clockwork Scholar",Commander 2021 / Lorehold Legacies,Official Lorehold Legacies deck card,clockwork scholar,artifact creature protection/draw,machines are study partners and protected witnesses,excavation + precedent -> revived action,5,1,5,2,3,"clockwork companion, scholarly maintenance, protected construct",artifact pedagogy,clockwork halo + draw glint,Detain,Use for gentle artifact-scholar side of Lorehold.,high,https://edhrec.com/precon/lorehold-legacies
LOREHOLD-025,Lorehold,Red/White,Make Your Mark,Strixhaven: School of Mages,Lorehold-aligned STX spell / Spirit-on-death pattern,legacy spark,combat trick; dead creature leaves Spirit,a deed becomes a monument,excavation + precedent -> revived action,4,4,1,5,2,"final act, battlefield mark, spirit afterimage",legacy imprint,impact mark -> spirit ember,Override,Use for short panel copy: action becomes remembrance.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-026,Lorehold,Red/White,"Osgir, the Reconstructor",Commander 2021 / Lorehold Legacies,Primary commander of Lorehold Legacies,reconstruction engine,sacrifice artifact; exile artifact from graveyard to make token copies,ruins become doubled working tools,excavation + precedent -> revived action,4,5,5,3,5,"reconstructor rig, graveyard workshop, copied relics",reconstruction loop,artifact fracture -> twin token rebuild,AccretionEngine,Primary row for Lorehold artifact-recursion placement/deck links.,high,https://magic.wizards.com/en/news/announcements/commander-2021-edition-decklists-2021-04-05
LOREHOLD-027,Lorehold,Red/White,Pillardrop Rescuer,Strixhaven: School of Mages,Lorehold-aligned Pillardrop/campus card,cliffside rescuer,flying body; returns low-cost creature from graveyard,the digsite retrieves the fallen,excavation + precedent -> revived action,5,1,1,4,4,"Pillardrop cliffs, retrieval line, rescue from ruins",site restoration,rope drop + grave-glow return,Detain,Use as white-side recursion without losing the archaeology flavor.,medium,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-028,Lorehold,Red/White,Pillardrop Warden,Strixhaven: School of Mages,Lorehold-aligned Pillardrop/campus defender,site warden,defender / graveyard-linked utility,guard the ruin until it can speak,excavation + precedent -> revived action,5,1,3,4,5,"warded cliff ruins, warden post, protected access",preservation duty,vertical cliff ward,ConstraintField,Use for defensive placement language: stewardship of dangerous history.,medium,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-029,Lorehold,Red/White,"Plargg, Dean of Chaos",Strixhaven: School of Mages,Red face of Lorehold dean card,chaos dean,rummage / random discovery from library,history is discovered by chasing unlikely sparks,excavation + precedent -> revived action,1,5,2,3,5,"messy field notes, chaotic lecture, accidental breakthrough",reckless discovery,paper cyclone + red reveal,Override,"Use when Lorehold answer should be adventurous, messy, and alive.",high,https://magic.wizards.com/en/news/feature/planeswalkers-guide-strixhaven-2021-04-01
LOREHOLD-030,Lorehold,Red/White,"Quintorius, Field Historian",Strixhaven: School of Mages,Lorehold legendary student / field historian,field historian,Spirits get buffed; cards leaving graveyard make Spirits,the past becomes a field companion,excavation + precedent -> revived action,4,4,3,5,5,"field journal, spirit cohort, graveyard survey",field history,journal page -> spirit squad,AccretionEngine,Primary row for Lorehold spirit/graveyard-leaves archetype.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-031,Lorehold,Red/White,Quintorius Kand,The Lost Caverns of Ixalan / Strixhaven character continuity,Canonical Lorehold character beyond STX; planeswalker historian arc,planeswalking archaeologist,cast-from-exile / discovery-style historian identity,history expands beyond campus into multiversal archaeology,excavation + precedent -> revived action,4,4,3,5,5,"omenpath digs, coin empire trail, historical investigation",expedition beyond campus,scroll-map planeswalk flare,Override,Use when tying Lorehold to future-facing lore/search experiences.,medium,https://magic.wizards.com/en/news/magic-story/secrets-of-strixhaven-field-studies-in-a-future-tense
LOREHOLD-032,Lorehold,Red/White,Radiant Scrollwielder,Strixhaven: School of Mages,Lorehold-aligned RW spellcaster,scroll combatant,instants/sorceries gain lifelink; recasts from graveyard,old spells are carried into the present fight,excavation + precedent -> revived action,4,4,3,4,3,"radiant scrolls, battlefield recitation, spell memory",archival spellcraft,scroll ribbon + grave-cast flash,AccretionEngine,Use for spell-recursion rows that still read as Lorehold history.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-033,Lorehold,Red/White,Reconstruct History,Strixhaven: School of Mages,Lorehold-watermarked named history spell,archive restorer,return artifact/enchantment/instant/sorcery/planeswalker from graveyard,a lost timeline is rebuilt by type and category,excavation + precedent -> revived action,4,4,5,5,5,"restored archive, classified finds, recovered timeline",reconstruction loop,multi-type archive reassembly,AccretionEngine,Use as best row for structural recovery across card types.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-034,Lorehold,Red/White,Relic Sloth,Strixhaven: School of Mages,Lorehold-aligned relic creature / RW body,slow relic carrier,vigilance/menace body; artifact-relic flavor,the relic moves slowly but changes the field,excavation + precedent -> revived action,3,3,4,3,4,"living relic, heavy motion, excavated creature",relic body,slow stone lurch + dust wake,ConstraintField,Use for creature rows where object-history is embodied.,medium,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-035,Lorehold,Red/White,Returned Pastcaller,Strixhaven: School of Mages,Lorehold-aligned Spirit/Cleric recursion card,returned caller,Spirit body; returns Spirit/instant/sorcery from graveyard,the dead call the useful past back by name,excavation + precedent -> revived action,5,2,2,5,4,"pastcaller spirit, remembered spell, grave-voice",spiritual instruction,spirit hand + scroll return,Detain,Use for retrieval language in Lorehold lore panels.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-036,Lorehold,Red/White,Rip Apart,Strixhaven: School of Mages,Lorehold-watermarked RW removal spell,clean break,damage or artifact/enchantment destruction,remove the false layer to expose truth,excavation + precedent -> revived action,4,4,3,1,4,"fractured wall, targeted demolition, decisive correction",site clearing,red-white crack split,Override,Use for concise removal/action affordances in deck links.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-037,Lorehold,Red/White,Ruin Grinder,Commander 2021 / Lorehold Legacies,Official Lorehold Legacies deck card,ruin machine,artifact construct; death wheel / cycling,ruins grind old hands into new evidence,excavation + precedent -> revived action,1,5,5,2,5,"grinding construct, ruins, discard-redraw churn",reckless reconstruction,gear-wheel dust redraw,Override,Use for destructive artifact churn and hand reset interactions.,high,https://edhrec.com/precon/lorehold-legacies
LOREHOLD-038,Lorehold,Red/White,Selfless Glyphweaver // Deadly Vanity,Strixhaven: School of Mages,Strixhaven modal rare with Lorehold-style glyph/protection side,protective inscription,protect creatures; modal transformation contrast,inscription preserves the living record,excavation + precedent -> revived action,5,1,3,3,2,"protective glyph, campus inscription, warded record",protective record,glyph shield bloom,Detain,"Use only for white-side preservation, not as core RW Lorehold marker.",medium,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-039,Lorehold,Red/White,Spectacular Showdown,Commander 2021 / Lorehold Legacies,Official Lorehold Legacies deck card; red-white combat spectacle,history as duel,double strike counters / forced spectacle combat,the lesson becomes a public clash,excavation + precedent -> revived action,2,5,1,3,1,"public demonstration, martial pageant, decisive duel",war memory,duel spotlight + double-strike echo,Override,Use where Lorehold leans into dramatic combat demonstration.,high,https://magic.wizards.com/en/news/announcements/commander-2021-edition-decklists-2021-04-05
LOREHOLD-040,Lorehold,Red/White,Spirit Summoning,Strixhaven: School of Mages,Lorehold lesson / Spirit mascot expression,mascot call,creates red-white Spirit token,study calls the dead into useful form,excavation + precedent -> revived action,4,4,1,5,3,"summoned spirit, class lesson, mascot magic",spirit conscription,lesson card -> spirit statue pop,AccretionEngine,Use for low-complexity teaching of Lorehold spirits.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-041,Lorehold,Red/White,Stonebinder's Familiar,Strixhaven: School of Mages,Lorehold-aligned graveyard-leaves payoff,gravebreak familiar,grows when cards leave graveyard,disturbed history strengthens the companion,excavation + precedent -> revived action,4,1,2,5,4,"stone familiar, grave residue, loyal monument",gravebreak signal,stone pup + grave-spark counter,AccretionEngine,Use as simple marker for the graveyard-leaves rule language.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-042,Lorehold,Red/White,Study Break,Strixhaven: School of Mages,Lorehold-aligned learn/tap spell,controlled interruption,tap blockers / learn,pause the scene long enough to extract the lesson,excavation + precedent -> revived action,5,2,1,2,2,"campus drill, tactical pause, lesson retrieval",field practice,pause lines + lesson card slide,Detain,Use for Detain semantics adapted to Lorehold: tactical pause for learning.,medium,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-043,Lorehold,Red/White,Thrilling Discovery,Strixhaven: School of Mages,Lorehold-watermarked named discovery spell,field breakthrough,discard/draw plus life; rummage as discovery,the dig is worth the mess,excavation + precedent -> revived action,3,5,3,3,5,"dusty find, heart-racing field note, discarded assumptions",reckless discovery,dirt brush + red-white reveal,Override,Use as clean UX language for discovery through discard/filtering.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-044,Lorehold,Red/White,Tome Shredder,Strixhaven: School of Mages,Lorehold-aligned graveyard-leaves card,archive scavenger,grows as graveyard cards leave; eats graveyards,not all preservation is gentle,excavation + precedent -> revived action,1,5,4,4,4,"shredded tomes, archive beast, consumed records",dangerous archive,paper shred + ember counter,Override,Use as red-side warning: history can be consumed as fuel.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-045,Lorehold,Red/White,Venerable Warsinger,Strixhaven: School of Mages,Lorehold-watermarked RW combat recursion card,battle chanter,vigilance/trample; combat damage reanimates small creature,songs of old battles return the fallen,excavation + precedent -> revived action,5,4,1,5,3,"war song, battlefield remembrance, returning comrade",war memory,songwave + grave return,AccretionEngine,Use for combat-recursion Lorehold that feels heroic and historical.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-046,Lorehold,Red/White,Velomachus Lorehold,Strixhaven: School of Mages,Lorehold founder dragon / named school elder,founder dragon,flying/vigilance/haste; attacks cast historic spells from library,the founder turns attack into recovered spell history,excavation + precedent -> revived action,5,5,3,5,4,"elder dragon, attack excavation, spell archive",founder axiom,dragon dive + archive-cast beam,AccretionEngine,Use as flagship Lorehold icon for top-level placement card.,high,https://scryfall.com/search?q=wm%3Alorehold
LOREHOLD-047,Lorehold,Red/White,Wake the Past,Commander 2021 / Lorehold Legacies,Official Lorehold Legacies deck card,mass artifact revival,return all artifact cards from graveyard; haste,the buried arsenal wakes at once,excavation + precedent -> revived action,3,5,5,4,5,"awakening artifacts, buried army, sudden restoration",mass revival,graveyard wave -> artifact army wake,AccretionEngine,Use for crescendo states in artifact recursion UI.,high,https://magic.wizards.com/en/news/announcements/commander-2021-edition-decklists-2021-04-05
