claim_id	identity_number	identity_key	identity_name	statement_type	classification	claim_text	controlling_locators	official_support_ids	rationale	disposition
VM554-03-01	3	BR	Cult of Rakdos	CENTER	UPSTREAM-DIRECT	Cult of Rakdos (BR) - appetite made public through spectacle.	data/factions.json#/factions/BR/philosophy; docs/architecture/colors/rakdos/identity.md#identity-overview-or-core-drive; docs/architecture/colors/rakdos/metaphysics.md#metaphysical-thesis	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-03-02	3	BR	Cult of Rakdos	RESONATES	UPSTREAM-DIRECT	The person values performance, provocation, sensation, release, and an act whose audience can see both intensity and cost.	data/factions.json#/factions/BR/affinity/drawn_to; docs/architecture/colors/rakdos/identity.md#operator-translation-signals	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-03-03	3	BR	Cult of Rakdos	CONNECTS	SUPPORTED-SYNTHESIS	Black and Red meet through individualism. It overlaps Prismari in performance, Gruul in directness, and Grixis/Jund in appetite, but the Rakdos center is transgressive public spectacle.	data/factions.json#/factions/BR/affinity/not_to_be_confused_with; data/factions.json#/factions/BR/raw_enrichment/views_on_other_factions; docs/architecture/colors/rakdos/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-03-04	3	BR	Cult of Rakdos	PUSHES_BACK	UPSTREAM-DIRECT	It rejects respectability, hidden pressure, and restraint that disguises what people actually want.	data/factions.json#/factions/BR/affinity/repelled_by; data/factions.json#/factions/BR/core_tension; docs/architecture/colors/rakdos/identity.md#inhibitors-or-false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-03-05	3	BR	Cult of Rakdos	REJECTS	UPSTREAM-DIRECT	Private cruelty, ordinary aggression, sacrifice mechanics, or random chaos are not Rakdos when there is no act, audience, or consequence.	data/factions.json#/factions/BR/affinity/not_to_be_confused_with; docs/architecture/colors/rakdos/identity.md#false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-04-01	4	RG	Gruul Clans	CENTER	UPSTREAM-DIRECT	Gruul Clans (RG) - wild belonging resisting imposed civilization.	data/factions.json#/factions/RG/philosophy; docs/architecture/colors/gruul/identity.md#identity-overview-or-core-drive; docs/architecture/colors/gruul/metaphysics.md#metaphysical-thesis	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-04-02	4	RG	Gruul Clans	RESONATES	UPSTREAM-DIRECT	The person trusts instinct, authenticity, clan, territory, and direct action rooted in a concrete loss or endangered wild place.	data/factions.json#/factions/RG/affinity/drawn_to; docs/architecture/colors/gruul/identity.md#operator-translation-signals	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-04-03	4	RG	Gruul Clans	CONNECTS	SUPPORTED-SYNTHESIS	Red and Green meet through intuition. Gruul is near Red, Green, Naya, Jund, and Temur, but its defining pressure is anti-city grievance and clan autonomy.	data/factions.json#/factions/RG/affinity/not_to_be_confused_with; data/factions.json#/factions/RG/raw_enrichment/views_on_other_factions; docs/architecture/colors/gruul/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-04-04	4	RG	Gruul Clans	PUSHES_BACK	UPSTREAM-DIRECT	It distrusts institutions that broke their promises, abstraction that ignores material damage, and patience demanded by beneficiaries of the system.	data/factions.json#/factions/RG/affinity/repelled_by; data/factions.json#/factions/RG/core_tension; docs/architecture/colors/gruul/identity.md#inhibitors-or-false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-04-05	4	RG	Gruul Clans	REJECTS	UPSTREAM-DIRECT	Generic rage, stompy play, or destruction is not Gruul without wildness, territory, clan, or resistance to imposed order.	data/factions.json#/factions/RG/affinity/not_to_be_confused_with; docs/architecture/colors/gruul/identity.md#false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-05-01	5	WG	Selesnya Conclave	CENTER	UPSTREAM-DIRECT	Selesnya Conclave (GW) - belonging through shared living purpose.	data/factions.json#/factions/WG/philosophy; docs/architecture/colors/selesnya/identity.md#identity-overview-or-core-drive; docs/architecture/colors/selesnya/metaphysics.md#metaphysical-thesis	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-05-02	5	WG	Selesnya Conclave	RESONATES	UPSTREAM-DIRECT	The person wants harmony, collective care, nature, preservation, consensus, and a community larger than private ambition.	data/factions.json#/factions/WG/affinity/drawn_to; docs/architecture/colors/selesnya/identity.md#operator-translation-signals	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-05-03	5	WG	Selesnya Conclave	CONNECTS	SUPPORTED-SYNTHESIS	Green and White meet through responsibility. Selesnya is close to White, Green, Naya, Bant, and Ink, but centers freely joined communal voice rather than hierarchy or public administration.	data/factions.json#/factions/WG/affinity/not_to_be_confused_with; data/factions.json#/factions/WG/raw_enrichment/views_on_other_factions; docs/architecture/colors/selesnya/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-05-04	5	WG	Selesnya Conclave	PUSHES_BACK	UPSTREAM-DIRECT	It resists self-only ambition, conflict for its own sake, and procedure, debt, or force replacing belonging.	data/factions.json#/factions/WG/affinity/repelled_by; data/factions.json#/factions/WG/core_tension; docs/architecture/colors/selesnya/identity.md#inhibitors-or-false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-05-05	5	WG	Selesnya Conclave	REJECTS	UPSTREAM-DIRECT	Tokens, counters, enchantments, or pleasant company are not Selesnya when individual distinction remains more important than shared care.	data/factions.json#/factions/WG/affinity/not_to_be_confused_with; docs/architecture/colors/selesnya/identity.md#false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-06-01	6	WB	Orzhov Syndicate	CENTER	UPSTREAM-DIRECT	Orzhov Syndicate (WB) - obligation converted into institutional leverage.	data/factions.json#/factions/WB/philosophy; docs/architecture/colors/orzhov/identity.md#identity-overview-or-core-drive; docs/architecture/colors/orzhov/metaphysics.md#metaphysical-thesis	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-06-02	6	WB	Orzhov Syndicate	RESONATES	UPSTREAM-DIRECT	The person treats deals, hierarchy, status, repayment, and long consequences as real sources of power.	data/factions.json#/factions/WB/affinity/drawn_to; docs/architecture/colors/orzhov/identity.md#operator-translation-signals	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-06-03	6	WB	Orzhov Syndicate	CONNECTS	SUPPORTED-SYNTHESIS	It shares structure with Azorius, agency with Black, and social pressure with Silverquill. Unlike them, its center is collectible obligation backed by religious-business legitimacy.	data/factions.json#/factions/WB/affinity/not_to_be_confused_with; data/factions.json#/factions/WB/raw_enrichment/views_on_other_factions; docs/architecture/colors/orzhov/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-06-04	6	WB	Orzhov Syndicate	PUSHES_BACK	UPSTREAM-DIRECT	It distrusts obligation-free sentiment, chaotic power that cannot be collected, and impartial rules that ignore available leverage.	data/factions.json#/factions/WB/affinity/repelled_by; data/factions.json#/factions/WB/core_tension; docs/architecture/colors/orzhov/identity.md#inhibitors-or-false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-06-05	6	WB	Orzhov Syndicate	REJECTS	UPSTREAM-DIRECT	Lifegain, drain, sacrifice, taxes, or recursion are not Orzhov without debt, deal, tithe, hierarchy, or enforceable obligation.	data/factions.json#/factions/WB/affinity/not_to_be_confused_with; docs/architecture/colors/orzhov/identity.md#false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-07-01	7	UR	Izzet League	CENTER	UPSTREAM-DIRECT	Izzet League (UR) - discovery through experiment and invention.	data/factions.json#/factions/UR/philosophy; docs/architecture/colors/izzet/identity.md#identity-overview-or-core-drive; docs/architecture/colors/izzet/metaphysics.md#metaphysical-thesis	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-07-02	7	UR	Izzet League	RESONATES	UPSTREAM-DIRECT	The person follows questions, enjoys prototypes and repeated testing, treats being wrong as information, and prefers the next experiment to the finished answer.	data/factions.json#/factions/UR/affinity/drawn_to; docs/architecture/colors/izzet/identity.md#operator-translation-signals	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-07-03	7	UR	Izzet League	CONNECTS	SUPPORTED-SYNTHESIS	Blue and Red stage the head/heart conflict as productive iteration. Izzet is near Blue, Red, Prismari, Quandrix, and Simic, but asks what can be discovered or built through testing.	data/factions.json#/factions/UR/affinity/not_to_be_confused_with; data/factions.json#/factions/UR/raw_enrichment/views_on_other_factions; docs/architecture/colors/izzet/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-07-04	7	UR	Izzet League	PUSHES_BACK	UPSTREAM-DIRECT	It resists premature closure, untested repetition, and emotional certainty that substitutes for investigation.	data/factions.json#/factions/UR/affinity/repelled_by; data/factions.json#/factions/UR/core_tension; docs/architecture/colors/izzet/identity.md#inhibitors-or-false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-07-05	7	UR	Izzet League	REJECTS	UPSTREAM-DIRECT	Spellslinger volume, artifacts, or novelty are not Izzet when there is no experiment, discovery, prototype, or useful breakthrough.	data/factions.json#/factions/UR/affinity/not_to_be_confused_with; docs/architecture/colors/izzet/identity.md#false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-08-01	8	BG	Golgari Swarm	CENTER	UPSTREAM-DIRECT	Golgari Swarm (BG) - survival through decay, reuse, and renewal.	data/factions.json#/factions/BG/philosophy; docs/architecture/colors/golgari/identity.md#identity-overview-or-core-drive; docs/architecture/colors/golgari/metaphysics.md#metaphysical-thesis	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-08-02	8	BG	Golgari Swarm	RESONATES	UPSTREAM-DIRECT	The person finds meaning in reclamation, patience, discarded material, self-sustaining cycles, and life emerging from death.	data/factions.json#/factions/BG/affinity/drawn_to; docs/architecture/colors/golgari/identity.md#operator-translation-signals	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-08-03	8	BG	Golgari Swarm	CONNECTS	SUPPORTED-SYNTHESIS	Black and Green negotiate free will and destiny through the material cycle. Golgari is near Witherbloom, Sultai, Abzan, and Green, but turns death into civic ecology and survival.	data/factions.json#/factions/BG/affinity/not_to_be_confused_with; data/factions.json#/factions/BG/raw_enrichment/views_on_other_factions; docs/architecture/colors/golgari/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-08-04	8	BG	Golgari Swarm	PUSHES_BACK	UPSTREAM-DIRECT	It resists denial of mortality, preservation that blocks renewal, and hierarchies pretending they do not decay.	data/factions.json#/factions/BG/affinity/repelled_by; data/factions.json#/factions/BG/core_tension; docs/architecture/colors/golgari/identity.md#inhibitors-or-false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-08-05	8	BG	Golgari Swarm	REJECTS	UPSTREAM-DIRECT	Graveyard value, morbidity, resilience, or sacrifice is not Golgari without a death-to-life cycle that feeds continued survival.	data/factions.json#/factions/BG/affinity/not_to_be_confused_with; docs/architecture/colors/golgari/identity.md#false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-09-01	9	UG	Simic Combine	CENTER	UPSTREAM-DIRECT	Simic Combine (GU) - living systems improved through adaptation.	data/factions.json#/factions/UG/philosophy; docs/architecture/colors/simic/identity.md#identity-overview-or-core-drive; docs/architecture/colors/simic/metaphysics.md#metaphysical-thesis	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-09-02	9	UG	Simic Combine	RESONATES	UPSTREAM-DIRECT	The person studies organisms, iterates pragmatically, and accepts biological intervention when it helps life adapt, heal, or endure.	data/factions.json#/factions/UG/affinity/drawn_to; docs/architecture/colors/simic/identity.md#operator-translation-signals	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-09-03	9	UG	Simic Combine	CONNECTS	SUPPORTED-SYNTHESIS	Green and Blue stage nature/nurture inside living bodies. Simic is near Quandrix, Izzet, Selesnya, and Green, but keeps an organism or ecosystem at stake.	data/factions.json#/factions/UG/affinity/not_to_be_confused_with; data/factions.json#/factions/UG/raw_enrichment/views_on_other_factions; docs/architecture/colors/simic/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-09-04	9	UG	Simic Combine	PUSHES_BACK	UPSTREAM-DIRECT	It resists untouched-nature absolutism, disposable-life engineering, and abstraction detached from living consequences.	data/factions.json#/factions/UG/affinity/repelled_by; data/factions.json#/factions/UG/core_tension; docs/architecture/colors/simic/identity.md#inhibitors-or-false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-09-05	9	UG	Simic Combine	REJECTS	UPSTREAM-DIRECT	Counters, ramp, card draw, lands, or optimization are not Simic without biological study, adaptation, medicine, clade, or organism-level change.	data/factions.json#/factions/UG/affinity/not_to_be_confused_with; docs/architecture/colors/simic/identity.md#false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide rejects statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-10-01	10	WR	Boros Legion	CENTER	UPSTREAM-DIRECT	Boros Legion (RW) - organized force in service of protection.	data/factions.json#/factions/WR/philosophy; docs/architecture/colors/boros/identity.md#identity-overview-or-core-drive; docs/architecture/colors/boros/metaphysics.md#metaphysical-thesis	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide center statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-10-02	10	WR	Boros Legion	RESONATES	UPSTREAM-DIRECT	The person wants visible harm answered now, values loyalty and moral clarity, and accepts discipline when it makes protection effective.	data/factions.json#/factions/WR/affinity/drawn_to; docs/architecture/colors/boros/identity.md#operator-translation-signals	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide resonates statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
VM554-10-03	10	WR	Boros Legion	CONNECTS	SUPPORTED-SYNTHESIS	Red and White stage freedom/security through accountable intervention. Boros is near White, Red, Azorius, Mardu, and Lorehold, but acts in the present to protect civic life.	data/factions.json#/factions/WR/affinity/not_to_be_confused_with; data/factions.json#/factions/WR/raw_enrichment/views_on_other_factions; docs/architecture/colors/boros/identity.md#false-positive-risks-and-neighbor-boundaries	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The relationship combines explicit upstream comparison boundaries with official mono/two-color relationship material. It is a conservative comparison, not canon diplomacy or proof that a color pair has only one expression.	PRESERVE_WITH_SYNTHESIS_LABEL
VM554-10-04	10	WR	Boros Legion	PUSHES_BACK	UPSTREAM-DIRECT	It resists bureaucratic delay, moral ambiguity used as an excuse, and rules that shield the wrong people.	data/factions.json#/factions/WR/affinity/repelled_by; data/factions.json#/factions/WR/core_tension; docs/architecture/colors/boros/identity.md#inhibitors-or-false-positive-risks	OFF-COLOR-INDEX; OFF-CITY-HIGHLIGHTS	The guide pushes_back statement is a bounded paraphrase of the controlling Vox Mana philosophy, affinity, tension, or false-positive fields. Official review found no direct contradiction; project-synthesis caveats in upstream remain controlling.	PRESERVE
