identity_a	identity_b	audit_basis	audit_path_count_or_marker	coverage_category	observable_behavioral_distinction	pilot_question_ids	why_defensible	when_not_to_ask	pilot_coverage_status	evidence_provenance
B	SULTAI	HIGH-FREQUENCY-P1/P2	134	>=100 authored paths; not player prevalence	Direct scenario tests one bounded Commander behavior.	b1.crucible.sultai.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
B	U	EXACT-TIE	3	accepted exact tie	B uses Resource sacrifice evidence; U uses Initiative posture evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
B	UB	HIGH-FREQUENCY-P1/P2	194	>=100 authored paths; not player prevalence	B uses Resource sacrifice evidence; UB uses Resource visibility evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
B	W	EXACT-TIE	13	accepted exact tie	B uses Resource sacrifice evidence; W uses Disruption response evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
B	WITHERBLOOM	EXACT-TIE;HIGH-FREQUENCY-P1/P2	193;1	accepted exact tie;>=100 authored paths; not player prevalence	B uses Threat posture evidence; WITHERBLOOM uses Engine concentration evidence. No direct pair claim is made.	b1.hall.threat.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
B	YORE	EXACT-TIE;HIGH-FREQUENCY-P1/P2	213;3	accepted exact tie;>=100 authored paths; not player prevalence	B uses Threat posture evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	b1.hall.threat.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BANT	ESPER	MANDATORY-COVERAGE	mandatory structural coverage	adjacent three-color	BANT uses Commander reliance evidence; ESPER uses Engine concentration evidence. No direct pair claim is made.	b1.hall.commander-role.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BANT	GLINT	EXACT-TIE	1	accepted exact tie	BANT uses Commander reliance evidence; GLINT uses Initiative posture evidence. No direct pair claim is made.	b1.hall.commander-role.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BANT	INK	EXACT-TIE	2	accepted exact tie	BANT uses Commander reliance evidence; INK uses Public commitment evidence. No direct pair claim is made.	b1.hall.commander-role.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BANT	JUND	EXACT-TIE	2	accepted exact tie	BANT uses Commander reliance evidence; JUND uses Initiative posture evidence. No direct pair claim is made.	b1.hall.commander-role.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BANT	TEMUR	EXACT-TIE	1	accepted exact tie	BANT uses Commander reliance evidence; TEMUR uses Initiative posture evidence. No direct pair claim is made.	b1.hall.commander-role.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BANT	W	EXACT-TIE	1	accepted exact tie	BANT uses Commander reliance evidence; W uses Public commitment evidence. No direct pair claim is made.	b1.hall.commander-role.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BG	GLINT	HIGH-FREQUENCY-P1/P2	198	>=100 authored paths; not player prevalence	BG uses Resource sacrifice evidence; GLINT uses Repeatability preference evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BG	WITHERBLOOM	MANDATORY-COVERAGE	mandatory structural coverage	same-color guild/college	Direct scenario tests one bounded Commander behavior.	b1.crucible.bg.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
BR	GLINT	HIGH-FREQUENCY-P1/P2	159	>=100 authored paths; not player prevalence	BR uses Resource sacrifice evidence; GLINT uses Repeatability preference evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BR	JUND	EXACT-TIE	1	accepted exact tie	BR uses Threat posture evidence; JUND uses Initiative posture evidence. No direct pair claim is made.	b1.hall.threat.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BR	SULTAI	EXACT-TIE	2	accepted exact tie	BR uses Threat posture evidence; SULTAI uses Engine concentration evidence. No direct pair claim is made.	b1.hall.threat.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BR	UB	EXACT-TIE	4	accepted exact tie	BR uses Resource sacrifice evidence; UB uses Resource visibility evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BR	WU	EXACT-TIE	1	accepted exact tie	BR uses Threat posture evidence; WU uses Mana commitment and interaction window evidence. No direct pair claim is made.	b1.hall.threat.v1;b1.hall.interaction-window.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
BR	YORE	HIGH-FREQUENCY-P1/P2	169	>=100 authored paths; not player prevalence	BR uses Threat posture evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	b1.hall.threat.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
COLORLESS	WUBRG	MANDATORY-COVERAGE	mandatory structural coverage	edge identity	Direct scenario tests one bounded Commander behavior.	b1.crucible.colorless-wubrg.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
DUNE	GLINT	MANDATORY-COVERAGE	mandatory structural coverage	adjacent four-color	Direct scenario tests one bounded Commander behavior.	b1.crucible.glint-dune.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
DUNE	GRIXIS	EXACT-TIE	1	accepted exact tie	DUNE uses Pressure channel evidence; GRIXIS uses Initiative posture evidence. No direct pair claim is made.	b1.hall.pressure.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
DUNE	INK	MANDATORY-COVERAGE	mandatory structural coverage	adjacent four-color	Direct scenario tests one bounded Commander behavior.	b1.crucible.dune-ink.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
DUNE	LOREHOLD	EXACT-TIE	6	accepted exact tie	DUNE uses Pressure channel evidence; LOREHOLD uses Disruption response evidence. No direct pair claim is made.	b1.hall.pressure.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
DUNE	NAYA	EXACT-TIE	13;6	accepted exact tie	DUNE uses Public commitment evidence; NAYA uses Theme-efficiency tradeoff evidence. No direct pair claim is made.	b1.hall.commitment.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
DUNE	PRISMARI	EXACT-TIE	1	accepted exact tie	DUNE uses Pressure channel evidence; PRISMARI uses Advantage tempo evidence. No direct pair claim is made.	b1.hall.pressure.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
ESPER	GRIXIS	MANDATORY-COVERAGE	mandatory structural coverage	adjacent three-color	ESPER uses Engine concentration evidence; GRIXIS uses Initiative posture evidence. No direct pair claim is made.	b1.hall.engine-shape.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
ESPER	JESKAI	EXACT-TIE	13	accepted exact tie	Direct scenario tests one bounded Commander behavior.	b1.crucible.esper.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
ESPER	MARDU	EXACT-TIE	1	accepted exact tie	ESPER uses Engine concentration evidence; MARDU uses Initiative posture evidence. No direct pair claim is made.	b1.hall.engine-shape.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
ESPER	PRISMARI	EXACT-TIE	2	accepted exact tie	ESPER uses Engine concentration evidence; PRISMARI uses Advantage tempo evidence. No direct pair claim is made.	b1.hall.engine-shape.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
ESPER	SULTAI	EXACT-TIE	4	accepted exact tie	ESPER uses Mana commitment and interaction window evidence; SULTAI uses Resource sacrifice evidence. No direct pair claim is made.	b1.hall.interaction-window.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
ESPER	WB	EXACT-TIE	1	accepted exact tie	ESPER uses Engine concentration evidence; WB uses Public commitment evidence. No direct pair claim is made.	b1.hall.engine-shape.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
ESPER	WITCH	EXACT-TIE	1	accepted exact tie	ESPER uses Mana commitment and interaction window evidence; WITCH uses Setup tolerance evidence. No direct pair claim is made.	b1.hall.interaction-window.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
G	NAYA	HIGH-FREQUENCY-P1/P2	138	>=100 authored paths; not player prevalence	G uses Disruption response evidence; NAYA uses Pressure channel evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
G	R	EXACT-TIE	1	accepted exact tie	G uses Disruption response evidence; R uses Initiative posture evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
G	U	EXACT-TIE	51	accepted exact tie	G uses Disruption response evidence; U uses Initiative posture evidence. No direct pair claim is made.	b1.gate.disruption.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
G	W	HIGH-FREQUENCY-P1/P2	144	>=100 authored paths; not player prevalence	G uses Setup tolerance evidence; W uses Public commitment evidence. No direct pair claim is made.	b1.hall.setup.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	GRIXIS	EXACT-TIE	6	accepted exact tie	Direct scenario tests one bounded Commander behavior.	b1.crucible.grixis.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	JUND	EXACT-TIE	4;1	accepted exact tie	GLINT uses Repeatability preference evidence; JUND uses Resource sacrifice evidence. No direct pair claim is made.	b1.hall.repeatability.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	PRISMARI	EXACT-TIE	2;1	accepted exact tie	GLINT uses Repeatability preference evidence; PRISMARI uses Advantage tempo evidence. No direct pair claim is made.	b1.hall.repeatability.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	R	HIGH-FREQUENCY-P1/P2	182	>=100 authored paths; not player prevalence	GLINT uses Repeatability preference evidence; R uses Advantage tempo evidence. No direct pair claim is made.	b1.hall.repeatability.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	SULTAI	EXACT-TIE	6	accepted exact tie	GLINT uses Repeatability preference evidence; SULTAI uses Resource sacrifice evidence. No direct pair claim is made.	b1.hall.repeatability.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	TEMUR	EXACT-TIE	2	accepted exact tie	Direct scenario tests one bounded Commander behavior.	b1.crucible.temur.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	U	HIGH-FREQUENCY-P1/P2	141	>=100 authored paths; not player prevalence	GLINT uses Repeatability preference evidence; U uses Mana commitment and interaction window evidence. No direct pair claim is made.	b1.hall.repeatability.v1;b1.hall.interaction-window.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	UB	EXACT-TIE	2;1	accepted exact tie	GLINT uses Repeatability preference evidence; UB uses Resource visibility evidence. No direct pair claim is made.	b1.hall.repeatability.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	UR	HIGH-FREQUENCY-P1/P2	189	>=100 authored paths; not player prevalence	GLINT uses Initiative posture evidence; UR uses Engine concentration evidence. No direct pair claim is made.	b1.gate.initiative.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
GLINT	YORE	MANDATORY-COVERAGE	mandatory structural coverage	adjacent four-color	Direct scenario tests one bounded Commander behavior.	b1.crucible.yore-glint.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	Before at least two independent observations or when this competitor set is absent.	DIRECT-PROVISIONAL	E-AUDIT;E-CERTIFIED;E-CECOS
GRIXIS	JESKAI	EXACT-TIE	2	accepted exact tie	GRIXIS uses Resource sacrifice evidence; JESKAI uses Mana commitment and interaction window evidence. No direct pair claim is made.	b1.hall.sacrifice.v1;b1.hall.interaction-window.v1;b1.crucible.mono-multi.v1	Questions record observable Commander preferences; identity association comes only from certified boundary records and remains a pilot hypothesis.	No direct Crucible item; do not improvise one or name a strong winner from broad coverage.	INDIRECT-STRUCTURAL; close/insufficient expected	E-AUDIT;E-CERTIFIED;E-CECOS
