record_type	current_question_id	current_answer_id	audit_answer_id	stage	current_wording	current_answer_title	current_answer_copy	current_scoring_effects	audit_question_disposition	audit_answer_disposition	abstraction_burden	double_barrel_status	mood_roleplay_dependence	desirability_bias	attempted_constructs	salvageable_observation	proposed_disposition	evidence_boundary
current_answer_effect	gate_v2_first_signal	gate_v2_signal_cold_pattern	gate_v2_signal_cold_pattern	gate	What signal reaches you first?	The cold pattern	Before the room gets loud, I notice leverage, implication, and what the facts are already costing.	strong=B,ESPER,ABZAN,SULTAI,WITCH,BG,UB,WB,SILVERQUILL,WITHERBLOOM;positive=U,B,G,BANT,ESPER,ABZAN,SULTAI,GLINT,WITCH,BG,UB,WB,QUANDRIX,SILVERQUILL,UG,WITHERBLOOM;suppressed=R,WR,NAYA,TEMUR,JESKAI,INK,COLORLESS,WUBRG,RG,UR,LOREHOLD,PRISMARI	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: calculated implication | measured inference | balanced chord | felt ignition | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: calculated implication. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_first_signal	gate_v2_signal_measured_trace	gate_v2_signal_measured_trace	gate	What signal reaches you first?	The measured trace	I look for the thread beneath the feeling: the sign that tells me what kind of change is possible.	strong=B,ESPER,ABZAN,SULTAI,WITCH,BG,UB,WB,SILVERQUILL,WITHERBLOOM;positive=U,B,G,BANT,BR,ESPER,GRIXIS,JUND,ABZAN,SULTAI,YORE,GLINT,DUNE,WITCH,BG,UB,WB,QUANDRIX,SILVERQUILL,UG,WITHERBLOOM;suppressed=R,WR,NAYA,JESKAI,COLORLESS,WUBRG,RG,UR,LOREHOLD,PRISMARI	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: calculated implication | measured inference | balanced chord | felt ignition | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: measured inference. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_first_signal	gate_v2_signal_whole_chord	gate_v2_signal_whole_chord	gate	What signal reaches you first?	The whole chord	The signal arrives as a chord: thought, hunger, duty, feeling, and life all audible at once.	strong=WUBRG;positive=W,U,B,R,G,WU,BANT,WR,BR,ESPER,GRIXIS,JUND,NAYA,ABZAN,TEMUR,SULTAI,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,WUBRG,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,QUANDRIX,WG,SILVERQUILL,UG,WITHERBLOOM;suppressed=COLORLESS	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: calculated implication | measured inference | balanced chord | felt ignition | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: balanced chord. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_first_signal	gate_v2_signal_live_spark	gate_v2_signal_live_spark	gate	What signal reaches you first?	The live spark	I hear what wants to move: the heat, the honesty, the flash before it gets explained away.	strong=R,WR,NAYA,TEMUR,JESKAI,INK,RG,UR,LOREHOLD,PRISMARI;positive=W,R,WR,NAYA,TEMUR,JESKAI,INK,RG,UR,LOREHOLD,PRISMARI;suppressed=B,ESPER,ABZAN,SULTAI,WITCH,COLORLESS,WUBRG,BG,UB,WB,SILVERQUILL,WITHERBLOOM	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: calculated implication | measured inference | balanced chord | felt ignition | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: felt ignition. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_first_signal	gate_v2_signal_unlit_edge	gate_v2_signal_unlit_edge	gate	What signal reaches you first?	The unlit edge	The first signal is absence: a clean edge where the usual symbols stop being useful.	strong=COLORLESS;positive=COLORLESS;suppressed=W,U,B,R,G,WU,BANT,WR,BR,ESPER,GRIXIS,JUND,NAYA,ABZAN,TEMUR,SULTAI,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,WUBRG,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,QUANDRIX,WG,SILVERQUILL,UG,WITHERBLOOM	REPLACE	REPLACE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: calculated implication | measured inference | balanced chord | felt ignition | outside boundary | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: outside boundary. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_cost_of_oath	gate_v2_oath_preserve	gate_v2_oath_preserve	gate	What cost can an oath fairly ask of you?	Preserve what must not break	It can ask me to carry the old weight: shelter, consequence, and the line that keeps faith intact.	strong=W,R,WR,BR,ESPER,JUND,NAYA,ABZAN,MARDU,JESKAI,YORE,DUNE,INK,LOREHOLD,WB,WG,SILVERQUILL;positive=W,B,R,WU,BANT,WR,BR,ESPER,GRIXIS,JUND,NAYA,ABZAN,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,BG,RG,LOREHOLD,WB,WG,SILVERQUILL,WITHERBLOOM;suppressed=U,COLORLESS,WUBRG,QUANDRIX,UG	REPLACE	REPLACE	HIGH	NO	mood=NOT-EXPLICIT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: preserving duty | careful stewardship | integrated covenant | transformative cost | outside boundary | ["social-behavior","philosophical-preference"]	Concept only: preserving duty. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_cost_of_oath	gate_v2_oath_steward	gate_v2_oath_steward	gate	What cost can an oath fairly ask of you?	Steward the change	It can ask discipline from me: not refusal of change, but care over what change consumes.	strong=W,WR,NAYA,MARDU,JESKAI,LOREHOLD;positive=W,R,WU,BANT,WR,BR,ESPER,GRIXIS,JUND,NAYA,ABZAN,TEMUR,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,RG,UR,LOREHOLD,WB,PRISMARI,WG,SILVERQUILL;suppressed=COLORLESS,WUBRG	REPLACE	REPLACE	HIGH	NO	mood=NOT-EXPLICIT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: preserving duty | careful stewardship | integrated covenant | transformative cost | outside boundary | ["social-behavior","philosophical-preference"]	Concept only: careful stewardship. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_cost_of_oath	gate_v2_oath_whole_covenant	gate_v2_oath_whole_covenant	gate	What cost can an oath fairly ask of you?	Keep the whole covenant	It can ask me to hold every claim in view, even when no single hunger deserves the throne.	strong=WUBRG;positive=W,U,B,R,G,WU,BANT,WR,BR,ESPER,GRIXIS,JUND,NAYA,ABZAN,TEMUR,SULTAI,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,WUBRG,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,QUANDRIX,WG,SILVERQUILL,UG,WITHERBLOOM;suppressed=COLORLESS	REPLACE	REPLACE	HIGH	NO	mood=NOT-EXPLICIT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: preserving duty | careful stewardship | integrated covenant | transformative cost | outside boundary | ["social-behavior","philosophical-preference"]	Concept only: integrated covenant. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_cost_of_oath	gate_v2_oath_transform	gate_v2_oath_transform	gate	What cost can an oath fairly ask of you?	Become the changed thing	It can ask me to release the prior shape and become the answer the threshold requires.	strong=U,G,TEMUR,SULTAI,GLINT,UB,UR,PRISMARI,QUANDRIX,UG;positive=U,G,GRIXIS,JUND,TEMUR,SULTAI,GLINT,BG,RG,UB,UR,PRISMARI,QUANDRIX,UG,WITHERBLOOM;suppressed=W,WU,WR,ESPER,NAYA,ABZAN,MARDU,JESKAI,YORE,DUNE,COLORLESS,WUBRG,LOREHOLD,WB,WG,SILVERQUILL	REPLACE	REPLACE	HIGH	NO	mood=NOT-EXPLICIT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: preserving duty | careful stewardship | integrated covenant | transformative cost | outside boundary | ["social-behavior","philosophical-preference"]	Concept only: transformative cost. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	gate_v2_cost_of_oath	gate_v2_oath_without_color	gate_v2_oath_without_color	gate	What cost can an oath fairly ask of you?	Stand where the lamp does not reach	It can ask a clean refusal: no borrowed brightness, no decorated answer, only the boundary kept.	strong=COLORLESS;positive=COLORLESS;suppressed=W,U,B,R,G,WU,BANT,WR,BR,ESPER,GRIXIS,JUND,NAYA,ABZAN,TEMUR,SULTAI,MARDU,JESKAI,YORE,GLINT,DUNE,INK,WITCH,WUBRG,BG,RG,UB,UR,LOREHOLD,WB,PRISMARI,QUANDRIX,WG,SILVERQUILL,UG,WITHERBLOOM	REPLACE	REPLACE	HIGH	NO	mood=NOT-EXPLICIT;lore=NOT-EXPLICIT	HIGH	Broad Gate routing; authored signals: preserving duty | careful stewardship | integrated covenant | transformative cost | outside boundary | ["social-behavior","philosophical-preference"]	Concept only: outside boundary. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_W_shelter	MISSING	hall_W_shelter#answer-1	hall	A frightened group needs protection before trust has time to grow. What response feels most dependable?	Build the shelter	Set the standard, make the boundary clear, and give people something reliable to stand inside.	strong=W;positive=W,WG,WU,WR;suppressed=UB,BR	RETUNE	KEEP-BUT-REWORD	MEDIUM	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate W; authored signals: shelter through structure | procedure first | urgent guardianship | belonging as shelter | ["social-behavior","psychographic-or-motivational-inference-risk"]	Concept only: shelter through structure. No current scoring effect is retained.	retain concept only	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_W_shelter	MISSING	hall_W_shelter#answer-2	hall	A frightened group needs protection before trust has time to grow. What response feels most dependable?	Write the procedure	Protection lasts when the process is explicit enough to survive mood.	strong=WU;positive=WU;suppressed=W	RETUNE	KEEP-BUT-REWORD	MEDIUM	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate W; authored signals: shelter through structure | procedure first | urgent guardianship | belonging as shelter | ["social-behavior","psychographic-or-motivational-inference-risk"]	Concept only: procedure first. No current scoring effect is retained.	retain concept only	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_W_shelter	MISSING	hall_W_shelter#answer-3	hall	A frightened group needs protection before trust has time to grow. What response feels most dependable?	Intervene immediately	The first duty is to put yourself between the danger and the vulnerable person.	strong=WR;positive=WR;suppressed=W	RETUNE	KEEP-BUT-REWORD	MEDIUM	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate W; authored signals: shelter through structure | procedure first | urgent guardianship | belonging as shelter | ["social-behavior","psychographic-or-motivational-inference-risk"]	Concept only: urgent guardianship. No current scoring effect is retained.	retain concept only	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_W_shelter	MISSING	hall_W_shelter#answer-4	hall	A frightened group needs protection before trust has time to grow. What response feels most dependable?	Restore belonging	People trust protection more when they feel held by the whole group.	strong=WG;positive=WG;suppressed=W	RETUNE	KEEP-BUT-REWORD	MEDIUM	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate W; authored signals: shelter through structure | procedure first | urgent guardianship | belonging as shelter | ["social-behavior","psychographic-or-motivational-inference-risk"]	Concept only: belonging as shelter. No current scoring effect is retained.	retain concept only	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_W_duty	MISSING	hall_W_duty#answer-1	hall	A structure is imperfect, but it still keeps more people safe than improvisation. What matters most?	Strengthen what protects	If the shelter holds, improve it and keep faith with the people relying on it.	strong=W;positive=W,WU,WG,WR;suppressed=BR,RG	RETUNE	NEEDS-EVIDENCE	LOW	YES	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate W; authored signals: duty to maintain shelter | airtight procedure | case-first intervention | shared care | ["social-behavior","psychographic-or-motivational-inference-risk"]	Concept only: duty to maintain shelter. No current scoring effect is retained.	retain concept only	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_W_duty	MISSING	hall_W_duty#answer-2	hall	A structure is imperfect, but it still keeps more people safe than improvisation. What matters most?	Refine the procedure	The system matters most when its rules are precise enough to remain fair under pressure.	strong=WU;positive=WU;suppressed=W	RETUNE	NEEDS-EVIDENCE	LOW	YES	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate W; authored signals: duty to maintain shelter | airtight procedure | case-first intervention | shared care | ["social-behavior","psychographic-or-motivational-inference-risk"]	Concept only: airtight procedure. No current scoring effect is retained.	retain concept only	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_W_duty	MISSING	hall_W_duty#answer-3	hall	A structure is imperfect, but it still keeps more people safe than improvisation. What matters most?	Choose the urgent case	A structure that hesitates in the face of harm must be overruled by action.	strong=WR;positive=WR;suppressed=W	RETUNE	NEEDS-EVIDENCE	LOW	YES	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate W; authored signals: duty to maintain shelter | airtight procedure | case-first intervention | shared care | ["social-behavior","psychographic-or-motivational-inference-risk"]	Concept only: case-first intervention. No current scoring effect is retained.	retain concept only	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_W_duty	MISSING	hall_W_duty#answer-4	hall	A structure is imperfect, but it still keeps more people safe than improvisation. What matters most?	Heal the bond	Protection is real when people want to carry it together, not just receive it.	strong=WG;positive=WG;suppressed=W	RETUNE	NEEDS-EVIDENCE	LOW	YES	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate W; authored signals: duty to maintain shelter | airtight procedure | case-first intervention | shared care | ["social-behavior","psychographic-or-motivational-inference-risk"]	Concept only: shared care. No current scoring effect is retained.	retain concept only	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_B_cost	MISSING	hall_B_cost#answer-1	hall	A choice will cost life, comfort, or loyalty, but it keeps your fate from belonging to someone else. What makes the exchange honest?	Pay the cost	If the price buys agency, the cost is part of the plan rather than a warning to stop.	strong=B;positive=B,UB,BR,WB;suppressed=U,W,WG	REPLACE	RETUNE	HIGH	YES	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate B; authored signals: power at a cost | secret leverage | binding debt | unrestrained appetite | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: power at a cost. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_B_cost	MISSING	hall_B_cost#answer-2	hall	A choice will cost life, comfort, or loyalty, but it keeps your fate from belonging to someone else. What makes the exchange honest?	Hide the leverage	Control is safest when no one knows which resource you are holding.	strong=UB;positive=UB;suppressed=B	REPLACE	NEEDS-EVIDENCE	HIGH	YES	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate B; authored signals: power at a cost | secret leverage | binding debt | unrestrained appetite | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: secret leverage. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_B_cost	MISSING	hall_B_cost#answer-3	hall	A choice will cost life, comfort, or loyalty, but it keeps your fate from belonging to someone else. What makes the exchange honest?	Make it a debt	A cost matters most when it becomes an obligation someone must answer.	strong=WB;positive=WB;suppressed=B	REPLACE	NEEDS-EVIDENCE	HIGH	YES	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate B; authored signals: power at a cost | secret leverage | binding debt | unrestrained appetite | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: binding debt. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_B_cost	MISSING	hall_B_cost#answer-4	hall	A choice will cost life, comfort, or loyalty, but it keeps your fate from belonging to someone else. What makes the exchange honest?	Spend the restraint	The release itself is the point; the price proves the appetite is real.	strong=BR;positive=BR;suppressed=B	REPLACE	KEEP-BUT-REWORD	HIGH	YES	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate B; authored signals: power at a cost | secret leverage | binding debt | unrestrained appetite | ["social-behavior","psychographic-or-motivational-inference-risk","aesthetic-or-narrative-preference"]	Concept only: unrestrained appetite. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
current_answer_effect	hall_B_graveyard	MISSING	hall_B_graveyard#answer-1	hall	Something useful has died, failed, or been spent. What should happen to it now?	Reclaim it as leverage	The graveyard is not a memorial. It is a resource line waiting to be used.	strong=B;positive=B,BG,UB;suppressed=U,W,WG	REPLACE	NEEDS-EVIDENCE	HIGH	NO	mood=PRESENT;lore=NOT-EXPLICIT	HIGH	Differentiate B; authored signals: graveyard as resource | cycle of decay | memorial duty | public pressure | ["gameplay-or-deck-behavior","social-behavior","psychographic-or-motivational-inference-risk"]	Concept only: graveyard as resource. No current scoring effect is retained.	retire	Descriptive inventory only; answer-level evidence authority remains absent.
