identity_id	identity_name	identity_family	supporting_constructs	boundary_constructs	strongest_likely_competitors	minimum_independent_observations	current_evidence_quality	pilot_question_ids	pilot_coverage	uncovered_risks	evidence_provenance
GRIXIS	Grixis	shard	C01;C12;C02	C01;C12	B:56;YORE:40;GLINT:35;U:30;BR:26	4 across at least 2 stages; include 1 direct boundary observation	HIGH-CONFUSION-RISK	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1;b1.crucible.grixis.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
INK	Ink / Altruism	four_color	C13;C03;C10	C13;C03	W:57;LOREHOLD:35;QUANDRIX:35;NAYA:33;JESKAI:31	4 across at least 2 stages; include 1 direct boundary observation	INSUFFICIENT-DISTINCTIVENESS-EVIDENCE	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.commitment.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1;b1.crucible.dune-ink.v1;b1.crucible.ink-witch.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
JESKAI	Jeskai Way	wedge	C08;C01;C09	C08;C01	INK:65;LOREHOLD:55;W:51;U:50;NAYA:45	4 across at least 2 stages; include 1 direct boundary observation	INSUFFICIENT-DISTINCTIVENESS-EVIDENCE	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.interaction-window.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1;b1.crucible.jeskai.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
JUND	Jund	shard	C01;C12;C07	C01;C12	GLINT:90;B:32;DUNE:28;R:26;WUBRG:25	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.sacrifice.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
LOREHOLD	Lorehold College	college	C03;C06;C10	C03;C06	NAYA:54;JESKAI:53;R:39;INK:31;YORE:23	4 across at least 2 stages; include 1 direct boundary observation	INSUFFICIENT-DISTINCTIVENESS-EVIDENCE	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.engine-shape.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1;b1.crucible.wr.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
MARDU	Mardu Horde	wedge	C01;C07;C13	C01;C07	R:37;YORE:34;WU:22;W:16;ESPER:15	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.pressure.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
NAYA	Naya	shard	C07;C10;C11	C07;C10	INK:87;RG:67;DUNE:63;W:60;G:54	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.pressure.v1;b1.hall.theme.v1;b1.hall.threat.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
PRISMARI	Prismari College	college	C04;C10;C11	C04;C10	GLINT:66;JESKAI:62;R:48;U:39;RG:23	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.theme.v1;b1.hall.threat.v1;b1.crucible.mono-multi.v1;b1.crucible.ur.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
QUANDRIX	Quandrix College	college	C06;C09;C14	C06;C09	U:66;GLINT:44;TEMUR:42;UB:35;SULTAI:31	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.engine-shape.v1;b1.hall.repeatability.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1;b1.crucible.ug.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
R	Red	color	C01;C04;C11	C01;C04	JESKAI:226;NAYA:214;W:205;GLINT:182;B:162	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.threat.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
RG	Gruul Clans	guild	C07;C01;C10	C07;C01	NAYA:150;GLINT:104;R:55;B:51;WR:49	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.pressure.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
SILVERQUILL	Silverquill College	college	C13;C11;C10	C13;C11	ESPER:44;ABZAN:31;B:28;BR:19;BANT:19	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.commitment.v1;b1.hall.threat.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1;b1.crucible.wb.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
SULTAI	Sultai Brood	wedge	C12;C06;C14	C12;C06	B:39;GLINT:31;BG:28;U:23;WITCH:20	4 across at least 2 stages; include 1 direct boundary observation	HIGH-CONFUSION-RISK	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.sacrifice.v1;b1.hall.engine-shape.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1;b1.crucible.sultai.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
TEMUR	Temur Frontier	wedge	C01;C07;C14	C01;C07	G:24;INK:24;GLINT:23;PRISMARI:19;LOREHOLD:19	4 across at least 2 stages; include 1 direct boundary observation	HIGH-CONFUSION-RISK	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.pressure.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1;b1.crucible.temur.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
U	Blue	color	C01;C08;C06	C01;C08	W:195;GLINT:141;JESKAI:110;B:109;QUANDRIX:95	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.interaction-window.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
UB	House Dimir	guild	C02;C08;C11	C02;C08	B:194;YORE:191;U:143;GLINT:134;QUANDRIX:111	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.interaction-window.v1;b1.hall.threat.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
UG	Simic Combine	guild	C06;C03;C14	C06;C03	G:84;GLINT:71;WITCH:65;U:55;W:49	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.engine-shape.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1;b1.crucible.ug.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
UR	Izzet League	guild	C06;C04;C09	C06;C04	GLINT:189;JESKAI:162;R:96;LOREHOLD:76;RG:74	4 across at least 2 stages; include 1 direct boundary observation	INSUFFICIENT-DISTINCTIVENESS-EVIDENCE	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.engine-shape.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1;b1.crucible.ur.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
W	White	color	C03;C13;C07	C03;C13	WUBRG:184;JESKAI:159;G:144;U:124;R:106	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.commitment.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
WB	Orzhov Syndicate	guild	C13;C12;C09	C13;C12	YORE:110;WITCH:68;W:65;B:58;BR:42	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.commitment.v1;b1.hall.sacrifice.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1;b1.crucible.wb.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
WG	Selesnya Conclave	guild	C13;C03;C10	C13;C03	NAYA:99;WITCH:75;W:74;INK:54;WUBRG:52	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.commitment.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
WITCH	Witch / Growth	four_color	C14;C06;C09	C14;C06	W:94;QUANDRIX:51;BANT:39;B:33;NAYA:31	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.setup.v1;b1.hall.engine-shape.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1;b1.crucible.ink-witch.v1;b1.crucible.witch-yore.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
WITHERBLOOM	Witherbloom College	college	C12;C06;C14	C12;C06	GLINT:108;G:60;B:53;BR:38;UB:31	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.sacrifice.v1;b1.hall.engine-shape.v1;b1.hall.setup.v1;b1.crucible.mono-multi.v1;b1.crucible.bg.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
WR	Boros Legion	guild	C03;C07;C01	C03;C07	JESKAI:145;NAYA:126;R:107;YORE:79;WUBRG:77	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1;b1.crucible.wr.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
WU	Azorius Senate	guild	C08;C13;C09	C08;C13	W:159;JESKAI:146;WITCH:91;U:79;BANT:69	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.interaction-window.v1;b1.hall.commitment.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1	STRUCTURAL-BROAD-AND-FAMILY; no direct identity-specific discriminator	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
WUBRG	Five-Color / WUBRG	five_color	C15;C09;C10	C15;C09	R:72;BG:47;WG:46;RG:40;ESPER:40	3 across at least 2 stages; include 1 boundary observation	MECHANICALLY-DISTINGUISHABLE-BUT-UNVALIDATED	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.breadth.v1;b1.hall.repeatability.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1;b1.crucible.colorless-wubrg.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	No empirical confusion, reliability, or false-positive data; broad constructs may not separate nearest competitors.	E-AUDIT;E-CERTIFIED;E-CECOS
YORE	Yore / Artifice	four_color	C06;C09;C12	C06;C09	B:119;DUNE:64;BR:43;PRISMARI:41;R:39	4 across at least 2 stages; include 1 direct boundary observation	INSUFFICIENT-DISTINCTIVENESS-EVIDENCE	b1.gate.initiative.v1;b1.gate.visibility.v1;b1.gate.disruption.v1;b1.gate.tempo.v1;b1.hall.engine-shape.v1;b1.hall.repeatability.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1;b1.crucible.yore-glint.v1;b1.crucible.witch-yore.v1	STRUCTURAL-DIRECT-HYPOTHESIS; not empirically validated	High confusion or insufficient distinctiveness; preserve close/insufficient until player evidence supports mapping.	E-AUDIT;E-CERTIFIED;E-CECOS
