answer_id	question_id	construct_id	stage	review_disposition	construct_fidelity	scenario_fit	option_distinguishability	compound_construct_risk	desirability_or_skill_bias	identity_giveaway_risk	novice_clarity	title_sentence_alignment	observation_alignment	primary_signal_alignment	secondary_signal_alignment	dependency_alignment	exclusion_quality	evidence_authority	jargon_issue	limitation_quality	recommended_action	rationale	owner_review_required
b1.gate.disruption.v1.limit	b1.gate.disruption.v1	C03	Gate	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers reduced exposure to broad disruption.' is bounded to C03 and maps to SIG_C03_LIMIT_EXPOSURE.	NO
b1.gate.disruption.v1.depends	b1.gate.disruption.v1	C03	Gate	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C03; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.gate.tempo.v1.small	b1.gate.tempo.v1	C04	Gate	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers incremental advantage.' is bounded to C04 and maps to SIG_C04_INCREMENTAL.	NO
b1.gate.tempo.v1.burst	b1.gate.tempo.v1	C04	Gate	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers a concentrated payoff turn.' is bounded to C04 and maps to SIG_C04_CONCENTRATED.	NO
b1.gate.tempo.v1.waves	b1.gate.tempo.v1	C04	Gate	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers cyclical advantage.' is bounded to C04 and maps to SIG_C04_CYCLICAL.	NO
b1.gate.tempo.v1.depends	b1.gate.tempo.v1	C04	Gate	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	NONE	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C04; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.hall.commander-role.v1.function	b1.hall.commander-role.v1	C05	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers a resilient 99.' is bounded to C05 and maps to SIG_C05_RESILIENT_99.	NO
b1.hall.commander-role.v1.partial	b1.hall.commander-role.v1	C05	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers commander relevance without binary dependence.' is bounded to C05 and maps to SIG_C05_ROLE_PLAYER.	NO
b1.hall.commander-role.v1.center	b1.hall.commander-role.v1	C05	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Accepts high commander dependence.' is bounded to C05 and maps to SIG_C05_CENTERPIECE.	NO
b1.hall.engine-shape.v1.replace	b1.hall.engine-shape.v1	C06	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers redundant replaceable pieces.' is bounded to C06 and maps to SIG_C06_REDUNDANT.	NO
b1.hall.engine-shape.v1.overlap	b1.hall.engine-shape.v1	C06	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers modular overlapping engines.' is bounded to C06 and maps to SIG_C06_MODULAR.	NO
b1.hall.engine-shape.v1.central	b1.hall.engine-shape.v1	C06	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Accepts concentrated engine dependency.' is bounded to C06 and maps to SIG_C06_CENTRAL.	NO
b1.hall.pressure.v1.combat	b1.hall.pressure.v1	C07	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers combat pressure.' is bounded to C07 and maps to SIG_C07_COMBAT.	NO
b1.hall.pressure.v1.resources	b1.hall.pressure.v1	C07	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers resource-control pressure.' is bounded to C07 and maps to SIG_C07_RESOURCE_CONTROL.	NO
b1.hall.pressure.v1.engine	b1.hall.pressure.v1	C07	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers noncombat engine pressure.' is bounded to C07 and maps to SIG_C07_NONCOMBAT_ENGINE.	NO
b1.hall.mana-window.v1.own	b1.hall.mana-window.v1	C08	Hall	REWORD	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Accept the applied plain-language correction; the construct and primary signal are unchanged.	The revised title or sentence removes jargon or adjacent-construct drift while preserving 'Prefers own-turn commitment.' and SIG_C08_OWN_TURN.	NO
b1.hall.mana-window.v1.others	b1.hall.mana-window.v1	C08	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers opponent-turn windows.' is bounded to C08 and maps to SIG_C08_OPPONENT_TURN.	NO
b1.hall.mana-window.v1.split	b1.hall.mana-window.v1	C08	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers split commitment.' is bounded to C08 and maps to SIG_C08_SPLIT.	NO
b1.hall.repeatability.v1.same	b1.hall.repeatability.v1	C09	Hall	REWORD	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Accept the applied plain-language correction; the construct and primary signal are unchanged.	The revised title or sentence removes jargon or adjacent-construct drift while preserving 'Prefers consistent access to a plan.' and SIG_C09_CONSISTENT.	NO
b1.hall.repeatability.v1.varied	b1.hall.repeatability.v1	C09	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers variance and novelty.' is bounded to C09 and maps to SIG_C09_VARIANT.	NO
b1.hall.repeatability.v1.toolbox	b1.hall.repeatability.v1	C09	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers stable purpose with variable execution.' is bounded to C09 and maps to SIG_C09_TOOLBOX.	NO
b1.hall.theme.v1.theme	b1.hall.theme.v1	C10	Hall	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C10; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.hall.theme.v1.reliable	b1.hall.theme.v1	C10	Hall	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C10; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.hall.theme.v1.gap	b1.hall.theme.v1	C10	Hall	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C10; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.hall.threat.v1.embrace	b1.hall.threat.v1	C11	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Accepts visible threat status.' is bounded to C11 and maps to SIG_C11_EMBRACE.	NO
b1.hall.threat.v1.avoid	b1.hall.threat.v1	C11	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers lower visible threat.' is bounded to C11 and maps to SIG_C11_AVOID.	NO
b1.hall.threat.v1.pivot	b1.hall.threat.v1	C11	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers adaptive threat posture.' is bounded to C11 and maps to SIG_C11_ADAPTIVE.	NO
b1.hall.sacrifice.v1.convert	b1.hall.sacrifice.v1	C12	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers voluntary resource conversion.' is bounded to C12 and maps to SIG_C12_CONVERT.	NO
b1.hall.sacrifice.v1.preserve	b1.hall.sacrifice.v1	C12	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers resource preservation.' is bounded to C12 and maps to SIG_C12_PRESERVE.	NO
b1.hall.sacrifice.v1.renew	b1.hall.sacrifice.v1	C12	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers recyclable conversion.' is bounded to C12 and maps to SIG_C12_RECYCLE.	NO
b1.hall.commitment.v1.terms	b1.hall.commitment.v1	C13	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers durable public commitments.' is bounded to C13 and maps to SIG_C13_DURABLE.	NO
b1.hall.commitment.v1.reopen	b1.hall.commitment.v1	C13	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers revisable commitments.' is bounded to C13 and maps to SIG_C13_REVISABLE.	NO
b1.hall.commitment.v1.short	b1.hall.commitment.v1	C13	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers bounded short commitments.' is bounded to C13 and maps to SIG_C13_BOUNDED.	NO
b1.hall.setup.v1.early	b1.hall.setup.v1	C14	Hall	REWORD	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Accept the applied plain-language correction; the construct and primary signal are unchanged.	The revised title or sentence removes jargon or adjacent-construct drift while preserving 'Prefers early utility.' and SIG_C14_EARLY_IMPACT.	NO
b1.hall.setup.v1.long	b1.hall.setup.v1	C14	Hall	REWORD	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Accept the applied plain-language correction; the construct and primary signal are unchanged.	The revised title or sentence removes jargon or adjacent-construct drift while preserving 'Accepts long setup.' and SIG_C14_LONG_SETUP.	NO
b1.hall.setup.v1.staged	b1.hall.setup.v1	C14	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	PASS	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	NONE	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers staged setup.' is bounded to C14 and maps to SIG_C14_STAGED.	NO
b1.hall.breadth.v1.narrow	b1.hall.breadth.v1	C15	Hall	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C15; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.hall.breadth.v1.broad	b1.hall.breadth.v1	C15	Hall	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C15; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.hall.breadth.v1.concept	b1.hall.breadth.v1	C15	Hall	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C15; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.hall.interaction-window.v1.before	b1.hall.interaction-window.v1	C08	Hall	APPROVE	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Retain as a non-scoring semantic proposal for owner review of the complete package.	The title and sentence directly answer the scenario; 'Prefers an early interaction window.' is bounded to C08 and maps to SIG_C08_EARLY_WINDOW.	NO
b1.hall.interaction-window.v1.after	b1.hall.interaction-window.v1	C08	Hall	REWORD	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Accept the applied plain-language correction; the construct and primary signal are unchanged.	The revised title or sentence removes jargon or adjacent-construct drift while preserving 'Prefers a later visible interaction window.' and SIG_C08_LATE_WINDOW.	NO
b1.hall.interaction-window.v1.pressure	b1.hall.interaction-window.v1	C08	Hall	REWORD	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	REMEDIATED	REMEDIATED	PASS	NONE	PASS	PASS	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	PASS	Accept the applied plain-language correction; the construct and primary signal are unchanged.	The revised title or sentence removes jargon or adjacent-construct drift while preserving 'Prefers the opponent-commitment interaction window.' and SIG_C08_COMMIT_WINDOW.	NO
b1.crucible.ur.v1.workshop	b1.crucible.ur.v1	C04	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C04 and SIG_C04_INCREMENTAL; its proposed use for UR vs PRISMARI is structurally sourced but not empirically validated.	YES
b1.crucible.ur.v1.showcase	b1.crucible.ur.v1	C04	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C04 and SIG_C04_CONCENTRATED; its proposed use for UR vs PRISMARI is structurally sourced but not empirically validated.	YES
b1.crucible.ur.v1.neither	b1.crucible.ur.v1	C04	Crucible	METADATA_CORRECTION	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	REMEDIATED	PROVISIONAL-NONSCORING	VERIFIED-OR-REMEDIATED	REMEDIATED	Accept the applied exclusion and limitation correction; no directional scoring authority is created.	The answer remains semantically aligned with C04; metadata now records contextual dependence, boundary-only use, theme separation, or evidence-bearing non-directionality as applicable.	NO
b1.crucible.bg.v1.reclaim	b1.crucible.bg.v1	C12	Crucible	EVIDENCE_REQUIRED	PASS	PASS	PASS	CLEAR	CLEAR	CLEAR	VERIFIED-OR-REMEDIATED	PASS	PASS	PASS	NONE	PASS	PASS	PLAYER-EVIDENCE-REQUIRED	VERIFIED-OR-REMEDIATED	PASS	Retain only as a non-scoring Crucible hypothesis; require eligible player evidence before identity-boundary use.	The option has semantic fit with C12 and SIG_C12_RECYCLE; its proposed use for BG vs WITHERBLOOM is structurally sourced but not empirically validated.	YES
