question_id	stage	construct_id	current_prompt	commander_situation	cecos_source_refs	source_observation_refs	source_role	direct_player_support	contradiction_or_variation	corpus_support_summary	player_language_fit	commander_recognizability	novice_clarity	experienced_player_depth	answer_distinguishability	identity_giveaway_risk	clinical_or_generic_risk	edhmatch_clarity_comparison	product_fit_disposition	proposed_change	reason	owner_review_required
b1.hall.sacrifice.v1	Hall	C12	You can give up a useful permanent now for cards or another lasting resource. What feels natural?	Convert, preserve, or renew a useful permanent		PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | System Architect inputs, engines, and outputs	CREATOR_FRAMEWORK	FRAMEWORK-ONLY	Whether a piece can return changes the choice; no accepted player-language source directly supports the full three-way split	Resource conversion is Commander-recognizable, but direct player support is thin	MODERATE	STRONG	STRONG	STRONG	STRONG	LOW	LOW	Clear, though less emotionally immediate than the benchmark	KEEP	NONE	The example is concrete and bounded; retain the evidence limitation rather than fabricate support	NO
b1.hall.commitment.v1	Hall	C13	A table deal helps both sides now. How binding should it remain after the board changes?	Finite Commander deals under changing board conditions	WEB_REFINED | WEB-draftsim-commander-politics-refined-player-evidence.md | Deal clarity and strategic incentives	WEB_REFINED | WEB-draftsim-commander-politics-refined-player-evidence.md | Deal clarity and strategic incentives; PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | Clean political agreements	MIXED	SYNTHESIS-AND-FRAMEWORK	Players differ on fixed, revisable, and immediate-only commitments; coercion is a separate concern	Specific deals and expiration conditions are established Commander tablecraft	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More useful than a generic sociability question	KEEP	NONE	The board-change condition makes the agreement preference observable	NO
b1.hall.setup.v1	Hall	C14	Early in the game, how much do you want your setup plays to matter right away?	Early contribution, long setup, or staged payoff during setup	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Setup time versus play time affects tolerance	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Setup time versus play time affects tolerance; MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Players want longer games but not necessarily passive games	MIXED	DIRECT-CONDITIONAL	Desired game length, archetype, and pod pace alter acceptable setup	“Influence the game” avoids equating setup with a turn-number power claim	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More contextual and less type-coded than the benchmark	OWNER_REMEDIATION_APPLIED	Early in the game, how much do you want your setup plays to matter right away?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C14 while improving novice comprehension.	NO
b1.hall.breadth.v1	Hall	C15	Once you know what you want a deck to do, how much do you want the available cards to shape the challenge?	Start from one color or narrow rule, broad tools, or the deck concept	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Commander-selection starting points	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Specific card can be the seed instead of commander or archetype; MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Serious deckbuilding restrictions preserve authentic play	MIXED	DIRECT	Top-down, bottom-up, theme-first, and broad-support approaches all appear	Natural deckbuilding language without requiring color-pie expertise	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	Equally approachable with less result giveaway	OWNER_REMEDIATION_APPLIED	Once you know what you want a deck to do, how much do you want the available cards to shape the challenge?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C15 while improving novice comprehension.	NO
b1.hall.interaction-window.v1	Hall	C08	An opponent is building toward the action most likely to decide the game. When should your interaction matter?	Interact before, after visibility, or at the moment the opponent commits	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Interaction windows determine perceived fairness	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Interaction windows determine perceived fairness; MANUAL_REFINED | YT-the-last-video-on-commander-threat-assessment-refined-player-evidence.md | Threats differ by player context	MIXED	DIRECT-CONDITIONAL	Available information and answer type determine which windows actually exist	The owner-corrected commit window is a genuine timing choice, not preventive pressure relabeled	STRONG	STRONG	MODERATE	STRONG	STRONG	LOW	LOW	More behaviorally precise than a broad reactive/proactive label	KEEP	NONE	The question now measures declared C08 timing and defines decisive context	NO
b1.crucible.ur.v1	Crucible	C04	Your spell-heavy deck has mana for a major turn. Which payoff sounds more like the plan?	Repeated spell-engine improvement versus one showcase turn	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Setup time versus play time affects tolerance	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Long non-deterministic combo turns are a distinct frustration; PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | Izzet process versus Prismari performance	MIXED	DIRECT-PLUS-FRAMEWORK	A spell-heavy deck may combine both process and showcase; neither preserves a nonmatching route	The scenario makes the same-color distinction recognizable without naming either faction	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More specific and less self-labeling than the benchmark	KEEP	NONE	Controlled pair language is appropriate and the identity association remains evidence-required	NO
b1.crucible.bg.v1	Crucible	C12	Several cards from your battlefield went to your graveyard. What do you want that loss to enable?	Reuse what died, exchange loss for a new resource, or treat the graveyard as incidental		PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | Golgari and Witherbloom load-bearing distinction	PUBLISHER_OR_OFFICIAL_FRAMEWORK	FRAMEWORK-ONLY	Real decks can use both recursion and exchange; the neither answer prevents a forced identity reading	The situation is Commander-native, but the identity association is a non-scoring hypothesis	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More useful than selecting a favored faction philosophy	KEEP	NONE	It measures loss use directly and preserves the approved evidence boundary	NO
b1.crucible.wr.v1	Crucible	C03	An opponent targets an important permanent. Which response would you rather have built toward?	Protect now or recover value after targeted removal	MANUAL_REFINED | YT-command-zone-your-commander-may-be-the-problem-refined-player-evidence.md | Players want consistency without commander dependence	MANUAL_REFINED | YT-command-zone-your-commander-may-be-the-problem-refined-player-evidence.md | Feast-or-famine commanders create repeated non-games; MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Protection-heavy commander dependency is an accepted tradeoff	MIXED	DIRECT-CONDITIONAL	Protection and recovery are both legitimate and often combined	Simple interaction episode supports Boros/Lorehold review without naming them	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More Commander-specific than a general resilience scenario	KEEP	NONE	No tune is needed; identity association remains provisional	NO
b1.crucible.ug.v1	Crucible	C06	When building an engine, which structure fits your deck?	Several overlapping engines versus one central compounding engine	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Commander-centered does not mean no redundancy	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Decks can succeed without casting commander; PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | System Architect versus Master Planner boundary	MIXED	DIRECT-PLUS-FRAMEWORK	Central and overlapping structures can coexist; identity association is explicitly evidence-required	The owner-remediated answers now observe C06 directly; controlled wording is not a style defect	STRONG	STRONG	MODERATE	STRONG	STRONG	LOW	MODERATE	Less emotional than the benchmark but materially more precise	OWNER_REMEDIATION_APPLIED	When building an engine, which structure fits your deck?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C06 while improving novice comprehension.	NO
b1.crucible.wb.v1	Crucible	C13	A table deal could solve the immediate problem facing both you and another player. What makes it worth accepting?	A deal addressing a current shared problem through enforceable terms or immediate influence	WEB_REFINED | WEB-draftsim-commander-politics-refined-player-evidence.md | Deal clarity and strategic incentives	WEB_REFINED | WEB-draftsim-commander-politics-refined-player-evidence.md | Deal clarity and strategic incentives; PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | Clean political agreements	MIXED	SYNTHESIS-AND-FRAMEWORK	Terms and immediate influence are not exclusive; the prompt must foreground the current problem	The approved answers are clear, but “risky” does not explain what both players are solving	MODERATE	STRONG	MODERATE	STRONG	MODERATE	LOW	MODERATE	Currently less immediate than the benchmark's scenario framing	OWNER_APPROVED_TUNE_APPLIED	A table deal could solve the immediate problem facing both you and another player. What makes it worth accepting?	Makes the current situation explicit so cost-bearing terms and revisable influence are easier to compare without changing C13	NO
b1.crucible.bant.v1	Crucible	C05	Your commander can carry much of your plan. What role should the rest of the deck play?	Protect/refine the commander, remain independently functional, or reject commander centrality	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Commander as engine, backup plan, or optional resource	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Role commander can free slots in the 99; MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Commander as face may matter more than role fit	MIXED	DIRECT	Commander roles are varied and the same identity can support several structures	Strong Commander-native scenario; identity separation remains high-risk	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More useful than asking whether a player likes leaders	KEEP	NONE	Directly captures C05 while retaining a neither route	NO
b1.crucible.grixis.v1	Crucible	C01	You are behind with one turn to change the game. Which first move fits?	Create a precise opening or act before the remaining window closes	MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Players want everyone to try to win but disagree about when pressure is considerate	MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Turn count has incompatible meanings; YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | Midrange role can change with the table	MIXED	DIRECT-CONDITIONAL	“Behind” and “one turn” depend on threat assessment; the item observes preference, not optimal play	The forced window gives experienced players depth without advanced terminology	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	As immediate as the benchmark while less identity-coded	KEEP	NONE	No answer is framed as universally smarter	NO
b1.crucible.sultai.v1	Crucible	C12	A creature, a card, and some life could each become fuel. How should the deck use them?	Flexible resource conversion, one dependable cycle, or no conversion focus		PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | System Architect dependency graph; MANUAL_REFINED | YT-command-zone-your-commander-may-be-the-problem-refined-player-evidence.md | Complexity is multidimensional	MIXED	FRAMEWORK-PLUS-INDIRECT	No direct accepted player observation validates this exact three-resource choice	The examples make abstract conversion answerable, but identity separation remains high-risk	MODERATE	STRONG	MODERATE	STRONG	STRONG	LOW	LOW	More technical than the benchmark by necessity	KEEP	NONE	The prompt captures C12; the support gap belongs in result limitation, not a forced rewrite	NO
b1.crucible.temur.v1	Crucible	C01	The table changes and your planned sequence no longer fits. What should the deck do?	Adapt to the present board or reconstruct the planned engine	YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | One hate piece can change several decks’ functional archetypes	YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | One hate piece can change several decks’ functional archetypes; MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Fragility and resilience are as important as speed	MIXED	DIRECT-CONDITIONAL	Some decks cannot pivot without abandoning their central premise	Recognizable adaptive-play situation with no faction language	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More behaviorally grounded than a spontaneity label	KEEP	NONE	High identity confusion is an evidence issue, not a prompt defect	NO
b1.crucible.esper.v1	Crucible	C06	You have answered the immediate threat and can now turn control into advantage. What structure do you want?	Convert control into a designed engine or keep answers interchangeable	YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | Flexible answers are valued when one permanent dominates plans	PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | Control archetype and System Architect sections; YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | Flexible answers are valued when one permanent dominates plans	MIXED	SYNTHESIS-AND-FRAMEWORK	Control decks can combine a designed engine with flexible answers	The stabilization-to-conversion moment is experienced-player meaningful; Esper distinctiveness remains insufficient	STRONG	STRONG	MODERATE	STRONG	STRONG	LOW	LOW	More precise than a generic control-player result	OWNER_REMEDIATION_APPLIED	You have answered the immediate threat and can now turn control into advantage. What structure do you want?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C06 while improving novice comprehension.	NO
b1.crucible.jeskai.v1	Crucible	C08	You can attack this turn, but an opponent may make a decisive play before your next turn. What timing fits?	Attack while preserving an answer, commit to pressure, or wait for information	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Interaction windows determine perceived fairness	YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | Politics can redirect combat away from the current leader; PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | Tempo preserves initiative with efficient disruption	MIXED	DIRECT-PLUS-FRAMEWORK	The right timing depends on opponent information and actual interaction available	Strong Commander decision; Jeskai distinctiveness remains insufficient	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	More concrete and useful than a broad strategic type	KEEP	NONE	The three choices are distinct and none names an identity	NO
b1.crucible.yore-glint.v1	Crucible	C09	When a complex engine starts, how predictable should the next turn be?	Repeat an engineered sequence or let available pieces redirect it	MANUAL_REFINED | YT-the-case-against-tutors-refined-player-evidence.md | Intentional variance over consistency	MANUAL_REFINED | YT-the-case-against-tutors-refined-player-evidence.md | Toolbox over combo; MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Repeated tutor-to-same-combo is boring to opponents and pilots	MIXED	DIRECT-CONDITIONAL	Consistency, novelty, and toolbox play vary by deck and social expectation	The engine context makes predictable versus improvisational routes concrete	STRONG	STRONG	MODERATE	STRONG	STRONG	LOW	LOW	Less transparent and more nuanced than a creativity type choice	KEEP	NONE	Association remains evidence-required; the observation itself is clear	NO
b1.crucible.glint-dune.v1	Crucible	C11	When you become the threat, what shape should that pressure take?	Present changing attack angles or a visible coordinated front	MANUAL_REFINED | YT-the-last-video-on-commander-threat-assessment-refined-player-evidence.md | Visible boards are easier to evaluate than hidden resources	MANUAL_REFINED | YT-the-last-video-on-commander-threat-assessment-refined-player-evidence.md | Self-presentation changes survival; YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | Forced attacks can be misread as personal targeting	MIXED	INDIRECT-CONDITIONAL	Pressure can shift because of available pieces rather than preference	The threat-role frame is recognizable; the four-color association remains provisional	MODERATE	STRONG	MODERATE	STRONG	STRONG	LOW	LOW	More useful than a generic bold-versus-cooperative choice	KEEP	NONE	The prompt captures pressure shape without personality language	NO
b1.crucible.dune-ink.v1	Crucible	C13	Several players can benefit from your board. What public commitment do you prefer?	Coordinate one immediate push, preserve shared access, or decline commitment	WEB_REFINED | WEB-draftsim-commander-politics-refined-player-evidence.md | Deal clarity and strategic incentives	WEB_REFINED | WEB-draftsim-commander-politics-refined-player-evidence.md | Deal clarity and strategic incentives; YOUTUBE_REFINED | YT-commander-clash-archetypes-refined-player-evidence.md | Interaction that hurts opponents unequally creates free-rider incentives	MIXED	SYNTHESIS-AND-INDIRECT	Shared benefit does not imply altruism, and some players avoid negotiation entirely	The public-board premise makes the deal observable without diagnosing social motivation	STRONG	STRONG	MODERATE	STRONG	STRONG	LOW	LOW	More specific than a sociability scenario	KEEP	NONE	No wording change is needed; the identity mapping remains evidence-required	NO
b1.crucible.ink-witch.v1	Crucible	C14	Your deck can influence the game early or keep resources to build toward larger turns. Which timing fits?	Contribute early, compound toward later turns, or vary by deck	MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Players want longer games but not necessarily passive games	MANUAL_REFINED | YT-edhrecast-real-reason-commander-players-hate-combo-refined-player-evidence.md | Setup time versus play time affects tolerance; PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | Master Planner trajectory	MIXED	DIRECT-PLUS-FRAMEWORK	Long setup may be desirable only when the deck can participate or stabilize	Plain timing choice; it does not imply patience as personality	STRONG	STRONG	STRONG	STRONG	STRONG	LOW	LOW	Equally immediate with better behavioral separation	KEEP	NONE	Conditional answer is warranted by cross-deck variation	NO
b1.crucible.witch-yore.v1	Crucible	C06	When an engine organizes your plan, which structure do you want?	One central compounding engine versus interchangeable conversion pieces	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Commander-centered does not mean no redundancy	PLAYER_ATLAS | Vox_Mana_The_Magic_Player_Atlas.md | System Architect and Master Planner sections; MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Commander-centered does not mean no redundancy	MIXED	FRAMEWORK-PLUS-INDIRECT	One deck may include both a central engine and redundant converters	Owner-corrected answers now observe C06; repeated engine wording is intentional control	STRONG	STRONG	MODERATE	STRONG	STRONG	LOW	MODERATE	More technical but more defensible than an atmospheric type choice	OWNER_REMEDIATION_APPLIED	When an engine organizes your plan, which structure do you want?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C06 while improving novice comprehension.	NO
b1.crucible.colorless-wubrg.v1	Crucible	C15	When building around an idea you like, which kind of challenge sounds more satisfying?	Solve a narrow card pool or make all five color roles cohere	MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Bottom-up may be hard without color constraints	MANUAL_REFINED | YT-new-new-commander-brackets-refined-player-evidence.md | Color count affects mental load but prior experience can offset it; MANUAL_REFINED | YT-how-to-find-the-right-commander-refined-player-evidence.md | Broad commanders support long-term upgrades	MIXED	DIRECT-CONDITIONAL	Color breadth, budget, card access, and experience can affect appeal; neither prevents forced inference	Long, but the inline definition is necessary for newer players and the edge comparison	STRONG	STRONG	STRONG	STRONG	STRONG	MEDIUM	LOW	Less breezy than the benchmark, but it avoids unexplained jargon and self-labeling	OWNER_REMEDIATION_APPLIED	When building around an idea you like, which kind of challenge sounds more satisfying?	Hands-on owner review superseded the prior KEEP judgment; the remediated wording and help preserve C15 while improving novice comprehension.	NO
