identity_id	identity_name	primary_behavioral_explanation	nearest_useful_alternative	observable_distinction	honest_limitation	commander_expression	table_read	useful_archetype_links	optional_profile_enrichment	recommendation_direction	dossier_learning_value	maze_or_matrix_next_step	owner_review_required	certified_identity_context	answer_observation_sources	certified_identity_sources	nearest_alternative_sources	content_readiness	instrument_observability	mapping_validation	content_rationale	observability_rationale	unresolved_validation_need
GRIXIS	Grixis	The reading can explain acting through a precise opening when behind, using hidden resources and conversion	Dimir	Grixis should turn information and expendable resources into a decisive pivot; Dimir should preserve hidden control longer	High confusion remains, and the direct C01 item is not a validated identity discriminator	Spellslinger, reanimator, sacrifice, control-combo, or graveyard conversion	A quiet hand or graveyard may represent the real board	Control-combo; reanimator; spellslinger	Spike may enrich decision review; Johnny/Jenny may enrich unusual lines	Explore commanders that convert cards or graveyard resources through a timed opening	Certified dossier material offers strong Commander directions despite placement uncertainty	Compare Grixis with Dimir, Black, and Yore; open hidden-resource Maze paths	YES	Grixis treats survival as the first law.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/grixis/grixis.placement.json;data/raw-factions/grixis/grixis.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/house_dimir/house_dimir.placement.json;data/raw-factions/house_dimir/house_dimir.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Independent observations separating Grixis from mono-Black and four-color conversion
INK	Ink / Altruism	The reading can describe keeping a shared resource available and protecting it from capture by one player	Dune / Aggression	Ink keeps a protected commons available across turns; Dune turns a public commitment into immediate coordinated pressure	The route can observe durable shared access, but it cannot establish generous motive or the full four-color missing-Black frame	Political or group-benefit decks that keep shared resources useful while retaining guardrails and an independent plan	Shared access is visible at the table; motive, fairness, and altruism are not	Political midrange; shared resources; protection; group benefit	Social Negotiator can enrich table mode but cannot validate altruism	Explore commanders that let resources circulate while preventing one player from capturing the entire benefit	Certified four-color material can teach the non-Black lane only if motive claims remain bounded	Compare Ink with Dune, White, and Selesnya; open shared-resource Maze paths	YES	Ink believes abundance should circulate through a defended commons rather than become private leverage.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/ink/ink.placement.json;data/raw-factions/ink/ink.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/dune/dune.placement.json;data/raw-factions/dune/dune.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player evidence that durable protected access distinguishes Ink from generic group benefit and from Dune's immediate coordinated pressure
JESKAI	Jeskai Way	The reading can describe advancing a threat while keeping a response for the opponent's decisive action	Boros Legion	Jeskai advances while preserving a response window; Boros commits more openly to present intervention and protection	C08 observes timing, but the same pattern appears in generic tempo, Azorius, and Izzet decks; one timing answer cannot establish Jeskai's disciplined-action context	Attack, prowess, or spellslinger decks that keep one meaningful response available while advancing	A modest attack plus open mana can represent both present pressure and a protected response window	Tempo; prowess; spellslinger; aggro-control	Mel may enrich timing elegance; never infer it from interaction	Explore commanders that reward acting now without spending every answer before the decisive opposing play	Certified dossier material can teach discipline, motion, and timing once the boundary is supported	Compare Jeskai with Boros, Izzet, and Azorius; open pressure-plus-answer Maze paths	YES	Jeskai treats action as something that should be trained before it is released.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/jeskai/jeskai.placement.json;data/raw-factions/jeskai/jeskai.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/boros_legion/boros_legion.placement.json;data/raw-factions/boros_legion/boros_legion.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player evidence that pressure-plus-response timing distinguishes Jeskai from generic tempo and its Boros, Azorius, and Izzet neighbors
JUND	Jund	The reading can explain proactive conversion of creatures or permanents into pressure and renewed resources	Golgari Swarm	Jund should convert loss into immediate momentum and pressure; Golgari should emphasize reuse and endurance	The pilot has no direct Jund discriminator and the same pattern can describe Rakdos or Black	Sacrifice, graveyard value, combat, tokens, lands, or aristocrats	The board can look expendable because it is fuel	Aristocrats; midrange; reanimator; aggro	Timmy/Tammy may enrich visceral pressure; not placement authority	Explore commanders that turn deaths or lands into a forward-moving threat	Certified shard material can teach predation and renewal without claiming every sacrifice deck is Jund	Compare Jund with Golgari, Rakdos, and Glint; open pressure-conversion Maze paths	YES	Jund treats feeling as a compass.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/jund/jund.placement.json;data/raw-factions/jund/jund.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/golgari_swarm/golgari_swarm.placement.json;data/raw-factions/golgari_swarm/golgari_swarm.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct Jund boundary observation and empirical false-positive evidence
LOREHOLD	Lorehold College	The reading can explain recovering value after removal and assembling present advantage from artifacts, Spirits, or the graveyard	Boros Legion	Lorehold recovers and investigates what has happened; Boros protects or intervenes to keep pressure now	The identity mapping is evidence-required and Atlas support is a setting/mechanical lens, not player evidence	Artifact recursion, Spirit value, graveyard recovery, history-themed midrange, or control	A graveyard or spent artifact can be active material rather than a failed board	Midrange; artifacts; recursion; control	Vorthos can enrich historical meaning if self-reported	Explore commanders that recover artifacts or Spirits and turn the past into a current plan	Atlas gives a clear same-color boundary and a useful learning route	Compare Lorehold with Boros; open artifact-and-graveyard Maze paths	NO	Lorehold overlays Red freedom and White order through history, artifacts, memory, rhetoric, spirits, and action through legacy.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/lorehold/lorehold.placement.json;data/raw-factions/lorehold/lorehold.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/boros_legion/boros_legion.placement.json;data/raw-factions/boros_legion/boros_legion.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player validation of the protection/recovery direction; result content is ready
MARDU	Mardu Horde	The reading can explain acting first, applying combat/resource pressure, and making short public commitments	Boros Legion	Mardu should combine decisive action with expendable resources or negotiated momentum; Boros should center organized direct intervention	The pilot has no direct Mardu discriminator and broad action constructs can overfit Red or White	Combat, tokens, sacrifice, equipment, aristocrats, or goad	Visible pressure and table commitments can make the deck a public focal point	Aggro; aristocrats; tokens; midrange	Social Negotiator may enrich short agreements; never determine Mardu	Explore commanders that turn coordinated attackers or sacrificed pieces into immediate advantage	Certified wedge material can teach action, honor, and ambition when caveats remain visible	Compare Mardu with Boros, Rakdos, and Dune; open decisive-pressure Maze paths	YES	Mardu treats identity as action under pressure.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/mardu/mardu.placement.json;data/raw-factions/mardu/mardu.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/boros_legion/boros_legion.placement.json;data/raw-factions/boros_legion/boros_legion.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct identity-specific observation and validated Mardu/Boros/Rakdos boundaries
NAYA	Naya	The reading can explain theme-loyal visible pressure and a board that embraces being the threat	Gruul Clans	Naya should add communal or awe-centered breadth to direct pressure; Gruul should center instinctive action and raw growth	The pilot has no direct Naya discriminator and it frequently confuses with mono colors and four-color expressions	Large creatures, tokens, typal combat, go-wide, or creature-based value	The threat is legible and must survive predictable attention	Aggro; stompy; tokens; midrange	Timmy/Tammy or Vorthos may enrich spectacle/theme only after placement	Explore commanders that turn a broad creature board into a timely finish	Certified shard material supports strong discovery language despite boundary uncertainty	Compare Naya with Gruul, Selesnya, and Dune; open creature-pressure Maze paths	YES	Naya treats life as belonging in a larger natural whole.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/naya/naya.placement.json;data/raw-factions/naya/naya.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/gruul_clans/gruul_clans.placement.json;data/raw-factions/gruul_clans/gruul_clans.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct Naya discriminator and evidence separating spectacle, theme, and combat identity
PRISMARI	Prismari College	The reading can explain building a spell-heavy deck toward one extraordinary presentation rather than repeated process	Izzet League	Prismari emphasizes the showcase payoff; Izzet emphasizes iterative experiments and spell volume	The B1 direction remains evidence-required and large spells do not prove an internal artistic motivation	Big spells, Treasure-fueled turns, X spells, copy effects, or dramatic spell payoffs	A quiet setup may be building toward a visible turn that changes the game	Spellslinger; big mana; combo	Timmy/Tammy or Johnny/Jenny may enrich why the showcase satisfies, never cause placement	Explore commanders that support expensive or dramatic spells with enough setup and recovery	Atlas gives a clear same-color boundary and a concrete growth tension	Compare Prismari with Izzet; open major-spell Maze paths	NO	Prismari overlays Blue knowledge and Red freedom through elemental art, spectacle, inspiration, creativity, and expressive mastery.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/prismari/prismari.placement.json;data/raw-factions/prismari/prismari.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/izzet_league/izzet_league.placement.json;data/raw-factions/izzet_league/izzet_league.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player validation of process/showcase direction; result content is ready
QUANDRIX	Quandrix College	The reading can explain preference for mathematical multiplication, X values, and explicit scaling structures	Simic Combine	Quandrix models and multiplies a system; Simic grows through organic adaptation and accumulation	The remediated C06 question observes engine concentration, not the Atlas's adaptation-versus-mathematics boundary; association remains evidence-required	Doubling, X spells, counters, tokens, fractals, or scaling engines	Exponential turns can become opaque before the visible board looks decisive	Engine; tokens; big mana; combo	System Architect or Master Planner may enrich process, never determine Quandrix	Explore commanders that make variable values or multiplication the deck's explicit challenge	Atlas provides a strong conceptual lens, but the pilot-result rationale must disclose the C06 mismatch risk	Compare Quandrix with Simic; open scaling-system Maze paths	NO	Quandrix overlays Green growth and Blue knowledge through mathematics, pattern, scale, nature as equation, and impossible geometry.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/quandrix/quandrix.placement.json;data/raw-factions/quandrix/quandrix.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/simic_combine/simic_combine.placement.json;data/raw-factions/simic_combine/simic_combine.profile.json	CONTENT_READY	OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool contains at least one direct bounded boundary hypothesis; empirical mapping and false-positive evidence remain absent.	Player evidence connecting approved C06 observation to this same-color distinction
R	Red	The reading can explain proactive action, concentrated payoff, and willingness to become a visible threat	Cult of Rakdos	Red should explore one color's speed and expression; Rakdos should add sacrifice, appetite, or volatility as a central engine	Broad constructs do not establish mono-Red or distinguish it from Jeskai/Naya confusion	Aggro, spellslinger, artifacts, impulse/exile value, chaos, or combo	Visible urgency can attract attention before resilience is known	Aggro; spellslinger; combo; artifacts	Timmy/Tammy or Johnny/Jenny may enrich why action is satisfying	Explore mono-Red commanders that turn timing or limited resources into a defined finish	Certified mono identity can teach freedom and action without equating Red with recklessness	Compare Red with Rakdos, Gruul, and Prismari; open proactive Maze paths	YES	Red believes feeling is a form of truth.	docs/plans/vm551-gate-b1-placement-instrument/identity-coverage-matrix.tsv;docs/plans/vm551-gate-b1-placement-instrument/answer-signal-contracts.tsv	data/raw-factions/red/red.placement.json;data/raw-factions/red/red.profile.json;data/identity-layers.json;data/factions.json	data/raw-factions/cult_of_rakdos/cult_of_rakdos.placement.json;data/raw-factions/cult_of_rakdos/cult_of_rakdos.profile.json	CONTENT_READY	PARTIALLY_OBSERVABLE	MAPPING_HYPOTHESIS	The result package remains useful, distinct, source-backed, bounded, and complete; mapping evidence is tracked separately.	The pool observes relevant broad or family behavior but has no direct identity-specific discriminator.	Direct mono discriminator and validated separation from multicolor proactive identities
