id,card_name,color_identity,tier,source_context,mechanical_role,narrative_role,witherbloom_signals,primary_source_key,support_level,scryfall_lookup_url
WB-039,"Lisette, Dean of the Root",BG,college-core,Strixhaven: School of Mages,life gain grows the team with counters,The dean who turns vitality into a widening canopy.,"life-gain,counters,team-growth",wotc_planeswalkers_guide,strong,https://scryfall.com/search?q=%21%22Lisette%2C%20Dean%20of%20the%20Root%22&unique=cards&as=grid&order=name
WB-040,Witherbloom Pledgemage,BG,college-core,Strixhaven: School of Mages,magecraft life gain; student identity,The student form of Witherbloom: every lesson has a pulse.,"magecraft,life-gain,student",wotc_strixhaven_part_2,strong,https://scryfall.com/search?q=%21%22Witherbloom%20Pledgemage%22&unique=cards&as=grid&order=name
WB-041,Pestilent Cauldron,BG,college-core,Strixhaven: School of Mages,graveyard exile/drain; MDFC recursion via Restorative Burst,"Kitchen, laboratory, altar, and threat all at once.","cauldron,graveyard,drain,recursion",wotc_planeswalkers_guide,strong,https://scryfall.com/search?q=%21%22Pestilent%20Cauldron%22&unique=cards&as=grid&order=name
WB-042,"Willowdusk, Essence Seer",BG,commander-core,Commander 2021 / Witherbloom Witchcraft,life total change becomes counters,A long-lived seer who treats life swings as growth rings.,"life-total-change,counters,commander",wotc_tokens_2021,strong,https://scryfall.com/search?q=%21%22Willowdusk%2C%20Essence%20Seer%22&unique=cards&as=grid&order=name
WB-043,"Gyome, Master Chef",BG,commander-core,Commander 2021 / Witherbloom Witchcraft,Food production; creature protection through sacrifice,The chef who makes survival taste like strategy.,"food,sacrifice,protection",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Gyome%2C%20Master%20Chef%22&unique=cards&as=grid&order=name
WB-044,"Tivash, Gloom Summoner",B,commander-core,Commander 2021 / Witherbloom Witchcraft,life gain into Demon bodies,The darker lesson: life gained can cast a shadow.,"life-gain,demon,token",wotc_tokens_2021,strong,https://scryfall.com/search?q=%21%22Tivash%2C%20Gloom%20Summoner%22&unique=cards&as=grid&order=name
WB-045,Veinwitch Coven,B,commander-core,Commander 2021 / Witherbloom Witchcraft,life gain recurs creatures from graveyard to hand,A coven that reads the pulse of the dead.,"life-gain,recursion,witch",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Veinwitch%20Coven%22&unique=cards&as=grid&order=name
WB-046,Witch of the Moors,B,commander-structural-anchor,Core Set 2021 / reprint support,end-step life gain payoff; opponent sacrifice; recursion,The slow aristocrat of bog justice.,"life-gain,sacrifice,recursion",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Witch%20of%20the%20Moors%22&unique=cards&as=grid&order=name
WB-047,Trudge Garden,G,commander-core,Commander 2021 / Witherbloom Witchcraft,life gain creates Fungus Beast tokens,The garden that answers vitality with bodies.,"life-gain,token,fungus-beast",wotc_tokens_2021,strong,https://scryfall.com/search?q=%21%22Trudge%20Garden%22&unique=cards&as=grid&order=name
WB-048,Blossoming Bogbeast,G,commander-core,Commander 2021 / Witherbloom Witchcraft,life gain plus team-wide combat scaling,The bog blooms by trampling through the table.,"life-gain,combat,pump",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Blossoming%20Bogbeast%22&unique=cards&as=grid&order=name
WB-049,Pest Infestation,G,commander-core,Commander 2021 / Witherbloom Witchcraft,artifact/enchantment removal plus Pest generation,"Removal as ecology: destroy the object, release the swarm.","removal,pest,token",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Pest%20Infestation%22&unique=cards&as=grid&order=name
WB-050,"Yedora, Grave Gardener",G,commander-core,Commander 2021 / Witherbloom Witchcraft,dead nontoken creatures return as Forests,The gardener who makes a grave into land.,"death,land,recursion,growth",wotc_tokens_2021,strong,https://scryfall.com/search?q=%21%22Yedora%2C%20Grave%20Gardener%22&unique=cards&as=grid&order=name
WB-051,Sproutback Trudge,G,commander-core,Commander 2021 / Witherbloom Witchcraft,recurs from graveyard after life gain,A body that keeps crawling back when the bog is fed.,"life-gain,graveyard,recursion",wotc_tokens_2021,strong,https://scryfall.com/search?q=%21%22Sproutback%20Trudge%22&unique=cards&as=grid&order=name
WB-052,Moldervine Reclamation,BG,structural-anchor,Golgari / Commander support,creature death draws cards and gains life,A bookkeeping enchantment for bodies becoming value.,"death,draw,life-gain",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Moldervine%20Reclamation%22&unique=cards&as=grid&order=name
WB-053,Blood Artist,B,structural-anchor,Aristocrats / Commander support,creature death drains opponents and gains life,The universal drain grammar Witherbloom can speak fluently.,"death,drain,life-gain",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Blood%20Artist%22&unique=cards&as=grid&order=name
WB-054,Zulaport Cutthroat,B,structural-anchor,Aristocrats / Commander support,your creature deaths drain each opponent,Small death events scale into table pressure.,"death,drain,aristocrats",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Zulaport%20Cutthroat%22&unique=cards&as=grid&order=name
WB-055,Viscera Seer,B,structural-anchor,Aristocrats / Commander support,free sacrifice outlet; scry filtering,The lever that turns creatures into decisions.,"sacrifice,outlet,selection",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Viscera%20Seer%22&unique=cards&as=grid&order=name
WB-056,"Mazirek, Kraul Death Priest",BG,structural-anchor,Golgari / Commander support,sacrifice events become +1/+1 counters,A death-priest who makes every offering grow teeth.,"sacrifice,counters,go-wide",wotc_secrets_commander_2026,strong,https://scryfall.com/search?q=%21%22Mazirek%2C%20Kraul%20Death%20Priest%22&unique=cards&as=grid&order=name
