record_id,sheet,row_number,term,normalized_term,workbook_category,workbook_status,workbook_confidence,workbook_mapping,verification_disposition,reason,recommended_review_action
scryall-data-accumulation-R15,scryall_data_accumulation,15,Artificer,artificer,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R16,scryall_data_accumulation,16,Assassin,assassin,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R17,scryall_data_accumulation,17,Assembly-Worker,assembly-worker,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R18,scryall_data_accumulation,18,Astartes,astartes,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R19,scryall_data_accumulation,19,Atog,atog,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R20,scryall_data_accumulation,20,Aurochs,aurochs,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R21,scryall_data_accumulation,21,Automaton,automaton,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R22,scryall_data_accumulation,22,Avatar,avatar,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R23,scryall_data_accumulation,23,Azra,azra,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R24,scryall_data_accumulation,24,Badger,badger,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R25,scryall_data_accumulation,25,Balloon,balloon,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R26,scryall_data_accumulation,26,Barbarian,barbarian,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R27,scryall_data_accumulation,27,Bard,bard,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R28,scryall_data_accumulation,28,Basilisk,basilisk,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R29,scryall_data_accumulation,29,Bat,bat,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R30,scryall_data_accumulation,30,Bear,bear,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R31,scryall_data_accumulation,31,Beast,beast,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R32,scryall_data_accumulation,32,Beaver,beaver,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R33,scryall_data_accumulation,33,Beeble,beeble,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R34,scryall_data_accumulation,34,Beholder,beholder,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R35,scryall_data_accumulation,35,Berserker,berserker,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R36,scryall_data_accumulation,36,Bird,bird,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R37,scryall_data_accumulation,37,Bison,bison,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R38,scryall_data_accumulation,38,Blinkmoth,blinkmoth,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R39,scryall_data_accumulation,39,Boar,boar,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R40,scryall_data_accumulation,40,Brainiac,brainiac,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R41,scryall_data_accumulation,41,Bringer,bringer,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R42,scryall_data_accumulation,42,Brushwagg,brushwagg,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R43,scryall_data_accumulation,43,C’tan,c'tan,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R44,scryall_data_accumulation,44,Camarid,camarid,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R45,scryall_data_accumulation,45,Camel,camel,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R46,scryall_data_accumulation,46,Capybara,capybara,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R47,scryall_data_accumulation,47,Caribou,caribou,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R48,scryall_data_accumulation,48,Carrier,carrier,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R49,scryall_data_accumulation,49,Cat,cat,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R50,scryall_data_accumulation,50,Centaur,centaur,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R51,scryall_data_accumulation,51,Chicken,chicken,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R52,scryall_data_accumulation,52,Child,child,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R53,scryall_data_accumulation,53,Chimera,chimera,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R54,scryall_data_accumulation,54,Citizen,citizen,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R55,scryall_data_accumulation,55,Cleric,cleric,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R56,scryall_data_accumulation,56,Clown,clown,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R57,scryall_data_accumulation,57,Cockatrice,cockatrice,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R58,scryall_data_accumulation,58,Construct,construct,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R59,scryall_data_accumulation,59,Coward,coward,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R60,scryall_data_accumulation,60,Coyote,coyote,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R61,scryall_data_accumulation,61,Crab,crab,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R62,scryall_data_accumulation,62,Crocodile,crocodile,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R63,scryall_data_accumulation,63,Custodes,custodes,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R64,scryall_data_accumulation,64,Cyberman,cyberman,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R65,scryall_data_accumulation,65,Cyclops,cyclops,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R66,scryall_data_accumulation,66,Dalek,dalek,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R67,scryall_data_accumulation,67,Dauthi,dauthi,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R68,scryall_data_accumulation,68,Demigod,demigod,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R69,scryall_data_accumulation,69,Demon,demon,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R70,scryall_data_accumulation,70,Deserter,deserter,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R71,scryall_data_accumulation,71,Detective,detective,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R72,scryall_data_accumulation,72,Devil,devil,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R73,scryall_data_accumulation,73,Dinosaur,dinosaur,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R74,scryall_data_accumulation,74,Djinn,djinn,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R75,scryall_data_accumulation,75,Doctor,doctor,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R76,scryall_data_accumulation,76,Dog,dog,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R77,scryall_data_accumulation,77,Dragon,dragon,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R78,scryall_data_accumulation,78,Drake,drake,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R79,scryall_data_accumulation,79,Dreadnought,dreadnought,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R80,scryall_data_accumulation,80,Drix,drix,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R81,scryall_data_accumulation,81,Drone,drone,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R82,scryall_data_accumulation,82,Druid,druid,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R83,scryall_data_accumulation,83,Dryad,dryad,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R84,scryall_data_accumulation,84,Dwarf,dwarf,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R85,scryall_data_accumulation,85,Echidna,echidna,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R86,scryall_data_accumulation,86,Efreet,efreet,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R87,scryall_data_accumulation,87,Egg,egg,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R88,scryall_data_accumulation,88,Elder,elder,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R89,scryall_data_accumulation,89,Eldrazi,eldrazi,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R90,scryall_data_accumulation,90,Elemental,elemental,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R91,scryall_data_accumulation,91,Elephant,elephant,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R92,scryall_data_accumulation,92,Elf,elf,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R93,scryall_data_accumulation,93,Elk,elk,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R94,scryall_data_accumulation,94,Employee,employee,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R95,scryall_data_accumulation,95,Eternal,eternal,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R96,scryall_data_accumulation,96,Eye,eye,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R97,scryall_data_accumulation,97,Faerie,faerie,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R98,scryall_data_accumulation,98,Ferret,ferret,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R99,scryall_data_accumulation,99,Fish,fish,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R100,scryall_data_accumulation,100,Flagbearer,flagbearer,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R101,scryall_data_accumulation,101,Fox,fox,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R102,scryall_data_accumulation,102,Fractal,fractal,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R103,scryall_data_accumulation,103,Frog,frog,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R104,scryall_data_accumulation,104,Fungus,fungus,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R105,scryall_data_accumulation,105,Gamer,gamer,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R106,scryall_data_accumulation,106,Gamma,gamma,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R107,scryall_data_accumulation,107,Gargoyle,gargoyle,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R108,scryall_data_accumulation,108,Germ,germ,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R109,scryall_data_accumulation,109,Giant,giant,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R110,scryall_data_accumulation,110,Giraffe,giraffe,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R111,scryall_data_accumulation,111,Gith,gith,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R112,scryall_data_accumulation,112,Glimmer,glimmer,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R113,scryall_data_accumulation,113,Gnoll,gnoll,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R114,scryall_data_accumulation,114,Gnome,gnome,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R115,scryall_data_accumulation,115,Goat,goat,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R116,scryall_data_accumulation,116,Goblin,goblin,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R117,scryall_data_accumulation,117,God,god,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R118,scryall_data_accumulation,118,Golem,golem,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R119,scryall_data_accumulation,119,Gorgon,gorgon,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R120,scryall_data_accumulation,120,Graveborn,graveborn,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R121,scryall_data_accumulation,121,Gremlin,gremlin,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R122,scryall_data_accumulation,122,Griffin,griffin,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R123,scryall_data_accumulation,123,Guest,guest,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R124,scryall_data_accumulation,124,Hag,hag,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R125,scryall_data_accumulation,125,Halfling,halfling,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R126,scryall_data_accumulation,126,Hamster,hamster,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R127,scryall_data_accumulation,127,Harpy,harpy,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R128,scryall_data_accumulation,128,Head,head,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R129,scryall_data_accumulation,129,Hedgehog,hedgehog,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R130,scryall_data_accumulation,130,Hellion,hellion,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R131,scryall_data_accumulation,131,Hero,hero,Creature Type,,,,AMBIGUOUS,Same normalized term has multiple legitimate workbook meanings or mappings.,Add context-sensitive Plain Reading disambiguation; do not select a global winner.
scryall-data-accumulation-R132,scryall_data_accumulation,132,Hippo,hippo,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R133,scryall_data_accumulation,133,Hippogriff,hippogriff,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R134,scryall_data_accumulation,134,Homarid,homarid,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R135,scryall_data_accumulation,135,Homunculus,homunculus,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R136,scryall_data_accumulation,136,Horror,horror,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R137,scryall_data_accumulation,137,Horse,horse,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R138,scryall_data_accumulation,138,Human,human,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R139,scryall_data_accumulation,139,Hydra,hydra,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R140,scryall_data_accumulation,140,Hyena,hyena,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R141,scryall_data_accumulation,141,Illusion,illusion,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R142,scryall_data_accumulation,142,Imp,imp,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R143,scryall_data_accumulation,143,Incarnation,incarnation,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R144,scryall_data_accumulation,144,Inhuman,inhuman,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R145,scryall_data_accumulation,145,Inkling,inkling,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R146,scryall_data_accumulation,146,Inquisitor,inquisitor,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R147,scryall_data_accumulation,147,Insect,insect,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R148,scryall_data_accumulation,148,Jackal,jackal,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R149,scryall_data_accumulation,149,Jellyfish,jellyfish,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R150,scryall_data_accumulation,150,Juggernaut,juggernaut,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R151,scryall_data_accumulation,151,Kangaroo,kangaroo,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R152,scryall_data_accumulation,152,Kavu,kavu,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R153,scryall_data_accumulation,153,Kirin,kirin,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R154,scryall_data_accumulation,154,Kithkin,kithkin,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R155,scryall_data_accumulation,155,Knight,knight,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R156,scryall_data_accumulation,156,Kobold,kobold,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
scryall-data-accumulation-R157,scryall_data_accumulation,157,Kor,kor,Creature Type,,,,VERIFIED_NATIVE,Exact match in Scryfall catalog creature-types,Safe only as current native catalog fact.
