id,faction,color_pair,card_name,set_context,type_line,color_identity,canonical_basis,confidence,mechanic_or_theme,translation_function,azorius_axis,structural_role,narrative_read,animation_motif,tags,source_url
AZO-011,Azorius Senate,white-blue,Azorius Guildgate,Return to Ravnica / Ravnica Allegiance,Land — Gate,{W}{U},Azorius-named card or guild infrastructure,strong,Guild fixing,AccretionEngine,Civic Access,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",The entry checkpoint where identity becomes permitted movement.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","gate, mana, access",https://scryfall.com/search?q=%21%22Azorius%20Guildgate%22
AZO-012,Azorius Senate,white-blue,Azorius Guildmage,Dissension,Creature — Vedalken Wizard,{W}{U},Azorius-named card or guild infrastructure,strong,Tap / counter activated ability,ConstraintField,Bureaucracy,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",Bureaucratic friction: movement and activated agency require permission.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","tap, activated ability control",https://scryfall.com/search?q=%21%22Azorius%20Guildmage%22
AZO-013,Azorius Senate,white-blue,Azorius Herald,Dissension,Creature — Spirit,{W}{U},Azorius-named card or guild infrastructure,strong,Unblockable life gain,ConstraintField,Messenger,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",A legal notice that slips through resistance and restores civic stability.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","evasion, lifegain, messenger",https://scryfall.com/search?q=%21%22Azorius%20Herald%22
AZO-014,Azorius Senate,white-blue,Azorius Justiciar,Return to Ravnica,Creature — Human Wizard,{W},Azorius-named card or guild infrastructure,strong,ETB detain two,Detain,Enforcement,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",Due process scales into mass injunction: multiple offenders are paused.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","detain, ETB, tempo",https://scryfall.com/search?q=%21%22Azorius%20Justiciar%22
AZO-015,Azorius Senate,white-blue,Azorius Keyrune,Return to Ravnica,Artifact,{W}{U},Azorius-named card or guild infrastructure,strong,Mana rock / animated flyer,AccretionEngine,Infrastructure,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",The law becomes infrastructure until it must become a body.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","mana rock, artifact, flyer",https://scryfall.com/search?q=%21%22Azorius%20Keyrune%22
AZO-016,Azorius Senate,white-blue,Azorius Knight-Arbiter,Ravnica Allegiance,Creature — Human Knight,{W}{U},Azorius-named card or guild infrastructure,strong,Defensive body / board order,ConstraintField,Arbitration,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",A mounted ruling presence that turns combat into a regulated proceeding.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","knight, vigilance, defense",https://scryfall.com/search?q=%21%22Azorius%20Knight-Arbiter%22
AZO-017,Azorius Senate,white-blue,Azorius Locket,Ravnica Allegiance,Artifact,{W}{U},Azorius-named card or guild infrastructure,strong,Mana rock / card draw,AccretionEngine,Archive,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.","Civic resource management stored as mana, later converted into documentation.","scroll layers, archive pages, precedent counters, marble glyphs accumulating","mana rock, draw, archive",https://scryfall.com/search?q=%21%22Azorius%20Locket%22
AZO-018,Azorius Senate,white-blue,Azorius Ploy,Dissension,Instant,{W}{U},Azorius-named card or guild infrastructure,strong,Prevent combat damage / life gain,Override,Intervention,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.",Combat is interrupted by procedural emergency order.,"gavel flash, verdict wave, spell crossing out, blue-white denial seal","prevention, lifegain, trick",https://scryfall.com/search?q=%21%22Azorius%20Ploy%22
AZO-019,Azorius Senate,white-blue,Azorius Signet,Dissension / Ravnica,Artifact,{W}{U},Azorius-named card or guild infrastructure,strong,Guild mana artifact,AccretionEngine,Infrastructure,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",The compact seal that routes raw mana into civic authority.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","signet, mana, ramp",https://scryfall.com/search?q=%21%22Azorius%20Signet%22
AZO-020,Azorius Senate,white-blue,Azorius Skyguard,Ravnica Allegiance,Creature — Human Knight,{W}{U},Azorius-named card or guild infrastructure,strong,Evasive vigilant guard,ConstraintField,Sky Patrol,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",Aerial enforcement that maintains a watched perimeter.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","flyer, vigilance, patrol",https://scryfall.com/search?q=%21%22Azorius%20Skyguard%22
AZO-021,Azorius Senate,white-blue,Code of Constraint,Ravnica Allegiance,Instant,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Tap + addendum draw,ConstraintField,Procedure,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",A rule-text snare; proper timing converts restraint into documentation.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","tap, addendum, draw",https://scryfall.com/search?q=%21%22Code%20of%20Constraint%22
AZO-022,Azorius Senate,white-blue,Court Hussar,Dissension,Creature — Vedalken Knight,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Vigilance / selection,AccretionEngine,Judicial Review,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",The court inspects the top of possibility and keeps the acceptable record.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","vigilance, selection, ETB",https://scryfall.com/search?q=%21%22Court%20Hussar%22
AZO-023,Azorius Senate,white-blue,Deputy of Detention,Ravnica Allegiance,Creature — Vedalken Wizard,{W}{U},Official Wizards Azorius Commander/Ravnica Allegiance guide card,strong,Exile matching permanents,Detain,Enforcement,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.","A named office that removes not just a case, but a whole class of violations.","blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","exile, detention, removal",https://scryfall.com/search?q=%21%22Deputy%20of%20Detention%22
AZO-024,Azorius Senate,white-blue,Detention Sphere,Return to Ravnica,Enchantment,{W}{U},Azorius detain / detention mechanic signal,strong,Exile matching nonlands,Detain,Containment,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",The iconic Azorius holding cell: classification becomes removal.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","exile, enchantment, detention",https://scryfall.com/search?q=%21%22Detention%20Sphere%22
AZO-025,Azorius Senate,white-blue,Depose // Deploy,Ravnica Allegiance,Instant // Instant,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Tap/draw or tokens/life,Override,Procedure,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.","A split writ: first restrain the offender, then deploy public protection.","gavel flash, verdict wave, spell crossing out, blue-white denial seal","split card, tap, draw, tokens",https://scryfall.com/search?q=%21%22Depose%20//%20Deploy%22
AZO-026,Azorius Senate,white-blue,Dovin's Acuity,Ravnica Allegiance,Enchantment,{W}{U},Azorius Ravnica Allegiance character / bureaucratic governance signal,strong,Life/draw recursion with instants,AccretionEngine,Surveillance,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",Each properly timed spell returns the case file for more review.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","draw, lifegain, recursion",https://scryfall.com/search?q=%21%22Dovin%27s%20Acuity%22
AZO-027,Azorius Senate,white-blue,Dovin's Veto,War of the Spark / Ravnica,Instant,{W}{U},Azorius Ravnica Allegiance character / bureaucratic governance signal,strong,Uncounterable noncreature counter,Override,Veto Power,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.",An absolute administrative denial: the action is rejected and cannot appeal.,"gavel flash, verdict wave, spell crossing out, blue-white denial seal","counterspell, uncounterable, veto",https://scryfall.com/search?q=%21%22Dovin%27s%20Veto%22
AZO-028,Azorius Senate,white-blue,"Dovin, Grand Arbiter",Ravnica Allegiance,Planeswalker — Dovin,{W}{U},Azorius Ravnica Allegiance character / bureaucratic governance signal,strong,Thopters / draw / emblem pressure,AccretionEngine,Administration,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",Precognitive governance turns surveillance into incremental resource flow.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","planeswalker, tokens, draw",https://scryfall.com/search?q=%21%22Dovin%2C%20Grand%20Arbiter%22
AZO-029,Azorius Senate,white-blue,Dovescape,Dissension,Enchantment,{W}{U},Canonical white-blue Ravnica/Azorius control staple,strong,Counters noncreature spells into Birds,Override,Civic Conversion,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.",Unauthorized magic is not destroyed; it is converted into harmless regulated output.,"gavel flash, verdict wave, spell crossing out, blue-white denial seal","counter, token conversion, lock",https://scryfall.com/search?q=%21%22Dovescape%22
AZO-030,Azorius Senate,white-blue,Dramatic Rescue,Return to Ravnica,Instant,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Bounce + life gain,Detain,Emergency Response,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",Protective removal that extracts a piece from danger and restores stability.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","bounce, lifegain, tempo",https://scryfall.com/search?q=%21%22Dramatic%20Rescue%22
AZO-031,Azorius Senate,white-blue,Emergency Powers,Ravnica Allegiance,Instant,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Wheel + addendum free permanent,Override,Emergency Statute,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.","Crisis law resets the table, then rewards action taken in official session.","gavel flash, verdict wave, spell crossing out, blue-white denial seal","wheel, addendum, reset",https://scryfall.com/search?q=%21%22Emergency%20Powers%22
AZO-032,Azorius Senate,white-blue,Elite Arrester,Ravnica Allegiance,Creature — Human Soldier,{W},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Tap lockdown,ConstraintField,Street Enforcement,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",A small officer whose work is simple: keep one threat from acting.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","tap, arrest, creature",https://scryfall.com/search?q=%21%22Elite%20Arrester%22
AZO-033,Azorius Senate,white-blue,Fall of the Gavel,Return to Ravnica,Instant,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Counter + life gain,Override,Judgment,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.",The ruling lands; the action is denied and public order is restored.,"gavel flash, verdict wave, spell crossing out, blue-white denial seal","counterspell, lifegain",https://scryfall.com/search?q=%21%22Fall%20of%20the%20Gavel%22
AZO-034,Azorius Senate,white-blue,Forbidding Spirit,Ravnica Allegiance,Creature — Spirit Cleric,{W},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Tax attacks,ConstraintField,Public Safety,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",Opposition may proceed only after paying the lawful cost to assemble violence.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","attack tax, spirit, defense",https://scryfall.com/search?q=%21%22Forbidding%20Spirit%22
AZO-035,Azorius Senate,white-blue,Grand Arbiter Augustin IV,Dissension,Creature — Human Advisor,{W}{U},Azorius leader/founder/governance figure,strong,Cost reduction / opponent tax,ConstraintField,Bureaucratic Gravity,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",Azorius as pure operating system: your actions are efficient; theirs require forms.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","tax, cost reduction, commander",https://scryfall.com/search?q=%21%22Grand%20Arbiter%20Augustin%20IV%22
AZO-036,Azorius Senate,white-blue,High Alert,Ravnica Allegiance,Enchantment,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Defender combat / untap,ConstraintField,Readiness,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",Defensive posture becomes lawful offense under emergency readiness.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","defenders, combat conversion",https://scryfall.com/search?q=%21%22High%20Alert%22
AZO-037,Azorius Senate,white-blue,Hussar Patrol,Return to Ravnica,Creature — Human Knight,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Flash vigilance,Detain,Patrol,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.","The patrol appears at the right moment, turning time itself into jurisdiction.","blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","flash, vigilance, tempo",https://scryfall.com/search?q=%21%22Hussar%20Patrol%22
AZO-038,Azorius Senate,white-blue,Inaction Injunction,Return to Ravnica,Sorcery,{W}{U},Azorius detain / detention mechanic signal,strong,Detain + draw,Detain,Injunction,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",A formal pause order that also creates a paper trail.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","detain, draw, sorcery",https://scryfall.com/search?q=%21%22Inaction%20Injunction%22
AZO-039,Azorius Senate,white-blue,Isperia the Inscrutable,Dissension,Creature — Sphinx,{W}{U},Azorius leader/founder/governance figure,strong,Flying tutor guesswork,AccretionEngine,Judicial Mystery,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.","The sphinx-court rewards correct naming, prediction, and structured inquiry.","scroll layers, archive pages, precedent counters, marble glyphs accumulating","sphinx, tutor, flying",https://scryfall.com/search?q=%21%22Isperia%20the%20Inscrutable%22
AZO-040,Azorius Senate,white-blue,"Isperia, Supreme Judge",Return to Ravnica,Creature — Sphinx,{W}{U},Azorius leader/founder/governance figure,strong,Draw on attacks against you,ConstraintField,Supreme Court,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",Aggression against the court becomes evidence entered into the record.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","sphinx, draw, deterrence",https://scryfall.com/search?q=%21%22Isperia%2C%20Supreme%20Judge%22
AZO-041,Azorius Senate,white-blue,Judge's Familiar,Return to Ravnica,Creature — Bird,{W/U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Sacrifice tax counter,ConstraintField,Court Familiar,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",Even a tiny agent can impose filing fees on unlawful magic.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","flyer, tax, sacrifice",https://scryfall.com/search?q=%21%22Judge%27s%20Familiar%22
AZO-042,Azorius Senate,white-blue,"Lavinia, Azorius Renegade",Ravnica Allegiance,Creature — Human Soldier,{W}{U},Azorius-named card or guild infrastructure,strong,Fair-play lock / anti-cheat spells,ConstraintField,Renegade Law,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",Defines fair play so sharply that shortcut magic and unearned power collapse.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","hatebear, commander, fair play",https://scryfall.com/search?q=%21%22Lavinia%2C%20Azorius%20Renegade%22
AZO-043,Azorius Senate,white-blue,Lawmage's Binding,Ravnica Allegiance,Enchantment — Aura,{W}{U},Official Wizards Azorius Commander/Ravnica Allegiance guide card,strong,Pacifism + activated ability lock,Detain,Binding Law,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",A permanent ruling that removes both violence and activated agency.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","aura, removal, lock",https://scryfall.com/search?q=%21%22Lawmage%27s%20Binding%22
AZO-044,Azorius Senate,white-blue,Lyev Skyknight,Return to Ravnica,Creature — Human Knight,{W}{U},Azorius detain / detention mechanic signal,strong,ETB detain,Detain,Sky Enforcement,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",Aerial entry converts presence into immediate legal restraint.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","detain, flyer, ETB",https://scryfall.com/search?q=%21%22Lyev%20Skyknight%22
AZO-045,Azorius Senate,white-blue,Martial Law,Return to Ravnica,Enchantment,{W},Azorius detain / detention mechanic signal,strong,Recurring detain,ConstraintField,Standing Order,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",The battlefield enters a recurring state of supervised restriction.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","repeat detain, enchantment",https://scryfall.com/search?q=%21%22Martial%20Law%22
AZO-046,Azorius Senate,white-blue,Minister of Impediments,Dissension,Creature — Human Advisor,{W/U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Tap creature,ConstraintField,Red Tape,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",Bureaucracy personified: action slows because someone must approve it.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","tap, advisor, tempo",https://scryfall.com/search?q=%21%22Minister%20of%20Impediments%22
AZO-047,Azorius Senate,white-blue,New Prahv Guildmage,Return to Ravnica,Creature — Human Wizard,{W}{U},Azorius detain / detention mechanic signal,strong,Flying grants / detain,Detain,Guild Office,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",Local office that alternates public elevation with official restraint.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","detain, flying, guildmage",https://scryfall.com/search?q=%21%22New%20Prahv%20Guildmage%22
AZO-048,Azorius Senate,white-blue,Overrule,Dissension,Instant,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Counter unless X + life gain,Override,Ruling,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.",A scalable objection: pay the cost or have the action dismissed.,"gavel flash, verdict wave, spell crossing out, blue-white denial seal","counterspell, lifegain, X spell",https://scryfall.com/search?q=%21%22Overrule%22
AZO-049,Azorius Senate,white-blue,Plumes of Peace,Dissension,Enchantment — Aura,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Pacifism + forecast tap,ConstraintField,Preemptive Order,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",The law forecasts future violence and taps it before it can occur.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","forecast, aura, tap",https://scryfall.com/search?q=%21%22Plumes%20of%20Peace%22
AZO-050,Azorius Senate,white-blue,Precognitive Perception,Ravnica Allegiance,Instant,{U},Official Wizards Azorius Commander/Ravnica Allegiance guide card,strong,Draw/filter + addendum,AccretionEngine,Precognition,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",Information is strongest when gathered at the officially correct time.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","draw, addendum, filtering",https://scryfall.com/search?q=%21%22Precognitive%20Perception%22
AZO-051,Azorius Senate,white-blue,Pride of the Clouds,Dissension,Creature — Elemental Cat,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Flyer scaling / forecast tokens,AccretionEngine,Airspace Density,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",A civic skyforce that grows with every authorized body in the air.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","flyers, forecast, tokens",https://scryfall.com/search?q=%21%22Pride%20of%20the%20Clouds%22
AZO-052,Azorius Senate,white-blue,Render Silent,Dragon's Maze,Instant,{W}{U},Canonical white-blue Ravnica/Azorius control staple,strong,Counter + silence rest of turn,Override,Silencing Order,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.",The court rejects one spell and closes the docket for the turn.,"gavel flash, verdict wave, spell crossing out, blue-white denial seal","counterspell, silence",https://scryfall.com/search?q=%21%22Render%20Silent%22
AZO-053,Azorius Senate,white-blue,Righteous Authority,Return to Ravnica,Enchantment — Aura,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Draw + power/toughness scaling,AccretionEngine,Mandate,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",Authority grows from documentation; more records mean more sanctioned power.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","draw, aura, scaling",https://scryfall.com/search?q=%21%22Righteous%20Authority%22
AZO-054,Azorius Senate,white-blue,Senate Griffin,Ravnica Allegiance,Creature — Griffin,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Flying vigilance,ConstraintField,Sky Patrol,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",The watchful aerial body of civic law.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","flyer, vigilance",https://scryfall.com/search?q=%21%22Senate%20Griffin%22
AZO-055,Azorius Senate,white-blue,Senate Guildmage,Ravnica Allegiance,Creature — Human Wizard,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Life/draw activated utility,AccretionEngine,Guild Office,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",The office processes small civic transactions into long-game advantage.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","guildmage, draw, lifegain",https://scryfall.com/search?q=%21%22Senate%20Guildmage%22
AZO-056,Azorius Senate,white-blue,Skymark Roc,Return to Ravnica,Creature — Bird,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Attack bounce small creature,Detain,Aerial Warrant,"Pause, lock, arrest, exile, tap, bounce, or otherwise deny immediate agency.",Air superiority becomes a warrant to remove lesser threats.,"blue-white restraint sigils, vertical law bars, docket stamp, suspended motion","flyer, bounce, tempo",https://scryfall.com/search?q=%21%22Skymark%20Roc%22
AZO-057,Azorius Senate,white-blue,Sky Hussar,Dissension,Creature — Human Knight,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Untap team / forecast draw,AccretionEngine,Mobilization,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.",Procedure turns assembled citizens into card flow and renewed readiness.,"scroll layers, archive pages, precedent counters, marble glyphs accumulating","forecast, untap, draw",https://scryfall.com/search?q=%21%22Sky%20Hussar%22
AZO-058,Azorius Senate,white-blue,Soulsworn Jury,Dissension,Creature — Spirit,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Defender / sacrifice counter creature,Override,Jury,"Counter, judge, veto, reset, or replace unlawful action with a sanctioned outcome.",The jury waits in defense until a creature case must be rejected.,"gavel flash, verdict wave, spell crossing out, blue-white denial seal","defender, counter, sacrifice",https://scryfall.com/search?q=%21%22Soulsworn%20Jury%22
AZO-059,Azorius Senate,white-blue,Sphinx of New Prahv,Ravnica Allegiance,Creature — Sphinx,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Flying vigilance / tax interaction,ConstraintField,High Court,"Tax, bind, restrict, protect, define fair play, and create rules opponents must respect.",A hovering court that makes targeting the law itself expensive.,"transparent grid, statutes orbiting target, taxation rings, civic boundary lines","sphinx, flyer, tax",https://scryfall.com/search?q=%21%22Sphinx%20of%20New%20Prahv%22
AZO-060,Azorius Senate,white-blue,Sphinx's Insight,Ravnica Allegiance,Instant,{W}{U},Azorius-watermark / Azorius-named / official Ravnica guild-aligned card,strong,Draw + addendum life,AccretionEngine,Filed Insight,"Accumulate precedent, records, cards, mana, life, counters, or institutional advantage.","Draws records, then adds civic stability when filed during proper session.","scroll layers, archive pages, precedent counters, marble glyphs accumulating","draw, addendum, lifegain",https://scryfall.com/search?q=%21%22Sphinx%27s%20Insight%22
