matrix_id,card_name,mana_value,color_identity,type_line,set_context,canonical_tier,mechanical_role,primary_signal,secondary_signal,math_axis,growth_axis,resource_axis,board_axis,commander_relevance,vox_mana_read,maze_query_seed,why_canonical,source_url
QND-011,Pterafractyl,,G/U,Creature — Fractal Dinosaur,Secrets of Strixhaven,current-creature-anchor,Fractal experiment / evasive body,the experiment escapes the classroom,Fractal creature signal,fractal-axis,body-abstraction,limited-creature,experiment-body,low,Some equations do not stay on the board; they grow teeth and wings.,wm:quandrix t:Fractal,Current Quandrix-watermarked Fractal creature and visual bridge for mascot/experiment UI.,https://scryfall.com/search?q=%21%22Pterafractyl%22
QND-012,Dreamroot Cascade,0,G/U,Land,Secrets of Strixhaven,current-land-anchor,school-adjacent dual land,the campus map becomes mana geometry,green-blue fixing,terrain-axis,mana-pattern,land-resource,mana-base,medium,A Quandrix mana base should feel like a diagram where every path eventually solves for green-blue.,ci=ug t:land o:{G} o:{U},Current Quandrix-watermarked land result for mana-base and placement URL hooks.,https://scryfall.com/search?q=%21%22Dreamroot%20Cascade%22
QND-013,"Adrix and Nev, Twincasters",4,G/U,Legendary Creature — Merfolk Wizard,Commander 2021 / Quantum Quandrix,commander-core,token doubler / twin proof,one creation becomes two,token replacement effect,doubling-axis,token-doubling,engine-commander,replication-body,very high,The twins do not merely copy the answer; they prove the answer always had a second form.,ci=ug commander o:tokens o:twice,Official Quantum Quandrix commander and the cleanest token-doubling identity anchor.,https://scryfall.com/search?q=%21%22Adrix%20and%20Nev%2C%20Twincasters%22
QND-014,"Esix, Fractal Bloom",6,G/U,Legendary Creature — Fractal,Commander 2021 / Quantum Quandrix,commander-core,first-token-as-copy override,the first token becomes any shape,token replacement/copy,fractal-axis,copy-override,six-mana-engine,token-field,very high,The first body each turn is not a body; it is a variable waiting to be assigned.,ci=ug commander o:token o:copy,Official Quandrix legend and Fractal embodiment of token-as-equation logic.,https://scryfall.com/search?q=%21%22Esix%2C%20Fractal%20Bloom%22
QND-015,"Deekah, Fractal Theorist",5,U,Legendary Creature — Human Wizard,Commander 2021 / Quantum Quandrix,commander-core,magecraft Fractal generator,theorem becomes Fractal,instant/sorcery casts create Fractals,theory-axis,spell-to-fractal,spellslinger-engine,fractal-army,high,Every spell is a theorem; every theorem is allowed to stand up and walk.,ci:u commander o:Fractal o:instant o:sorcery,Official Quandrix legend directly described as making geometric theorems physical.,https://scryfall.com/search?q=%21%22Deekah%2C%20Fractal%20Theorist%22
QND-016,"Ruxa, Patient Professor",4,G,Legendary Creature — Bear Druid,Commander 2021 / Quantum Quandrix,commander-core,vanilla creature professor / fundamentals,basic forms still matter,supports creatures with no abilities,fundamentals-axis,body-baseline,green-creature-core,simple-body-scaling,medium,"Before the advanced proof, the student must understand what a creature is without ornament.",ci:g commander o:no abilities,"Official Quandrix professor anchoring fundamentals, basics, and patient instruction.",https://scryfall.com/search?q=%21%22Ruxa%2C%20Patient%20Professor%22
QND-017,"Zimone, Quandrix Prodigy",2,G/U,Legendary Creature — Human Wizard,Strixhaven: School of Mages,college-core,land drop / card draw prodigy,the prodigy turns land count into proof,land acceleration and 8-land draw,analysis-axis,land-threshold,ramp-to-cards,student-engine,very high,Zimone reads the table as an equation where the eighth land unlocks the next result.,ci=ug commander o:land o:draw,Primary original Quandrix student legend and mathematical prodigy anchor.,https://scryfall.com/search?q=%21%22Zimone%2C%20Quandrix%20Prodigy%22
QND-018,"Kianne, Dean of Substance // Imbraham, Dean of Theory",3,G/U,Legendary Creature — Elf Druid // Bird Wizard,Strixhaven: School of Mages,college-core,substance/theory dean pair,practical reality versus abstract theory,creature/land scaling and hand selection,dean-duality,substance-vs-theory,modal-mdfc,dual-axis,high,Quandrix is the argument between what can be measured and what can be imagined.,ci=ug t:legendary t:creature,Original Quandrix dean pair and direct expression of applied versus abstract mathematics.,https://scryfall.com/search?q=%21%22Kianne%2C%20Dean%20of%20Substance%20//%20Imbraham%2C%20Dean%20of%20Theory%22
QND-019,Tanazir Quandrix,5,G/U,Legendary Creature — Elder Dragon,Strixhaven: School of Mages,college-core,founder dragon / counter doubling attack,scale becomes contagious,double counters and base power/toughness pump,dragon-axis,counter-doubling,combat-proof,team-scaling,very high,The founder does not merely grow one creature; it sets a theorem the team must obey.,ci=ug commander o:double o:+1/+1,Original Quandrix Founder Dragon and major +1/+1 counter scaling anchor.,https://scryfall.com/search?q=%21%22Tanazir%20Quandrix%22
QND-020,Quandrix Apprentice,2,G/U,Creature — Human Wizard,Strixhaven: School of Mages,college-core,magecraft land/creature selection,study finds the next variable,instant/sorcery cast digs for land or creature,student-axis,magecraft-selection,spell-density,library-filter,medium,The apprentice turns every spell into a search for the next useful variable.,ci=ug o:magecraft,Original Quandrix magecraft creature tying spells to creature/land selection.,https://scryfall.com/search?q=%21%22Quandrix%20Apprentice%22
QND-021,Quandrix Cultivator,4,G/U,Creature — Turtle Druid,Strixhaven: School of Mages / Quantum Quandrix,college-core,ETB basic land ramp,cultivation as calculation,find Forest or Island to battlefield,ramp-axis,land-fixing,four-mana-ramp,mana-bridge,medium,"The formula is simple: find the missing land, then make the next proof possible.",ci=ug o:basic o:Forest o:Island,Original Quandrix creature and Quantum Quandrix deck inclusion for green-blue ramp/fixing.,https://scryfall.com/search?q=%21%22Quandrix%20Cultivator%22
QND-022,Biomathematician,3,G/U,Creature — Human Wizard,Strixhaven: School of Mages / Quantum Quandrix,college-core,ETB Fractal plus counter,life is a calculated body,creates Fractal and adds counter,bio-math-axis,fractal-creation,three-mana-curve,token-seed,medium,The body arrives as a proof of biological arithmetic.,ci=ug o:Fractal o:+1/+1,Original Quandrix card and Quantum Quandrix inclusion that names the college's bio-math overlap.,https://scryfall.com/search?q=%21%22Biomathematician%22
QND-023,Manifestation Sage,4,G/U,Creature — Human Wizard,Strixhaven: School of Mages,college-core,hand-size Fractal manifestation,thought volume becomes body size,Fractal token equal to cards in hand,manifest-axis,hand-size-scaling,cards-to-body,token-payoff,medium,The hand is not hidden information; it is mass waiting to manifest.,ci=ug o:Fractal o:cards in hand,Original Quandrix rare converting hand size into Fractal body scale.,https://scryfall.com/search?q=%21%22Manifestation%20Sage%22
QND-024,Quandrix Command,3,G/U,Instant,Strixhaven: School of Mages,college-core,modal command / counters / answer suite,four proofs in one command,"bounce, counter, counters, recursion protection",modal-proof,counter-placement,instant-flex,interaction-node,high,Quandrix answers by choosing the theorem that fits the board state.,ci=ug t:instant o:Choose o:+1/+1,Original school command and clean modal spell for placement actions.,https://scryfall.com/search?q=%21%22Quandrix%20Command%22
QND-025,Decisive Denial,2,G/U,Instant,Strixhaven: School of Mages,college-core,fight/counter modal protection,deny the premise or solve it physically,fight or counter noncreature,denial-axis,body-vs-theory,cheap-interaction,modal-answer,medium,A bad equation can be countered on the stack or disproved by force.,ci=ug t:instant o:fight o:counter,Original Quandrix interaction spell expressing blue denial plus green physical proof.,https://scryfall.com/search?q=%21%22Decisive%20Denial%22
QND-026,Eureka Moment,4,G/U,Instant,Strixhaven: School of Mages / Quantum Quandrix,college-core,draw plus land drop,insight accelerates reality,draw cards and play extra land,eureka-axis,land-acceleration,instant-ramp,card-flow,medium,The moment of understanding is not flavor text; it puts more land into play.,ci=ug t:instant o:draw o:land,Original Quandrix card and Quantum Quandrix inclusion connecting insight to ramp.,https://scryfall.com/search?q=%21%22Eureka%20Moment%22
QND-027,Golden Ratio,3,G/U,Sorcery,Commander 2021 / Quantum Quandrix,math-name-anchor,draw by different powers,beauty measured by varied scale,card draw based on power diversity,ratio-axis,power-pattern,draw-spell,board-measurement,medium,The board becomes more beautiful when its bodies prove different parts of the ratio.,ci=ug o:different powers o:draw,Quantum Quandrix card with explicit math name and board-state measurement.,https://scryfall.com/search?q=%21%22Golden%20Ratio%22
QND-028,Body of Research,6,G/U,Sorcery,Strixhaven: School of Mages,college-core,library-size Fractal,the whole library becomes one body,create Fractal equal to cards in library,research-axis,library-to-body,six-mana-payoff,single-huge-token,high,A lifetime of research condenses into one enormous Fractal conclusion.,ci=ug o:Fractal o:library,Original Quandrix mythic-level spell converting knowledge volume into body size.,https://scryfall.com/search?q=%21%22Body%20of%20Research%22
QND-029,Double Major,2,G/U,Instant,Strixhaven: School of Mages,college-core,creature spell copy,the creature proof gets a second instance,copy target creature spell,copy-axis,spell-replication,cheap-trick,token-copy,high,The first creature was the solution; the second is the peer review.,ci=ug t:instant o:copy o:creature spell,Original Quandrix copy spell and clear replication hook for UI/URL search.,https://scryfall.com/search?q=%21%22Double%20Major%22
QND-030,Exponential Growth,XXGG,G,Sorcery,Strixhaven: School of Mages,college-core,power multiplication,growth stops being linear,double power X times,growth-axis,exponential-scale,X-spell,single-threat-scaling,medium,The name is the mechanic: growth repeated until combat becomes a math problem.,wm:quandrix o:double o:power,Original Quandrix-watermarked green spell with explicit exponential scaling.,https://scryfall.com/search?q=%21%22Exponential%20Growth%22
QND-031,Emergent Sequence,2,G,Sorcery,Strixhaven: School of Mages,college-core,land becomes Fractal creature,mana base becomes proof body,basic land becomes 0/0 Fractal with counters,emergence-axis,land-to-fractal,ramp-body,animated-land,medium,"The land is not just a resource; under enough math, it emerges as a creature.",wm:quandrix o:Fractal o:land,Original Quandrix ramp spell converting lands into Fractal bodies.,https://scryfall.com/search?q=%21%22Emergent%20Sequence%22
QND-032,Leyline Invocation,6,G,Sorcery,Strixhaven: School of Mages,college-core,large Fractal creation,leyline count becomes creature size,Fractal token with counters,leyline-axis,fractal-scale,six-mana-payoff,large-token,low,The invisible line underneath the campus is measured by the body it can summon.,wm:quandrix o:Fractal o:+1/+1,Original Quandrix-watermarked Fractal token spell.,https://scryfall.com/search?q=%21%22Leyline%20Invocation%22
QND-033,Quandrix Pledgemage,3,G/U,Creature — Merfolk Druid,Strixhaven: School of Mages,college-core,hybrid magecraft counter growth,the student grows with every proof,magecraft adds +1/+1 counter,student-axis,magecraft-counters,spell-density,self-scaling-body,medium,Every instant or sorcery is a completed problem set written onto the body.,wm:quandrix o:magecraft o:+1/+1,Original Quandrix common/uncommon bridge for magecraft and counter growth.,https://scryfall.com/search?q=%21%22Quandrix%20Pledgemage%22
QND-034,Quandrix Campus,0,G/U,Land,Strixhaven: School of Mages / Quantum Quandrix,mana-base-core,school campus land / scry fixing,the school itself is a calculation engine,green-blue land and scry,campus-axis,mana-pattern,land-resource,mana-base,medium,The campus gives green-blue mana and then quietly checks the next line of the proof.,wm:quandrix t:land,Original school campus land and official Quantum Quandrix mana-base inclusion.,https://scryfall.com/search?q=%21%22Quandrix%20Campus%22
QND-035,Serpentine Curve,4,U,Sorcery,Strixhaven: School of Mages,mechanic-core,graveyard/exile spell-count Fractal,spell history becomes curve size,Fractal token size from instants/sorceries,curve-axis,spell-count-scale,four-mana-payoff,fractal-token,medium,The curve measures every spell you have cast and lets the answer coil on the battlefield.,wm:quandrix o:Fractal o:instant o:sorcery,Original blue Quandrix spell tying spell volume to Fractal size.,https://scryfall.com/search?q=%21%22Serpentine%20Curve%22
QND-036,Square Up,2,G,Instant,Strixhaven: School of Mages,mechanic-core,base power/toughness setting,the square defines the body,sets base P/T to 4/4,geometry-axis,base-stat-math,combat-trick,body-rewrite,low,Quandrix combat math starts by redefining the shape being measured.,wm:quandrix o:base power and toughness,Original Quandrix-watermarked geometry/stat-setting card.,https://scryfall.com/search?q=%21%22Square%20Up%22
QND-037,Field Trip,3,G,Sorcery,Strixhaven: School of Mages,learn-core,ramp plus learn,research trip finds land and lesson,basic Forest plus learn,lesson-axis,land-ramp,learn-toolbox,setup-spell,medium,The field trip is not flavor; it is an early-game research expedition for mana and a Lesson.,o:learn o:Forest,Original Strixhaven learn/ramp card that fits Quandrix's land-plus-study curve.,https://scryfall.com/search?q=%21%22Field%20Trip%22
QND-038,Divide by Zero,3,U,Instant,Strixhaven: School of Mages,learn-core,tempo bounce plus learn,bad math sends the object back to hand,return spell/permanent and learn,equation-axis,tempo-proof,learn-toolbox,interaction-node,medium,"Quandrix's cleanest joke is also an interaction pattern: divide by zero, reset the premise, learn.",o:learn o:return target,Original Strixhaven learn interaction card with math-name resonance.,https://scryfall.com/search?q=%21%22Divide%20by%20Zero%22
QND-039,Solve the Equation,3,U,Sorcery,Strixhaven: School of Mages,method-core,instant/sorcery tutor,find the exact spell that solves the problem,search library for instant or sorcery,equation-axis,spell-tutor,setup-resource,library-search,medium,The deck contains many answers; Quandrix wants the equation that names the right one.,o:search o:instant o:sorcery,Strixhaven card whose name and function align directly with Quandrix problem-solving.,https://scryfall.com/search?q=%21%22Solve%20the%20Equation%22
QND-040,Curiosity Crafter,4,U,Creature — Bird Wizard,Commander 2021 / Quantum Quandrix,commander-structural-anchor,token evasion and draw,created things become questions,tokens connect to card draw,curiosity-axis,token-draw,commander-support,token-payoff,medium,"The more creatures the theorem makes, the more questions the deck gets to ask.",ci:u o:token o:draw,Official Quantum Quandrix deck inclusion supporting token-driven draw.,https://scryfall.com/search?q=%21%22Curiosity%20Crafter%22
QND-041,Spawning Kraken,6,U,Creature — Kraken,Commander 2021 / Quantum Quandrix,commander-structural-anchor,combat damage token engine,large bodies reproduce pressure,creates Kraken tokens from combat damage,spawn-axis,token-replication,six-mana-payoff,sea-body-field,low,A Quandrix sea monster is a recursive equation with tentacles.,ci:u o:token o:combat damage,Official Quantum Quandrix deck inclusion for token multiplication via combat.,https://scryfall.com/search?q=%21%22Spawning%20Kraken%22
QND-042,Replication Technique,5,U,Sorcery,Commander 2021 / Quantum Quandrix,commander-structural-anchor,demonstrate copy spell,the proof can be demonstrated twice,copy permanent with demonstrate,demonstrate-axis,copy-permanent,political-copy,replication-field,high,"Replication is both a mechanic and a teaching method: demonstrate, then watch the copy exist.",ci:u o:demonstrate o:copy,New card in Quantum Quandrix that directly names replication as a spell pattern.,https://scryfall.com/search?q=%21%22Replication%20Technique%22
QND-043,Oversimplify,5,G/U,Sorcery,Commander 2021 / Quantum Quandrix,commander-structural-anchor,board reset into Fractals,complex board reduced to variable tokens,exile creatures and replace with Fractals,simplification-axis,fractal-conversion,board-reset,mass-rewrite,high,Quandrix does not destroy the board; it reduces everything into comparable variables.,ci=ug o:exile all creatures o:Fractal,New Quantum Quandrix board reset that rewrites complexity into Fractal math.,https://scryfall.com/search?q=%21%22Oversimplify%22
QND-044,Theoretical Duplication,3,U,Instant,Commander 2021 / Quantum Quandrix,commander-structural-anchor,opponent creature entry copy,theory predicts the next body,copy creature as token,theory-axis,predictive-copy,instant-trick,reactive-replication,medium,A theorem becomes useful when it predicts what will enter the battlefield next.,ci:u o:copy o:token o:creature,New Quantum Quandrix card and copy/duplication hook.,https://scryfall.com/search?q=%21%22Theoretical%20Duplication%22
QND-045,Perplexing Test,5,U,Instant,Commander 2021 / Quantum Quandrix,commander-structural-anchor,selective bounce by token/non-token,the exam separates originals from copies,choose tokens or non-tokens to return,test-axis,token-discrimination,instant-reset,selective-field,medium,"A Quandrix test asks one question: which bodies are originals, and which are proofs made visible?",ci:u o:token o:non-token o:return,New Quantum Quandrix instant that distinguishes tokens from non-tokens.,https://scryfall.com/search?q=%21%22Perplexing%20Test%22
QND-046,Fractal Harness,3,G,Artifact — Equipment,Commander 2021 / Quantum Quandrix,commander-structural-anchor,living weapon style Fractal equipment,equipment carries the proof body,creates Fractal and scales counters,fractal-axis,counter-equipment,artifact-support,equipped-token,medium,The tool arrives with its own theorem attached.,ci:g o:Fractal o:Equipment,"New Quantum Quandrix artifact tying Fractals, counters, and board presence.",https://scryfall.com/search?q=%21%22Fractal%20Harness%22
QND-047,Sequence Engine,2,G,Artifact,Commander 2021 / Quantum Quandrix,commander-structural-anchor,counter/tokens sequencing engine,the sequence matters,incremental growth support,sequence-axis,counter-sequence,artifact-engine,growth-tool,medium,"Quandrix cares not only that growth happens, but in what sequence it compounds.",ci:g o:+1/+1 o:counter,New Quantum Quandrix artifact whose name anchors the sequencing vocabulary.,https://scryfall.com/search?q=%21%22Sequence%20Engine%22
QND-048,Geometric Nexus,2,Colorless,Artifact,Commander 2021 / Quantum Quandrix,commander-structural-anchor,Fractal storage / X token creation,geometry stores unused proof,Fractal token creation and scaling,geometry-axis,fractal-store,artifact-engine,token-bank,high,The Nexus is where spare geometry waits until enough mana turns it into a body.,o:Fractal o:{X},New Quantum Quandrix artifact and one of the strongest named geometry anchors.,https://scryfall.com/search?q=%21%22Geometric%20Nexus%22
QND-049,Paradox Zone,5,G,Enchantment,Commander 2021 / Quantum Quandrix,commander-structural-anchor,Fractal token growth each upkeep,the zone makes contradictions grow,creates increasingly large Fractals,paradox-axis,fractal-accretion,enchantment-engine,upkeep-growth,high,The paradox is not solved; it is maintained until it becomes a battlefield.,ci:g o:Fractal o:+1/+1,New Quantum Quandrix enchantment for recurring Fractal accretion.,https://scryfall.com/search?q=%21%22Paradox%20Zone%22
QND-050,Biomass Mutation,XGU,G/U,Instant,Commander 2021 / Quantum Quandrix,structural-anchor,team-wide X/X overwrite,the team becomes a shared variable,creatures become X/X,mutation-axis,base-stat-math,X-spell-finisher,team-scaling,medium,The board stops being many stats and becomes one chosen value of X.,ci=ug o:{X} o:base power and toughness,Quantum Quandrix deck inclusion and strong Simic stat-math finisher.,https://scryfall.com/search?q=%21%22Biomass%20Mutation%22
QND-051,Rite of Replication,4,U,Sorcery,Commander 2021 / Quantum Quandrix,structural-anchor,single or kicked five-copy replication,one proof can become five,"copy creature token, kicked creates five",replication-axis,copy-token,kicker-payoff,clone-burst,high,Replication becomes Quandrix when the copy count is part of the drama.,ci:u o:copy o:token o:kicker,Quantum Quandrix deck inclusion and iconic copy-scaling spell.,https://scryfall.com/search?q=%21%22Rite%20of%20Replication%22
QND-052,Spitting Image,6,G/U,Sorcery,Commander 2021 / Quantum Quandrix,structural-anchor,retrace clone,lands become repeated copies,token copy with retrace,image-axis,land-to-copy,retrace-resource,recurring-clone,medium,The land drop you no longer need becomes the next image of the best thing on board.,ci=ug o:copy o:Retrace,Quantum Quandrix deck inclusion combining copies with lands as reusable fuel.,https://scryfall.com/search?q=%21%22Spitting%20Image%22
QND-053,Master Biomancer,4,G/U,Creature — Elf Wizard,Commander 2021 / Quantum Quandrix,simic-structural-anchor,incoming creature counter scaling,biology enters already calculated,new creatures get counters,bio-math-axis,counter-entry,creature-engine,entry-scaling,medium,Every new organism receives a precomputed growth model before it touches the battlefield.,ci=ug o:+1/+1 o:enters,Quantum Quandrix inclusion and classic blue-green bio-math bridge.,https://scryfall.com/search?q=%21%22Master%20Biomancer%22
QND-054,Coiling Oracle,2,G/U,Creature — Snake Elf Druid,Commander 2021 / Quantum Quandrix,simic-structural-anchor,top-card land/card flow,reveal the next variable,land acceleration or card replacement,oracle-axis,topdeck-pattern,two-mana-value,ramp-draw-bridge,medium,The oracle does not choose between land and knowledge; it reveals which variable is next.,ci=ug o:reveal o:land,Quantum Quandrix inclusion and classic green-blue land/card bridge.,https://scryfall.com/search?q=%21%22Coiling%20Oracle%22
QND-055,"Novijen, Heart of Progress",0,G/U,Land,Commander 2021 / Quantum Quandrix,simic-structural-anchor,land-based counter placement,progress is built into the mana base,puts counters on entering creatures,progress-axis,counter-land,mana-base-tech,team-growth,medium,The land itself teaches new bodies how much larger they are allowed to become.,ci=ug t:land o:+1/+1,Quantum Quandrix inclusion and strong mana-base counter signal.,https://scryfall.com/search?q=%21%22Novijen%2C%20Heart%20of%20Progress%22
QND-056,Simic Ascendancy,2,G/U,Enchantment,Ravnica Allegiance,simic-structural-anchor,counter alternate win condition,enough counters become destiny,+1/+1 counter tracking and win condition,ascendancy-axis,counter-threshold,enchantment-engine,counter-victory,medium,"Quandrix can read this as a scoreboard: when growth is measured long enough, it becomes the win condition.",ci=ug o:+1/+1 o:win,"Not a Quandrix card, but a key blue-green counter-threshold anchor for avoiding generic ramp-only reads.",https://scryfall.com/search?q=%21%22Simic%20Ascendancy%22
