pair_id	identity_a	identity_b	cluster	shared_constructs	approved_question_ids	observable_distinction_recorded	baseline_disposition	final_disposition	mapping_action	provenance
BANT__JUND	BANT	JUND	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.commander-role.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	BANT uses Commander reliance evidence; JUND uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BANT__JUND;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BANT__JUND
BANT__TEMUR	BANT	TEMUR	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.commander-role.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	BANT uses Commander reliance evidence; TEMUR uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BANT__TEMUR;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BANT__TEMUR
BG__GLINT	BG	GLINT	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.sacrifice.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1	BG uses Resource sacrifice evidence; GLINT uses Repeatability preference evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BG__GLINT;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BG__GLINT
BR__GLINT	BR	GLINT	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C11	b1.hall.sacrifice.v1;b1.hall.repeatability.v1;b1.crucible.mono-multi.v1	BR uses Resource sacrifice evidence; GLINT uses Repeatability preference evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BR__GLINT;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BR__GLINT
BR__JUND	BR	JUND	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C12	b1.hall.threat.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	BR uses Threat posture evidence; JUND uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BR__JUND;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BR__JUND
BR__SULTAI	BR	SULTAI	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C12	b1.hall.threat.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	BR uses Threat posture evidence; SULTAI uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BR__SULTAI;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BR__SULTAI
BR__UB	BR	UB	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C11	b1.hall.sacrifice.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	BR uses Resource sacrifice evidence; UB uses Resource visibility evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BR__UB;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BR__UB
BR__WU	BR	WU	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.threat.v1;b1.hall.interaction-window.v1;b1.crucible.mono-multi.v1	BR uses Threat posture evidence; WU uses Mana commitment and interaction window evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BR__WU;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BR__WU
BR__YORE	BR	YORE	C1_YORE_NON_CLEAN_OBSERVABILITY	C12	b1.hall.threat.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	BR uses Threat posture evidence; YORE uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_NOT_CLEANLY_OBSERVABLE	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#BR__YORE;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#BR__YORE
DUNE__GRIXIS	DUNE	GRIXIS	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.pressure.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	DUNE uses Pressure channel evidence; GRIXIS uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#DUNE__GRIXIS;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#DUNE__GRIXIS
DUNE__LOREHOLD	DUNE	LOREHOLD	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.pressure.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	DUNE uses Pressure channel evidence; LOREHOLD uses Disruption response evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#DUNE__LOREHOLD;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#DUNE__LOREHOLD
DUNE__NAYA	DUNE	NAYA	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C07;C11	b1.hall.commitment.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1	DUNE uses Public commitment evidence; NAYA uses Theme-efficiency tradeoff evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#DUNE__NAYA;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#DUNE__NAYA
DUNE__PRISMARI	DUNE	PRISMARI	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C11	b1.hall.pressure.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	DUNE uses Pressure channel evidence; PRISMARI uses Advantage tempo evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#DUNE__PRISMARI;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#DUNE__PRISMARI
G__R	G	R	C2_MONO_IDENTITY_NOT_SEPARATED_BY_BREADTH		b1.gate.disruption.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	G uses Disruption response evidence; R uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#G__R;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#G__R
G__U	G	U	C2_MONO_IDENTITY_NOT_SEPARATED_BY_BREADTH		b1.gate.disruption.v1;b1.gate.initiative.v1;b1.crucible.mono-multi.v1	G uses Disruption response evidence; U uses Initiative posture evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#G__U;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#G__U
G__W	G	W	C2_MONO_IDENTITY_NOT_SEPARATED_BY_BREADTH	C03	b1.hall.setup.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	G uses Setup tolerance evidence; W uses Public commitment evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#G__W;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#G__W
GLINT__JUND	GLINT	JUND	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C01	b1.hall.repeatability.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	GLINT uses Repeatability preference evidence; JUND uses Resource sacrifice evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#GLINT__JUND;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#GLINT__JUND
GLINT__PRISMARI	GLINT	PRISMARI	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C11	b1.hall.repeatability.v1;b1.gate.tempo.v1;b1.crucible.mono-multi.v1	GLINT uses Repeatability preference evidence; PRISMARI uses Advantage tempo evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#GLINT__PRISMARI;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#GLINT__PRISMARI
GLINT__SULTAI	GLINT	SULTAI	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.hall.repeatability.v1;b1.hall.sacrifice.v1;b1.crucible.mono-multi.v1	GLINT uses Repeatability preference evidence; SULTAI uses Resource sacrifice evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#GLINT__SULTAI;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#GLINT__SULTAI
GLINT__UB	GLINT	UB	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C11	b1.hall.repeatability.v1;b1.gate.visibility.v1;b1.crucible.mono-multi.v1	GLINT uses Repeatability preference evidence; UB uses Resource visibility evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#GLINT__UB;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#GLINT__UB
GLINT__UR	GLINT	UR	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C09	b1.gate.initiative.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	GLINT uses Initiative posture evidence; UR uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#GLINT__UR;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#GLINT__UR
GRIXIS__JESKAI	GRIXIS	JESKAI	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C01;C16	b1.hall.sacrifice.v1;b1.hall.interaction-window.v1;b1.crucible.mono-multi.v1	GRIXIS uses Resource sacrifice evidence; JESKAI uses Mana commitment and interaction window evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#GRIXIS__JESKAI;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#GRIXIS__JESKAI
GRIXIS__SILVERQUILL	GRIXIS	SILVERQUILL	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.initiative.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	GRIXIS uses Initiative posture evidence; SILVERQUILL uses Public commitment evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#GRIXIS__SILVERQUILL;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#GRIXIS__SILVERQUILL
GRIXIS__SULTAI	GRIXIS	SULTAI	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C12	b1.gate.initiative.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	GRIXIS uses Initiative posture evidence; SULTAI uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#GRIXIS__SULTAI;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#GRIXIS__SULTAI
GRIXIS__UG	GRIXIS	UG	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.initiative.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	GRIXIS uses Initiative posture evidence; UG uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#GRIXIS__UG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#GRIXIS__UG
GRIXIS__WUBRG	GRIXIS	WUBRG	C4_SEPARATE_BROAD_CHANNELS_WITHOUT_DIRECT_BOUNDARY		b1.gate.initiative.v1;b1.hall.breadth.v1;b1.crucible.mono-multi.v1	GRIXIS uses Initiative posture evidence; WUBRG uses Deck breadth and constraint evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#GRIXIS__WUBRG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#GRIXIS__WUBRG
INK__NAYA	INK	NAYA	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C10	b1.hall.commitment.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	INK uses Public commitment evidence; NAYA uses Pressure channel evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#INK__NAYA;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#INK__NAYA
INK__WG	INK	WG	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C13;C03;C10	b1.hall.commitment.v1;b1.crucible.mono-multi.v1	INK uses Public commitment evidence; WG uses Public commitment evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#INK__WG;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#INK__WG
JESKAI__MARDU	JESKAI	MARDU	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C01	b1.hall.interaction-window.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	JESKAI uses Mana commitment and interaction window evidence; MARDU uses Pressure channel evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#JESKAI__MARDU;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#JESKAI__MARDU
JESKAI__QUANDRIX	JESKAI	QUANDRIX	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C09	b1.hall.interaction-window.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	JESKAI uses Mana commitment and interaction window evidence; QUANDRIX uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#JESKAI__QUANDRIX;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#JESKAI__QUANDRIX
JESKAI__TEMUR	JESKAI	TEMUR	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C01	b1.hall.interaction-window.v1;b1.hall.pressure.v1;b1.crucible.mono-multi.v1	JESKAI uses Mana commitment and interaction window evidence; TEMUR uses Pressure channel evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#JESKAI__TEMUR;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#JESKAI__TEMUR
JESKAI__UR	JESKAI	UR	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C09	b1.hall.interaction-window.v1;b1.hall.engine-shape.v1;b1.crucible.mono-multi.v1	JESKAI uses Mana commitment and interaction window evidence; UR uses Engine concentration evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#JESKAI__UR;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#JESKAI__UR
JESKAI__WR	JESKAI	WR	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C01	b1.hall.interaction-window.v1;b1.gate.disruption.v1;b1.crucible.mono-multi.v1	JESKAI uses Mana commitment and interaction window evidence; WR uses Disruption response evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#JESKAI__WR;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#JESKAI__WR
JESKAI__WU	JESKAI	WU	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C08;C16;C09	b1.gate.initiative.v1;b1.hall.commitment.v1;b1.crucible.mono-multi.v1	JESKAI uses Initiative posture evidence; WU uses Public commitment evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#JESKAI__WU;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#JESKAI__WU
JUND__NAYA	JUND	NAYA	C3_SHARED_CONSTRUCT_WITHOUT_DIFFERENTIAL_EFFECT	C07	b1.gate.initiative.v1;b1.hall.theme.v1;b1.crucible.mono-multi.v1	JUND uses Initiative posture evidence; NAYA uses Theme-efficiency tradeoff evidence. No direct pair claim is made.	BOUNDED_NO_DIRECT_DISCRIMINATOR	RETAIN_BOUNDED_INSTRUMENT_CHANGE_REQUIRED	NONE	docs/plans/vm551-gate-b1-placement-instrument/confusion-pair-coverage.tsv#JUND__NAYA;docs/reports/vm551-gate-b1-placement-engine/confusion-pair-resolution.json#JUND__NAYA
