id,card_name,set_or_context,type_line,color_identity,canonical_basis,mechanic_or_role,primary_mechanic_tags,board_role,tempo_profile,structural_axis,vox_mana_read,narrative_tags,animation_hook,placement_usage,source_url
SIMIC-011,Novijen Sages,Dissension,Creature — Human Advisor Mutant,U,Simic watermark / graft draw,counter-to-card conversion,graft/card draw,knowledge engine,scaling / compounding,laboratory ledger,"Biological progress is measured, spent, and converted into insight.",graft; +1/+1 counters; knowledge,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-012,"Novijen, Heart of Progress",Dissension,Land,Colorless,Simic guild land,counter infrastructure,counter infrastructure,guild land engine,scaling / compounding,growth chamber node,The city itself becomes a counter-distribution laboratory.,+1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-013,Omnibian,Dissension,Creature — Frog,G/U,Simic watermark / biomancy transformation,size rewriting,p/t setting,combat manipulation,utility / flexible,adaptive morphology,The body is not fixed; size and threat are negotiable.,adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-014,Plaxcaster Frogling,Dissension,Creature — Frog Mutant,G/U,Simic watermark / protection anchor,graft / protection,graft/protection,protective field,scaling / compounding,plax shell protocol,"Growth creates a shell: the more adapted the network, the harder it is to target.",graft; adapt; protection,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-015,Plaxmanta,Dissension,Creature — Beast,U,Simic watermark / protection spellbody,flash protection,flash/protection,defensive adaptation,utility / flexible,membrane flare,A sudden biomantic membrane breaks hostile targeting lines.,protection,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-016,Shielding Plax,Dissension,Enchantment — Aura,G/U,Simic watermark / protective aura,protection / card replacement,protection/draw,targeting denial,utility / flexible,biofilm shield,A grafted shield turns vulnerability into protected information flow.,graft; knowledge; protection,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-017,Simic Basilisk,Dissension,Creature — Basilisk Mutant,G,Simic-named card,combat deterrent,combat deterrence,deathtouch-like pressure,utility / flexible,predatory mutation,The adapted predator turns contact into consequence.,adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-018,Simic Guildmage,Dissension,Creature — Elf Wizard,G/U,Simic-named guildmage,aura/counter movement,counter movement,modular repositioning,scaling / compounding,guild technician,The guildmage moves enhancement across the organism-map.,+1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-019,Simic Growth Chamber,Dissension,Land,G/U,Simic guild land,bounce land / fixing,mana engine,mana infrastructure,resource acceleration,cultivation basin,Growth begins by returning to the source and producing more later.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-020,Simic Initiate,Dissension,Creature — Human Mutant,G,Simic-named graft card,graft seed,graft seed,turn-one growth vector,scaling / compounding,first cytoplast host,The smallest host carries the future counter network.,graft; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-021,Simic Ragworm,Dissension,Creature — Worm,G,Simic-named creature,untap body,untap synergy,activation platform,utility / flexible,responsive musculature,"The organism stays ready; adaptation is a posture, not a moment.",adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-022,Simic Signet,Dissension,Artifact,Colorless,Simic guild signet,mana fixing,mana fixing,guild infrastructure,resource acceleration,arcane growth valve,A compact valve for blue-green research throughput.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-023,Simic Sky Swallower,Dissension,Creature — Leviathan,G/U,Iconic Simic finisher,evasive protected finisher,finisher/protection,mythic apex threat,threat pressure,untargetable sky leviathan,The final experiment is too large to answer and too adapted to grasp.,adapt; protection,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-024,Sporeback Troll,Dissension,Creature — Troll Mutant,G,Simic watermark / graft survival,graft / regeneration,graft/regeneration,survival scaffold,scaling / compounding,regenerative counter-host,Counters are not only progress; they are durability.,graft; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-025,Trygon Predator,Dissension,Creature — Beast,G/U,Simic watermark / iconic utility creature,artifact/enchantment removal,evasion/removal,predatory cleanup,interactive control,adaptive hunter,An evolved predator deletes artificial constraints as it feeds.,evolve; adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-026,Vigean Graftmage,Dissension,Creature — Vedalken Wizard Mutant,U,Simic watermark / graft enabler,graft / untap,graft/untap,engine enabler,scaling / compounding,cytoplast technician,Countered creatures become reusable instruments.,graft; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-027,Vigean Hydropon,Dissension,Creature — Plant Mutant,G/U,Simic watermark / unusual graft card,counter reservoir,counter reservoir,noncombat growth battery,scaling / compounding,living counter tank,A creature that exists mainly to feed the ecosystem.,+1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-028,Vigean Intuition,Dissension,Instant,G/U,Simic watermark / guild spell,hand sculpting,selection,knowledge selection,utility / flexible,research fork,Simic thought chooses the most useful evolutionary branch.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-029,Voidslime,Dissension,Instant,G/U,Simic watermark / iconic answer,counterspell / ability stop,counter/control,total interruption,scaling / compounding,adaptive nullification,Anything can be stopped when the lab understands the mechanism.,adapt; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-030,Adaptive Snapjaw,Gatecrash,Creature — Lizard Beast,G,Simic watermark / evolve common,evolve body,evolve,scaling attacker,scaling / compounding,jawline mutation,A simple creature that grows whenever larger forms enter the system.,evolve,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-031,Beetleform Mage,Gatecrash,Creature — Human Insect Wizard,G/U,Simic watermark / hybrid biomancer,pump / evasion,pump/evasion,tempo threat,threat pressure,chitin-wing morph,The scholar becomes the specimen mid-combat.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-032,Biomass Mutation,Gatecrash,Instant,G/U,Simic watermark / scalable finisher,team scaling finisher,team pump,mass redefinition,utility / flexible,whole-field morphology,The entire board is rewritten into one amplified biological statement.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-033,Bioshift,Gatecrash,Instant,G/U,Simic watermark / counter trick,counter transfer,counter movement,combat/resource trick,scaling / compounding,cytoplast relocation,Progress is never lost; it simply moves to the host that needs it.,+1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-034,Bred for the Hunt,Gatecrash,Enchantment,G/U,Simic watermark / counter payoff,countered creature draw,counter payoff/card draw,advantage engine,scaling / compounding,predatory research doctrine,Creatures with growth counters become evidence-gathering hunters.,+1/+1 counters; knowledge,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-035,Cloudfin Raptor,Gatecrash,Creature — Bird Mutant,U,Simic watermark / evolve opener,evolve one-drop,evolve/evasion,early scaling flier,scaling / compounding,avian growth signal,A tiny organism that becomes credible through ecosystem sequencing.,evolve,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-036,Crocanura,Gatecrash,Creature — Crocodile Frog,G,Simic watermark / evolve defender,evolve / reach,evolve/reach,defensive scaler,scaling / compounding,amphibian sentry,A blocking organism that adapts upward as threats appear.,evolve; adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-037,Crowned Ceratok,Gatecrash,Creature — Rhino,G,Simic watermark / counter payoff,countered team trample,counter payoff/trample,payoff lord,scaling / compounding,horned breakthrough,Adapted bodies learn to break through resistance together.,adapt; +1/+1 counters; growth,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-038,Drakewing Krasis,Gatecrash,Creature — Lizard Drake,G/U,Simic watermark / krasis creature,evasive creature,evasion/body,air-ground hybrid,threat pressure,krasis flight splice,Hybrid form expresses blue mobility and green body at once.,krasis,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-039,Elusive Krasis,Gatecrash,Creature — Fish Mutant,G/U,Simic watermark / evolve payoff,evolve / unblockable,evolve/evasion,scaling evasive threat,scaling / compounding,slipstream organism,The experiment grows quietly until it becomes impossible to block.,evolve,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-040,Experiment One,Gatecrash,Creature — Human Ooze,G,Simic watermark / iconic evolve card,evolve / regenerate,evolve/regeneration,early scaling threat,scaling / compounding,self-repairing prototype,"The first experiment grows, survives, and proves the principle.",evolve,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-041,Fathom Mage,Gatecrash,Creature — Human Wizard,G/U,Simic watermark / evolve rare,evolve draw engine,evolve/card draw,knowledge-growth engine,scaling / compounding,fathom research node,Every adaptation produces new information.,evolve; adapt; knowledge,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-042,Forced Adaptation,Gatecrash,Enchantment — Aura,G,Simic watermark / adaptation aura,repeat counters,counter growth,slow growth aura,scaling / compounding,directed mutation,The organism changes every cycle whether the world is ready or not.,+1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-043,Give // Take,Dragon’s Maze,Sorcery,G/U,Simic-aligned split card,counter placement / card draw,counters/draw,modal growth exchange,scaling / compounding,biomantic transaction,Growth and knowledge become two halves of the same spell.,+1/+1 counters; knowledge,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-044,Gyre Sage,Gatecrash,Creature — Elf Druid,G,Simic watermark / iconic evolve ramp,evolve mana engine,evolve/ramp,ramp scaler,scaling / compounding,spiral-growth conduit,"As the ecosystem grows, the sage produces more mana to feed it.",evolve; growth,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-045,Hindervines,Gatecrash,Instant,G,Simic watermark / protective spell,prevent combat damage,combat prevention,defensive biomancy,utility / flexible,counter-aware thicket,The network protects its adapted members while blunting the rest.,adapt; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-046,Hydroform,Gatecrash,Instant,G/U,Simic watermark / biomancy trick,land animation,animation/trick,surprise body,utility / flexible,water-to-organism morph,Terrain briefly becomes an adapted creature.,adapt,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-047,Master Biomancer,Gatecrash,Creature — Elf Wizard,G/U,Simic watermark / iconic biomancer,counter amplifier,counter amplifier,creature-entry engine,scaling / compounding,growth architect,Every new organism enters already improved by the architect.,+1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-048,Merfolk of the Depths,Gatecrash,Creature — Merfolk Soldier,G/U,Simic watermark / aquatic guild body,flash creature,flash/body,ambush body,utility / flexible,zonot emergence,The deep lab surfaces exactly when needed.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-049,Miming Slime,Gatecrash,Sorcery,G,Simic watermark / growth token,token scaling,token scaling,largest-body echo,utility / flexible,biomass duplicate,The ecosystem copies its strongest available shape.,biomass,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-050,Mystic Genesis,Gatecrash,Instant,G/U,Simic watermark / iconic answer,counterspell + token,counter/token,answer into organism,scaling / compounding,spell-to-biomass conversion,A denied spell becomes living material for the Combine.,+1/+1 counters; biomass,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-051,Nimbus Swimmer,Gatecrash,Creature — Leviathan,G/U,Simic watermark / krasis finisher,X-scaling flier,X-scaling,mana sink finisher,utility / flexible,variable apex organism,The amount of growth equals the resources poured into the experiment.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-052,Prime Speaker Zegana,Gatecrash,Legendary Creature — Merfolk Wizard,G/U,Simic Prime Speaker legendary,ETB counters + draw,counters/draw,leader / draw payoff,scaling / compounding,speaker of measured growth,Authority belongs to the one who turns biological scale into shared knowledge.,+1/+1 counters; knowledge,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-053,Rapid Hybridization,Gatecrash,Instant,U,Simic watermark / iconic biomancy removal,creature transformation removal,removal/transform,efficient mutation,interactive control,forced specimen rewrite,A threat is not destroyed so much as rewritten into a manageable organism.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-054,Renegade Krasis,Dragon’s Maze,Creature — Beast Mutant,G,Simic-aligned evolve payoff,evolve / counter spread,evolve/counter spread,board growth engine,scaling / compounding,rebellious cytoplast pulse,Its own adaptation propagates growth across the field.,evolve; adapt; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-055,Sapphire Drake,Gatecrash,Creature — Drake,U,Simic watermark / counter payoff,countered team flying,counter payoff/evasion,evasion lord,scaling / compounding,sky adaptation grant,Adapted creatures are given access to the air.,adapt; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-056,Shambleshark,Gatecrash,Creature — Shark Crab,G/U,Simic watermark / evolve creature,flash / evolve,flash/evolve,ambush scaler,scaling / compounding,predatory mutation,The shark-crab appears at instant speed and grows from the next specimen.,evolve,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-057,Simic Charm,Gatecrash,Instant,G/U,Simic-named charm,modal protection/pump/bounce,modal utility,flexible answer,utility / flexible,guild protocol charm,"The Combine adapts its response: protect, alter, or displace.",adapt; protection,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-058,Simic Fluxmage,Gatecrash,Creature — Merfolk Wizard,U,Simic-named evolve card,evolve / counter movement,evolve/counter movement,modular growth tool,scaling / compounding,counter-flow technician,Growth can be re-routed from the organism that has it to the one that needs it.,evolve; +1/+1 counters,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-059,Simic Keyrune,Gatecrash,Artifact,Colorless,Simic-named guild artifact,mana rock / creature mode,mana/animation,infrastructure body,resource acceleration,animated guild instrument,A mana implement that becomes a small evasive organism.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-060,Species Gorger,Dragon’s Maze,Creature — Frog Beast,G/U,Simic-aligned guild creature,bounce own creature,bounce/value,ETB reset engine,utility / flexible,recursive ecosystem,Progress loops through the hand so the experiment can repeat.,biomancy,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-061,Unexpected Results,Gatecrash,Sorcery,G/U,Simic watermark / experiment spell,topdeck reveal / ramp,reveal/ramp,chaotic discovery,resource acceleration,field experiment,The lab accepts uncertainty as a valid research method.,growth,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-062,Urban Evolution,Gatecrash,Sorcery,G/U,Simic watermark / iconic value spell,draw + extra land,draw/ramp,resource-growth bridge,resource acceleration,city ecology protocol,Knowledge and land development happen in the same breath.,knowledge; growth,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
SIMIC-063,Zameck Guildmage,Gatecrash,Creature — Elf Wizard,G/U,Simic-named guildmage,counter entry / draw conversion,counter/draw,utility engine,scaling / compounding,guild counter clerk,The guildmage records counters as both growth and future cards.,+1/+1 counters; knowledge,cellular pulse / cytoplast glow / zonot ripple / evolutionary bloom,"Use as Simic evidence for growth-through-knowledge, adaptation loops, +1/+1 counter architecture, and biomantic optimization.",https://scryfall.com/search?q=watermark%3Asimic
