identity	semantic_boundary	primary_confusions	existing_signal_1	existing_signal_2	independence_status	routing_status	gap_type	required_observation	disposition
G	The existing living system is accepted, inhabited, and grown; ramp, creatures, passivity, or long setup alone are insufficient.	WG;RG;UG;BG;NAYA;TEMUR	b1.gate.disruption.v1.recover (C03 recovery; broad)	b1.hall.setup.v1.staged (C14 staged setup; broad)	Independent broad observations exist but no mono-Green naming boundary.	BROAD_ROUTE_ONLY; mono/multicolor C15 cannot assign Green.	IDENTITY_SIGNAL	Observe adapting through what the board has become rather than restoring an ideal plan, extracting value, or forcing immediate motion.	COVER_WITH_VM555-Q01_AND_Q06; primary signal only.
BANT	Excellence and a protected champion remain answerable to public trust and community; commander reliance or value alone are insufficient.	WITCH;WUBRG;INK;W;U;WU;WG	b1.crucible.bant.v1.refine (C05 protected centerpiece; current naming signal)	b1.hall.repeatability.v1.same plus Gate C03 (C09/C03 independent broad opportunities)	The direct C05 item cannot stack with Hall C05; three useful dependencies exist but the high-confusion four-observation threshold is not assured.	ROUTING_CONTENDED; route can miss C09 or spend Hall capacity on dependent C05.	ROUTING_AND_CORROBORATION	Observe a public/community accountability constraint on the champion in a construct other than commander reliance.	DIAGNOSE_ROUTE_FIRST; use VM555-Q02 only if it supplies a distinct C13 boundary.
ESPER	A deliberately designed system is improved toward controlled perfectibility; artifacts, control, or interchangeable answers alone are insufficient.	U;B;YORE;JESKAI;W;WU	b1.crucible.esper.v1.designed (C06 designed central engine; current naming signal)	b1.hall.mana-window.v1.others plus b1.hall.repeatability.v1.same (C08/C09 independent opportunities)	Existing design provides independent C06, C08, and C09 observations plus Gate context; the owner-provided gap inventory does not identify an open deficit.	CURRENT_ROUTE_CAN_ASSEMBLE; retain close/insufficient at the high-risk threshold.	NONE	No new observation required in this bridge; validate comprehension and mapping later.	PRESERVE_EXISTING_DESIGN; NO_NEW_ITEM.
GRIXIS	Analysis exists to create urgent self-preserving leverage before the opening closes; control, sacrifice, or aggression alone are insufficient.	B;YORE;GLINT;U;UB;BR	b1.crucible.grixis.v1.convert (C01 urgent proactive opening; current naming signal)	b1.hall.sacrifice.v1.convert plus Gate C02 held resources (C12/C02 independent opportunities)	Existing design provides independent C01, C12, and C02 observations plus Gate context; the owner-provided gap inventory does not identify an open deficit.	CURRENT_ROUTE_CAN_ASSEMBLE; do not stack the Gate and Crucible C01 observations.	NONE	No new observation required in this bridge; validate that urgency and calculation are both recognized.	PRESERVE_EXISTING_DESIGN; NO_NEW_ITEM.
JUND	Instinct and appetite produce honest action with accepted consequence; sacrifice, combat, or generic aggression alone are insufficient.	GLINT;B;DUNE;R;BR;RG	b1.gate.initiative.v1.advance (C01 proactive; broad)	b1.hall.sacrifice.v1.convert plus b1.hall.pressure.v1.combat (C12/C07 broad)	Multiple independent broad constructs exist but none names Red-led instinct and consequence.	BROAD_ROUTE_ONLY; no direct Jund boundary item.	IDENTITY_SIGNAL	Observe choosing an embodied, appetite-bearing action and accepting its consequence rather than calculating, coordinating, or preserving.	COVER_WITH_VM555-Q03; primary signal only.
NAYA	Abundance, creatures, place, and loyalty are experienced as membership in a living whole; big boards or combat alone are insufficient.	INK;RG;DUNE;W;G;WG	b1.hall.pressure.v1.combat (C07 combat pressure; broad)	b1.hall.threat.v1.embrace (C11 visible threat; broad)	Independent broad constructs exist but do not distinguish abundant belonging.	BROAD_ROUTE_ONLY; no direct Naya boundary item.	IDENTITY_SIGNAL	Observe using an abundant board to sustain shared living participation rather than merely maximizing damage or display.	COVER_WITH_VM555-Q03_OR_Q06; primary signal only.
ABZAN	Endurance protects house continuity and future generations through accepted duty; toughness, recursion, or family language alone are insufficient.	WITCH;YORE;W;WU;UB;WG	b1.gate.disruption.v1.protect or recover (C03 broad)	b1.hall.setup.v1.staged plus b1.hall.commitment.v1.terms (C14/C13 broad)	Independent broad constructs exist but no duty-to-continuity naming boundary.	BROAD_ROUTE_ONLY; no direct Abzan item.	IDENTITY_SIGNAL	Observe accepting a durable present obligation so a group or resource line survives into later turns, distinct from generic protection or compounding.	COVER_WITH_VM555-Q02_AND_Q06; primary signal only.
TEMUR	Attunement to the actual board and terrain precedes decisive action; monsters, proactive play, or generic adaptation alone are insufficient.	G;INK;GLINT;PRISMARI;LOREHOLD;RG	b1.crucible.temur.v1.adapt (C01 board-based adaptation; current naming signal)	b1.hall.pressure.v1.combat plus b1.hall.setup.v1.early (C07/C14 broad)	The direct C01 item cannot stack with Gate C01; three useful dependencies exist but the high-confusion four-observation threshold is not assured.	ROUTING_CONTENDED; route must preserve C07 and C14 opportunities before the C01 boundary.	ROUTING_AND_CORROBORATION	Observe listening to current board conditions before choosing pressure, in a context independent of proactive/reactive timing.	DIAGNOSE_ROUTE_FIRST; VM555-Q06 may corroborate only if attunement remains observable rather than inferred.
SULTAI	Secrets, bodies, costs, and openings are selectively converted into the best available leverage; graveyard value or sacrifice alone are insufficient.	B;GLINT;BG;U;WITCH	b1.crucible.sultai.v1.best (C12 flexible conversion; current naming signal)	b1.hall.engine-shape.v1 plus b1.hall.setup.v1 (C06/C14 broad)	The direct C12 item cannot stack with Hall C12; three useful dependencies exist but the high-confusion four-observation threshold is not assured.	ROUTING_CONTENDED; route must select C06 and C14 before reserving the C12 boundary.	ROUTING_AND_CORROBORATION	Observe choosing among different available resources based on opportunity in a context other than voluntary sacrifice.	DIAGNOSE_ROUTE_FIRST; VM555-Q04 may corroborate only if opportunistic selection is directly observable.
MARDU	Immediate coordinated motion is bound by martial oath; aggro, sacrifice, or short deals alone are insufficient.	R;YORE;WU;W;ESPER;WR;BR	b1.gate.initiative.v1.advance (C01 proactive; broad)	b1.hall.pressure.v1.combat plus b1.hall.commitment.v1.short (C07/C13 broad)	Independent broad constructs exist but no speed-under-oath naming boundary.	BROAD_ROUTE_ONLY; no direct Mardu item.	IDENTITY_SIGNAL	Observe committing a formation to a brief opening because an accepted code binds the group to act together.	COVER_WITH_VM555-Q02_AND_Q03; primary signal only.
JESKAI	Knowledge is trained into precise, restrained action at the correct moment; spells, control, or patience alone are insufficient.	INK;LOREHOLD;W;U;NAYA;ESPER	b1.crucible.jeskai.v1.sequence (C08 sequenced pressure; current naming signal)	b1.hall.repeatability.v1.same plus Gate C01 balanced (C09/C01 independent opportunities)	Existing design provides independent C08, C09, and C01 observations plus Gate context; the owner-provided gap inventory does not identify an open deficit.	CURRENT_ROUTE_CAN_ASSEMBLE; retain close/insufficient at the high-risk threshold.	NONE	No new observation required in this bridge; validate that restraint and action are both recognized.	PRESERVE_EXISTING_DESIGN; NO_NEW_ITEM.
YORE	Constructed agency deliberately contests inherited natural limits; artifacts, repeatability, redundancy, or optimization alone are insufficient.	B;DUNE;BR;PRISMARI;R;ESPER	b1.crucible.yore-glint.v1.engineered (C09 repeatability; semantically insufficient to name Yore)	b1.crucible.witch-yore.v1.convert (C06 redundancy; semantically insufficient to name Yore)	The constructs are independent, but neither responsibly observes constructed agency against natural limits.	ROUTE_EXISTS_BUT_SEMANTIC_CENTER_UNOBSERVED.	NOT_RESPONSIBLY_OBSERVABLE	No ordinary Commander decision has yet been shown to expose the semantic center without artifact or optimization proxies.	HOLD_CLOSE_OR_INSUFFICIENT; DO_NOT_AUTHOR_A_FORCED_YORE_ITEM.
GLINT	Power remains adaptive and improvisational without settling into civic restraint; variance, aggression, or chaos alone are insufficient.	B;R;G;NAYA;WUBRG;YORE;DUNE	b1.crucible.glint-dune.v1.shifting (C11 shifting threat; current naming signal)	b1.gate.initiative.v1.advance (C01 broad)	One legitimate naming signal plus an independent broad construct; no second Glint-specific observation.	DIRECT_PAIR_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe changing the plan as resources and threats shift without seeking a stable common rule, independently of threat posture.	CORROBORATE_WITH_VM555-Q01_OR_Q05.
DUNE	Embodied presence and coordinated pressure establish the claim before detached analysis; tokens or combat alone are insufficient.	B;R;G;WITCH;WITHERBLOOM;GLINT;INK	b1.crucible.glint-dune.v1.front (C11 visible common front; current naming signal)	b1.hall.pressure.v1.combat (C07 broad)	One naming signal plus an independent broad construct; the second is not yet embodied-coordination specific.	DIRECT_PAIR_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe committing bodies to coordinated pressure while information remains incomplete, independently of visible-threat posture.	CORROBORATE_WITH_VM555-Q03.
INK	Resources and knowledge circulate through a defended commons without private capture; friendliness, politics, or generosity alone are insufficient.	W;LOREHOLD;QUANDRIX;NAYA;JESKAI;DUNE;WITCH	b1.crucible.dune-ink.v1.commons (C13 shared-access commitment; current naming signal)	b1.crucible.ink-witch.v1.share (C14 early shared utility; candidate signal not entering the live hypothesis frontier)	Potentially independent constructs exist, but independence is not actionable while Ink does not enter the strongest unbiased frontier.	NO_LIVE_FRONTIER; cause is unresolved among observation, routing, and competition absorption.	ROUTING_AND_CORROBORATION	First trace whether current Ink answers are unreachable, too weak, or absorbed by WG, W, Naya, Bant, or Witch; only then define a missing observation.	DIAGNOSE_FRONTIER_BEFORE_AUTHORING; NO_VM555_QUESTION_ASSIGNED.
WITCH	Patient cultivation compounds protected investments without Red immediacy; counters, control, or value alone are insufficient.	W;QUANDRIX;BANT;B;NAYA;INK;YORE	b1.crucible.ink-witch.v1.compound (C14 long setup; current naming signal)	b1.crucible.witch-yore.v1.compound (C06 central compounding engine; current naming signal)	The two existing naming opportunities use independent C14 and C06 constructs.	ROUTING_CONTENDED; one-Crucible maximum means both cannot appear, but C09 plus the eligible pair-specific Crucible can satisfy the ordinary route.	ROUTING	No new question. Route C09 and select the C14 or C06 boundary based on the live competitor.	ROUTING_SPEC_ONLY; NO_NEW_ITEM.
COLORLESS	A deliberate non-color constraint shapes function outside WUBRG; artifacts, generic mana, austerity, or lack of pips alone are insufficient.	WUBRG;B;U;G;W;YORE	b1.crucible.colorless-wubrg.v1.constraint (C15 narrow constraint; current naming signal)	b1.hall.engine-shape.v1 (C06 machinery structure; broad only)	One naming signal plus an independent broad construct; no second constraint-specific behavioral observation.	DIRECT_EDGE_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe making a restricted non-color toolset function through interchangeable machinery, independently of choosing narrow breadth.	CORROBORATE_WITH_VM555-Q04; never infer philosophy from artifacts.
WUBRG	All five color roles remain meaningful and negotiate tradeoffs; access, goodstuff, or breadth alone are insufficient.	COLORLESS;W;R;BG;WG;RG;ESPER	b1.crucible.colorless-wubrg.v1.breadth (C15 broad integration; current naming signal)	b1.hall.repeatability.v1.toolbox (C09 variable tools; broad only)	One naming signal plus an independent broad construct; no second observation proves meaningful five-role integration.	DIRECT_EDGE_ROUTE_EXISTS; second responsible signal absent.	CORROBORATION	Observe preserving several distinct roles through a tradeoff rather than collapsing into the currently strongest tool, independently of color count.	CORROBORATE_WITH_VM555-Q02_OR_Q04.
