id,faction,color_pair,card_name,set_context,type_line,color_identity,canonical_basis,confidence,mechanic_or_theme,translation_function,dimir_axis,structural_role,narrative_read,animation_motif,tags,source_url
DIM-015,House Dimir,blue-black,Consult the Necrosages,Ravnica: City of Guilds,Sorcery,{U}{B},Dimir-watermark modal information spell,strong,Draw or discard mode,AccretionEngine,Necrosage Counsel,Selects whether knowledge flows inward or is stripped outward.,The same counsel can educate an ally or empty an enemy.,"ghost advisors passing scrolls, hand draining","modal, draw, discard",https://scryfall.com/search?q=%21%22Consult%20the%20Necrosages%22
DIM-016,House Dimir,blue-black,Psychic Drain,Ravnica: City of Guilds,Sorcery,{U}{B},Dimir-watermark psychic mill spell,strong,Mill + life gain,AccretionEngine,Psychic Extraction,Harvests memory as stabilizing life.,What leaves the opponent library returns as stolen breath.,"mind siphon, pages become pulse lines","mill, lifegain, psychic",https://scryfall.com/search?q=%21%22Psychic%20Drain%22
DIM-017,House Dimir,blue-black,Lurking Informant,Ravnica: City of Guilds,Creature — Human Rogue,{U/B},Dimir-watermark informant card,strong,Top-card surveillance / graveyard routing,ConstraintField,Surveillance Node,Watches the next draw and decides whether it remains admissible.,The informant does not kill the plan; he reports it before it arrives.,"spyglass over library, card routed to graveyard","surveillance, topdeck control, graveyard",https://scryfall.com/search?q=%21%22Lurking%20Informant%22
DIM-018,House Dimir,blue-black,Lore Broker,Ravnica: City of Guilds,Creature — Human Rogue,{U},Dimir-watermark information broker,supported,Symmetric draw/discard filtering,AccretionEngine,Brokered Secrets,Turns tablewide exchange into exploitable hand sculpting.,Everyone trades knowledge; Dimir already knows which secret matters.,"market ledger, cards changing hands under hood","looting, discard, broker, setup",https://scryfall.com/search?q=%21%22Lore%20Broker%22
DIM-019,House Dimir,blue-black,Vedalken Entrancer,Ravnica: City of Guilds,Creature — Vedalken Wizard,{U},Dimir-watermark mill creature,supported,Repeatable mill,AccretionEngine,Slow Erasure,Applies steady library erosion through repeatable psychic pressure.,Each activation removes a little more certainty from the room.,dripping blue sigil into black archive well,"mill, repeatable, wizard",https://scryfall.com/search?q=%21%22Vedalken%20Entrancer%22
DIM-020,House Dimir,blue-black,"Duskmantle, House of Shadow",Ravnica: City of Guilds,Land,Colorless,Dimir guild infrastructure / house location,strong,Land-based mill,AccretionEngine,House Infrastructure,Turns mana infrastructure into covert library pressure.,Even the building participates in forgetting.,"tower silhouette, window lights become falling cards","land, mill, infrastructure",https://scryfall.com/search?q=%21%22Duskmantle%2C%20House%20of%20Shadow%22
DIM-021,House Dimir,blue-black,Dimir Aqueduct,Ravnica: City of Guilds,Land,{U}{B},Dimir-named guild infrastructure,strong,Bounce land dual mana,ConstraintField,Undercity Infrastructure,Reconfigures tempo for long-game color stability.,The route into the House loops back through itself before opening.,"canal loop, blue-black mana reflection","land, fixing, tempo, infrastructure",https://scryfall.com/search?q=%21%22Dimir%20Aqueduct%22
DIM-022,House Dimir,blue-black,Dimir Signet,Ravnica: City of Guilds,Artifact,{U}{B},Dimir-named guild infrastructure,strong,Mana filtering,AccretionEngine,Covert Funding,Converts generic resource into Dimir-aligned operation capacity.,Neutral energy passes through the seal and comes out usable for secrets.,"guild seal rotating, mana split into blue and black","artifact, ramp, fixing",https://scryfall.com/search?q=%21%22Dimir%20Signet%22
DIM-023,House Dimir,blue-black,Dimir Doppelganger,Ravnica: City of Guilds,Creature — Shapeshifter,{U}{B},Dimir-watermark identity theft card,strong,Graveyard exile + copy,Override,Identity Theft,Deletes a corpse from the record and assumes its profile.,The dead are not remembered; they are repurposed.,face-mask shifting over grave marker,"copy, graveyard, exile, shapeshifter",https://scryfall.com/search?q=%21%22Dimir%20Doppelganger%22
DIM-024,House Dimir,blue-black,"Lazav, Dimir Mastermind",Gatecrash,Legendary Creature — Shapeshifter,{U}{B},Legendary Dimir guild leader,strong,Hexproof shapeshift from opponents graveyards,Override,Mastermind Adaptation,Turns enemy losses into protected identity changes.,Every death writes a new cover identity for Lazav.,faceless mask cycling through stolen profiles,"commander, copy, graveyard, hexproof",https://scryfall.com/search?q=%21%22Lazav%2C%20Dimir%20Mastermind%22
DIM-025,House Dimir,blue-black,"Mirko Vosk, Mind Drinker",Dragon's Maze,Legendary Creature — Vampire,{U}{B},Legendary Dimir champion / guild character,strong,Combat damage mills until four lands,AccretionEngine,Memory Feeding,Evasive hit becomes deep library excavation.,"The bite does not drink blood first; it drinks map, route, and memory.",vampire bite becomes library excavation shaft,"mill, vampire, combat damage",https://scryfall.com/search?q=%21%22Mirko%20Vosk%2C%20Mind%20Drinker%22
DIM-026,House Dimir,blue-black,Duskmantle Seer,Gatecrash,Creature — Vampire Wizard,{U}{B},Dimir mythic guild-aligned card,strong,"Upkeep reveal, draw, life loss",ConstraintField,Dangerous Revelation,"Forces all players to pay life for information, favoring manipulation.",Truth arrives with a wound attached.,revealed card casts black shadow over life total,"draw, life loss, reveal, flying",https://scryfall.com/search?q=%21%22Duskmantle%20Seer%22
DIM-027,House Dimir,blue-black,Consuming Aberration,Gatecrash,Creature — Horror,{U}{B},Dimir-watermark horror / mill payoff,strong,Power from opponents graveyards + cast-trigger mill,AccretionEngine,Horror of Accumulation,Makes every spell deepen the enemy graveyard and enlarge the threat.,The secret grows from everything the table has already lost.,graveyard mass forming huge shadow,"mill payoff, horror, graveyard",https://scryfall.com/search?q=%21%22Consuming%20Aberration%22
DIM-028,House Dimir,blue-black,Mind Grind,Gatecrash,Sorcery,{U}{B},Dimir-watermark mass mill spell,strong,Variable multiplayer mill,Override,Mental Collapse,Converts mana into broad library collapse across opponents.,The command is simple: keep grinding until structure breaks.,grinding wheel of memory pages,"mill, X spell, multiplayer",https://scryfall.com/search?q=%21%22Mind%20Grind%22
DIM-029,House Dimir,blue-black,Psychic Strike,Gatecrash,Instant,{U}{B},Dimir-watermark counter/mill spell,strong,Counterspell + mill,Override,Psychic Interdiction,Stops an action while damaging the library behind it.,The spell is countered and its supporting thought is stripped away.,counter seal shatters into falling cards,"counterspell, mill, instant",https://scryfall.com/search?q=%21%22Psychic%20Strike%22
DIM-030,House Dimir,blue-black,Whispering Madness,Gatecrash,Sorcery,{U}{B},Dimir cipher spell,strong,Wheel effect + cipher,AccretionEngine,Encoded Frenzy,Resets hands then hides repeat value inside an attacker.,The secret is not spoken once; it rides a body into repetition.,whisper spiral encoded onto blade,"cipher, wheel, discard, draw",https://scryfall.com/search?q=%21%22Whispering%20Madness%22
DIM-031,House Dimir,blue-black,Stolen Identity,Gatecrash,Sorcery,{U}{B},Dimir cipher spell,strong,Copy artifact/creature + cipher,Override,Asset Mimicry,Turns a target permanent into repeatable forged identity.,Dimir does not steal the object; it steals the right to reproduce it.,copy silhouette stamped repeatedly,"cipher, copy, token",https://scryfall.com/search?q=%21%22Stolen%20Identity%22
DIM-032,House Dimir,blue-black,Hands of Binding,Gatecrash,Sorcery,{U},Dimir cipher tempo card,strong,Tap/freeze + cipher,Detain,Silent Restraint,Locks a creature down and repeats the restraint through combat.,A single touch becomes a recurring paralysis.,"shadow bindings around limbs, encoded sigil","cipher, tap, tempo",https://scryfall.com/search?q=%21%22Hands%20of%20Binding%22
DIM-033,House Dimir,blue-black,Hidden Strings,Dragon's Maze,Sorcery,{U},Dimir cipher utility card,strong,Tap/untap + cipher,ConstraintField,Hidden Levers,Quietly adjusts board posture and repeats through evasion.,The strings were there before anyone noticed the puppet moved.,invisible threads tugging permanents,"cipher, tap, untap, utility",https://scryfall.com/search?q=%21%22Hidden%20Strings%22
DIM-034,House Dimir,blue-black,Last Thoughts,Gatecrash,Sorcery,{U},Dimir cipher card draw,strong,Draw + cipher,AccretionEngine,Encoded Memory,Turns combat connection into repeated card access.,The last thought survives by being carried by an agent.,thought bubble encoded into shadow trail,"cipher, draw, saboteur",https://scryfall.com/search?q=%21%22Last%20Thoughts%22
DIM-035,House Dimir,blue-black,Call of the Nightwing,Gatecrash,Sorcery,{U}{B},Dimir cipher token card,strong,Flying Horror token + cipher,AccretionEngine,Encoded Swarm,Creates evasive bodies and repeats the recruitment line.,"The night answers once, then learns the route back.",bat-horror silhouettes multiplying,"cipher, token, flying",https://scryfall.com/search?q=%21%22Call%20of%20the%20Nightwing%22
DIM-036,House Dimir,blue-black,Paranoid Delusions,Gatecrash,Sorcery,{U}{B},Dimir cipher mill card,strong,Mill + cipher,AccretionEngine,Recurring Paranoia,Turns a small mill effect into a carried obsession.,Each hit whispers another missing page out of the target mind.,paranoia whispers trailing behind attacker,"cipher, mill, saboteur",https://scryfall.com/search?q=%21%22Paranoid%20Delusions%22
DIM-037,House Dimir,blue-black,Shadow Slice,Gatecrash,Sorcery,{B},Dimir cipher life-loss card,supported,Life loss + cipher,Detain,Assassin Mark,Places repeat damage inside a hidden attacker.,The first cut is obvious; the repeat cuts are filed under coincidence.,black blade mark pulsing after combat,"cipher, life loss, assassin",https://scryfall.com/search?q=%21%22Shadow%20Slice%22
DIM-038,House Dimir,blue-black,Undercity Plague,Gatecrash,Sorcery,{B},Dimir cipher attrition card,strong,Life/discard/sacrifice + cipher,ConstraintField,Attrition Web,Attaches repeating sacrifice and discard pressure to a body.,The plague is social before it is physical: resources disappear first.,sewer mist spreading over hand and board,"cipher, discard, sacrifice, life loss",https://scryfall.com/search?q=%21%22Undercity%20Plague%22
DIM-039,House Dimir,blue-black,Voidwalk,Gatecrash,Sorcery,{U},Dimir cipher blink card,supported,Exile/return + cipher,Detain,Displacement Protocol,Temporarily removes a creature and repeats the displacement loop.,The target is made absent long enough for the plan to proceed.,void doorway folding around creature,"cipher, blink, exile",https://scryfall.com/search?q=%21%22Voidwalk%22
DIM-040,House Dimir,blue-black,Mental Vapors,Gatecrash,Sorcery,{B},Dimir cipher discard card,supported,Discard + cipher,AccretionEngine,Recurring Extraction,Repeats hand erosion through encoded combat.,The target exhales a secret every time the courier connects.,black vapor leaving hand as cards fade,"cipher, discard, saboteur",https://scryfall.com/search?q=%21%22Mental%20Vapors%22
DIM-041,House Dimir,blue-black,Dimir Charm,Gatecrash,Instant,{U}{B},Dimir-named modal charm,strong,Counter/removal/topdeck manipulation,Override,Three-Mode Interference,Selects the exact kind of interference the mission requires.,"One charm can silence a spell, kill a small agent, or rewrite the next draw.",three black-blue glyph doors choosing a route,"modal, counter, removal, topdeck",https://scryfall.com/search?q=%21%22Dimir%20Charm%22
DIM-042,House Dimir,blue-black,Duskmantle Guildmage,Gatecrash,Creature — Human Wizard,{U}{B},Dimir-named guildmage,strong,Mill damage + targeted mill,AccretionEngine,Painful Forgetting,Converts graveyard movement into life loss and can push cards there directly.,"For Dimir, forgetting hurts.",memory cards falling as life total cracks,"mill, life loss, guildmage",https://scryfall.com/search?q=%21%22Duskmantle%20Guildmage%22
DIM-043,House Dimir,blue-black,Bane Alley Broker,Gatecrash,Creature — Human Rogue,{U}{B},Dimir-watermark broker card,strong,Draw/exile stash/return card,AccretionEngine,Black-Market Archive,Stores hidden options outside the hand until they are needed.,The best cards are not in hand; they are in escrow.,secret drawer opening under marketplace table,"draw, exile, stash, broker",https://scryfall.com/search?q=%21%22Bane%20Alley%20Broker%22
DIM-044,House Dimir,blue-black,Balustrade Spy,Gatecrash,Creature — Vampire Rogue,{B},Dimir-watermark spy card,supported,ETB self-mill until land,AccretionEngine,Vertical Reconnaissance,Scouts from above and dumps hidden material into the graveyard.,The spy learns the route by dropping through every floor.,"spy on railing, cards falling into sewer","mill, spy, graveyard",https://scryfall.com/search?q=%21%22Balustrade%20Spy%22
DIM-045,House Dimir,blue-black,Deathcult Rogue,Gatecrash,Creature — Human Rogue,{U/B},Dimir-watermark evasive rogue,supported,Difficult-to-block body,Detain,Evasive Agent,Carries cipher lines or damage through restricted blocking conditions.,The route is open only to people nobody can quite see.,rogue slipping between blue-black wards,"evasion, rogue, cipher carrier",https://scryfall.com/search?q=%21%22Deathcult%20Rogue%22
DIM-046,House Dimir,blue-black,Nightveil Specter,Gatecrash,Creature — Specter,{U/B},Dimir-watermark specter / theft card,strong,Exile from opponent library + cast stolen cards,Override,Knowledge Theft,Turns combat damage into access to enemy resources.,Dimir does not draw your card; it convinces the city it was theirs.,specter lifting glowing card from library,"exile, theft, evasion",https://scryfall.com/search?q=%21%22Nightveil%20Specter%22
DIM-047,House Dimir,blue-black,Soul Ransom,Gatecrash,Enchantment — Aura,{U}{B},Dimir-watermark coercive control aura,strong,Control creature / discard to break,ConstraintField,Hostage Contract,Takes control while forcing opponents into costly negotiation.,The creature is not removed; it is held under a ransom note.,"contract chains around creature, cards paid as ransom","control, discard, aura, coercion",https://scryfall.com/search?q=%21%22Soul%20Ransom%22
DIM-048,House Dimir,blue-black,Wight of Precinct Six,Gatecrash,Creature — Zombie,{B},Dimir-watermark graveyard payoff,supported,Power/toughness from opponent creature graveyards,AccretionEngine,Corpse Ledger,Grows from the opposing dead collected by mill and removal.,Every corpse in the opponent file makes the wight larger.,zombie stitched from graveyard tally marks,"graveyard payoff, zombie",https://scryfall.com/search?q=%21%22Wight%20of%20Precinct%20Six%22
DIM-049,House Dimir,blue-black,Dinrova Horror,Gatecrash,Creature — Horror,{U}{B},Dimir-watermark bounce/discard creature,strong,ETB bounce + discard,Detain,Undercity Expulsion,Removes a permanent and forces the controller to lose an option.,The target returns home to find one memory missing.,horror pushes permanent through sewer gate,"bounce, discard, horror",https://scryfall.com/search?q=%21%22Dinrova%20Horror%22
DIM-050,House Dimir,blue-black,Dimir Keyrune,Gatecrash,Artifact,{U}{B},Dimir-named guild artifact,strong,Mana rock + unblockable creature,AccretionEngine,Operational Relic,Stores mana and becomes an evasive operative when needed.,Even the key can become an agent.,rune unfolding into unblockable shadow,"artifact, ramp, evasion",https://scryfall.com/search?q=%21%22Dimir%20Keyrune%22
DIM-051,House Dimir,blue-black,Dimir Cluestone,Dragon's Maze,Artifact,{U}{B},Dimir-named guild artifact,strong,Mana rock + card draw,AccretionEngine,Cracked Clue,Funds operations until sacrificed for fresh information.,"When the clue has paid for enough work, it becomes the next lead.",stone clue cracking into blue-black card light,"artifact, ramp, draw",https://scryfall.com/search?q=%21%22Dimir%20Cluestone%22
DIM-052,House Dimir,blue-black,Dimir Guildgate,Gatecrash / Guilds of Ravnica,Land,{U}{B},Dimir-named guild land,strong,Tapped dual land,ConstraintField,Guild Access Point,Provides access to Dimir colors through a controlled gate.,The gate opens slowly because every entry is observed.,"iron gate with eye sigil, slow mana pulse","land, fixing, guildgate",https://scryfall.com/search?q=%21%22Dimir%20Guildgate%22
DIM-053,House Dimir,blue-black,"Lazav, the Multifarious",Guilds of Ravnica,Legendary Creature — Shapeshifter,{U}{B},Legendary Dimir guildmaster / surveil era,strong,Surveil + graveyard copy,Override,Adaptive Cover Identity,Uses surveil-fed graveyards as a library of identities.,The graveyard is not a graveyard; it is Lazav's wardrobe.,"mask wall, surveil eye choosing a face","surveil, copy, commander, graveyard",https://scryfall.com/search?q=%21%22Lazav%2C%20the%20Multifarious%22
DIM-054,House Dimir,blue-black,"Etrata, the Silencer",Guilds of Ravnica,Legendary Creature — Vampire Assassin,{U}{B},Legendary Dimir assassin,strong,Unblockable hit exiles target with hit counters,Detain,Silent Removal,Converts contact into irreversible disappearance and alternate kill pressure.,The victim is not killed loudly; they are crossed out from the file.,"assassin mark, dossier stamp SILENCED","assassin, exile, unblockable, counters",https://scryfall.com/search?q=%21%22Etrata%2C%20the%20Silencer%22
DIM-055,House Dimir,blue-black,Nightveil Predator,Guilds of Ravnica,Creature — Vampire,{U}{B},Dimir-watermark guild creature,strong,"Flying, deathtouch, hexproof",ConstraintField,Untouchable Threat,Creates an evasive threat that resists targeting and combat.,A predator seen too late and impossible to name safely.,winged silhouette behind hexproof veil,"flying, deathtouch, hexproof",https://scryfall.com/search?q=%21%22Nightveil%20Predator%22
DIM-056,House Dimir,blue-black,Thief of Sanity,Guilds of Ravnica,Creature — Specter,{U}{B},Dimir-watermark signature theft creature,strong,Combat damage exiles/casts opponent cards,Override,Sanity Theft,Transforms evasive contact into stolen opponent resources.,The stolen card becomes usable because the owner no longer owns the thought.,specter stealing glowing thought-card,"theft, exile, evasion, saboteur",https://scryfall.com/search?q=%21%22Thief%20of%20Sanity%22
DIM-057,House Dimir,blue-black,Thought Erasure,Guilds of Ravnica,Sorcery,{U}{B},Dimir-watermark discard/surveil spell,strong,Hand disruption + surveil,Override,Preemptive Erasure,Removes a threat before it resolves and filters the next plan.,Dimir does not counter the spell; it deletes the intention.,"hand card erased, surveil eye opens","discard, surveil, hand attack",https://scryfall.com/search?q=%21%22Thought%20Erasure%22
DIM-058,House Dimir,blue-black,Unmoored Ego,Guilds of Ravnica,Sorcery,{U}{B},Dimir-watermark name/exile spell,strong,"Name a card, exile from library/hand/graveyard",Override,Identity Severance,Attacks a named plan across hidden and public zones.,The strategy is unhooked from the person who thought it was theirs.,nameplate snapped from archive shelf,"exile, naming, library attack",https://scryfall.com/search?q=%21%22Unmoored%20Ego%22
DIM-059,House Dimir,blue-black,Notion Rain,Guilds of Ravnica,Sorcery,{U}{B},Dimir-watermark surveil/draw spell,strong,"Surveil 2, draw 2, lose 2 life",AccretionEngine,Costed Insight,Buys precise information with life.,"The rain is made of thoughts, and each drop has a price.",blue-black rain of cards over life sigil,"surveil, draw, life loss",https://scryfall.com/search?q=%21%22Notion%20Rain%22
DIM-060,House Dimir,blue-black,Discovery // Dispersal,Guilds of Ravnica,Sorcery // Instant,{U}{B},Dimir split card / surveil and bounce-discard,strong,Surveil/draw + bounce/discard,Detain,Find and Scatter,"Finds the right line, then breaks an opposing formation.",First the agent discovers the weak point; then the room disperses.,"split panel: eye scan, shadow shockwave","surveil, draw, bounce, discard",https://scryfall.com/search?q=%21%22Discovery%20//%20Dispersal%22
DIM-061,House Dimir,blue-black,Connive // Concoct,Guilds of Ravnica,Sorcery // Sorcery,{U}{B},Dimir split card / surveil and reanimation,strong,Surveil/draw + reanimate,AccretionEngine,Plotted Revival,Turns filtering into graveyard setup and extraction into a body.,The plan is not improvised; the corpse was selected three steps ago.,conspiracy thread board into reanimated silhouette,"surveil, draw, reanimate, graveyard",https://scryfall.com/search?q=%21%22Connive%20//%20Concoct%22
DIM-062,House Dimir,blue-black,House Guildmage,Guilds of Ravnica,Creature — Human Wizard,{U}{B},Dimir guildmage / House Dimir signal,strong,Unblockable setup + surveil,ConstraintField,Route Setter,Makes agents unblockable and filters future draws.,A Dimir route is chosen before the guard knows there is a route.,map route glowing under surveil eye,"surveil, unblockable, guildmage",https://scryfall.com/search?q=%21%22House%20Guildmage%22
DIM-063,House Dimir,blue-black,Dimir Spybug,Guilds of Ravnica,Creature — Insect,{U}{B},Dimir-named surveil payoff,strong,Flying menace grows on surveil,AccretionEngine,Surveillance Growth,Turns every surveil event into threat scaling.,"The more the network watches, the larger the spy becomes.",insect eye lens multiplying counters,"surveil payoff, counters, flying",https://scryfall.com/search?q=%21%22Dimir%20Spybug%22
DIM-064,House Dimir,blue-black,Disinformation Campaign,Guilds of Ravnica,Enchantment,{U}{B},Dimir-watermark surveil/discard engine,strong,"Draw/discard, returns on surveil",AccretionEngine,Propaganda Loop,Creates recursive draw/discard pressure whenever surveillance resumes.,The campaign never ends; it merely waits for the next report.,poster peeling and reappearing with spy eye,"surveil, discard, draw, recursion",https://scryfall.com/search?q=%21%22Disinformation%20Campaign%22
DIM-065,House Dimir,blue-black,Whisper Agent,Guilds of Ravnica,Creature — Human Rogue,{U}{B},Dimir-watermark flash/surveil agent,strong,Flash + surveil,Detain,Instant Informant,"Appears at end step, filters the next move, and carries covert pressure.",The agent is already in the room when the whisper arrives.,flash silhouette beside surveil eye,"flash, surveil, rogue",https://scryfall.com/search?q=%21%22Whisper%20Agent%22
DIM-066,House Dimir,blue-black,Darkblade Agent,Guilds of Ravnica,Creature — Human Assassin,{U}{B},Dimir-watermark surveil payoff agent,strong,Deathtouch/draw after surveil,AccretionEngine,Informed Assassin,Turns surveillance into lethal contact and card flow.,"Once the blade knows enough, the kill also becomes intelligence.","blade reflected in eye, card drawn from shadow","surveil payoff, deathtouch, draw",https://scryfall.com/search?q=%21%22Darkblade%20Agent%22
DIM-067,House Dimir,blue-black,Thoughtbound Phantasm,Guilds of Ravnica,Creature — Spirit,{U},Dimir-watermark surveil payoff,strong,"Defender grows with surveil, attacks later",ConstraintField,Thought Bound Sentinel,Builds a wall of watched thought until it becomes an attacker.,"Surveillance turns fear into mass, then mass into motion.",defender wall grows eyes and steps forward,"surveil payoff, counters, defender",https://scryfall.com/search?q=%21%22Thoughtbound%20Phantasm%22
DIM-068,House Dimir,blue-black,Nightveil Sprite,Guilds of Ravnica,Creature — Faerie Rogue,{U},Dimir-watermark surveil enabler,strong,Attack surveil trigger,AccretionEngine,Reconnaissance Wing,Turns attacks into repeated topdeck filtering.,Every flight files a report before damage is even counted.,faerie wing tracing spy glyph over library,"surveil, evasion, rogue",https://scryfall.com/search?q=%21%22Nightveil%20Sprite%22
DIM-069,House Dimir,blue-black,Sinister Sabotage,Guilds of Ravnica,Instant,{U},Dimir-watermark counter/surveil spell,strong,Counterspell + surveil,Override,Counterintelligence,Stops a spell while improving the next hidden move.,The operation is sabotaged and the files are sorted before anyone notices.,counter seal with surveil eye behind it,"counterspell, surveil, instant",https://scryfall.com/search?q=%21%22Sinister%20Sabotage%22
DIM-070,House Dimir,blue-black,Mission Briefing,Guilds of Ravnica,Instant,{U},Dimir-watermark surveil/graveyard-cast spell,strong,Surveil 2 + cast instant/sorcery from graveyard,AccretionEngine,Operational Briefing,Turns graveyard records into a repeated mission resource.,The past mission becomes the current operation.,mission folder opening into graveyard spell,"surveil, graveyard, spell recursion",https://scryfall.com/search?q=%21%22Mission%20Briefing%22
