defect_id,category,affected_identities_questions_routes,exact_reproduction,machine_readable_evidence_reference,user_facing_impact,severity,severity_rationale,severity_depends_on_cecos,root_cause,smallest_viable_correction,required_evidence_dependency,requirement_ids,repair_gate,validation_required,blocks_trustworthy_placement,reconciliation_note
VM551-D011,logic,All identities,Search adaptive-placement.js for placement_axes required_positive_min_hits.,data/placement-model.json,They are inert metadata.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Runtime decision engine,REQ-LOGIC-005 enforce identity evidence contracts,Runtime decision engine,REQ-LOGIC-005,Gate B1,Recovered guardrails are enforced or explicitly declared non-runtime.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D012,data-pipeline,All model data,Review placement-model.schema.json against live model.,data/placement-model.schema.json,Malformed or untraceable contracts can validate.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Schema migration and builder,REQ-DATA-002 strong schema and semantic validator,Schema migration and builder,REQ-DATA-002,Gate B2,Schema enforces IDs controlled signals effects references ranges and invariants.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D013,logic,All identities,Search runtime reads and count answer prunes.,assets/js/adaptive-placement.js,Configuration implies controls that do not affect current outcomes.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Model version migration,REQ-LOGIC-006 eliminate dead scoring controls,Model version migration,REQ-LOGIC-006,Gate B2,Declared scoring controls are applied tested or removed from the contract.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D014,question-design,Gate,Review Gate source and buildGateCompressionGate.,data/placement/gate-compression.source.json,Metaphorical/philosophical answers create wide color-derived effects before identity-specific evidence.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Research and user testing,REQ-QUESTION-002 behavior-first Gate redesign,Research and user testing,REQ-QUESTION-002,Gate B1,Early questions capture separable observable Commander behavior and do not predetermine broad identity families.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D015,bias,37 identities,Run exhaustive audit and sort matrix.,docs/audits/vm551-placement-system/identity-reachability-opportunity-matrix.csv,Question opportunity and winner shares differ by more than an order of magnitude.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Question redesign and calibration,REQ-LOGIC-007 opportunity normalization and bias gates,Question redesign and calibration,REQ-LOGIC-007,Gate B1,Identity opportunities are normalized or calibrated with documented expected distributions.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D016,bias,Colorless,Inspect Colorless row and exhaustive summary.,docs/audits/vm551-placement-system/identity-reachability-opportunity-matrix.csv,Colorless has an incomplete ranking-state footprint and extreme certainty.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Decision and confidence contracts,REQ-TEST-001 all-identity rank-state coverage,Decision and confidence contracts,REQ-TEST-001,Gate B2,Every identity has tested primary/alternative/adjacent behavior without pathological concentration.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D017,copy-generation,All result copy,Trace buildCommanderDossier buildReadingOmens and play-pattern summary from evidence trail.,assets/js/commander-dossier.js,One inferred signal can produce broader personality and Commander claims.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.",PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,Claim registry and templates,REQ-COPY-001 claim contracts with entailment/qualification,Claim registry and templates,REQ-COPY-001,Gate A,Public claims are limited to what selected answers plus reviewed identity evidence entail.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D018,copy-generation,All decrees,Run audit generator and inspect pair corpus.,docs/audits/vm551-placement-system/copy-comparison-pairs.csv,Decrees are distinct in detail but highly template-shaped.,Medium,"Materially reduces usefulness, reviewability, recommendation safety, or rendering trust.","NO: direct implementation, data, rendering, or pipeline evidence.",Copy contract and review corpus,REQ-COPY-002 identity-specific explanation threshold,Copy contract and review corpus,REQ-COPY-002,Gate C,Shared structure remains concise while identity-specific evidence and boundaries dominate explanation.,no,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D019,copy-generation,Adjacent result,Open a weak adjacent view.,assets/js/commander-dossier.js,Malformed article is rendered.,Medium,"Materially reduces usefulness, reviewability, recommendation safety, or rendering trust.","NO: direct implementation, data, rendering, or pipeline evidence.",Template tests,REQ-COPY-003 grammar-safe confidence fragments,Template tests,REQ-COPY-003,Gate C,Grammar is generated from an article-aware phrase contract.,no,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D020,evidence,All public interpretations,Compare raw claim rows with live-answer rows.,docs/audits/vm551-placement-system/claim-evidence-register.csv,Live mappings silently bridge abstract/lore/philosophy language to behavior.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.",PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,Editorial review and evidence contracts,REQ-EVID-002 explicit interpretive bridges and public suitability,Editorial review and evidence contracts,REQ-EVID-002,Gate A,Lore and official facts are separated from Commander behavior hypotheses.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D021,recommendations,All results,Trace collectCommanderPreviewCandidates and buildPreconRecommendations.,assets/js/commander-dossier.js,Recommendations can look personalized by placement while only identity/color/tag aligned.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Recommendation data and UI labels,REQ-REC-001 recommendation rationale/source contract,Recommendation data and UI labels,REQ-REC-001,Gate C,Recommendations state whether they reflect legality mechanics strategy popularity or editorial exploration.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D022,recommendations,Stretch precons,Inspect isStretchPreconMatch and generated fit summaries.,assets/js/commander-dossier.js,Stretch framing can overstate exactness.,Medium,"Materially reduces usefulness, reviewability, recommendation safety, or rendering trust.","NO: direct implementation, data, rendering, or pipeline evidence.",Recommendation templates,REQ-REC-002 exact versus stretch disclosure,Recommendation templates,REQ-REC-002,Gate C,Extra-color exploration is explicitly labeled as compatibility-expanding and not exact identity proof.,no,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D023,persistence,Legacy or incomplete results,Inspect normalizePlacementResult and legacy row adapter.,assets/js/shared.js,Compatibility code fabricates numerical certainty.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.",PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,Migration and UI compatibility,REQ-CONF-003 preserve unknown confidence,Migration and UI compatibility,REQ-CONF-003,Gate A,Unknown confidence remains unknown.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D024,state,Partial quick reading,Start clean reading select one answer refresh.,assets/js/index.js,Progress disappears silently.,Medium,"Materially reduces usefulness, reviewability, recommendation safety, or rendering trust.","NO: direct implementation, data, rendering, or pipeline evidence.",Persistence and UX,REQ-STATE-001 versioned partial-session contract,Persistence and UX,REQ-STATE-001,Gate C,Partial state restores or warns before loss.,no,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D025,state,Clean direct result URL,Navigate directly without cached/saved result.,assets/js/index.js,Result-looking query silently falls back to landing.,Medium,"Materially reduces usefulness, reviewability, recommendation safety, or rendering trust.","NO: direct implementation, data, rendering, or pipeline evidence.",Routing and persistence,REQ-STATE-002 validated result-reference/deep-link contract,Routing and persistence,REQ-STATE-002,Gate C,Deep-link semantics are documented and invalid result references are explained.,no,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D026,rendering,All dossier views,Complete a result and inspect document metadata.,archscry/index.html,Generic metadata persists for result state.,Medium,"Materially reduces usefulness, reviewability, recommendation safety, or rendering trust.","NO: direct implementation, data, rendering, or pipeline evidence.",Routing/product decision,REQ-UI-001 metadata/deep-link alignment,Routing/product decision,REQ-UI-001,Gate C,Metadata accurately describes shareable surface and does not imply a resolvable identity result URL.,no,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D027,accessibility,View All dossier,Open View All and inspect visible heading hierarchy.,assets/js/index.js,Long all-section page lacks heading hierarchy.,Medium,"Materially reduces usefulness, reviewability, recommendation safety, or rendering trust.","NO: direct implementation, data, rendering, or pipeline evidence.",Rendering templates,REQ-UI-002 accessible dossier heading structure,Rendering templates,REQ-UI-002,Gate C,All major dossier sections have navigable semantic headings.,no,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D028,rendering,Mobile dossier,Inspect 390x844 result; later tabs sit outside initial viewport.,assets/css/archscry.css,Tabs are scroll-contained but offscreen affordance is subtle.,Low,Localized polish/maintainability impact.,"NO: direct implementation, data, rendering, or pipeline evidence.",Presentation testing,REQ-UI-003 mobile tab affordance test,Presentation testing,REQ-UI-003,Gate C,Scrollable tab affordance is discoverable and keyboard reachable.,no,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D029,data-pipeline,Source/generated boundaries,Trace raw records Gate source QUESTION_BANK generated model and result serializer.,research/build-faction-artifacts.mjs,A result names model version but not exact inputs/evidence contracts.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.",PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,Builder and serialization,REQ-DATA-003 reproducible manifest and result provenance,Builder and serialization,REQ-DATA-003,Gate B2,Build is reproducible from versioned canonical inputs with hashes and provenance locators.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D030,testing,Full placement system,Review placement tests against decision/evidence contracts.,assets/js/quick-reading-tests.js,Regression success can coexist with untrustworthy semantics.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.",PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,All repair contracts,REQ-TEST-002 contract and calibration test suite,All repair contracts,REQ-TEST-002,Gate B2,Tests cover bias ties contradiction instability calibration adjacency and public claims.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D031,data-pipeline,Jund commander recommendation,Compare the Hearthhull recommendation record with the committed local Commander index; do not use the rejected web citation.,copy-comparison-corpus.json + audit-input-authority.md,Practical-candidate detection misses this legal noncreature Spacecraft and explicitly disclaims perfect legality solving.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.","NO: direct implementation, data, rendering, or pipeline evidence.",Scryfall refresh and Commander-rules validation,REQ-DATA-004 complete legality resolver or explicit unresolved status,Scryfall refresh and Commander-rules validation,REQ-DATA-004,Gate C,Commander index covers all current nonstandard commander-enabling rules used by recommendations and records exact legality evidence.,yes,REVISED: specific current legality conclusion withdrawn; local detector/recommendation conflict retained.
VM551-D032,data-pipeline,All recovered semantic provenance,Run npm.cmd run test:semantic-readiness.,data/semantic-readiness-provenance.json,The check fails before any VM-551 production change.,High,"Can materially mislead placement interpretation, evidence authority, or first-pilot correctness.",PARTLY: implementation evidence establishes the defect; draft.4 confirms evidence/unknown/claim boundary.,Semantic provenance owner review,REQ-DATA-006 source/generated reconciliation must pass,Semantic provenance owner review,REQ-DATA-006,Gate B2,Committed semantic provenance reconciles with canonical records and builder output.,yes,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D033,testing,Archscry visual regression,Install lockfile dependencies and run npm.cmd run test:visual:archscry.,scripts/visual-regression-archscry.mjs,Compare mode cannot run without first creating unreviewed baselines.,Medium,"Materially reduces usefulness, reviewability, recommendation safety, or rendering trust.","NO: direct implementation, data, rendering, or pipeline evidence.",Visual baseline owner review,REQ-TEST-007 committed reviewed rendering baselines,Visual baseline owner review,REQ-TEST-007,Gate D,A clean checkout can compare current rendering to reviewed baselines.,no,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D034,testing,Aggregate repository test,Install lockfile dependencies and run npm.cmd test.,research/archscry-dossier-followup-tests.js,The aggregate suite depends on an unavailable raw bulk corpus.,Medium,"Materially reduces usefulness, reviewability, recommendation safety, or rendering trust.","NO: direct implementation, data, rendering, or pipeline evidence.",Scryfall fixture or documented fetch gate,REQ-TEST-008 clean-checkout fixture/precondition contract,Scryfall fixture or documented fetch gate,REQ-TEST-008,Gate D,Standard validation is self-contained or declares and verifies an explicit fixture prerequisite.,no,PRESERVED after implementation evidence and draft.4 re-adjudication.
VM551-D035,audit-governance,VM-551 audit authority,Compare rejected handoff/full audit references with the exact draft.4 authority record.,audit-input-authority.md + cecos-conclusion-adjudication.csv,Owner could not reproduce or trust CECOS-dependent findings; a web-derived legality claim exceeded the local audit authority.,High,Material audit or player-trust impact within the documented MVP boundary.,PARTLY: draft.4 confirms authority/dependence boundaries; machine evidence establishes the condition.,Wrong CECOS draft and unpreserved external rule evidence were treated as governing inputs.,Use only exact draft.4 Git object; classify every major conclusion; withdraw the specific Hearthhull legality claim.,Exact CECOS object/checksum and local-only evidence,REQ-GOV-001,Audit acceptance gate,Independent checksum/authority replay and conclusion classification.,yes,NEW IN OWNER-REJECTION REMEDIATION.
VM551-D036,logic,All primary selections,Run remediation generator and inspect matched one-answer pairs.,sensitivity-dependency-collision-analysis.json,"14,424/44,005 matched one-answer terminal comparisons flip primary; 32.7781% normalized sensitivity can make near-identical answers change identity without stability disclosure.",High,Material audit or player-trust impact within the documented MVP boundary.,NO: implementation/scenario evidence establishes the condition.,No perturbation-stability contract or threshold informs result strength.,Define pilot stability thresholds and return close/uncertain when one-answer perturbations are unstable.,Bounded pilot response/scenario set,REQ-TEST-009|REQ-CONF-004,Gate B1,Re-run matched perturbations; stratify by identity/family and test user-visible uncertainty.,yes,NEW IN OWNER-REJECTION REMEDIATION.
VM551-D037,logic,Three Crucible questions / six answers,Inspect dead_questions and dead_answers after exhaustive enumeration.,sensitivity-dependency-collision-analysis.json,"Authored discriminators can never affect any valid result, creating false assurance of pair coverage.",Medium,Material audit or player-trust impact within the documented MVP boundary.,NO: implementation/scenario evidence establishes the condition.,Adaptive top-four/pair branching never reaches three committed Crucible pairs.,"Remove, re-route, or make reachable only after proving the discriminator belongs in the pilot.",Question/branch contract,REQ-LOGIC-009,Gate B2,Exhaustive path visit count must be nonzero for every active question/answer.,no,NEW IN OWNER-REJECTION REMEDIATION.
VM551-D038,question-design,113 questions / 356 answers,Run remediation generator; reconcile all dispositions.,question-quality-adjudication.csv + question-disposition-summary.json,"67 high-abstraction, 45 low-Commander-relevance, 73 double-barreled, and 113 uncertainty-blind questions make answers hard to interpret as one bounded construct.",High,Material audit or player-trust impact within the documented MVP boundary.,NO: implementation/scenario evidence establishes the condition.,Questions were authored as identity-flavored scenarios without evidence/construct/reliability contracts.,"Use the smallest evidence-derived, Commander-relevant, single-construct question slice for the first pilot; exclude unresolved questions.",Player-language corpus derivation and owner construct decisions,REQ-QUESTION-003,Gate B1,"Cognitive interview, comprehension, neighbor-confusion, and representational-failure checks.",yes,NEW IN OWNER-REJECTION REMEDIATION.
VM551-D039,evidence-dependency,11 repeated-construct groups,Run remediation generator; inspect cross-stage groups and maximum strong-hit contributions.,repeated-signal-dependency-audit.csv,"One underlying preference can be counted repeatedly, inflate softmax share, affect stopping, and be narrated as multiple independent reasons.",High,Material audit or player-trust impact within the documented MVP boundary.,PARTLY: draft.4 confirms authority/dependence boundaries; machine evidence establishes the condition.,"No controlled dependency groups, caps, or independence disclosure exist.",Group/cap repeated constructs and compute confidence/evidence amount from independent evidence units.,Controlled signal vocabulary and pilot response dependence analysis,REQ-LOGIC-010|REQ-CONF-005,Gate B1,Synthetic duplicate-construct tests plus pilot dependence analysis; do not claim empirical correlation before data.,yes,NEW IN OWNER-REJECTION REMEDIATION.
VM551-D040,distinctiveness,All 37 identities,Compare profile golden success with distinctiveness dispositions and same-color/edge-family analysis.,identity-distinctiveness-matrix.csv + profile-scenario-matrix.csv,"Golden target paths hit all 37, but 4 identities have high confusion risk and 7 lack sufficient current distinctiveness evidence; targeted success does not prove ordinary players can be separated.",High,Material audit or player-trust impact within the documented MVP boundary.,NO: implementation/scenario evidence establishes the condition.,Reachability was used as a proxy for semantic distinctiveness; discriminators and false-positive guards are not validated.,Pilot the smallest high-risk family contrasts and preserve unknown/close alternatives; defer universal accuracy claims.,Certified identity definitions plus player-pilot confusion evidence,REQ-IDENTITY-001,Gate B1,"All-37 profile probes, same-color guild/college, shard/wedge, four-color, Colorless, and WUBRG confusion matrices.",yes,NEW IN OWNER-REJECTION REMEDIATION.
