evidence_family,permitted_use,role_classification,explanation
CRIT-001,public factual claims,DIRECT-AUTHORITY,"Certified identity definitions and reviewed boundaries only; does not by itself validate questionnaire effects or player prevalence. For public factual claims, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,identity definitions,SUPPORTING-EVIDENCE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For identity definitions, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,question wording,SUPPORTING-EVIDENCE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For question wording, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,answer wording,SUPPORTING-EVIDENCE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For answer wording, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,positive scoring,PROHIBITED-DIRECT-USE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For positive scoring, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,negative scoring,PROHIBITED-DIRECT-USE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For negative scoring, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,branching,PROHIBITED-DIRECT-USE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For branching, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,tie handling,PROHIBITED-DIRECT-USE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For tie handling, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,confidence,PROHIBITED-DIRECT-USE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For confidence, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,adjacency,PROHIBITED-DIRECT-USE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For adjacency, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,placement explanations,SUPPORTING-EVIDENCE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For placement explanations, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,Commander recommendations,SUPPORTING-EVIDENCE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For Commander recommendations, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,Strategium routing,SUPPORTING-EVIDENCE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For Strategium routing, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,Maze handoffs,SUPPORTING-EVIDENCE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For Maze handoffs, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Apocrypha,public factual claims,SUPPORTING-EVIDENCE,"Presents source roles/limitations; presentation is not evidence authority and must not elevate a source. For public factual claims, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,identity definitions,DIRECT-AUTHORITY,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For identity definitions, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,question wording,DIRECT-AUTHORITY,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For question wording, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,answer wording,DIRECT-AUTHORITY,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For answer wording, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,positive scoring,SUPPORTING-EVIDENCE,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For positive scoring, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,negative scoring,SUPPORTING-EVIDENCE,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For negative scoring, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,branching,SUPPORTING-EVIDENCE,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For branching, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,tie handling,SUPPORTING-EVIDENCE,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For tie handling, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,confidence,SUPPORTING-EVIDENCE,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For confidence, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,adjacency,SUPPORTING-EVIDENCE,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For adjacency, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,placement explanations,DIRECT-AUTHORITY,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For placement explanations, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,Commander recommendations,SUPPORTING-EVIDENCE,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For Commander recommendations, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,Strategium routing,DIRECT-AUTHORITY,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For Strategium routing, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,Maze handoffs,SUPPORTING-EVIDENCE,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For Maze handoffs, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
CECOS draft.4,public factual claims,DIRECT-AUTHORITY,"Governs corpus evidence, provenance, ambiguity, claims, and derived-layer separation; does not define Archscry scoring. For public factual claims, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,identity definitions,HYPOTHESIS-ONLY,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For identity definitions, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,question wording,HYPOTHESIS-ONLY,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For question wording, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,answer wording,HYPOTHESIS-ONLY,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For answer wording, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,positive scoring,PROHIBITED-DIRECT-USE,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For positive scoring, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,negative scoring,PROHIBITED-DIRECT-USE,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For negative scoring, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,branching,HYPOTHESIS-ONLY,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For branching, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,tie handling,HYPOTHESIS-ONLY,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For tie handling, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,confidence,PROHIBITED-DIRECT-USE,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For confidence, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,adjacency,HYPOTHESIS-ONLY,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For adjacency, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,placement explanations,HYPOTHESIS-ONLY,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For placement explanations, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,Commander recommendations,HYPOTHESIS-ONLY,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For Commander recommendations, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,Strategium routing,HYPOTHESIS-ONLY,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For Strategium routing, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,Maze handoffs,HYPOTHESIS-ONLY,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For Maze handoffs, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Strategium,public factual claims,PROHIBITED-DIRECT-USE,"Downstream guidance may suggest distinctions but cannot serve as corpus evidence or direct scoring authority. For public factual claims, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,identity definitions,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For identity definitions, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,question wording,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For question wording, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,answer wording,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For answer wording, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,positive scoring,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For positive scoring, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,negative scoring,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For negative scoring, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,branching,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For branching, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,tie handling,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For tie handling, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,confidence,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For confidence, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,adjacency,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For adjacency, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,placement explanations,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For placement explanations, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,Commander recommendations,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For Commander recommendations, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,Strategium routing,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For Strategium routing, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,Maze handoffs,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For Maze handoffs, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Magic Math,public factual claims,SUPPORTING-EVIDENCE,"May support bounded mathematical method review; cannot establish identity semantics or player-response calibration without an applicable study. For public factual claims, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,identity definitions,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For identity definitions, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,question wording,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For question wording, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,answer wording,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For answer wording, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,positive scoring,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For positive scoring, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,negative scoring,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For negative scoring, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,branching,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For branching, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,tie handling,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For tie handling, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,confidence,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For confidence, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,adjacency,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For adjacency, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,placement explanations,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For placement explanations, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,Commander recommendations,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For Commander recommendations, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,Strategium routing,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For Strategium routing, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,Maze handoffs,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For Maze handoffs, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
tutor/combo research,public factual claims,SUPPORTING-EVIDENCE,"Can falsify stereotypes and inform wording boundaries; tutor/combo use cannot directly assign motive, power level, or identity. For public factual claims, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,identity definitions,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For identity definitions, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,question wording,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For question wording, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,answer wording,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For answer wording, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,positive scoring,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For positive scoring, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,negative scoring,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For negative scoring, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,branching,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For branching, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,tie handling,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For tie handling, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,confidence,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For confidence, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,adjacency,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For adjacency, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,placement explanations,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For placement explanations, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,Commander recommendations,SUPPORTING-EVIDENCE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For Commander recommendations, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,Strategium routing,NOT-APPLICABLE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For Strategium routing, the role is NOT-APPLICABLE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,Maze handoffs,SUPPORTING-EVIDENCE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For Maze handoffs, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
Partner research,public factual claims,SUPPORTING-EVIDENCE,"May support Commander legality/mechanics or exploration examples; not identity-placement evidence. For public factual claims, the role is SUPPORTING-EVIDENCE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,identity definitions,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For identity definitions, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,question wording,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For question wording, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,answer wording,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For answer wording, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,positive scoring,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For positive scoring, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,negative scoring,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For negative scoring, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,branching,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For branching, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,tie handling,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For tie handling, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,confidence,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For confidence, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,adjacency,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For adjacency, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,placement explanations,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For placement explanations, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,Commander recommendations,PROHIBITED-DIRECT-USE,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For Commander recommendations, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,Strategium routing,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For Strategium routing, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,Maze handoffs,HYPOTHESIS-ONLY,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For Maze handoffs, the role is HYPOTHESIS-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
current questionnaire answers,public factual claims,PROHIBITED-DIRECT-USE,"Product-authored response options and signals; not player-language evidence and presently lack answer-level provenance. For public factual claims, the role is PROHIBITED-DIRECT-USE; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,identity definitions,EXAMPLE-ONLY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For identity definitions, the role is EXAMPLE-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,question wording,EXAMPLE-ONLY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For question wording, the role is EXAMPLE-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,answer wording,EXAMPLE-ONLY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For answer wording, the role is EXAMPLE-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,positive scoring,EXAMPLE-ONLY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For positive scoring, the role is EXAMPLE-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,negative scoring,EXAMPLE-ONLY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For negative scoring, the role is EXAMPLE-ONLY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
runtime-generated model observations,branching,DIRECT-AUTHORITY,"Direct authority for what the committed implementation does, including counts and defects; not authority for semantic correctness or population behavior. For branching, the role is DIRECT-AUTHORITY; any derivation must identify inputs, transformation, uncertainty, version, and review state."
