question_id,phase,exact_prompt,answer_identifiers_or_missing_status,intended_construct,actual_dimensions_tested,commander_relevance,wording_clarity,abstraction_burden,double_barreled_status,desirability_or_steering_risk,lore_dependence,mood_dependence,answer_overlap,repeated_signal_group,correlated_signal_group,uncertainty_representation,false_positive_risk,false_negative_risk,scoring_consistency,explanation_consistency,evidence_authority,final_disposition,remediation_implication
hall_R_ignition,hall,A feeling arrives before anyone has given permission. What makes the next move honest?,"[""MISSING:hall_R_ignition#answer-1"",""MISSING:hall_R_ignition#answer-2"",""MISSING:hall_R_ignition#answer-3"",""MISSING:hall_R_ignition#answer-4"",""MISSING:hall_R_ignition#answer-5""]",Differentiate R; authored signals: emotion into action | urgent protection | experimental technique | transgressive release | primal instinct,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]",LOW,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.136,"[""expression-and-performance"",""protection-and-duty"",""experiment-and-invention"",""uncontrolled-editorial-construct"",""growth-and-nature""]",overlapping:expression-and-performance+protection-and-duty+experiment-and-invention+uncontrolled-editorial-construct+growth-and-nature,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_R_freedom,hall,The door is closing and the safe plan will arrive too late. What kind of action keeps the moment alive?,"[""MISSING:hall_R_freedom#answer-1"",""MISSING:hall_R_freedom#answer-2"",""MISSING:hall_R_freedom#answer-3"",""MISSING:hall_R_freedom#answer-4"",""MISSING:hall_R_freedom#answer-5""]",Differentiate R; authored signals: direct action | protective charge | rapid prototype | pain as spectacle | wild belonging,"[""gameplay-or-deck-behavior"",""social-behavior"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",HIGH,MEDIUM-HIGH,LOW,YES,HIGH,NOT-EXPLICIT,PRESENT,0.087,"[""speed-and-action"",""protection-and-duty"",""experiment-and-invention"",""expression-and-performance"",""community-and-belonging""]",overlapping:speed-and-action+protection-and-duty+experiment-and-invention+expression-and-performance+community-and-belonging,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 3,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_G_growth,hall,A living thing is strained before its roots are deep. What care feels honest?,"[""MISSING:hall_G_growth#answer-1"",""MISSING:hall_G_growth#answer-2"",""MISSING:hall_G_growth#answer-3"",""MISSING:hall_G_growth#answer-4"",""MISSING:hall_G_growth#answer-5""]",Differentiate G; authored signals: organic growth | communal care | engineered adaptation | reclamation economy | wild force,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.2,"[""growth-and-nature"",""uncontrolled-editorial-construct""]",overlapping:growth-and-nature+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 2,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_G_natural_order,hall,"The world is slow to answer, but the old pattern still seems alive. What do you follow?","[""MISSING:hall_G_natural_order#answer-1"",""MISSING:hall_G_natural_order#answer-2"",""MISSING:hall_G_natural_order#answer-3"",""MISSING:hall_G_natural_order#answer-4"",""MISSING:hall_G_natural_order#answer-5""]",Differentiate G; authored signals: natural patience | purposeful adaptation | shared community | decay reclamation | wild refusal,"[""social-behavior""]",LOW,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.143,"[""uncontrolled-editorial-construct"",""growth-and-nature"",""community-and-belonging"",""decay-and-renewal""]",overlapping:uncontrolled-editorial-construct+growth-and-nature+community-and-belonging+decay-and-renewal,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_WU_process,hall,"A community wants one outcome, but the written process points somewhere colder. What decides your first move?","[""MISSING:hall_WU_process#answer-1"",""MISSING:hall_WU_process#answer-2"",""MISSING:hall_WU_process#answer-3"",""MISSING:hall_WU_process#answer-4""]",Differentiate WU; authored signals: fairness through process | belonging over procedure | immediate rescue | contractual leverage,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",MEDIUM,MEDIUM,LOW,YES,HIGH,NOT-EXPLICIT,PRESENT,0.15,"[""uncontrolled-editorial-construct"",""procedure-and-order"",""speed-and-action"",""agency-and-leverage""]",overlapping:uncontrolled-editorial-construct+procedure-and-order+speed-and-action+agency-and-leverage,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 2,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_UB_information,hall,A dangerous truth reaches you before anyone else. What is the most ethical use of it?,"[""MISSING:hall_UB_information#answer-1"",""MISSING:hall_UB_information#answer-2"",""MISSING:hall_UB_information#answer-3"",""MISSING:hall_UB_information#answer-4""]",Differentiate UB; authored signals: strategic secrecy | visible obligation | public proof | rhetorical reveal,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference""]",HIGH,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.174,"[""uncontrolled-editorial-construct""]",uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_BR_intensity,hall,A group has become numb and respectable while something true is rotting underneath. How do you wake them up?,"[""MISSING:hall_BR_intensity#answer-1"",""MISSING:hall_BR_intensity#answer-2"",""MISSING:hall_BR_intensity#answer-3"",""MISSING:hall_BR_intensity#answer-4""]",Differentiate BR; authored signals: transgressive performance | wild liberation | crafted spectacle | righteous action,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",HIGH,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.125,"[""expression-and-performance"",""uncontrolled-editorial-construct"",""speed-and-action""]",overlapping:expression-and-performance+uncontrolled-editorial-construct+speed-and-action,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_RG_wild,hall,A system has taken something essential and called the loss progress. What response feels honest?,"[""MISSING:hall_RG_wild#answer-1"",""MISSING:hall_RG_wild#answer-2"",""MISSING:hall_RG_wild#answer-3"",""MISSING:hall_RG_wild#answer-4""]",Differentiate RG; authored signals: undomesticated grievance | performative transgression | communal repair | ecological study,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk""]",HIGH,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.115,"[""uncontrolled-editorial-construct"",""knowledge-and-deliberation""]",overlapping:uncontrolled-editorial-construct+knowledge-and-deliberation,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_WG_belonging,hall,Someone feels isolated and brittle. What kind of help matters most?,"[""MISSING:hall_WG_belonging#answer-1"",""MISSING:hall_WG_belonging#answer-2"",""MISSING:hall_WG_belonging#answer-3"",""MISSING:hall_WG_belonging#answer-4""]",Differentiate WG; authored signals: shared self | enforceable structure | vital care | transformative speech,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",MEDIUM,MEDIUM-HIGH,MEDIUM,NO,HIGH,NOT-EXPLICIT,PRESENT,0.08,"[""community-and-belonging"",""procedure-and-order"",""uncontrolled-editorial-construct""]",overlapping:community-and-belonging+procedure-and-order+uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_WB_obligation,hall,Someone caused harm and now owes something serious. What makes repayment real?,"[""MISSING:hall_WB_obligation#answer-1"",""MISSING:hall_WB_obligation#answer-2"",""MISSING:hall_WB_obligation#answer-3"",""MISSING:hall_WB_obligation#answer-4""]",Differentiate WB; authored signals: debt as relationship | fairness through process | secret leverage | rhetorical status,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",LOW,LOW,HIGH,NO,HIGH,NOT-EXPLICIT,PRESENT,0.095,"[""uncontrolled-editorial-construct"",""agency-and-leverage""]",overlapping:uncontrolled-editorial-construct+agency-and-leverage,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_UR_experiment,hall,"A risky idea could improve everything, but it may fail loudly. What keeps you interested?","[""MISSING:hall_UR_experiment#answer-1"",""MISSING:hall_UR_experiment#answer-2"",""MISSING:hall_UR_experiment#answer-3"",""MISSING:hall_UR_experiment#answer-4""]",Differentiate UR; authored signals: mechanistic experiment | elemental expression | formal pattern | biological adaptation,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]",LOW,LOW,HIGH,YES,HIGH,NOT-EXPLICIT,PRESENT,0.105,"[""experiment-and-invention"",""expression-and-performance"",""uncontrolled-editorial-construct"",""growth-and-nature""]",overlapping:experiment-and-invention+expression-and-performance+uncontrolled-editorial-construct+growth-and-nature,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,REPLACE,Do not carry into the first pilot without a new evidence-derived construct and representational-failure option.
hall_BG_reclamation,hall,"A system collapses and leaves failure, waste, grief, and useful remains. What should happen next?","[""MISSING:hall_BG_reclamation#answer-1"",""MISSING:hall_BG_reclamation#answer-2"",""MISSING:hall_BG_reclamation#answer-3"",""MISSING:hall_BG_reclamation#answer-4""]",Differentiate BG; authored signals: survival through reclamation | essence ecology | communal shelter | owed restitution,"[""gameplay-or-deck-behavior"",""social-behavior"",""aesthetic-or-narrative-preference""]",HIGH,MEDIUM-HIGH,LOW,YES,HIGH,NOT-EXPLICIT,PRESENT,0.1,"[""uncontrolled-editorial-construct""]",uncontrolled-editorial-construct,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_UG_adaptation,hall,A living system is not ready for the future. What response feels most natural?,"[""MISSING:hall_UG_adaptation#answer-1"",""MISSING:hall_UG_adaptation#answer-2"",""MISSING:hall_UG_adaptation#answer-3"",""MISSING:hall_UG_adaptation#answer-4""]",Differentiate UG; authored signals: purposeful biological adaptation | mathematical structure | life-death ecology | chaotic experiment,"[""psychographic-or-motivational-inference-risk""]",MEDIUM,MEDIUM-HIGH,MEDIUM,NO,HIGH,NOT-EXPLICIT,PRESENT,0.111,"[""growth-and-nature"",""procedure-and-order"",""decay-and-renewal"",""experiment-and-invention""]",overlapping:growth-and-nature+procedure-and-order+decay-and-renewal+experiment-and-invention,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 1,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_BANT_champion,hall,The group can only back one line of action. What makes that champion worthy of the whole community's support?,"[""MISSING:hall_BANT_champion#answer-1"",""MISSING:hall_BANT_champion#answer-2"",""MISSING:hall_BANT_champion#answer-3"",""MISSING:hall_BANT_champion#answer-4""]",Differentiate BANT; authored signals: supported champion | procedure over champion | broad communal belonging | adaptation over honor,"[""social-behavior"",""aesthetic-or-narrative-preference""]",HIGH,MEDIUM,LOW,NO,HIGH,NOT-EXPLICIT,PRESENT,0.158,"[""uncontrolled-editorial-construct"",""procedure-and-order"",""community-and-belonging"",""growth-and-nature""]",overlapping:uncontrolled-editorial-construct+procedure-and-order+community-and-belonging+growth-and-nature,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 2,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_BANT_living_order,hall,"Order can protect, refine, or smother a living community. What makes it honorable?","[""MISSING:hall_BANT_living_order#answer-1"",""MISSING:hall_BANT_living_order#answer-2"",""MISSING:hall_BANT_living_order#answer-3"",""MISSING:hall_BANT_living_order#answer-4""]",Differentiate BANT; authored signals: living order | airtight procedure | belonging before rank | adaptive life,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""philosophical-preference""]",HIGH,MEDIUM-HIGH,LOW,NO,HIGH,NOT-EXPLICIT,NOT-EXPLICIT,0.154,"[""procedure-and-order"",""community-and-belonging"",""decay-and-renewal""]",overlapping:procedure-and-order+community-and-belonging+decay-and-renewal,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 2,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
hall_ESPER_perfectibility,hall,"A flawed system can be improved, but only if the change is exact. What makes improvement trustworthy?","[""MISSING:hall_ESPER_perfectibility#answer-1"",""MISSING:hall_ESPER_perfectibility#answer-2"",""MISSING:hall_ESPER_perfectibility#answer-3"",""MISSING:hall_ESPER_perfectibility#answer-4""]",Differentiate ESPER; authored signals: perfectibility through applied knowledge | procedure over perfectibility | hidden leverage over design | living order over exact design,"[""social-behavior"",""aesthetic-or-narrative-preference"",""philosophical-preference""]",MEDIUM,MEDIUM-HIGH,LOW,YES,HIGH,NOT-EXPLICIT,PRESENT,0.2,"[""knowledge-and-deliberation"",""procedure-and-order"",""agency-and-leverage""]",overlapping:knowledge-and-deliberation+procedure-and-order+agency-and-leverage,"ABSENT: no explicit unknown, unsure, neutral, neither, mixed, or depends answer",MEDIUM-HIGH,HIGH when the player is mixed/uncertain; no non-directional state exists,UNVALIDATED effect-count spread 4,UNVALIDATED: signal text is expanded by shared templates without per-claim entailment,No answer-level source or claim reference in the live model; editorial interpretation only,RETUNE,"Separate constructs, normalize effects, add stable answer IDs/provenance, and retest neighboring identities."
