question_id,phase,answer_id,audit_answer_id,exact_title,exact_copy,authored_signal,intended_construct,actual_dimensions_tested,positive_identities,strong_positive_identities,suppressed_identities,uncertainty_representation,evidence_authority,final_disposition,remediation_implication
gate_v2_first_signal,gate,gate_v2_signal_cold_pattern,gate_v2_signal_cold_pattern,The cold pattern,"Before the room gets loud, I notice leverage, implication, and what the facts are already costing.",calculated implication,agency-and-leverage,"[""abstract-scenario-preference""]","[""U"",""B"",""G"",""BANT"",""ESPER"",""ABZAN"",""SULTAI"",""GLINT"",""WITCH"",""BG"",""UB"",""WB"",""QUANDRIX"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]","[""B"",""ESPER"",""ABZAN"",""SULTAI"",""WITCH"",""BG"",""UB"",""WB"",""SILVERQUILL"",""WITHERBLOOM""]","[""R"",""WR"",""NAYA"",""TEMUR"",""JESKAI"",""INK"",""COLORLESS"",""WUBRG"",""RG"",""UR"",""LOREHOLD"",""PRISMARI""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_first_signal,gate,gate_v2_signal_measured_trace,gate_v2_signal_measured_trace,The measured trace,I look for the thread beneath the feeling: the sign that tells me what kind of change is possible.,measured inference,uncontrolled-editorial-construct,"[""psychographic-or-motivational-inference-risk""]","[""U"",""B"",""G"",""BANT"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""ABZAN"",""SULTAI"",""YORE"",""GLINT"",""DUNE"",""WITCH"",""BG"",""UB"",""WB"",""QUANDRIX"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]","[""B"",""ESPER"",""ABZAN"",""SULTAI"",""WITCH"",""BG"",""UB"",""WB"",""SILVERQUILL"",""WITHERBLOOM""]","[""R"",""WR"",""NAYA"",""JESKAI"",""COLORLESS"",""WUBRG"",""RG"",""UR"",""LOREHOLD"",""PRISMARI""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_first_signal,gate,gate_v2_signal_whole_chord,gate_v2_signal_whole_chord,The whole chord,"The signal arrives as a chord: thought, hunger, duty, feeling, and life all audible at once.",balanced chord,protection-and-duty,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""W"",""U"",""B"",""R"",""G"",""WU"",""BANT"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""WUBRG"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""QUANDRIX"",""WG"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]","[""WUBRG""]","[""COLORLESS""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_first_signal,gate,gate_v2_signal_live_spark,gate_v2_signal_live_spark,The live spark,"I hear what wants to move: the heat, the honesty, the flash before it gets explained away.",felt ignition,speed-and-action,"[""psychographic-or-motivational-inference-risk""]","[""W"",""R"",""WR"",""NAYA"",""TEMUR"",""JESKAI"",""INK"",""RG"",""UR"",""LOREHOLD"",""PRISMARI""]","[""R"",""WR"",""NAYA"",""TEMUR"",""JESKAI"",""INK"",""RG"",""UR"",""LOREHOLD"",""PRISMARI""]","[""B"",""ESPER"",""ABZAN"",""SULTAI"",""WITCH"",""COLORLESS"",""WUBRG"",""BG"",""UB"",""WB"",""SILVERQUILL"",""WITHERBLOOM""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_first_signal,gate,gate_v2_signal_unlit_edge,gate_v2_signal_unlit_edge,The unlit edge,The first signal is absence: a clean edge where the usual symbols stop being useful.,outside boundary,uncontrolled-editorial-construct,"[""aesthetic-or-narrative-preference""]","[""COLORLESS""]","[""COLORLESS""]","[""W"",""U"",""B"",""R"",""G"",""WU"",""BANT"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""WUBRG"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""QUANDRIX"",""WG"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_cost_of_oath,gate,gate_v2_oath_preserve,gate_v2_oath_preserve,Preserve what must not break,"It can ask me to carry the old weight: shelter, consequence, and the line that keeps faith intact.",preserving duty,protection-and-duty,"[""social-behavior"",""philosophical-preference""]","[""W"",""B"",""R"",""WU"",""BANT"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""BG"",""RG"",""LOREHOLD"",""WB"",""WG"",""SILVERQUILL"",""WITHERBLOOM""]","[""W"",""R"",""WR"",""BR"",""ESPER"",""JUND"",""NAYA"",""ABZAN"",""MARDU"",""JESKAI"",""YORE"",""DUNE"",""INK"",""LOREHOLD"",""WB"",""WG"",""SILVERQUILL""]","[""U"",""COLORLESS"",""WUBRG"",""QUANDRIX"",""UG""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_cost_of_oath,gate,gate_v2_oath_steward,gate_v2_oath_steward,Steward the change,"It can ask discipline from me: not refusal of change, but care over what change consumes.",careful stewardship,agency-and-leverage,"[""philosophical-preference""]","[""W"",""R"",""WU"",""BANT"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""RG"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""WG"",""SILVERQUILL""]","[""W"",""WR"",""NAYA"",""MARDU"",""JESKAI"",""LOREHOLD""]","[""COLORLESS"",""WUBRG""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_cost_of_oath,gate,gate_v2_oath_whole_covenant,gate_v2_oath_whole_covenant,Keep the whole covenant,"It can ask me to hold every claim in view, even when no single hunger deserves the throne.",integrated covenant,agency-and-leverage,"[""philosophical-preference""]","[""W"",""U"",""B"",""R"",""G"",""WU"",""BANT"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""WUBRG"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""QUANDRIX"",""WG"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]","[""WUBRG""]","[""COLORLESS""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_cost_of_oath,gate,gate_v2_oath_transform,gate_v2_oath_transform,Become the changed thing,It can ask me to release the prior shape and become the answer the threshold requires.,transformative cost,agency-and-leverage,"[""philosophical-preference""]","[""U"",""G"",""GRIXIS"",""JUND"",""TEMUR"",""SULTAI"",""GLINT"",""BG"",""RG"",""UB"",""UR"",""PRISMARI"",""QUANDRIX"",""UG"",""WITHERBLOOM""]","[""U"",""G"",""TEMUR"",""SULTAI"",""GLINT"",""UB"",""UR"",""PRISMARI"",""QUANDRIX"",""UG""]","[""W"",""WU"",""WR"",""ESPER"",""NAYA"",""ABZAN"",""MARDU"",""JESKAI"",""YORE"",""DUNE"",""COLORLESS"",""WUBRG"",""LOREHOLD"",""WB"",""WG"",""SILVERQUILL""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
gate_v2_cost_of_oath,gate,gate_v2_oath_without_color,gate_v2_oath_without_color,Stand where the lamp does not reach,"It can ask a clean refusal: no borrowed brightness, no decorated answer, only the boundary kept.",outside boundary,agency-and-leverage,"[""philosophical-preference""]","[""COLORLESS""]","[""COLORLESS""]","[""W"",""U"",""B"",""R"",""G"",""WU"",""BANT"",""WR"",""BR"",""ESPER"",""GRIXIS"",""JUND"",""NAYA"",""ABZAN"",""TEMUR"",""SULTAI"",""MARDU"",""JESKAI"",""YORE"",""GLINT"",""DUNE"",""INK"",""WITCH"",""WUBRG"",""BG"",""RG"",""UB"",""UR"",""LOREHOLD"",""WB"",""PRISMARI"",""QUANDRIX"",""WG"",""SILVERQUILL"",""UG"",""WITHERBLOOM""]",ABSENT,No answer-level source or claim reference,REPLACE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_W_shelter,hall,MISSING,hall_W_shelter#answer-1,Build the shelter,"Set the standard, make the boundary clear, and give people something reliable to stand inside.",shelter through structure,procedure-and-order,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""W"",""WG"",""WU"",""WR""]","[""W""]","[""UB"",""BR""]",ABSENT,No answer-level source or claim reference,KEEP-BUT-REWORD,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_W_shelter,hall,MISSING,hall_W_shelter#answer-2,Write the procedure,Protection lasts when the process is explicit enough to survive mood.,procedure first,procedure-and-order,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""WU""]","[""WU""]","[""W""]",ABSENT,No answer-level source or claim reference,KEEP-BUT-REWORD,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_W_shelter,hall,MISSING,hall_W_shelter#answer-3,Intervene immediately,The first duty is to put yourself between the danger and the vulnerable person.,urgent guardianship,protection-and-duty,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""WR""]","[""WR""]","[""W""]",ABSENT,No answer-level source or claim reference,KEEP-BUT-REWORD,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_W_shelter,hall,MISSING,hall_W_shelter#answer-4,Restore belonging,People trust protection more when they feel held by the whole group.,belonging as shelter,protection-and-duty,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""WG""]","[""WG""]","[""W""]",ABSENT,No answer-level source or claim reference,KEEP-BUT-REWORD,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_W_duty,hall,MISSING,hall_W_duty#answer-1,Strengthen what protects,"If the shelter holds, improve it and keep faith with the people relying on it.",duty to maintain shelter,procedure-and-order,"[""social-behavior""]","[""W"",""WU"",""WG"",""WR""]","[""W""]","[""BR"",""RG""]",ABSENT,No answer-level source or claim reference,NEEDS-EVIDENCE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_W_duty,hall,MISSING,hall_W_duty#answer-2,Refine the procedure,The system matters most when its rules are precise enough to remain fair under pressure.,airtight procedure,procedure-and-order,"[""social-behavior""]","[""WU""]","[""WU""]","[""W""]",ABSENT,No answer-level source or claim reference,NEEDS-EVIDENCE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_W_duty,hall,MISSING,hall_W_duty#answer-3,Choose the urgent case,A structure that hesitates in the face of harm must be overruled by action.,case-first intervention,procedure-and-order,"[""social-behavior""]","[""WR""]","[""WR""]","[""W""]",ABSENT,No answer-level source or claim reference,NEEDS-EVIDENCE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_W_duty,hall,MISSING,hall_W_duty#answer-4,Heal the bond,"Protection is real when people want to carry it together, not just receive it.",shared care,procedure-and-order,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""WG""]","[""WG""]","[""W""]",ABSENT,No answer-level source or claim reference,NEEDS-EVIDENCE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_B_cost,hall,MISSING,hall_B_cost#answer-1,Pay the cost,"If the price buys agency, the cost is part of the plan rather than a warning to stop.",power at a cost,community-and-belonging,"[""social-behavior"",""psychographic-or-motivational-inference-risk"",""aesthetic-or-narrative-preference""]","[""B"",""UB"",""BR"",""WB""]","[""B""]","[""U"",""W"",""WG""]",ABSENT,No answer-level source or claim reference,RETUNE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_B_cost,hall,MISSING,hall_B_cost#answer-2,Hide the leverage,Control is safest when no one knows which resource you are holding.,secret leverage,community-and-belonging,"[""social-behavior""]","[""UB""]","[""UB""]","[""B""]",ABSENT,No answer-level source or claim reference,NEEDS-EVIDENCE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_B_cost,hall,MISSING,hall_B_cost#answer-3,Make it a debt,A cost matters most when it becomes an obligation someone must answer.,binding debt,community-and-belonging,"[""social-behavior""]","[""WB""]","[""WB""]","[""B""]",ABSENT,No answer-level source or claim reference,NEEDS-EVIDENCE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_B_cost,hall,MISSING,hall_B_cost#answer-4,Spend the restraint,The release itself is the point; the price proves the appetite is real.,unrestrained appetite,community-and-belonging,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""BR""]","[""BR""]","[""B""]",ABSENT,No answer-level source or claim reference,KEEP-BUT-REWORD,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_B_graveyard,hall,MISSING,hall_B_graveyard#answer-1,Reclaim it as leverage,The graveyard is not a memorial. It is a resource line waiting to be used.,graveyard as resource,agency-and-leverage,"[""gameplay-or-deck-behavior""]","[""B"",""BG"",""UB""]","[""B""]","[""U"",""W"",""WG""]",ABSENT,No answer-level source or claim reference,NEEDS-EVIDENCE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_B_graveyard,hall,MISSING,hall_B_graveyard#answer-2,Feed the cycle,Decay matters because it makes the next life possible.,cycle of decay,decay-and-renewal,"[""abstract-scenario-preference""]","[""BG"",""WITHERBLOOM""]","[""BG"",""WITHERBLOOM""]","[""B""]",ABSENT,No answer-level source or claim reference,NEEDS-EVIDENCE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_B_graveyard,hall,MISSING,hall_B_graveyard#answer-3,Protect the record,"What is gone should become duty, precedent, or warning.",memorial duty,procedure-and-order,"[""social-behavior""]","[""W"",""LOREHOLD""]",[],"[""B""]",ABSENT,No answer-level source or claim reference,NEEDS-EVIDENCE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_B_graveyard,hall,MISSING,hall_B_graveyard#answer-4,Turn it into pressure,The loss should make everyone else feel what the exchange is worth.,public pressure,speed-and-action,"[""gameplay-or-deck-behavior"",""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""BR"",""SILVERQUILL""]","[""BR""]","[""B""]",ABSENT,No answer-level source or claim reference,RETUNE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_U_understanding,hall,MISSING,hall_U_understanding#answer-1,Map the variables,"Preserve options, gather the missing information, and move once the structure can be understood.",act after understanding,procedure-and-order,"[""psychographic-or-motivational-inference-risk""]","[""U"",""WU"",""UB""]","[""U""]","[""B"",""WB"",""BR"",""RG""]",ABSENT,No answer-level source or claim reference,KEEP-BUT-REWORD,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_U_understanding,hall,MISSING,hall_U_understanding#answer-2,Codify the process,The answer should become a rule everyone can trust.,formal procedure,procedure-and-order,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""WU""]","[""WU""]","[""U""]",ABSENT,No answer-level source or claim reference,KEEP-BUT-REWORD,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_U_understanding,hall,MISSING,hall_U_understanding#answer-3,Keep the secret,The safest move is to know more than the table knows you know.,hidden leverage,agency-and-leverage,"[""social-behavior"",""psychographic-or-motivational-inference-risk""]","[""UB""]","[""UB""]","[""U""]",ABSENT,No answer-level source or claim reference,KEEP-BUT-REWORD,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_U_understanding,hall,MISSING,hall_U_understanding#answer-4,Run the experiment,Build the test and let the result teach you in motion.,volatile experiment,experiment-and-invention,"[""psychographic-or-motivational-inference-risk""]","[""UR""]","[""UR""]","[""U""]",ABSENT,No answer-level source or claim reference,KEEP-BUT-REWORD,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
hall_U_possibility,hall,MISSING,hall_U_possibility#answer-1,Improve the model,"Education, tools, and repeatable practice can turn a current limit into a solvable problem.",optimization through knowledge,knowledge-and-deliberation,"[""gameplay-or-deck-behavior"",""social-behavior"",""philosophical-preference""]","[""U"",""UG"",""UR""]","[""U""]","[""B"",""WB"",""RG"",""BR""]",ABSENT,No answer-level source or claim reference,RETUNE,"Assign stable ID, evidence/interpretation record, controlled construct, positive/negative effect contract, dependency group, and explanation entailment before production repair."
