identity,canonical_name,institution_type,colors,behavioral_definition_used_by_placement_metadata,primary_boundary_or_tension,supporting_question_ids,opposing_question_ids,required_positive_min_hits_in_metadata,required_positive_min_hits_enforced_by_runtime,false_positive_guardrail_in_metadata,supporting_answer_count,strong_supporting_answer_count,opposing_answer_count,gate_supporting_answer_count,hall_supporting_answer_count,crucible_supporting_answer_count,targeted_hall_question_count,targeted_crucible_question_count,exhaustive_primary_count,exhaustive_primary_share,exhaustive_rank2_count,exhaustive_rank3_count,reachability_status,minimum_positive_evidence_when_primary,maximum_positive_evidence_when_primary,minimum_primary_confidence,maximum_primary_confidence,exhaustive_maximum_primary_probability,minimum_primary_gap,maximum_primary_gap,exact_tie_primary_count,golden_path_primary,golden_path_confidence,copy_complete,copy_audit_status,commander_recommendation_count,commander_candidate_pool_count,native_exact_precon_count,other_exact_precon_count,stretch_precon_count,copy_source,recommendation_source,known_semantic_risk,evidence_strength,bias_indicators
GRIXIS,Grixis,shard,"[""U"",""B"",""R""]","Grixis is Black-centered survival under hostile reality: Black names self-advocacy and adaptation as first law, Blue turns study into weakness-mapping leverage, and Red acts with urgent zeal before the opening closes.","The self must advocate for itself because no system, nature, or morality reliably will; the risk is turning every weakness into something to exploit before survival discipline notices what it has become.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_JUND_instinct_pressure"",""hall_NAYA_living_whole"",""hall_TEMUR_elemental_memory"",""hall_SULTAI_resource_conversion"",""hall_YORE_engineered_agency"",""hall_YORE_artifice_boundary"",""hall_GLINT_missing_white"",""crucible_ESPER_GRIXIS"",""crucible_GRIXIS_JUND""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_GRIXIS_survival_opening"",""hall_GRIXIS_volatile_calculation"",""hall_NAYA_living_whole"",""hall_NAYA_abundance_instinct"",""hall_ABZAN_ancestor_perennation"",""hall_TEMUR_survival_attunement"",""hall_TEMUR_elemental_memory"",""hall_JESKAI_way_form"",""hall_YORE_artifice_boundary"",""hall_GLINT_living_force"",""crucible_ESPER_GRIXIS"",""crucible_GRIXIS_JUND""]",3,false,"Do not treat support-only mechanics, Commander/operator rows, manual-fill lore, Maestros, or color identity alone as Grixis evidence.",25,12,21,14,9,2,2,2,306,0.011379,397,465,reachable-in-exhaustive-valid-paths,0,0,0.065,0.695,0.695,0,0.645,17,GRIXIS,0.672,true,warning,3,5,0,8,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
INK,Ink / Altruism,four_color,"[""R"",""G"",""W"",""U""]","Ink / Altruism is Vox Mana's four-color without Black expression for protected public abundance, open knowledge, community benefit, and generosity guarded from capture.","Ink keeps resources, knowledge, and care moving through a defended commons, but protected generosity can become self-erasure when private need is mistrusted too strongly.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_WITCH_patient_cultivation"",""crucible_DUNE_INK"",""crucible_INK_WITCH""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_WITCH_patient_cultivation"",""hall_WUBRG_full_spectrum"",""crucible_DUNE_INK"",""crucible_INK_WITCH""]",2,false,"Do not award Ink for generic group-hug, generic shared resources, public archive imagery, Kynaios familiarity, Ink-Treader anchoring alone, Altruism/same-color naming, RGWU/WURG goodstuff, or adjacent shard/wedge/four-color language. Require the full four-color without Black synthesis: protected public abundance, open knowledge, community benefit, shared resources guarded from capture, Red care, Green reciprocity, White civic promise, Blue open knowledge, and refusal of Black-style private hoarding.",17,9,16,12,3,2,2,2,350,0.013016,614,1059,reachable-in-exhaustive-valid-paths,0,0,0.072,0.679,0.679,0,0.644,19,INK,0.746,true,warning,2,2,0,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
JESKAI,Jeskai Way,wedge,"[""U"",""R"",""W""]","Jeskai Way is Vox Mana's live Tarkir wedge expression for Blue-centered disciplined cunning: knowledge, training, Red action, and White accountability moving together without collapsing into generic same-color spellslinger play.","Jeskai's virtue is trained insight moving with precision, courage, compassion, and restraint, but that discipline can become empty delay when practice forgets the moment it was meant to serve.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_JESKAI_disciplined_cunning"",""hall_JESKAI_way_form"",""hall_GLINT_living_force"",""crucible_JESKAI_MARDU"",""crucible_JESKAI_SULTAI"",""crucible_JESKAI_TEMUR""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_JESKAI_disciplined_cunning"",""hall_JESKAI_way_form"",""hall_YORE_artifice_boundary"",""crucible_JESKAI_MARDU"",""crucible_JESKAI_SULTAI"",""crucible_JESKAI_TEMUR""]",2,false,"Do not treat same-color composition, generic spellslinger play, Commander support rows, Ojutai continuity, Dragonstorm backfill, seed files, generated HTML, or exact mechanics as Jeskai evidence. Require a positive Jeskai Way evidence cluster grounded in Blue-centered disciplined cunning, training, martial practice, and strict Tarkir timeline boundaries.",18,11,17,12,3,3,2,3,488,0.018147,1415,1366,reachable-in-exhaustive-valid-paths,0,0,0.059,0.841,0.841,0,0.812,42,JESKAI,0.768,true,warning,3,3,0,12,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
JUND,Jund,shard,"[""B"",""R"",""G""]","Jund is the BRG expression of feeling acted on without White-Blue restraint. Its useful Commander signal is not anger alone, death magic, or efficient midrange play; it is appetite, gut truth, and instinct becoming force where the world answers back.","Vox Mana models Jund's tension as freedom through appetite and instinct drifting into flattening, overconsumption, or mistaking impulse for truth.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_JUND_instinct_pressure"",""hall_JUND_appetite_consequence"",""hall_NAYA_living_whole"",""hall_NAYA_abundance_instinct"",""hall_ABZAN_family_endurance"",""hall_ABZAN_ancestor_perennation"",""hall_TEMUR_survival_attunement"",""hall_MARDU_war_name_oath"",""hall_GLINT_living_force"",""hall_GLINT_missing_white"",""hall_DUNE_territorial_force"",""hall_INK_protected_abundance"",""crucible_GRIXIS_JUND"",""crucible_JUND_NAYA""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_JUND_instinct_pressure"",""hall_JUND_appetite_consequence"",""hall_NAYA_living_whole"",""hall_NAYA_abundance_instinct"",""hall_ABZAN_family_endurance"",""hall_TEMUR_survival_attunement"",""hall_MARDU_war_name_oath"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""crucible_GRIXIS_JUND"",""crucible_JUND_NAYA""]",2,false,"Do not treat support-only mechanics, Commander/operator rows, manual-fill lore, comparator factions, or color composition alone as Jund evidence.",26,16,20,12,12,2,2,2,344,0.012792,210,228,reachable-in-exhaustive-valid-paths,0,0,0.074,0.663,0.663,0,0.619,9,JUND,0.689,true,warning,3,6,0,6,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
LOREHOLD,Lorehold College,college,"[""W"",""R""]","Lorehold is Strixhaven's College of Archaeomancy: red-white history magic expressed through artifacts, ancient tomes, spirits, scrolls, field expeditions, and the tension between orderly preservation and chaotic discovery. Its strongest verified pattern is not generic nostalgia, but active investigation of the past through records, ruins, relics, living spirits, and dangerous fieldwork.",Does history belong to order or to chaos? To careful systematic analysis or dangerous fieldwork? The college needs both traditions. Every student must choose - and then watch the choice shape everything afterward.,"[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_graveyard"",""hall_WR_protection"",""hall_LOREHOLD_history"",""hall_QUANDRIX_pattern"",""crucible_WR_LOREHOLD"",""crucible_LOREHOLD_QUANDRIX""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_WR_protection"",""hall_LOREHOLD_history"",""crucible_WR_LOREHOLD"",""crucible_LOREHOLD_QUANDRIX""]",3,false,"Do not award for generic duty, courage, or white-red identity without history/evidence language.",19,9,13,13,4,2,1,2,325,0.012086,645,917,reachable-in-exhaustive-valid-paths,0,0,0.057,0.565,0.565,0,0.52,8,LOREHOLD,0.491,true,warning,3,7,2,4,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
MARDU,Mardu Horde,wedge,"[""R"",""W"",""B""]","Mardu Horde is Vox Mana's live Tarkir wedge expression for Red-centered speed under a war code: decisive action, earned names, White formation, and Black opportunity moving before the opening closes.","Mardu's virtue is decisive action bound to a war code, but that speed can become conquest, overextension, or cruelty when commitment outruns the oath that gives it shape.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_MARDU_total_commitment"",""hall_MARDU_war_name_oath"",""hall_JESKAI_disciplined_cunning"",""hall_JESKAI_way_form"",""hall_YORE_artifice_boundary"",""hall_DUNE_missing_blue"",""crucible_ABZAN_MARDU"",""crucible_TEMUR_MARDU"",""crucible_JESKAI_MARDU""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_MARDU_total_commitment"",""hall_MARDU_war_name_oath"",""hall_JESKAI_disciplined_cunning"",""hall_JESKAI_way_form"",""hall_YORE_artifice_boundary"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""crucible_ABZAN_MARDU"",""crucible_TEMUR_MARDU"",""crucible_JESKAI_MARDU""]",2,false,"Do not treat same-color composition, generic aggro, Commander support rows, Kolaghan continuity, Dragonstorm backfill, seed files, color-pair philosophy, architecture prose, or exact mechanics as Mardu evidence. Require a positive Mardu Horde evidence cluster grounded in Red-centered speed, total commitment, war code, and strict Tarkir timeline boundaries.",21,13,19,12,6,3,2,3,220,0.008181,336,367,reachable-in-exhaustive-valid-paths,0,0,0.066,0.749,0.749,0,0.723,5,MARDU,0.749,true,warning,3,4,0,8,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
NAYA,Naya,shard,"[""R"",""G"",""W""]","Naya is the Green-centered red-green-white Alara shard expression whose safe evidence floor is life, nature, growth, ecosystem belonging, White larger-picture duty and life support, Red feral instinct and loyalty, and Blue/Black as missing control and extraction pressures.","Vox Mana models Naya's tension as abundance and belonging drifting into overgrowth, over-identification with scale, or mistaking instinct for wisdom.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_NAYA_living_whole"",""hall_NAYA_abundance_instinct"",""hall_ABZAN_family_endurance"",""hall_ABZAN_ancestor_perennation"",""hall_TEMUR_survival_attunement"",""hall_TEMUR_elemental_memory"",""hall_MARDU_war_name_oath"",""hall_YORE_engineered_agency"",""hall_DUNE_territorial_force"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""crucible_JUND_NAYA"",""crucible_NAYA_BANT""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_NAYA_living_whole"",""hall_NAYA_abundance_instinct"",""hall_ABZAN_family_endurance"",""hall_ABZAN_ancestor_perennation"",""hall_TEMUR_survival_attunement"",""hall_TEMUR_elemental_memory"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_war_name_oath"",""hall_YORE_engineered_agency"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""crucible_JUND_NAYA"",""crucible_NAYA_BANT""]",2,false,"Do not treat support-only mechanics, Commander/operator rows, manual-fill lore, comparator factions, or color composition alone as Naya evidence.",23,15,27,10,11,2,2,2,678,0.025213,1289,876,reachable-in-exhaustive-valid-paths,0,0,0.064,0.845,0.845,0,0.815,12,NAYA,0.845,true,warning,3,3,0,10,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
PRISMARI,Prismari College,college,"[""U"",""R""]","Prismari is Strixhaven's blue-red College of Elemental Arts, where magic becomes art through trained technique, expressive purpose, and elemental media.","Prismari balances disciplined refinement with raw expression, including the responsibility to revise, collaborate, and contain the consequences of powerful creative work.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_BR_intensity"",""hall_UR_experiment"",""hall_GRIXIS_volatile_calculation"",""hall_GLINT_living_force"",""hall_PRISMARI_expression"",""hall_SILVERQUILL_words"",""crucible_UR_PRISMARI"",""crucible_PRISMARI_QUANDRIX"",""crucible_PRISMARI_SILVERQUILL""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_UR_experiment"",""hall_BG_reclamation"",""hall_GLINT_living_force"",""hall_PRISMARI_expression"",""hall_QUANDRIX_pattern"",""crucible_UR_PRISMARI"",""crucible_PRISMARI_QUANDRIX"",""crucible_PRISMARI_SILVERQUILL""]",2,false,"Do not award for generic spectacle if the answer is provocation, engineering, or rhetoric.",22,10,16,13,6,3,1,3,387,0.014391,568,678,reachable-in-exhaustive-valid-paths,0,0,0.063,0.741,0.741,0,0.692,8,PRISMARI,0.461,true,warning,3,4,2,4,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
QUANDRIX,Quandrix College,college,"[""G"",""U""]",Quandrix College is a green-blue college associated with Arcavios / Strixhaven.,"Quandrix balances green's discovery of natural patterns with blue's construction of abstract models, raising the question of whether math is found in reality or made by minds.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_UB_information"",""hall_UR_experiment"",""hall_UG_adaptation"",""hall_TEMUR_survival_attunement"",""hall_LOREHOLD_history"",""hall_QUANDRIX_pattern"",""crucible_UG_QUANDRIX"",""crucible_PRISMARI_QUANDRIX"",""crucible_LOREHOLD_QUANDRIX"",""crucible_QUANDRIX_WITHERBLOOM""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_UG_adaptation"",""hall_PRISMARI_expression"",""hall_QUANDRIX_pattern"",""crucible_UG_QUANDRIX"",""crucible_PRISMARI_QUANDRIX"",""crucible_LOREHOLD_QUANDRIX"",""crucible_QUANDRIX_WITHERBLOOM""]",2,false,Do not award for generic intelligence or systems thinking without proof/pattern language.,20,12,16,10,6,4,1,4,401,0.014912,606,593,reachable-in-exhaustive-valid-paths,0,0,0.078,0.69,0.69,0,0.655,2,QUANDRIX,0.525,true,warning,3,4,2,6,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
R,Red,color,"[""R""]","Red is the mono-color expression of unblocked feeling: it listens to desire, acts before life hardens into regret, and treats experience as the teacher no plan can replace.","Red can break stasis with honest action, but it can become short-sighted, volatile, or unwilling to pause for consequences.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_R_ignition"",""hall_R_freedom"",""hall_JUND_instinct_pressure"",""hall_MARDU_total_commitment"",""hall_JESKAI_disciplined_cunning"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""crucible_R_WR"",""crucible_R_UR"",""crucible_R_BR"",""crucible_R_RG""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_R_ignition"",""hall_R_freedom"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""hall_COLORLESS_outside_wubrg"",""hall_COLORLESS_branch_boundary"",""crucible_R_WR"",""crucible_R_UR"",""crucible_R_BR"",""crucible_R_RG""]",2,false,"Do not place Red for chaos, anger, or haste alone; require freedom, emotion, action, or lived experience.",21,11,23,10,7,4,2,4,2038,0.075787,1462,1418,reachable-in-exhaustive-valid-paths,0,0,0.068,0.92,0.92,0,0.912,8,R,0.862,true,warning,3,3,0,1,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,primary-share-over-2x-uniform|can-win-with-zero-positive-evidence
RG,Gruul Clans,guild,"[""R"",""G""]","The Gruul Clans are a loose red-green Ravnican guild of clans whose source-bounded identity combines lost stewardship of wild places, Rubblebelt and ruined-space territory, direct action, strength-tested leadership, and anti-civilization grievance.","Gruul is strongest when rage protects territory, memory, clan, or wildness, and weakest when flattened into random rage, generic aggression, or mindless destruction.","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_R_ignition"",""hall_R_freedom"",""hall_G_growth"",""hall_G_natural_order"",""hall_BR_intensity"",""hall_RG_wild"",""hall_JUND_instinct_pressure"",""hall_JUND_appetite_consequence"",""hall_NAYA_living_whole"",""hall_NAYA_abundance_instinct"",""hall_TEMUR_survival_attunement"",""hall_TEMUR_elemental_memory"",""hall_MARDU_total_commitment"",""hall_MARDU_war_name_oath"",""hall_JESKAI_way_form"",""hall_GLINT_living_force"",""hall_GLINT_missing_white"",""hall_DUNE_territorial_force"",""hall_DUNE_missing_blue"",""hall_INK_protected_abundance"",""hall_INK_missing_black"",""hall_WITCH_missing_red"",""crucible_R_RG"",""crucible_G_RG"",""crucible_BR_RG""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_W_duty"",""hall_U_understanding"",""hall_U_possibility"",""hall_RG_wild"",""hall_ESPER_perfectibility"",""hall_ESPER_designed_control"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""crucible_R_RG"",""crucible_G_RG"",""crucible_BR_RG""]",2,false,Do not award for generic anger or freedom without concrete loss or wildness.,49,12,20,12,34,3,1,3,802,0.029824,514,384,reachable-in-exhaustive-valid-paths,0,0,0.077,0.768,0.768,0,0.729,1,RG,0.72,true,warning,3,4,3,2,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
SILVERQUILL,Silverquill College,college,"[""W"",""B""]",Silverquill College is a white-black college associated with Arcavios / Strixhaven.,Silverquill argues over whether eloquence should uplift others or advance personal dominance.,"[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_B_graveyard"",""hall_UB_information"",""hall_WG_belonging"",""hall_WB_obligation"",""hall_PRISMARI_expression"",""hall_SILVERQUILL_words"",""crucible_WB_SILVERQUILL"",""crucible_PRISMARI_SILVERQUILL""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_UB_information"",""hall_SILVERQUILL_words"",""crucible_WB_SILVERQUILL"",""crucible_PRISMARI_SILVERQUILL""]",2,false,Do not award for generic manipulation or black-white identity without visible language/status signals.,21,10,12,13,6,2,1,2,252,0.009371,361,351,reachable-in-exhaustive-valid-paths,0,0,0.058,0.663,0.663,0,0.607,4,SILVERQUILL,0.397,true,warning,1,1,2,4,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
SULTAI,Sultai Brood,wedge,"[""B"",""G"",""U""]","Sultai Brood is the Black-centered BGU Tarkir wedge expression whose source-bound floor is ruthlessness, opportunity, graveyard/resource conversion, necromancy, wealth through exploitation, Sidisi-era ambition, and strict timeline separation from Silumgar clan and modern Dragonstorm-era Sultai.",Vox Mana synthesis models Sultai's tension as resource use becoming domination when Black ambition and Blue calculation overrule restraint.,"[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_total_commitment"",""hall_MARDU_war_name_oath"",""hall_JESKAI_disciplined_cunning"",""hall_YORE_engineered_agency"",""hall_YORE_artifice_boundary"",""hall_GLINT_living_force"",""hall_WITCH_patient_cultivation"",""hall_WITCH_missing_red"",""crucible_ABZAN_SULTAI"",""crucible_TEMUR_SULTAI"",""crucible_JESKAI_SULTAI""]","[""gate_v2_locus_of_trust"",""gate_v2_pressure_becomes"",""gate_v2_first_signal"",""gate_v2_cost_of_oath"",""hall_SULTAI_resource_conversion"",""hall_SULTAI_dead_usefulness"",""hall_MARDU_total_commitment"",""hall_MARDU_war_name_oath"",""hall_JESKAI_disciplined_cunning"",""hall_JESKAI_way_form"",""hall_YORE_engineered_agency"",""hall_YORE_artifice_boundary"",""crucible_ABZAN_SULTAI"",""crucible_TEMUR_SULTAI"",""crucible_JESKAI_SULTAI""]",2,false,"Do not treat support-only mechanics, Commander/operator rows, manual-fill lore, architecture prose, seed files, Silumgar clan, Dragonstorm backfill, color-pair philosophy, or color composition alone as Sultai evidence.",25,15,21,12,10,3,2,3,275,0.010226,428,524,reachable-in-exhaustive-valid-paths,0,0,0.055,0.797,0.797,0,0.766,8,SULTAI,0.782,true,warning,3,4,0,6,2,data/factions.json + data/placement-model.json + hard-coded assets/js/archscry-presentation.js and assets/js/commander-dossier.js templates,Curated factions.json commander_compass/deck_links/staples + deck tags + generated precon catalog/taxonomy; not selected from per-answer evidence.,"Recovered identity semantics and guardrails are carried as model metadata, but the live Hall/Crucible likelihood bank is hard-coded separately and the minimum-hit contract is not enforced.",Live question effects have no answer-level provenance; identity records contain reviewed evidence metadata that is not a live scoring contract.,can-win-with-zero-positive-evidence
