expected_identity,defining_evidence,closest_competitor,mixed_or_uncertain_element,exact_available_answers_selected,branch_path_reached,final_primary,rank_two,rank_three,softmax_share_displayed_as_confidence,direct_positive_evidence_present,minimum_hit_metadata_satisfied_by_strong_authored_hit_proxy,strong_authored_hit_count,false_positive_guardrail_metadata_satisfied,explanation_result,adjacent_result,commander_recommendation_result,acceptable_result_set,unacceptable_false_positives,final_disposition,scenario_limit
GRIXIS,"[""Grixis"",""Alara"",""UBR"",""Black-centered survival"",""survival"",""self-advocacy"",""adaptation"",""calculation"",""weakness analysis"",""immediacy"",""zeal"",""volatility""]",UB,Nearest current numeric competitor UB; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_personal_threshold"",""title"":""The threshold in the self""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_many_currents"",""title"":""Many currents, one course""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_whole_chord"",""title"":""The whole chord""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_GRIXIS_survival_opening"",""answer_id"":""MISSING:hall_GRIXIS_survival_opening#answer-1"",""title"":""Find the weakness and take it""},{""stage"":""hall"",""question_id"":""hall_GRIXIS_volatile_calculation"",""answer_id"":""MISSING:hall_GRIXIS_volatile_calculation#answer-1"",""title"":""Calculation aimed at survival""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_GRIXIS_survival_opening"",""hall:hall_GRIXIS_volatile_calculation""]",GRIXIS,UB,GLINT,0.672,true,true,3,UNRESOLVED: guardrail is free text and has no executable predicate,"Grixis recognizes the shape of your game as The Survival Strategist. Your answers repeatedly expressed transformative cost and calculated survival opening. House Dimir stayed near the reading, but Grixis was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""UB"",""share"":0.037,""reason"":""House Dimir stayed close through transformative cost, calculated survival opening, volatile calculation.""},{""identity"":""GLINT"",""share"":0.037,""reason"":""Glint / Chaos stayed close through balanced convergence, balanced chord, transformative cost.""}]","[""Kess, Dissident Mage"",""Nekusar, the Mindrazer"",""Jeleva, Nephalia's Scourge""]","[""GRIXIS""]","[""ABZAN"",""BANT"",""BG"",""COLORLESS"",""DUNE""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
INK,"[""protected"",""public abundance"",""open knowledge"",""community benefit"",""shared resources"",""guarded commons"",""protected generosity"",""four-color"",""without Black"",""missing-Black"",""Red care"",""Green reciprocity"",""White civic promise"",""Blue open knowledge"",""commons"",""gift"",""capture""]",LOREHOLD,Nearest current numeric competitor LOREHOLD; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_many_currents"",""title"":""Many currents, one course""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_live_spark"",""title"":""The live spark""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_whole_covenant"",""title"":""Keep the whole covenant""},{""stage"":""hall"",""question_id"":""hall_INK_protected_abundance"",""answer_id"":""MISSING:hall_INK_protected_abundance#answer-1"",""title"":""Guard the commons""},{""stage"":""hall"",""question_id"":""hall_INK_missing_black"",""answer_id"":""MISSING:hall_INK_missing_black#answer-1"",""title"":""It resists private capture""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_INK_protected_abundance"",""hall:hall_INK_missing_black""]",INK,LOREHOLD,WG,0.746,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Ink / Altruism recognizes the shape of your game as The Commons Keeper. Your answers repeatedly expressed integrated covenant and protected public abundance. Lorehold College stayed near the reading, but Ink / Altruism was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""LOREHOLD"",""share"":0.03,""reason"":""Lorehold College stayed close through balanced convergence, felt ignition, integrated covenant.""},{""identity"":""WG"",""share"":0.016,""reason"":""Selesnya Conclave stayed close through balanced convergence, felt ignition, integrated covenant.""}]","[""Kynaios and Tiro of Meletis"",""Stalwart Unity (Precon)""]","[""INK""]","[""ABZAN"",""BANT"",""BG"",""BR"",""COLORLESS""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
JESKAI,"[""Jeskai Way"",""Blue-centered"",""cunning"",""discipline"",""training"",""martial practice"",""monastery"",""Narset"",""Shu Yun"",""Ojutai boundary"",""Dragonstorm revival"",""trained insight""]",LOREHOLD,Nearest current numeric competitor LOREHOLD; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_braided_witness"",""title"":""A braided witness""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_answerable_motion"",""title"":""Answerable motion""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_live_spark"",""title"":""The live spark""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_steward"",""title"":""Steward the change""},{""stage"":""hall"",""question_id"":""hall_JESKAI_disciplined_cunning"",""answer_id"":""MISSING:hall_JESKAI_disciplined_cunning#answer-1"",""title"":""Train until insight can move""},{""stage"":""hall"",""question_id"":""hall_JESKAI_way_form"",""answer_id"":""MISSING:hall_JESKAI_way_form#answer-1"",""title"":""Let form serve the moving insight""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_JESKAI_disciplined_cunning"",""hall:hall_JESKAI_way_form""]",JESKAI,LOREHOLD,INK,0.768,true,true,5,UNRESOLVED: guardrail is free text and has no executable predicate,"Jeskai Way recognizes the shape of your game as The Disciplined Cunning Adept. Your answers repeatedly expressed careful stewardship and Blue-centered cunning through disciplined action. Lorehold College stayed near the reading, but Jeskai Way was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""LOREHOLD"",""share"":0.028,""reason"":""Lorehold College stayed close through bounded action, felt ignition, careful stewardship.""},{""identity"":""INK"",""share"":0.022,""reason"":""Ink / Altruism stayed close through bounded action, felt ignition, careful stewardship.""}]","[""Jeskai Striker (Precon)"",""Narset, Enlightened Master"",""Elsha of the Infinite""]","[""JESKAI""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
JUND,"[""Jund"",""Alara"",""BRG"",""Red-centered"",""self-truth"",""gut instinct"",""emotion as guide"",""freedom with consequences"",""Black appetite"",""Green instinct""]",BR,Nearest current numeric competitor BR; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_self_claim"",""title"":""The claim no one can make for me""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_wild_release"",""title"":""A wild release""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_whole_chord"",""title"":""The whole chord""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_JUND_instinct_pressure"",""answer_id"":""MISSING:hall_JUND_instinct_pressure#answer-1"",""title"":""Trust the gut and move""},{""stage"":""hall"",""question_id"":""hall_JUND_appetite_consequence"",""answer_id"":""MISSING:hall_JUND_appetite_consequence#answer-1"",""title"":""Feed it and own the cost""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_JUND_instinct_pressure"",""hall:hall_JUND_appetite_consequence""]",JUND,BR,DUNE,0.689,true,true,5,UNRESOLVED: guardrail is free text and has no executable predicate,"Jund recognizes the shape of your game as The Instinctive Survivor. Your answers repeatedly expressed preserving duty and instinct under pressure. Cult of Rakdos stayed near the reading, but Jund was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""BR"",""share"":0.059,""reason"":""Cult of Rakdos stayed close through preserving duty, instinct under pressure, appetite with consequence.""},{""identity"":""DUNE"",""share"":0.033,""reason"":""Dune / Aggression stayed close through adaptive release, balanced chord, preserving duty.""}]","[""Prossh, Skyraider of Kher"",""Hearthhull, the Worldseed"",""Disa the Restless""]","[""JUND""]","[""ABZAN"",""BANT"",""BG"",""COLORLESS"",""DUNE""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
LOREHOLD,"[""history"",""archive"",""relic"",""evidence"",""field"",""past"",""archaeology"",""memory"",""lesson"",""ruins"",""research""]",W,Nearest current numeric competitor W; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_form"",""title"":""A form that can hold""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_live_spark"",""title"":""The live spark""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_LOREHOLD_history"",""answer_id"":""MISSING:hall_LOREHOLD_history#answer-1"",""title"":""Interrogate the past""},{""stage"":""hall"",""question_id"":""hall_JESKAI_disciplined_cunning"",""answer_id"":""MISSING:hall_JESKAI_disciplined_cunning#answer-4"",""title"":""Wait for the living signal""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_LOREHOLD_history"",""hall:hall_JESKAI_disciplined_cunning""]",LOREHOLD,W,INK,0.491,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Lorehold College recognizes the shape of your game as The Historical Field Investigator. Your answers repeatedly expressed felt ignition and preserving duty. White stayed near the reading, but Lorehold College was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""W"",""share"":0.135,""reason"":""White stayed close through ordered containment, felt ignition, preserving duty.""},{""identity"":""INK"",""share"":0.057,""reason"":""Ink / Altruism stayed close through ordered containment, felt ignition, preserving duty.""}]","[""Lorehold, the Historian"",""Velomachus Lorehold"",""Quintorius, History Chaser""]","[""LOREHOLD""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
MARDU,"[""Mardu Horde"",""Red-centered"",""speed"",""total commitment"",""war names"",""Edicts of Ilagra"",""Zurgo"",""Alesha"",""Kolaghan boundary"",""Dragonstorm Mardu"",""martial oath"",""Tarkir""]",YORE,Nearest current numeric competitor YORE; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_self_claim"",""title"":""The claim no one can make for me""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_many_currents"",""title"":""Many currents, one course""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_whole_chord"",""title"":""The whole chord""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_MARDU_total_commitment"",""answer_id"":""MISSING:hall_MARDU_total_commitment#answer-1"",""title"":""Take the opening now""},{""stage"":""hall"",""question_id"":""hall_MARDU_war_name_oath"",""answer_id"":""MISSING:hall_MARDU_war_name_oath#answer-1"",""title"":""Keep the war name""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_MARDU_total_commitment"",""hall:hall_MARDU_war_name_oath""]",MARDU,YORE,WR,0.749,true,true,4,UNRESOLVED: guardrail is free text and has no executable predicate,"Mardu Horde recognizes the shape of your game as The Oathbound Raider. Your answers repeatedly expressed preserving duty and Red-centered speed through coordinated attack. Yore / Artifice stayed near the reading, but Mardu Horde was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""YORE"",""share"":0.026,""reason"":""Yore / Artifice stayed close through balanced convergence, balanced chord, preserving duty.""},{""identity"":""WR"",""share"":0.022,""reason"":""Boros Legion stayed close through preserving duty, Red-centered speed through coordinated attack, war-name oath and martial structure.""}]","[""Mardu Surge (Precon)"",""Alesha, Who Smiles at Death"",""Zurgo Helmsmasher""]","[""MARDU""]","[""ABZAN"",""BANT"",""BG"",""COLORLESS"",""DUNE""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
NAYA,"[""Naya"",""Alara"",""RGW"",""Green-centered"",""life"",""nature"",""growth"",""ecosystem belonging"",""larger natural whole"",""White care"",""Red instinct""]",RG,Nearest current numeric competitor RG; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_wild_release"",""title"":""A wild release""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_live_spark"",""title"":""The live spark""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_NAYA_living_whole"",""answer_id"":""MISSING:hall_NAYA_living_whole#answer-1"",""title"":""Protect the living whole""},{""stage"":""hall"",""question_id"":""hall_NAYA_abundance_instinct"",""answer_id"":""MISSING:hall_NAYA_abundance_instinct#answer-1"",""title"":""When growth belongs""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_NAYA_living_whole"",""hall:hall_NAYA_abundance_instinct""]",NAYA,RG,LOREHOLD,0.845,true,true,6,UNRESOLVED: guardrail is free text and has no executable predicate,"Naya recognizes the shape of your game as The Living World Guardian. Your answers repeatedly expressed preserving duty and belonging through protective abundance. Gruul Clans stayed near the reading, but Naya was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""RG"",""share"":0.03,""reason"":""Gruul Clans stayed close through preserving duty, belonging through protective abundance, abundance held by belonging.""},{""identity"":""LOREHOLD"",""share"":0.021,""reason"":""Lorehold College stayed close through adaptive release, felt ignition, preserving duty.""}]","[""Pantlaza, Sun-Favored"",""Marath, Will of the Wild"",""Shalai and Hallar""]","[""NAYA""]","[""ABZAN"",""BANT"",""BG"",""BR"",""COLORLESS""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
PRISMARI,"[""expression"",""performance"",""art"",""emotion"",""elemental"",""creativity"",""dramatic"",""style"",""movement"",""spectacle""]",R,Nearest current numeric competitor R; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_personal_threshold"",""title"":""The threshold in the self""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_answerable_motion"",""title"":""Answerable motion""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_live_spark"",""title"":""The live spark""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_PRISMARI_expression"",""answer_id"":""MISSING:hall_PRISMARI_expression#answer-1"",""title"":""The unforgettable expression""},{""stage"":""hall"",""question_id"":""hall_TEMUR_survival_attunement"",""answer_id"":""MISSING:hall_TEMUR_survival_attunement#answer-4"",""title"":""Guard the living whole""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_PRISMARI_expression"",""hall:hall_TEMUR_survival_attunement""]",PRISMARI,R,GLINT,0.461,true,true,3,UNRESOLVED: guardrail is free text and has no executable predicate,"Prismari College recognizes the shape of your game as The Elemental Expressionist. Your answers repeatedly expressed felt ignition and transformative cost. Red stayed near the reading, but Prismari College was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""R"",""share"":0.056,""reason"":""Red stayed close through personal threshold, felt ignition.""},{""identity"":""GLINT"",""share"":0.044,""reason"":""Glint / Chaos stayed close through personal threshold, bounded action, transformative cost.""}]","[""Prismari Artistry (Precon)"",""Galazeth Prismari"",""Rootha, Mercurial Artist""]","[""PRISMARI""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
QUANDRIX,"[""pattern"",""proof"",""mathematics"",""abstraction"",""equation"",""structure"",""model"",""precision"",""theory"",""fractal""]",U,Nearest current numeric competitor U; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_answerable_motion"",""title"":""Answerable motion""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_measured_trace"",""title"":""The measured trace""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_QUANDRIX_pattern"",""answer_id"":""MISSING:hall_QUANDRIX_pattern#answer-1"",""title"":""The underlying pattern""},{""stage"":""hall"",""question_id"":""hall_SULTAI_resource_conversion"",""answer_id"":""MISSING:hall_SULTAI_resource_conversion#answer-4"",""title"":""Turn risk into performance""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_QUANDRIX_pattern"",""hall:hall_SULTAI_resource_conversion""]",QUANDRIX,U,UG,0.525,true,true,3,UNRESOLVED: guardrail is free text and has no executable predicate,"Quandrix College recognizes the shape of your game as The Pattern Theorist. Your answers repeatedly expressed measured inference and transformative cost. Blue stayed near the reading, but Quandrix College was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""U"",""share"":0.054,""reason"":""Blue stayed close through bounded action, measured inference, transformative cost.""},{""identity"":""UG"",""share"":0.048,""reason"":""Simic Combine stayed close through bounded action, measured inference, transformative cost.""}]","[""Quandrix Unlimited (Precon)"",""Tanazir Quandrix"",""Adrix and Nev, Twincasters""]","[""QUANDRIX""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
R,"[""freedom"",""emotion"",""action"",""passion"",""impulse"",""experience"",""speed""]",WR,Nearest current numeric competitor WR; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_self_claim"",""title"":""The claim no one can make for me""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_silent_axis"",""title"":""A silent axis""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_live_spark"",""title"":""The live spark""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_R_ignition"",""answer_id"":""MISSING:hall_R_ignition#answer-1"",""title"":""Move with the spark""},{""stage"":""hall"",""question_id"":""hall_R_freedom"",""answer_id"":""MISSING:hall_R_freedom#answer-1"",""title"":""Take the direct line""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_R_ignition"",""hall:hall_R_freedom""]",R,WR,LOREHOLD,0.862,true,true,5,UNRESOLVED: guardrail is free text and has no executable predicate,"Red recognizes the shape of your game as The Ignition Heart. Your answers repeatedly expressed preserving duty and emotion into action. Boros Legion stayed near the reading, but Red was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""WR"",""share"":0.028,""reason"":""Boros Legion stayed close through preserving duty, emotion into action, direct action.""},{""identity"":""LOREHOLD"",""share"":0.016,""reason"":""Lorehold College stayed close through self-authored agency, felt ignition, preserving duty.""}]","[""Torbran, Thane of Red Fell"",""Krenko, Mob Boss"",""Magda, Brazen Outlaw""]","[""R""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
RG,"[""loss"",""taken"",""dispossessed"",""wild"",""wilderness"",""civilization"",""institution"",""clan"",""survival"",""grievance"",""ruin"",""direct""]",QUANDRIX,Nearest current numeric competitor QUANDRIX; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_common_root"",""title"":""The common root""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_wild_release"",""title"":""A wild release""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_live_spark"",""title"":""The live spark""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_transform"",""title"":""Become the changed thing""},{""stage"":""hall"",""question_id"":""hall_RG_wild"",""answer_id"":""MISSING:hall_RG_wild#answer-1"",""title"":""Stop asking permission""},{""stage"":""hall"",""question_id"":""hall_G_growth"",""answer_id"":""MISSING:hall_G_growth#answer-5"",""title"":""Break the fence""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_RG_wild"",""hall:hall_G_growth""]",RG,QUANDRIX,UG,0.72,true,true,5,UNRESOLVED: guardrail is free text and has no executable predicate,"Gruul Clans recognizes the shape of your game as The Primal Liberator. Your answers repeatedly expressed transformative cost and undomesticated grievance. Quandrix College stayed near the reading, but Gruul Clans was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""QUANDRIX"",""share"":0.034,""reason"":""Quandrix College stayed close through communal continuity, adaptive release, transformative cost.""},{""identity"":""UG"",""share"":0.034,""reason"":""Simic Combine stayed close through communal continuity, adaptive release, transformative cost.""}]","[""Borborygmos Enraged"",""Ruric Thar, the Unbowed"",""Nikya of the Old Ways""]","[""RG""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
SILVERQUILL,"[""rhetoric"",""words"",""influence"",""reputation"",""eloquence"",""public"",""voice"",""persuasion"",""critique"",""status""]",B,Nearest current numeric competitor B; no explicit mixed/unknown response state exists.,"[{""stage"":""gate"",""question_id"":""gate_v2_locus_of_trust"",""answer_id"":""gate_v2_trust_self_claim"",""title"":""The claim no one can make for me""},{""stage"":""gate"",""question_id"":""gate_v2_pressure_becomes"",""answer_id"":""gate_v2_pressure_form"",""title"":""A form that can hold""},{""stage"":""gate"",""question_id"":""gate_v2_first_signal"",""answer_id"":""gate_v2_signal_cold_pattern"",""title"":""The cold pattern""},{""stage"":""gate"",""question_id"":""gate_v2_cost_of_oath"",""answer_id"":""gate_v2_oath_preserve"",""title"":""Preserve what must not break""},{""stage"":""hall"",""question_id"":""hall_SILVERQUILL_words"",""answer_id"":""MISSING:hall_SILVERQUILL_words#answer-1"",""title"":""Say the line that changes the room""},{""stage"":""hall"",""question_id"":""hall_ESPER_perfectibility"",""answer_id"":""MISSING:hall_ESPER_perfectibility#answer-4"",""title"":""Protect the living whole""}]","[""gate:gate_v2_locus_of_trust"",""gate:gate_v2_pressure_becomes"",""gate:gate_v2_first_signal"",""gate:gate_v2_cost_of_oath"",""hall:hall_SILVERQUILL_words"",""hall:hall_ESPER_perfectibility""]",SILVERQUILL,B,YORE,0.397,true,true,3,UNRESOLVED: guardrail is free text and has no executable predicate,"Silverquill College recognizes the shape of your game as The Rhetorical Status Shaper. Your answers repeatedly expressed calculated implication and preserving duty. Black stayed near the reading, but Silverquill College was the stronger match. This is a Vox Mana interpretive placement for a commander start, not an objective diagnosis or official canon.","[{""identity"":""B"",""share"":0.09,""reason"":""Black stayed close through self-authored agency, calculated implication, preserving duty.""},{""identity"":""YORE"",""share"":0.076,""reason"":""Yore / Artifice stayed close through ordered containment, calculated implication, preserving duty.""}]","[""Silverquill Influence (Precon)""]","[""SILVERQUILL""]","[""ABZAN"",""B"",""BANT"",""BG"",""BR""]",EXACT-PRIMARY,Synthetic target-seeking profile probe derived from certified placement-axis metadata and existing answers; not an empirical player profile or proof of semantic distinctiveness.
