identity,raw_identity_id,claim_id,statement,semantic_role,canon_status,confidence,source_ids,source_types,evidence_locations,evidence_classification,public_claim_suitability,live_scoring_link
ABZAN,abzan,abzan_claim_0011,"The official Tarkir: Dragonstorm Commander Decklists page verifies Abzan Armor as a White; Black; Green Commander deck with Felothar the Steadfast as face commander and Betor, Ancestor's Voice as featured commander.",support_record,Support-only product row,High,"[""src_wotc_tarkir_dragonstorm_commander_decklists_20250325""]","[""Official Commander product decklist""]","[{""source_id"":""src_wotc_tarkir_dragonstorm_commander_decklists_20250325"",""locator"":""docs/research/VM-378-379-380_source-intake.md#L1-L120"",""note"":""The official decklist verifies Abzan Armor product facts only and does not prove Tarkir canon or placement semantics."",""locator_type"":""line_range"",""bounded_paraphrase"":""The official decklist verifies Abzan Armor product facts only and does not prove Tarkir canon or placement semantics."",""evidence_scope"":""commander-product-support"",""interpretation_level"":""direct-or-bounded-interpretation""}]",Officially supported within the raw identity corpus,Potentially suitable when scope matches the cited evidence,None: live answer likelihoods do not reference claim IDs.
B,black,black_claim_0001,"Black is promoted from transitional mono status only through this source-intake bundle, claim ledger, raw profile, raw placement packet, and generated QA; identity-layer or runtime text alone is not evidence.",support_record,Vox Mana governance,High,"[""VM-377""]","[""project_governance""]",[],Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
B,black,black_claim_0002,Black seeks power and opportunity as the practical means to control its own life and secure happiness in a harsh world.,substantive_claim,"Official color philosophy, paraphrased",High,"[""MONO-B-2015"",""MONO-B-2025""]","[""philosophy_backbone"",""current_voice_update""]","[{""source_id"":""MONO-B-2015"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/12_black.md#B2015-Q1;B2015-Q1b"",""bounded_paraphrase"":""The 2015 official Black article frames Black around power, control over its life and happiness, and self-advocacy in a world that will not provide those outcomes by default."",""evidence_scope"":""canonical identity"",""interpretation_level"":""direct-source-support""},{""source_id"":""MONO-B-2025"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/12_black.md#B2025-a;B2025-e"",""bounded_paraphrase"":""The 2025 Black voice keeps opportunity, thriving, harsh-world realism, and being one's own champion at the center rather than villainy or aesthetics."",""evidence_scope"":""canonical identity"",""interpretation_level"":""direct-source-support""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
B,black,black_claim_0003,"Black's means are opportunity-seizing, self-interest, calculated ruthlessness, and willingness to use tools other colors reject when the price is worth paying.",substantive_claim,"Official color philosophy, paraphrased",High,"[""MONO-B-2015"",""MONO-B-2025""]","[""philosophy_backbone"",""current_voice_update""]","[{""source_id"":""MONO-B-2015"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/12_black.md#B2015-Q2"",""bounded_paraphrase"":""The 2015 article identifies Black's means as seeing opportunities, refusing outside restrictions and taboos, accepting costs, and putting itself first when pursuing success."",""evidence_scope"":""preferred method"",""interpretation_level"":""direct-source-support""},{""source_id"":""MONO-B-2025"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/12_black.md#B2025-b;B2025-c;B2025-d"",""bounded_paraphrase"":""The 2025 Black voice defends self-interest, distinguishes selfishness from lack of care for loved ones, and bounds ruthlessness as calculated rather than reckless."",""evidence_scope"":""preferred method"",""interpretation_level"":""direct-source-support""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
B,black,black_claim_0004,"Black's thematic center includes death, fear, pain, decay, disease, corruption, manipulation, sacrifice, individualism, and resource conversion; it distrusts self-denial for others' sake.",substantive_claim,"Official color philosophy, paraphrased",High,"[""MONO-B-2015"",""MONO-B-2025""]","[""philosophy_backbone"",""current_voice_update""]","[{""source_id"":""MONO-B-2015"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/12_black.md#B2015-Q3;B2015-Q4"",""bounded_paraphrase"":""The 2015 article bounds Black's thematic material to death, fear, pain, decay, disease, corruption, darkness, manipulation, sacrifice, and individualism, while naming self-denial for others' sake as a core pressure point."",""evidence_scope"":""thematic boundary"",""interpretation_level"":""direct-source-support""},{""source_id"":""MONO-B-2025"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/12_black.md#B2025-b;B2025-d"",""bounded_paraphrase"":""The 2025 Black voice bounds selfishness and ruthlessness around opportunity, merit, and calculated action, preventing high-heat theme words from becoming generic cruelty proof."",""evidence_scope"":""thematic boundary"",""interpretation_level"":""direct-source-support""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
B,black,black_claim_0005,"Black is allied with Blue through planning, knowledge, and emotional detachment and with Red through action, self-interest, and destruction; it opposes White's group morality and Green's destiny/natural order.",substantive_claim,"Official color philosophy, paraphrased",High,"[""MONO-B-2015"",""MONO-B-2025""]","[""philosophy_backbone"",""current_voice_update""]","[{""source_id"":""MONO-B-2015"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/12_black.md#B2015-Q5;B2015-Q5b"",""bounded_paraphrase"":""The 2015 article defines Black's allied and enemy relationships through Blue planning/knowledge, Red action/self-interest, White group morality, and Green destiny or natural order."",""evidence_scope"":""required-neighbor boundary"",""interpretation_level"":""direct-source-support""},{""source_id"":""MONO-B-2025"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/12_black.md#B2025-f;B2025-g;B2025-h;B2025-i"",""bounded_paraphrase"":""The 2025 Black voice distinguishes Blue knowledge for knowledge's sake, Red impulse, White altruism, and Green destiny from Black's own power, opportunity, and self-advocacy framing."",""evidence_scope"":""required-neighbor boundary"",""interpretation_level"":""direct-source-support""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
B,black,black_claim_0006,Black's strength is its willingness to do what is needed and exploit overlooked opportunities; its weakness is that the same risk-taking and taboo-breaking can backfire.,substantive_claim,"Official color philosophy, paraphrased",High,"[""MONO-B-2015"",""MONO-B-2025""]","[""philosophy_backbone"",""current_voice_update""]","[{""source_id"":""MONO-B-2015"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/12_black.md#B2015-Q6"",""bounded_paraphrase"":""The 2015 article names Black's strength as willingness to do what is needed and its weakness as the possibility that risk, taboo-breaking, and dangerous tools can rebound."",""evidence_scope"":""pressure behavior"",""interpretation_level"":""direct-source-support""},{""source_id"":""MONO-B-2025"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/12_black.md#B2025-j"",""bounded_paraphrase"":""The 2025 Black voice repeats overlooked opportunities and personal drive as strengths while identifying unwillingness to let go of sunk-cost choices as weakness."",""evidence_scope"":""pressure behavior"",""interpretation_level"":""direct-source-support""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
B,black,black_claim_0007,"Black's mechanical texture includes unconditional creature destruction, discard, sacrifice, reanimation, graveyard use, life as a cost, drain, deathtouch, menace, and card draw paid for with resources.",substantive_claim,"Official mechanical color pie snapshot, paraphrased",Medium-High,"[""MECH-CP-2021"",""MECH-CP-2021-CHG""]","[""mechanical_authority"",""mechanical_change_log""]","[{""source_id"":""MECH-CP-2021"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/20_mechanical_color_pie_2021.md#MECH-removal;MECH-carddraw;MECH-discard-effect"",""bounded_paraphrase"":""The mechanical color pie digest bounds Black's mechanical texture around primary creature removal, resource-paid card draw, discard, sacrifice, recursion, life payment, drain, deathtouch, menace, and related mechanical expressions."",""evidence_scope"":""mechanic-specific"",""interpretation_level"":""direct-source-support""},{""source_id"":""MECH-CP-2021-CHG"",""locator_type"":""local-digest-anchor"",""locator"":""docs/research/mono_upgrade/21_mechanical_color_pie_2021_changes.md#CHG-cantblock;CHG-discard-cost"",""bounded_paraphrase"":""The change digest narrows dated mechanic updates such as cannot-block movement and discard-as-cost boundaries without turning mechanics into Black's whole philosophy."",""evidence_scope"":""mechanic-specific"",""interpretation_level"":""direct-source-support""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
B,black,black_claim_0008,"The three native mono-black Commander support rows in this packet were verified through current Scryfall exact-name checks on 2026-06-13 for name, mono-B color identity, legendary creature type line, and Commander legality; they remain support/navigation rows rather than color philosophy or profile-axis evidence.",support_record,Rules and Vox Mana boundary,"High for current Scryfall support status; not evidence for popularity, price, metagame, deck quality, philosophy, or profile axes","[""RULES-CR"",""VM-377"",""SCRYFALL-B-2026-06-13""]","[""commander_rules_boundary"",""project_governance"",""current_card_legality_verification""]",[],Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
BANT,bant,bant_claim_0001,Bant is one of the five shards of Alara.,substantive_claim,Canon-supported,High,"[""src_wotc_rosewater_bant_20081006"",""src_vm_bant_evidence_ledger_20260528""]","[""Official Wizards design article capture"",""Curated evidence ledger""]","[{""source_id"":""src_wotc_rosewater_bant_20081006"",""locator_type"":""archived-web-section"",""locator"":""docs/research/canon/mark_rosewater_official_three_color/Bant_Peace, Love and Understanding _ MAGIC_ THE GATHERING.md#bant-shard-frame"",""bounded_paraphrase"":""Official design commentary frames Bant as one of Alara shards in a color-defined shard cycle."",""evidence_scope"":""official_design_commentary"",""interpretation_level"":""direct""},{""source_id"":""src_vm_bant_evidence_ledger_20260528"",""locator_type"":""local-file-section"",""locator"":""docs/research/bant/bant-evidence-ledger.md#bant-shard-frame"",""bounded_paraphrase"":""The local Bant evidence ledger preserves Bant as the WUG Alara shard without making the plane page a semantic proof source."",""evidence_scope"":""identity_evidence_summary"",""interpretation_level"":""bounded_synthesis""}]",Internal synthesis or editorial interpretation grounded in cited sources,Requires editorial qualification and an explicit Commander-behavior interpretive bridge,None: live answer likelihoods do not reference claim IDs.
