defect_id,category,severity,implementation_effort,affected_route_or_identity,source_file,runtime_evidence,reproduction,expected_behavior,actual_behavior,evidence_classification,recommended_requirement,implementation_dependency,blocks_trustworthy_placement
VM551-D017,copy-generation,High,Large,All result copy,assets/js/commander-dossier.js,"Answer deltas are expanded into motivation deck and table-perception prose without per-claim entailment records.","Trace buildCommanderDossier buildReadingOmens and play-pattern summary from evidence trail.","Public claims are limited to what selected answers plus reviewed identity evidence entail.","One inferred signal can produce broader personality and Commander claims.",Observed code and corpus,REQ-COPY-001 claim contracts with entailment/qualification,Claim registry and templates,yes
VM551-D018,copy-generation,Medium,Medium,All decrees,docs/audits/vm551-placement-system/copy-comparison-pairs.csv,"609 of 666 identity pairs exceed 0.65 token Jaccard after identity-name normalization for decree copy; no normalized exact duplicates.","Run audit generator and inspect pair corpus.","Shared structure remains concise while identity-specific evidence and boundaries dominate explanation.","Decrees are distinct in detail but highly template-shaped.",Systematic 37-identity corpus comparison,REQ-COPY-002 identity-specific explanation threshold,Copy contract and review corpus,no
VM551-D019,copy-generation,Medium,Small,Adjacent result,assets/js/commander-dossier.js,"Runtime text says with a emerging signal.","Open a weak adjacent view.","Grammar is generated from an article-aware phrase contract.","Malformed article is rendered.",Observed runtime,REQ-COPY-003 grammar-safe confidence fragments,Template tests,no
VM551-D020,evidence,High,Large,All public interpretations,docs/audits/vm551-placement-system/claim-evidence-register.csv,"868 raw claims exist but 356 live answer claims have no source links or interpretive bridge.","Compare raw claim rows with live-answer rows.","Lore and official facts are separated from Commander behavior hypotheses.","Live mappings silently bridge abstract/lore/philosophy language to behavior.",Claim/source reconciliation,REQ-EVID-002 explicit interpretive bridges and public suitability,Editorial review and evidence contracts,yes
VM551-D021,recommendations,High,Large,All results,assets/js/commander-dossier.js,"Commander candidates come from curated identity records and precons from color/taxonomy/profile scoring rather than selected-answer contracts.","Trace collectCommanderPreviewCandidates and buildPreconRecommendations.","Recommendations state whether they reflect legality mechanics strategy popularity or editorial exploration.","Recommendations can look personalized by placement while only identity/color/tag aligned.",Observed code/data,REQ-REC-001 recommendation rationale/source contract,Recommendation data and UI labels,yes
VM551-D022,recommendations,Medium,Medium,Stretch precons,assets/js/commander-dossier.js,"One-extra-color precons are allowed as stretch while copy can imply the identity remains intact.","Inspect isStretchPreconMatch and generated fit summaries.","Extra-color exploration is explicitly labeled as compatibility-expanding and not exact identity proof.","Stretch framing can overstate exactness.",Observed code and generated corpus,REQ-REC-002 exact versus stretch disclosure,Recommendation templates,no
VM551-D023,persistence,High,Medium,Legacy or incomplete results,assets/js/shared.js,"Missing confidence is normalized to 0.66; legacy rows receive 0.6.","Inspect normalizePlacementResult and legacy row adapter.","Unknown confidence remains unknown.","Compatibility code fabricates numerical certainty.",Observed code,REQ-CONF-003 preserve unknown confidence,Migration and UI compatibility,yes
VM551-D024,state,Medium,Medium,Partial quick reading,assets/js/index.js,"Browser audit: after one answer and refresh the route returned to landing with no partial state.","Start clean reading select one answer refresh.","Partial state restores or warns before loss.","Progress disappears silently.",Observed runtime,REQ-STATE-001 versioned partial-session contract,Persistence and UX,no
VM551-D025,state,Medium,Medium,Clean direct result URL,assets/js/index.js,"Fresh-origin ?view=WUBRG&panel=placement opened landing rather than a result.","Navigate directly without cached/saved result.","Deep-link semantics are documented and invalid result references are explained.","Result-looking query silently falls back to landing.",Observed runtime,REQ-STATE-002 validated result-reference/deep-link contract,Routing and persistence,no
VM551-D026,rendering,Medium,Medium,All dossier views,archscry/index.html,"Result-specific title social metadata and canonical remain generic /archscry/ while SPA state changes.","Complete a result and inspect document metadata.","Metadata accurately describes shareable surface and does not imply a resolvable identity result URL.","Generic metadata persists for result state.",Observed runtime,REQ-UI-001 metadata/deep-link alignment,Routing/product decision,no
VM551-D027,accessibility,Medium,Medium,View All dossier,assets/js/index.js,"View All exposed only the dossier H2 and active identity H3 as semantic headings; major section labels are generic elements.","Open View All and inspect visible heading hierarchy.","All major dossier sections have navigable semantic headings.","Long all-section page lacks heading hierarchy.",Observed runtime,REQ-UI-002 accessible dossier heading structure,Rendering templates,no
VM551-D028,rendering,Low,Small,Mobile dossier,assets/css/archscry.css,"Mobile tab rail extends beyond viewport inside a horizontal container but page-wide overflow is absent.","Inspect 390x844 result; later tabs sit outside initial viewport.","Scrollable tab affordance is discoverable and keyboard reachable.","Tabs are scroll-contained but offscreen affordance is subtle.",Observed runtime,REQ-UI-003 mobile tab affordance test,Presentation testing,no
VM551-D029,data-pipeline,High,Large,Source/generated boundaries,research/build-faction-artifacts.mjs,"Multiple authorities require builder synchronization; no per-answer source hash or model input manifest is exposed in result.","Trace raw records Gate source QUESTION_BANK generated model and result serializer.","Build is reproducible from versioned canonical inputs with hashes and provenance locators.","A result names model version but not exact inputs/evidence contracts.",Observed pipeline,REQ-DATA-003 reproducible manifest and result provenance,Builder and serialization,yes
VM551-D030,testing,High,Large,Full placement system,assets/js/quick-reading-tests.js,"Golden paths and regressions exist but no empirical calibration corpus or CECOS claim-entailment gate exists.","Review placement tests against decision/evidence contracts.","Tests cover bias ties contradiction instability calibration adjacency and public claims.","Regression success can coexist with untrustworthy semantics.",Test inventory,REQ-TEST-002 contract and calibration test suite,All repair contracts,yes
VM551-D031,data-pipeline,High,Medium,Jund commander recommendation,data/scryfall/indexes/commander-index.json,"Hearthhull the Worldseed is recommended but absent from the May 2026 Commander index; official release notes state a Spacecraft with printed power/toughness can be a commander.","Compare Jund corpus candidate with local Commander index and Wizards Edge of Eternities release notes.","Commander index covers all current nonstandard commander-enabling rules used by recommendations and records exact legality evidence.","Practical-candidate detection misses this legal noncreature Spacecraft and explicitly disclaims perfect legality solving.",Repository data plus current official rules source,REQ-DATA-004 complete legality resolver or explicit unresolved status,Scryfall refresh and Commander-rules validation,yes
VM551-D032,data-pipeline,High,Medium,All recovered semantic provenance,data/semantic-readiness-provenance.json,"npm run test:semantic-readiness reports semantic-readiness-provenance.json is stale at the exact clean base.","Run npm.cmd run test:semantic-readiness.","Committed semantic provenance reconciles with canonical records and builder output.","The check fails before any VM-551 production change.",Existing repository validation failure,REQ-DATA-006 source/generated reconciliation must pass,Semantic provenance owner review,yes
VM551-D033,testing,Medium,Small,Archscry visual regression,scripts/visual-regression-archscry.mjs,"Compare mode reports all 17 Archscry baseline artifacts missing.","Install lockfile dependencies and run npm.cmd run test:visual:archscry.","A clean checkout can compare current rendering to reviewed baselines.","Compare mode cannot run without first creating unreviewed baselines.",Existing repository validation failure,REQ-TEST-007 committed reviewed rendering baselines,Visual baseline owner review,no
VM551-D034,testing,Medium,Medium,Aggregate repository test,research/archscry-dossier-followup-tests.js,"npm test reaches dossier follow-up tests then fails because data/scryfall/raw/oracle-cards.json is absent from the clean checkout.","Install lockfile dependencies and run npm.cmd test.","Standard validation is self-contained or declares and verifies an explicit fixture prerequisite.","The aggregate suite depends on an unavailable raw bulk corpus.",Existing repository validation failure,REQ-TEST-008 clean-checkout fixture/precondition contract,Scryfall fixture or documented fetch gate,no
