field_or_family,canonical_writer,additional_writers,computation_source,semantic_role,serialized_location,normalizers,cache_consumers,saved_profile_consumers,legacy_consumers,ranking_consumers,stopping_consumers,dossier_consumers,presentation_consumers,graph_or_matrix_consumers,recommendation_consumers,deck_link_consumers,adjacent_view_consumers,maze_handoff_consumers,test_consumers,gate_a_public_treatment,gate_a_internal_treatment,compatibility_rule,migration_required,evidence_paths,unresolved_consumer_risk,compatibility_disposition
adjacent_matches,assets/js/adaptive-placement.js:buildAdaptivePlacementResult,assets/js/shared.js:normalizePlacementResult fallback,top_matches ranks two and three copied without relationship contract,Legacy-named numeric alternatives,placement_result.adjacent_matches|vm_last_result|vm_pending_result,assets/js/shared.js:normalizePlacementResult,vm_last_result,placement_result,legacy may derive from top_matches,None,None,commander-dossier adjacentFits and adjacent reason,adjacent cards and result copy,None,alternative dossier context,None,index.js switchAdjacentView,placementResult copied into Maze handoff,quick-reading adjacent navigation tests,Do not call numeric runners-up adjacency; call bounded alternatives or omit,Preserve field and array shape for existing consumers,PRESERVE-INTERNAL-HIDE-PUBLICLY,No,assets/js/adaptive-placement.js:632-649|assets/js/shared.js:194-250|assets/js/commander-dossier.js:2448-2480|2779-2820|assets/js/index.js:2888-2920|3203-3230,UNRESOLVED: URL view keys may reach identities outside serialized alternatives,PRESERVE-INTERNAL-HIDE-PUBLICLY
primary_identity_id_name,assets/js/adaptive-placement.js:buildAdaptivePlacementResult,assets/js/shared.js legacy profile normalization,Top-ranked faction key/name plus identity object,Primary placement identity and route/view anchor,faction|faction_name|identity inside placement_result cache profile and handoff,assets/js/shared.js:normalizePlacementResult,vm_last_result,profiles.guild|guild_name|placement_result,legacy guild/guild_name fallback,ranking selects writer input,None,commander-dossier primaryFaction and target,all primary dossier/result surfaces,authored radar selects active identity,recommendations and package links,deck-link placement_key/name,adjacent view retains original primary,fit/guild/view and placementResult in Maze handoff,placement route dossier deck-link Maze tests,Keep primary wording bounded by additive state,Preserve identifiers names and object shape,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:632-649|assets/js/shared.js:194-280|assets/js/index.js:2730-2820|assets/js/deck-link-service.js:79-121,UNRESOLVED: aliases accepted by direct URLs remain broader than result schema,PRESERVE-UNCHANGED
result_status,No serialized canonical writer; commander-dossier.js currently derives prose resultStatus,Future additive Gate A result-state writer only,Future bounded state derived from existing response/result evidence,Explicit bounded public state independent of numeric internals,Absent from current placement_result; dossier.resultStatus is derived prose,Future backward-compatible normalizer,None,None,Legacy absence must normalize unknown/incomplete without certainty,None,None,commander-dossier resultStatus,public result renderers,None,may gate recommendation language,None,alternative_state may govern adjacent view,Maze handoff may carry additive state with full result,future state-contract tests,Prefer additive primary tied close mixed contradictory insufficient unknown invalid incomplete state,Do not replace existing fields; preserve missing as unknown,ADDITIVE-EXTENSION,Yes: additive field/version only,assets/js/commander-dossier.js:3043-3058|docs/audits/vm551-placement-system/downstream-compatibility-contract.md,UNRESOLVED: exact field names and ownership require later authorized planning,ADDITIVE-EXTENSION
evidence_trail,assets/js/adaptive-placement.js:applyAdaptiveAnswer|buildAdaptivePlacementResult,assets/js/shared.js normalizes absent to empty,Question prompt signal and per-identity deltas,Explanation and replay evidence trail,placement_result.evidence_trail|vm_last_result|vm_pending_result|Maze placementResult,assets/js/shared.js:normalizePlacementResult,vm_last_result,placement_result,legacy absence becomes empty,None,None,commander-dossier reading omens and signal copy,explanation surfaces,None,recommendation context indirectly,None,alternative reason selection,placementResult copied into Maze handoff,quick-reading dossier trace tests,Use only demonstrated observations and qualified claims,Preserve trail field and entries,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:222-240|632-649|assets/js/shared.js:194-226|assets/js/commander-dossier.js:2059-2135|2493-2535,UNRESOLVED: prompts and free-text reasons are not stable controlled-signal IDs,PRESERVE-UNCHANGED
stage_trail,assets/js/adaptive-placement.js:applyAdaptiveAnswer|buildAdaptivePlacementResult,assets/js/shared.js normalizes absent to empty,Stage question_id answer_index answer_title and signal,Questionnaire traversal record,placement_result.stage_history|vm_last_result|vm_pending_result|Maze placementResult,assets/js/shared.js:normalizePlacementResult,vm_last_result,placement_result,legacy absence becomes empty,None,None,available in dossier result payload but no direct display found,No direct committed reader found,None,None,None,None,placementResult copied into Maze handoff,adaptive replay and audit generator tests,Do not use as public certainty,Preserve field and entries,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:222-240|632-649|assets/js/shared.js:194-226,UNRESOLVED: dynamic/remote consumers may inspect stage_history,PRESERVE-UNCHANGED
selected_answers,assets/js/index.js quick-reading selection flow|adaptive simulation helpers,replayAdaptiveSelections and audit generators,Transient question object answer object and answerIndex selections,Replay and audit-only path reconstruction,Not serialized in placement_result as a standalone field,None,None,None,None,replayAdaptiveSelections,selection order affects stopping,explanation survives only through trails,question UI,None,None,None,None,None,audit and adaptive tests,Do not infer more than the selected option,Preserve current transient behavior; no Gate A schema addition required,VERSIONED-MIGRATION-LATER,Yes if later persisted,assets/js/adaptive-placement.js:471-486|668-823|assets/js/index.js:900-1065,UNRESOLVED: full transient selection ownership is distributed across UI and simulations,VERSIONED-MIGRATION-LATER
question_ids,placement model question records|adaptive state,applyAdaptiveAnswer,Authored question.id appended to asked_question_ids and trails,Traversal identity and evidence locator,question_id in evidence_trail and stage_history; asked_question_ids remains state only,shared.js preserves trails,through placement result trails,through placement_result,legacy may omit,None,selection uses asked IDs,dossier consumes evidence trail,indirect explanation,None,None,None,None,Maze receives trails with result,audit placement and quick-reading tests,May support observation trace; not certainty,Preserve existing IDs and locations,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:55-61|222-240|632-649,UNRESOLVED: no result-level asked_question_ids field exists,PRESERVE-UNCHANGED
answer_ids,data/placement-model.json Gate answers only,research builder; Hall/Crucible use array positions,20 authored Gate IDs; 336 answers lack stable IDs,Potential stable answer provenance key,Not serialized; stage_history stores answer_index/title/signal,None,None,None,None,None,None,None,None,None,None,None,None,None,audit generator and matrices,Do not imply stable provenance where absent,Keep current fields; stable-ID migration belongs to Gate B1/VERSIONED later,VERSIONED-MIGRATION-LATER,Yes in Gate B1 only,data/placement-model.json|assets/js/adaptive-placement.js:224-239|docs/audits/vm551-placement-system/question-to-signal-matrix.csv,UNRESOLVED: missing Hall/Crucible IDs are an audited correctness defect not Gate A work,VERSIONED-MIGRATION-LATER
model_version,assets/js/adaptive-placement.js:createInitialAdaptiveState|buildAdaptivePlacementResult,model _meta,Generated placement model version,Identifies scoring model used,placement_result.model_version|vm_last_result|vm_pending_result|dossier.sourceModelVersion|Maze placementResult,assets/js/shared.js accepts placement_model_version alias,vm_last_result,placement_result,legacy may be null,None,None,commander-dossier sourceModelVersion,indirect metadata,None,None,None,None,placementResult copied into Maze handoff,placement and dossier tests,Display only as provenance if needed,Preserve exact historical value and field,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:1|45-61|632-649|assets/js/shared.js:194-226|assets/js/commander-dossier.js:3071-3073,UNRESOLVED: external interview model versions may differ,PRESERVE-UNCHANGED
result_schema_version,assets/js/adaptive-placement.js:RESULT_VERSION|buildAdaptivePlacementResult,assets/js/shared.js:VM_RESULT_VERSION fallback,Date-like result contract version in field version,Identifies serialized result shape,placement_result.version|vm_last_result|vm_pending_result|Maze placementResult,assets/js/shared.js:normalizePlacementResult,vm_last_result,placement_result,legacy receives current fallback,None,None,dossier carries full result,indirect metadata,None,None,None,None,placementResult copied into Maze handoff,normalization persistence tests,Do not silently relabel historical readings,Preserve field and original value; additive compatibility version may supplement,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:1|594-649|assets/js/shared.js:194-226,UNRESOLVED: fallback version assignment may already blur legacy provenance,PRESERVE-UNCHANGED
source_evidence_version,No current placement-result writer,identity/model manifests outside result,Source and claim authority versions are not serialized into the current result,Future provenance field,Absent from placement_result,None,None,None,Legacy absent,None,None,None,None,None,None,None,None,None,audit validation only,Do not fabricate provenance,Add only in later versioned migration after source contract review,VERSIONED-MIGRATION-LATER,Yes,data/placement-model.json _meta|docs/audits/vm551-placement-system/audit-input-manifest.json,UNRESOLVED: exact source/evidence version contract does not exist,VERSIONED-MIGRATION-LATER
source_mode,assets/js/adaptive-placement.js:buildAdaptivePlacementResult,assets/js/shared.js legacy fallback,quick for adaptive result; legacy fallback otherwise,Result origin discriminator,placement_result.source_mode|vm_last_result|vm_pending_result|Maze placementResult,assets/js/shared.js:normalizePlacementResult,vm_last_result,placement_result,defaults legacy,None,None,available through dossier result,No direct committed display found,None,None,None,None,placementResult copied into Maze handoff,normalization tests,May qualify limitations; do not infer accuracy,Preserve field values and fallback behavior except fabricated certainty,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:632-649|assets/js/shared.js:194-280,UNRESOLVED: interview result source_mode values are not locally constrained,PRESERVE-UNCHANGED
adaptive_stopping_inputs,assets/js/adaptive-placement.js:createInitialAdaptiveState|applyAdaptiveAnswer,rankAdaptiveFactions,stage_counts asked_question_ids pruned scores and softmax gap,Controls Gate/Hall/Crucible selection and completion,Adaptive state only; evidence/stage subsets serialized,None,None,None,None,rankAdaptiveFactions,selectNextAdaptiveQuestion|needsCrucible|shouldFinishAdaptiveReading,None,progress UI reads stage_counts,None,None,None,None,None,adaptive placement tests,Do not expose as confidence,Preserve current internal values and behavior,PRESERVE-UNCHANGED,No,assets/js/adaptive-placement.js:45-61|205-235|333-465|assets/js/index.js:969,UNRESOLVED: state is in-memory and lost on refresh,PRESERVE-UNCHANGED
session_cache,assets/js/shared.js:vm_cachePlacementResult,adaptive/index/shared result writers,Clone of full placement result,Refresh and OAuth compatibility cache,sessionStorage vm_last_result,assets/js/shared.js:normalizePlacementResult,assets/js/shared.js|assets/js/index.js,indirect source for later profile save,legacy result can be cached,None,None,full dossier restore,full result restore,indirect,full recommendations,deck-link save reads active/cached result,adjacent view restores full result,Archscry handoff may fall back to cache,cache and browser tests,Prefer additive states when present; no fabricated defaults,Preserve key full shape and round-trip,PRESERVE-UNCHANGED,No,assets/js/shared.js:44-85|286-300|assets/js/index.js:1898|3676-3713,UNRESOLVED: sessionStorage availability failures are swallowed,PRESERVE-UNCHANGED
profile_persistence,assets/js/shared.js:vm_savePlacementResult,Supabase profiles row,Normalized result plus legacy columns guild runner_up confidence scores and placement_result,Signed-in saved placement and cross-session restore,profiles row and placement_result JSON,assets/js/shared.js:syncSessionState|normalizePlacementResult,cache after load/save,profiles table,legacy guild/scores columns,None,None,restored dossier,restored result,indirect,restored recommendations,restored deck-link context,restored alternatives,Maze handoff from restored result,persistence and browser tests,Hide numeric confidence publicly; keep unknown null,Preserve columns and JSON shape in Gate A,PRESERVE-UNCHANGED,No,assets/js/shared.js:302-330|484-613|652-680|docs/supabase-profile-update.sql,UNRESOLVED: deployed database consumers and policies are not fully enumerable locally,PRESERVE-UNCHANGED
saved_reading,assets/js/shared.js:vm_savePlacementResult|syncSessionState,OAuth pending-save completion,Full normalized placement result,User-saved reading restored to Archscry,profile placement_result and legacy columns,assets/js/shared.js:normalizePlacementResult,vm_last_result,profiles row,makeLegacyPlacementResult,None,None,commander dossier,primary render,radar through identity and result,recommendations,deck-link context,adjacent view,Maze handoff,saved result/browser tests,New public states additive; old fields remain,Preserve old readings and original versions,PRESERVE-UNCHANGED,No,assets/js/shared.js:302-330|484-613|assets/js/index.js:3676-3713,UNRESOLVED: historical deployed record variants are not exhaustively fixture-backed,PRESERVE-UNCHANGED
legacy_result_normalization,assets/js/shared.js:normalizePlacementResult|makeLegacyPlacementResult,profile legacy guild and scores columns,Fills a current-shaped result from partial historical data,Backward compatibility for saved/profile readings,normalized in memory then optionally cached; original profile remains,assets/js/shared.js:normalizePlacementResult|normalizeMatch,vm_last_result,profiles row,primary consumer,None,None,dossier restore,result restore,radar may use identity fallback,recommendations from restored faction,deck-link metadata from restored faction,adjacent absent or derived,Maze handoff may receive normalized legacy result,normalization and persistence tests,Missing confidence is unknown; no fabricated 0.66/0.6,Preserve field names and safe fallbacks; do not mutate original historical record,PRESERVE-INTERNAL-HIDE-PUBLICLY,No,assets/js/shared.js:160-300,UNRESOLVED: all historical shapes are not enumerated,PRESERVE-INTERNAL-HIDE-PUBLICLY
oauth_return_state,assets/js/shared.js:vm_saveWithGoogle|vm_checkPendingSave,sessionStorage helpers,Normalized full result stashed before redirect and saved after return,OAuth continuity,sessionStorage vm_pending_result then profiles placement_result,normalizePlacementResult before stash and save,vm_last_result,profiles after return,legacy normalized input possible,None,None,restored dossier,restored render,radar restore,recommendations restore,deck-link after restore,adjacent restore,Maze handoff after restore,OAuth/browser tests,No public numeric certainty on return,Preserve storage keys shape and round-trip,PRESERVE-UNCHANGED,No,assets/js/shared.js:554-622,UNRESOLVED: provider redirect behavior is external but payload is local sessionStorage,PRESERVE-UNCHANGED
recommendation_context,assets/js/commander-dossier.js:buildCommanderDossier,assets/js/index.js precon/tag selectors,Primary/active identity starter profile tags taxonomy and faction records,Commander/precon/exploration recommendations,dossier object and rendered HTML; not a placement_result field,buildCommanderDossier,restored result rebuilds context,restored result rebuilds context,legacy primary faction can rebuild,None,None,dossier commander lanes,recommendation cards,None,primary consumer,None,active adjacent faction changes context,Maze package paths derive from context,recommendation dossier tests,Qualify as exploration not proof,Preserve result inputs and consumer shapes,PRESERVE-UNCHANGED,No,assets/js/commander-dossier.js:2984-3166|assets/js/index.js:2766-2830,UNRESOLVED: optional datasets change completeness without altering result shape,PRESERVE-UNCHANGED
deck_link_context,assets/js/deck-link-service.js:placementMetadataFromResult|buildDeckLinkPayload,assets/js/index.js active result resolution,Primary faction/name/color identity reduced from full result,Metadata attached to saved user deck links,user_deck_links placement_key placement_name color_identity_key,deck-links.js validation,active cached/profile result supplies source,saved profile supplies source,legacy faction can supply source,None,None,dossier account deck-link surface,deck-link UI,None,None,primary consumer,uses active result primary even while view may differ; requires review,No direct Maze consumption,deck-link tests,Do not imply recommendation or accuracy,Preserve metadata fields and result inputs,PRESERVE-UNCHANGED,No,assets/js/deck-link-service.js:79-139|assets/js/index.js:1898-2040|assets/js/deck-links.js:78-86|249-265,UNRESOLVED: active adjacent-view versus primary placement expectation needs explicit consumer review,PRESERVE-UNCHANGED
matrix_radar_input,assets/js/vm-radar.js:resolveRadarProfile,data/identity-layers.json and component constants,Authored preview_scores or authored component averages,Visible Mana Alignment Matrix profile,computed profile only; not placement_result,dossier-radar.js wrapper,None,None,legacy result faction selects fallback,None,None,dossier radar,dossier radar section,vm-radar.js and dossier-radar.js,None,None,active faction/view selects expression,No direct Maze use,radar presentation browser tests,Continue authored visualization with explicit non-confidence note,Preserve authored inputs and renderer contract,PRESERVE-UNCHANGED,No,assets/js/vm-radar.js:2-6|128-160|225-254|assets/js/dossier-radar.js:27-34|155-190,UNRESOLVED: identityLayers loading fallback must be included in later compatibility tests,PRESERVE-UNCHANGED
placement_result_mana_alignment,assets/js/commander-dossier.js:buildManaAlignment,placementResult.mana_scores writer and shared normalizer,Maps WUBRG mana_scores to color/value array with fallback 1,Dossier placement-derived mana alignment payload,dossier.manaAlignment; source also persists as placement_result.mana_scores,buildCommanderDossier,restored cache feeds it,restored profile feeds it,legacy scores feed it,None,None,commander dossier and export,text/export and any dossier serialization,separate from authored Matrix,indirect dossier context,None,active adjacent view reuses same placement mana_scores,Maze handoff carries source result not dossier array,dossier and snapshot tests,Do not call confidence and do not conflate with authored Matrix,Preserve source field and array consumer,PRESERVE-UNCHANGED,No,assets/js/commander-dossier.js:2441-2446|3061-3166|3930-3940|4096,UNRESOLVED: not all downstream dossier serialization consumers are statically enumerated,PRESERVE-UNCHANGED
maze_placement_context,assets/js/archscry-presentation.js:buildArchscryMazeContext|assets/js/index.js:writeArchscryDossierHandoff,assets/js/maze-handoff.js|research/research-init.js,Reading ID fit faction name path query return URL and full placementResult,Archscry-to-Maze continuity and return,localStorage vm_archscry_maze_handoff_v1 plus URL params,research-init.js resolve/update handoff,full cached/profile result can be written,restored saved result can be written,legacy normalized result can be written,None,None,dossier builds context,Archscry and Maze surfaces,None,package links,None,active viewKey/fit participates,research-init.js reads placementResult faction/mana_scores,Maze and browser smoke tests,Do not surface internal confidence as Maze certainty,Preserve handoff key shape result and return fields,PRESERVE-UNCHANGED,No,assets/js/archscry-presentation.js:922-1015|assets/js/index.js:137|1636-1655|2817-2822|research/research-init.js:1918-2158,UNRESOLVED: localStorage handoff is dynamically updated by Maze runtime,PRESERVE-UNCHANGED
return_to_dossier_context,assets/js/archscry-presentation.js:buildArchscryMazeContext|research/research-init.js,assets/js/index.js:captureMazeReturnUrl|restoreInitialView,returnUrl view readingId mazeReturnUrl and stored placementResult,Return from Maze to exact dossier/view/panel,URL parameters and vm_archscry_maze_handoff_v1,index.js requestedDossierViewKey and restoreInitialView,cached result fallback,profile result precedence,legacy normalized result may restore,None,None,primary/active dossier,return banner and result render,radar for active view,recommendations for active view,deck link reads active result,view parameter selects dossier target,Maze writes return parameters,maze search browser and adjacent navigation tests,No numeric certainty added on return,Preserve keys precedence and result normalization,PRESERVE-UNCHANGED,No,assets/js/index.js:1646-1710|3676-3713|research/research-init.js:2020-2041|3110-3130,UNRESOLVED: malformed/stale handoff permutations remain broader than current fixtures,PRESERVE-UNCHANGED
