matrix_id,card_name,mana_value,color_identity,type_line,set_context,canonical_tier,mechanical_role,primary_signal,secondary_signal,rhetoric_axis,status_axis,resource_axis,board_axis,commander_relevance,vox_mana_read,maze_query_seed,why_canonical,source_url
SLQ-011,Fix What's Broken,2,W,Instant,Secrets of Strixhaven,current-mechanic-core,repair / protection phrase,language frames repair as command,combat trick or protection-style intervention,repair-rhetoric,support-status,protection-resource,saved-body,medium,The phrase does not comfort the creature; it tells the battlefield what must be corrected.,wm:silverquill (o:target OR o:protect OR o:+1/+1),Current Silverquill card from SOS coverage supporting corrective/protective rhetoric.,https://scryfall.com/search?q=%21%22Fix%20What%27s%20Broken%22
SLQ-012,Snooping Page,2,B,Creature — Human Warlock,Secrets of Strixhaven,current-creature-anchor,information / page gathers leverage,private knowledge becomes social pressure,small creature tied to surveillance/rhetoric,gossip-rhetoric,page-status,information-resource,small-evasive-body,medium,The page wins by knowing what the speech will cost before the speech begins.,wm:silverquill t:creature (o:draw OR o:target),Scryfall Silverquill creature result; useful for low-curve information and page/stage UI language.,https://scryfall.com/search?q=%21%22Snooping%20Page%22
SLQ-013,Inkling Mascot,3,W/B,Creature — Inkling,Secrets of Strixhaven,current-creature-anchor,Inkling mascot / living rhetoric,shadow and ink become body,college mascot body for token/counter UI,ink-rhetoric,mascot-status,token-reference,flying-ink-body,medium,"An Inkling is a thought with teeth, wings, and a public role.",wm:silverquill t:inkling,Current-style Silverquill mascot anchor for visual UI and token vocabulary.,https://scryfall.com/search?q=%21%22Inkling%20Mascot%22
SLQ-014,Masterful Flourish,2,W,Instant,Secrets of Strixhaven,current-mechanic-core,flourish / combat trick,style becomes tactical force,targeting and combat enhancement,flourish-rhetoric,performer-status,trick-resource,combat-swing,medium,The flourish is not extra; it is the part of the sentence that changes the outcome.,wm:silverquill t:instant (o:target OR o:+1/+1),Current SOS Silverquill-adjacent combat trick named in card discussions; reinforces performance-combat.,https://scryfall.com/search?q=%21%22Masterful%20Flourish%22
SLQ-015,Reprieve,2,W,Instant,Secrets of Strixhaven,current-support-anchor,delay / rhetorical interruption,answer now becomes problem later,tempo-protection and refusal language,interruption-rhetoric,procedural-status,tempo-resource,spell-delay,medium,Sometimes the strongest speech is the one that says: not yet.,ci:w t:instant o:return o:draw,Current SOS/precon-adjacent white support anchor for rhetorical interruption and tempo.,https://scryfall.com/search?q=%21%22Reprieve%22
SLQ-016,Shadrix Silverquill,5,W/B,Legendary Creature — Elder Dragon,Strixhaven: School of Mages,college-core,founder dragon / table politics menu,choose two gifts and punishments,"combat trigger gives counters, tokens, cards, or life loss",political-rhetoric,founder-status,mode-as-resource,combat-stage,very high,Shadrix turns the beginning of combat into a debate where every gift has an audience.,ci=wb commander (o:choose two OR o:Inkling OR o:+1/+1),Original Silverquill founder dragon and one of the cleanest political-mode anchors.,https://scryfall.com/search?q=%21%22Shadrix%20Silverquill%22
SLQ-017,"Killian, Ink Duelist",2,W/B,Legendary Creature — Human Warlock,Strixhaven: School of Mages,college-core,ink duelist / targeted spell discount,precision makes spells cheaper,menace-lifelink body plus target-cost reduction,duel-rhetoric,student-status,targeting-discount,evasive-pressure,very high,Killian proves Silverquill wins by turning targeted language into tempo.,ci=wb commander o:target o:cost,Original Silverquill student legend and primary target-matter Commander anchor.,https://scryfall.com/search?q=%21%22Killian%2C%20Ink%20Duelist%22
SLQ-018,"Shaile, Dean of Radiance // Embrose, Dean of Shadow",2,W/B,Legendary Creature — Bird Cleric // Human Warlock,Strixhaven: School of Mages,college-core,dean duality / radiance versus shadow,encouragement and cruelty are both pedagogy,"counters, draw, damage, and death pressure",radiance-shadow-rhetoric,dean-status,counters-to-cards,discipline-field,very high,Silverquill is the school where praise and punishment are both valid forms of instruction.,ci=wb t:legendary t:creature o:+1/+1,Original Silverquill dean pair; core narrative split between uplifting and cutting word-magic.,https://scryfall.com/search?q=%21%22Shaile%2C%20Dean%20of%20Radiance%20//%20Embrose%2C%20Dean%20of%20Shadow%22
SLQ-019,Silverquill Apprentice,2,W/B,Creature — Human Warlock,Strixhaven: School of Mages,college-core,magecraft pump / apprentice rhetoric,each spell sharpens a body,magecraft grants +1/+0 to a creature,apprentice-rhetoric,student-status,spell-to-pressure,combat-pump,high,The apprentice learns that every spell is also a stage cue.,wm:silverquill o:magecraft o:+1/+0,Named Silverquill creature and magecraft combat-pressure anchor.,https://scryfall.com/search?q=%21%22Silverquill%20Apprentice%22
SLQ-020,Silverquill Silencer,2,W/B,Creature — Human Cleric,Strixhaven: School of Mages,college-core,naming / social punishment,to name a threat is to tax it,"chosen-card punishment, life loss and card draw",naming-rhetoric,silencer-status,information-to-cards,tax-field,high,The Silencer wins by saying the quiet part out loud before the opponent can act.,wm:silverquill o:choose a card name o:draw,Named Silverquill hatebear anchor for rhetoric-as-naming and prediction.,https://scryfall.com/search?q=%21%22Silverquill%20Silencer%22
SLQ-021,Silverquill Command,4,W/B,Sorcery,Strixhaven: School of Mages,college-core,command / modal authority,the sentence chooses its legal force,"mode package: creature pump, recursion, removal, card draw/life",command-rhetoric,authority-status,modal-resource,board-order,high,Silverquill Command is the thesis statement: authority becomes modes of pressure.,ci=wb t:sorcery o:Choose two,Original college command and clean modal authority anchor.,https://scryfall.com/search?q=%21%22Silverquill%20Command%22
SLQ-022,Blot Out the Sky,XWWB,W/B,Sorcery,Strixhaven: School of Mages,college-core,Inkling mass creation / aristocratic reset,ink fills the sky until the room changes,X Inklings and large-X board destruction,ink-rhetoric,spectacle-status,mana-to-tokens,sky-reset,high,"When Silverquill fills the sky with ink, the conversation becomes impossible to ignore.",ci=wb o:Inkling o:destroy,Original Silverquill mythic tying Inkling tokens to scale and reset pressure.,https://scryfall.com/search?q=%21%22Blot%20Out%20the%20Sky%22
SLQ-023,Dramatic Finale,4,W/B,Enchantment,Strixhaven: School of Mages,college-core,death-to-Inkling finale,every death writes an ending,"creature death creates Inkling, token anthem",finale-rhetoric,stage-status,death-to-token,anthem-field,high,The finale is dramatic because even the casualties get rewritten as applause.,ci=wb o:Inkling o:dies,"Original Silverquill enchantment anchoring death, Inklings, and performance structure.",https://scryfall.com/search?q=%21%22Dramatic%20Finale%22
SLQ-024,Vanishing Verse,2,W/B,Instant,Strixhaven: School of Mages,college-core,precise exile / rhetorical cut,one clean line removes the problem,exile mono-colored permanent,cutting-remark,elite-status,efficient-removal,exile-answer,high,The verse vanishes what cannot survive a perfectly aimed sentence.,ci=wb t:instant o:exile,Signature Silverquill removal spell and efficient cutting-word anchor.,https://scryfall.com/search?q=%21%22Vanishing%20Verse%22
SLQ-025,Fracture,2,W/B,Instant,Strixhaven: School of Mages,college-core,artifact/enchantment/planeswalker removal,break the frame of authority,efficient noncreature answer,fracture-rhetoric,disruptor-status,removal-resource,noncreature-answer,medium,Silverquill knows which symbols hold power and how to break them cleanly.,ci=wb t:instant o:destroy,Original Silverquill interaction spell for precise institutional disruption.,https://scryfall.com/search?q=%21%22Fracture%22
SLQ-026,Humiliate,2,W/B,Sorcery,Strixhaven: School of Mages,college-core,discard plus counter / status strike,public embarrassment becomes material advantage,hand disruption and +1/+1 counter,humiliation-rhetoric,status-wound,discard-to-counter,single-body-push,high,Humiliate converts social damage into a visible counter on the board.,ci=wb o:discard o:+1/+1,Original Silverquill card making status attack mechanically literal.,https://scryfall.com/search?q=%21%22Humiliate%22
SLQ-027,Closing Statement,5,W/B,Instant,Strixhaven: School of Mages,college-core,end-step removal plus counter,the final word kills and promotes,creature/planeswalker destruction plus +1/+1 counter,closing-rhetoric,advocate-status,removal-to-counter,verdict-swing,high,The closing statement is final because it removes one voice and elevates another.,ci=wb t:instant o:destroy o:+1/+1,Original Silverquill spell that fuses verdict removal with status elevation.,https://scryfall.com/search?q=%21%22Closing%20Statement%22
SLQ-028,Shineshadow Snarl,0,W/B,Land,Strixhaven: School of Mages,college-land-anchor,dual land / light-shadow mana,radiance and shadow share a gate,white-black fixing,light-shadow-rhetoric,campus-status,mana-base,land-entry,medium,The mana base should feel like a threshold between spotlight and silhouette.,ci=wb t:land o:{W} o:{B},Original Silverquill rare dual land for mana-base and placement-link hooks.,https://scryfall.com/search?q=%21%22Shineshadow%20Snarl%22
SLQ-029,Silverquill Campus,0,W/B,Land,Strixhaven: School of Mages,college-land-anchor,campus land / late scry,the school itself edits the next line,white-black fixing and scry,campus-rhetoric,institution-status,mana-to-selection,land-filter,medium,"The campus provides mana, then edits the future sentence.",ci=wb t:land o:scry,Named Silverquill campus land supporting school-specific UI/mana identity.,https://scryfall.com/search?q=%21%22Silverquill%20Campus%22
SLQ-030,Inkling Summoning,3,W/B,Sorcery — Lesson,Strixhaven: School of Mages,lesson-core,Lesson / Inkling token creation,the lesson becomes an Inkling,learn board target and token body,lesson-rhetoric,curriculum-status,lesson-resource,flying-token,high,The lesson is successful when the idea leaves the page and attacks.,ci=wb t:lesson o:Inkling,Silverquill Lesson anchor for learn-board integration and Inkling token generation.,https://scryfall.com/search?q=%21%22Inkling%20Summoning%22
SLQ-031,Professor of Symbology,2,W,Creature — Kor Cleric,Strixhaven: School of Mages,lesson-support,learn tutor / symbol teacher,symbols route the student to the right lesson,ETB learn,symbol-rhetoric,professor-status,lesson-access,small-body,medium,The professor matters because she turns a question into the correct lesson slot.,ci=w o:learn,Key white learn support card for Silverquill/Lesson UX even if not exclusively Silverquill.,https://scryfall.com/search?q=%21%22Professor%20of%20Symbology%22
SLQ-032,Guiding Voice,1,W,Sorcery,Strixhaven: School of Mages,lesson-support,counter plus learn,the voice marks and directs,+1/+1 counter and learn,guidance-rhetoric,mentor-status,counter-to-lesson,single-body-growth,medium,A guiding voice gives the creature confidence and the pilot a lesson path.,ci=w o:+1/+1 o:learn,White learn/counter support card that fits Silverquill encouragement mechanics.,https://scryfall.com/search?q=%21%22Guiding%20Voice%22
SLQ-033,Show of Confidence,2,W,Instant,Strixhaven: School of Mages,lesson-support,magecraft-style storm confidence,confidence copies itself under pressure,copying combat trick and +1/+1 counters,confidence-rhetoric,performance-status,spell-copy-resource,combat-counters,medium,Silverquill confidence compounds when the speech has already begun.,ci=w t:instant o:copy o:+1/+1,"White spell/counter anchor for confidence, performance, and targeted combat reads.",https://scryfall.com/search?q=%21%22Show%20of%20Confidence%22
SLQ-034,Beaming Defiance,2,W,Instant,Strixhaven: School of Mages,lesson-support,protection / defiant rhetoric,public defiance preserves the speaker,pump and indestructible-style protection,defiance-rhetoric,protector-status,protection-resource,saved-attacker,medium,The defiant line keeps the speaker standing long enough to win the exchange.,ci=w t:instant o:indestructible,White Silverquill-adjacent combat protection anchor.,https://scryfall.com/search?q=%21%22Beaming%20Defiance%22
SLQ-035,Defend the Campus,4,W,Instant,Strixhaven: School of Mages,lesson-support,campus defense / modal pump-removal,defense chooses speech or strike,team pump or removal of large attacker,defense-rhetoric,institution-status,modal-resource,combat-defense,medium,The campus defends itself either by lifting every voice or cutting down the loudest threat.,ci=w t:instant o:choose one,White campus defense card for modal protection and institution language.,https://scryfall.com/search?q=%21%22Defend%20the%20Campus%22
SLQ-036,Eyetwitch,1,B,Creature — Eye Bat,Strixhaven: School of Mages,lesson-support,death-learn / information familiar,even a death retrieves a lesson,dies trigger learn,omen-rhetoric,familiar-status,death-to-lesson,small-flyer,medium,The smallest watcher still leaves behind the next assignment.,ci=b o:learn o:dies,"Black learn support card, important to Silverquill low-curve lesson/death play.",https://scryfall.com/search?q=%21%22Eyetwitch%22
SLQ-037,Leech Fanatic,2,B,Creature — Human Warlock,Strixhaven: School of Mages,college-support,lifelink pressure body,ambition feeds through contact,lifelink body and aggressive curve,devotion-rhetoric,fanatic-status,life-resource,attacker-body,low,The fanatic makes life exchange feel like applause from the wrong crowd.,ci=b o:lifelink,Black Silverquill-style lifelink pressure anchor.,https://scryfall.com/search?q=%21%22Leech%20Fanatic%22
SLQ-038,Spiteful Squad,3,B,Creature — Human Warlock,Strixhaven: School of Mages,college-support,death transfers counters,spite survives as status marker,dies move +1/+1 counters,spite-rhetoric,squad-status,death-to-counters,counter-transfer,medium,Silverquill spite does not die; it transfers to someone still speaking.,ci=b o:+1/+1 o:dies,Silverquill-watermarked creature supporting counter transfer and social resentment reads.,https://scryfall.com/search?q=%21%22Spiteful%20Squad%22
SLQ-039,Tenured Inkcaster,5,B,Creature — Vampire Warlock,Strixhaven: School of Mages,college-support,counter-drain professor,tenure turns marks into life loss,attacking with countered creatures drains opponents,ink-rhetoric,tenure-status,counters-to-drain,attack-tax,high,"Once the ink is on a creature, every attack becomes a published critique.",ci=b o:+1/+1 o:lose life,Silverquill counter payoff tying status marks to drain.,https://scryfall.com/search?q=%21%22Tenured%20Inkcaster%22
SLQ-040,Owlin Shieldmage,5,W/B,Creature — Bird Warlock,Strixhaven: School of Mages,college-support,ward-like protection anthem,the shield is institutional reputation,protects team through ward/cost increase,shield-rhetoric,guardian-status,protection-tax,team-defense,medium,The shieldmage protects the group by making attacks against them socially expensive.,ci=wb t:creature o:ward,Named Silverquill creature supporting group protection and status tax.,https://scryfall.com/search?q=%21%22Owlin%20Shieldmage%22
SLQ-041,Exhilarating Elocution,3,W,Sorcery,Strixhaven: School of Mages,college-support,speech / team counters,a speech distributes courage,puts +1/+1 counters on creatures,speech-rhetoric,orator-status,counters-resource,team-growth,medium,The elocution works because everyone leaves the speech larger than they arrived.,ci=w o:+1/+1 o:creatures,Direct rhetoric card and team-counter anchor.,https://scryfall.com/search?q=%21%22Exhilarating%20Elocution%22
SLQ-042,Essence Infusion,2,B,Sorcery,Strixhaven: School of Mages,college-support,counter plus lifelink/vitality,"ambition is injected, not requested",+1/+1 counters and life-linking pressure,infusion-rhetoric,warlock-status,life-resource,single-body-growth,medium,The essence infusion makes status physical and turns damage back into leverage.,ci=b o:+1/+1 o:lifelink,Black counter/life support that matches Silverquill status-mark gameplay.,https://scryfall.com/search?q=%21%22Essence%20Infusion%22
SLQ-043,Star Pupil,1,W,Creature — Human Wizard,Strixhaven: School of Mages,college-support,early counter transfer,potential survives the student,dies transfer +1/+1 counter,student-rhetoric,pupil-status,death-to-counter,counter-seed,medium,The pupil matters because even failure leaves a mark on the next speaker.,ci=w o:+1/+1 o:dies,"White counter-transfer support, useful for Silverquill student/status progression.",https://scryfall.com/search?q=%21%22Star%20Pupil%22
SLQ-044,Selfless Glyphweaver // Deadly Vanity,3,W/B,Creature — Human Cleric // Sorcery,Strixhaven: School of Mages,college-core,protection body / selective wrath,the glyph protects until vanity judges,exile-to-protect and one-survivor board wipe,glyph-rhetoric,saint-shadow-status,protection-reset,selective-verdict,high,Silverquill can preserve the chosen voice or erase the room until only one remains.,ci=wb o:indestructible o:destroy,MDFC anchor for protection/judgment duality inside white-black Strixhaven.,https://scryfall.com/search?q=%21%22Selfless%20Glyphweaver%20//%20Deadly%20Vanity%22
SLQ-045,Elite Spellbinder,3,W,Creature — Human Cleric,Strixhaven: School of Mages,character-support,spell tax / public delay,the elite speaker makes one spell harder to say,hand reveal and cost increase,binding-rhetoric,elite-status,information-tax,tempo-body,medium,The spellbinder does not counter the spell; it raises the cost of saying it.,ci=w o:exile o:cost,Strixhaven white character card supporting rhetoric-as-tax and public delay.,https://scryfall.com/search?q=%21%22Elite%20Spellbinder%22
SLQ-046,"Breena, the Demagogue",3,W/B,Legendary Creature — Bird Warlock,Commander 2021 / Silverquill Statement,commander-core,political attack incentive / counters-draw,the demagogue rewards directed aggression,"opponents attack each other, you draw and grow",demagogy-rhetoric,political-status,cards-and-counters,table-politics,very high,Breena proves Silverquill can win by convincing the table to perform the violence for you.,ci=wb commander o:draw o:+1/+1 o:opponent,Official Silverquill Statement face commander and best political rhetoric anchor.,https://scryfall.com/search?q=%21%22Breena%2C%20the%20Demagogue%22
SLQ-047,"Felisa, Fang of Silverquill",4,W/B,Legendary Creature — Vampire Wizard,Commander 2021 / Silverquill Statement,commander-core,counter death into Inkling swarm,status marks become posthumous voices,nontoken creature death creates Inkling tokens based on counters,fang-rhetoric,aristocrat-status,counters-to-tokens,death-swarm,very high,Felisa turns every marked death into a flock of arguments the table still has to answer.,ci=wb commander o:+1/+1 o:Inkling o:dies,Official Silverquill Statement alternate commander and counter/death/token bridge.,https://scryfall.com/search?q=%21%22Felisa%2C%20Fang%20of%20Silverquill%22
SLQ-048,"Fain, the Broker",3,B,Legendary Creature — Human Warlock,Commander 2021 / Silverquill Statement,commander-core,broker / resource conversion,everything can be traded for influence,"sacrifice, counters, treasures, and Inkling conversion",broker-rhetoric,underworld-status,conversion-engine,utility-body,high,Fain is Silverquill at its most transactional: every asset can become a sharper form of leverage.,ci=b commander (o:sacrifice OR o:Inkling OR o:Treasure),Official Silverquill legend and resource-conversion engine.,https://scryfall.com/search?q=%21%22Fain%2C%20the%20Broker%22
SLQ-049,"Nils, Discipline Enforcer",3,W,Legendary Creature — Human Cleric,Commander 2021 / Silverquill Statement,commander-core,discipline / counter tax,improvement becomes control,places counters and taxes attacks from countered creatures,discipline-rhetoric,enforcer-status,counters-as-tax,attack-deterrent,high,"Nils makes growth conditional: you may become better, but now you answer to discipline.",ci=w commander o:+1/+1 o:attack,"Official Silverquill legend expressing discipline, counters, and attack taxation.",https://scryfall.com/search?q=%21%22Nils%2C%20Discipline%20Enforcer%22
SLQ-050,Stinging Study,5,B,Instant,Commander 2021 / Silverquill Statement,commander-core,commander-size card draw / life payment,study hurts because it reveals value,draw cards equal to commander mana value and lose life,study-rhetoric,academic-status,life-for-cards,instant-refill,high,The study stings because Silverquill knows knowledge always arrives with a price.,ci=b t:instant o:commander o:draw,Official Commander 2021 Silverquill card and life-for-cards resource anchor.,https://scryfall.com/search?q=%21%22Stinging%20Study%22
SLQ-051,Inkshield,5,W/B,Instant,Commander 2021 / Silverquill Statement,commander-core,combat prevention into Inkling army,defense becomes an audience,prevent combat damage and create Inklings,reversal-rhetoric,shield-status,damage-to-tokens,combat-reversal,very high,Inkshield is the Silverquill turn: your attack becomes my standing ovation.,ci=wb t:instant o:prevent o:Inkling,Official Silverquill Statement card and iconic Inkling/reversal anchor.,https://scryfall.com/search?q=%21%22Inkshield%22
SLQ-052,Combat Calligrapher,4,W,Creature — Bird Cleric,Commander 2021 / Silverquill Statement,commander-core,Inkling gift politics,calligraphy creates attackers with incentives,opponents get Inklings that cannot attack you,calligraphy-rhetoric,court-status,gifted-token-resource,political-combat,high,The calligrapher gives the table words that point away from you.,ci=w o:Inkling o:attack,"Official Silverquill Statement card joining Inklings, politics, and redirected combat.",https://scryfall.com/search?q=%21%22Combat%20Calligrapher%22
SLQ-053,Cunning Rhetoric,3,B,Enchantment,Commander 2021 / Silverquill Statement,commander-core,attack deterrent / exile-cast punishment,attacking you gives you their words,opponent attacks exile top card and you may play it,cunning-rhetoric,political-status,opponent-card-resource,attack-deterrent,high,Cunning Rhetoric makes every attack against you contribute to your next argument.,ci=b o:attack o:exile o:play,Official Silverquill Statement card and perfect rhetoric-as-punishment anchor.,https://scryfall.com/search?q=%21%22Cunning%20Rhetoric%22
SLQ-054,Bold Plagiarist,4,B,Creature — Vampire Rogue,Commander 2021 / Silverquill Statement,commander-core,counter theft / status mimicry,other people’s growth becomes your credential,gets same counters opponents put on their creatures,plagiarism-rhetoric,rogue-status,borrowed-counters,counter-mirror,high,The plagiarist does not need original status when the table keeps writing it for her.,ci=b o:counter o:opponent,Official Silverquill Statement card supporting counter/status theft.,https://scryfall.com/search?q=%21%22Bold%20Plagiarist%22
SLQ-055,Promise of Loyalty,5,W,Sorcery,Commander 2021 / Silverquill Statement,commander-core,selective wrath / vow counters,survivors owe you restraint,each player keeps one creature; vows restrict attacks,promise-rhetoric,oath-status,reset-as-politics,vow-field,high,The promise is loyalty because the survivor is allowed to remain only under terms.,ci=w o:destroy o:counter o:attack,Official Silverquill Statement card for political board reset and loyalty/vow language.,https://scryfall.com/search?q=%21%22Promise%20of%20Loyalty%22
SLQ-056,Scholarship Sponsor,4,W,Creature — Human Advisor,Commander 2021 / Silverquill Statement,commander-core,catch-up ramp / institutional sponsor,aid arrives as structured opportunity,each player catches up on lands,sponsor-rhetoric,institution-status,land-parity-resource,advisor-body,medium,"The sponsor creates opportunity, but only inside a hierarchy where everyone knows who funded it.",ci=w o:search o:land,Official Silverquill Statement card supporting institutional aid and political parity.,https://scryfall.com/search?q=%21%22Scholarship%20Sponsor%22
