relationship_id	identity	card	proposed_wording	supporting_identity_claims	supporting_sources	canonical_card_facts	relationship_evidence	limitation	why_wording_may_be_entailed	owner_decision
cardrel_wb_8191342b	WB	Teysa, Orzhov Scion	This version of Teysa strongly expresses Orzhov transaction logic: sacrifice, death, replacement bodies, and exile removal all feed the same contract engine.	orzhov_syndicate_claim_002;orzhov_syndicate_claim_003;orzhov_syndicate_claim_006;orzhov_syndicate_claim_007;orzhov_syndicate_claim_0018;orzhov_syndicate_claim_0020	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=8191342b-b25e-4c4d-8f69-aee662148ff4	data/raw-factions/orzhov_syndicate/orzhov_syndicate.profile.json#/commander_compass/native_fit_commanders/1: This version of Teysa strongly expresses Orzhov transaction logic: sacrifice, death, replacement bodies, and exile removal all feed the same contract engine.	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Orzhov semantic proof. Skip if you want a simple precon-style gameplan or dislike combo-adjacent sacrifice engines.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_wb_647d7988	WB	Karlov of the Ghost Council	Karlov converts lifegain into visible authority: counters become removal, making every payment and tithe a future sentence.	orzhov_syndicate_claim_004;orzhov_syndicate_claim_006;orzhov_syndicate_claim_007;orzhov_syndicate_claim_0018;orzhov_syndicate_claim_0020	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=647d7988-9a5d-4700-9238-938d0d5fae12	data/raw-factions/orzhov_syndicate/orzhov_syndicate.profile.json#/commander_compass/advanced_complexity_commanders/0: Karlov converts lifegain into visible authority: counters become removal, making every payment and tithe a future sentence.	Can become removal-heavy and commander-centric. Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Orzhov semantic proof. Skip if you want a token-sacrifice deck or dislike commander-damage pressure backed by cheap lifegain triggers.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_wb_6c3df703	WB	Obzedat, Ghost Council	Obzedat is the iconic old Orzhov power structure: deathless elites draining value, dodging consequences, and returning to collect again.	orzhov_syndicate_claim_004;orzhov_syndicate_claim_006;orzhov_syndicate_claim_007;orzhov_syndicate_claim_0018;orzhov_syndicate_claim_0020	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=6c3df703-e96a-4ee4-b449-b8e1e3460bd3	data/raw-factions/orzhov_syndicate/orzhov_syndicate.profile.json#/commander_compass/iconic_lore_forward_commanders/0: Obzedat is the iconic old Orzhov power structure: deathless elites draining value, dodging consequences, and returning to collect again.	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Orzhov semantic proof. Skip if you need a fast engine or dislike high-mana commanders that win through slow drain.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ur_33666a98	UR	Niv-Mizzet, Parun	He is the cleanest native Izzet bridge: a Ravnican Izzet leader whose gameplay rewards instant/sorcery exchanges with cards and turns card draw into precise damage.	claim_izzet_league_0008;claim_izzet_league_0009;claim_izzet_league_0025;claim_izzet_league_0036;claim_izzet_league_0037;claim_izzet_league_0039;claim_izzet_league_0045	src_izzet_league_0002;src_izzet_league_0003;src_izzet_league_0012;src_izzet_league_0010;src_izzet_league_0011	data/scryfall/indexes/commander-index.json#oracle_id=33666a98-812f-4892-9f8d-33e0cbecc340	data/raw-factions/izzet_league/izzet_league.profile.json#/commander_compass/native_fit_commanders/0: He is the cleanest native Izzet bridge: a Ravnican Izzet leader whose gameplay rewards instant/sorcery exchanges with cards and turns card draw into precise damage.	Skip if your table dislikes compact draw-damage combos, repeated triggers, or commanders that become the whole deck plan.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ur_095d9719	UR	Melek, Izzet Paragon	Melek preserves the lab-experiment feel without defaulting to the dragon. Revealing the top card and copying spells feels like an unstable experiment becoming repeatable technique.	claim_izzet_league_0101	src_izzet_league_0014	data/scryfall/indexes/commander-index.json#oracle_id=095d9719-0db6-43de-8e4f-a0035a4c65ed	data/raw-factions/izzet_league/izzet_league.profile.json#/commander_compass/native_fit_commanders/1: Melek preserves the lab-experiment feel without defaulting to the dragon. Revealing the top card and copying spells feels like an unstable experiment becoming repeatable technique.	Skip if you want a low-curve commander or dislike playing with the top of your library revealed.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ur_f787c6cf	UR	Mizzix of the Izmagnus	Mizzix captures the escalating experiment: every correctly sequenced spell makes the next experiment cheaper and more dangerous.	claim_izzet_league_0102	src_izzet_league_0014	data/scryfall/indexes/commander-index.json#oracle_id=f787c6cf-a4ff-487b-a7b0-0f516e68510a	data/raw-factions/izzet_league/izzet_league.profile.json#/commander_compass/advanced_complexity_commanders/0: Mizzix captures the escalating experiment: every correctly sequenced spell makes the next experiment cheaper and more dangerous.	Can drift into high-power combo if tuned aggressively. Skip if your group dislikes storm turns, long sequencing, or commanders that snowball from cost reduction.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ur_899d58dc	UR	Niv-Mizzet, Dracogenius	This is a slower, more table-readable way to center Niv-Mizzet as Izzet identity: intellect, fire, and repeatable resource conversion.	claim_izzet_league_0008;claim_izzet_league_0009;claim_izzet_league_0025;claim_izzet_league_0036;claim_izzet_league_0037;claim_izzet_league_0039;claim_izzet_league_0045	src_izzet_league_0002;src_izzet_league_0003;src_izzet_league_0012;src_izzet_league_0010;src_izzet_league_0011	data/scryfall/indexes/commander-index.json#oracle_id=899d58dc-60b2-4013-9f91-c1888c585d66	data/raw-factions/izzet_league/izzet_league.profile.json#/commander_compass/iconic_lore_forward_commanders/0: This is a slower, more table-readable way to center Niv-Mizzet as Izzet identity: intellect, fire, and repeatable resource conversion.	Skip if you need modern efficiency or want the strongest Niv-Mizzet Commander option.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_bg_87e65e36	BG	Jarad, Golgari Lich Lord	A classic Golgari leader who scales with the size of your graveyard and allows you to 'recycle' creatures into direct damage.	golgari_swarm_claim_001;golgari_swarm_claim_002;golgari_swarm_claim_003;golgari_swarm_claim_006;golgari_swarm_claim_0018	src_wotc_flavorful_guide_guilds_ravnica_2018;src_wotc_guilds_ravnica_mechanics_2018;src_wotc_guilds_ravnica_prerelease_primer_2018	data/scryfall/indexes/commander-index.json#oracle_id=87e65e36-9483-49fe-b644-2caca092107f	data/raw-factions/golgari_swarm/golgari_swarm.profile.json#/commander_compass/native_fit_commanders/0: A classic Golgari leader who scales with the size of your graveyard and allows you to 'recycle' creatures into direct damage.	Discovery-only story-corpus claim IDs removed from this auxiliary support chain. Commander/card/product material remains auxiliary and is not authoritative Golgari semantic proof. You don't like 'glass cannon' combos or graveyard hate.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_ug_311e9368	UG	Prime Speaker Zegana	Prime Speaker Zegana appears because the certified Simic record identifies her as the former Prime Speaker associated with Utopian incremental change.	simic_combine_claim_005;simic_combine_claim_006;simic_combine_claim_0018	src_wotc_flavorful_guide_ravnica_allegiance_2019;src_wotc_ravnica_allegiance_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=311e9368-696a-47e7-aa2f-3ef1b1a92e2b	data/raw-factions/simic_combine/simic_combine.profile.json#/commander_compass/native_fit_commanders/0: Zegana has source-backed Simic leadership context, while her size-to-cards gameplay is auxiliary Commander texture for improvement and knowledge rather than independent lore proof.	Skip if you want a low-curve commander or a deck that does not rely on having another large creature first.	The draft narrows the internal Commander guidance to the direct native figure relationship stated by the cited substantive claim. It deliberately makes no gameplay, player-motivation, or personality inference.	APPROVE
cardrel_wr_0f5a3a09	WR	Aurelia, the Warleader	She is the definitive Boros Guildmaster, focused on overwhelming the opponent through sheer military force.	boros_legion_claim_004;boros_legion_claim_009;boros_legion_claim_026	src_wotc_flavorful_guide_guilds_ravnica_2018;src_wotc_gatecrash_boros_lore_2013	data/scryfall/indexes/commander-index.json#oracle_id=0f5a3a09-2f07-4774-9e0f-e99d9a444166	data/raw-factions/boros_legion/boros_legion.profile.json#/commander_compass/native_fit_commanders/0: She is the definitive Boros Guildmaster, focused on overwhelming the opponent through sheer military force.	Discovery-only story-corpus claims removed from this support chain during Gate 3. Commander/card/product material remains auxiliary and is not authoritative Boros semantic proof. You prefer a slow, reactive deck or don't enjoy the combat phase.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_wr_ae6f21a2	WR	Tajic, Legion's Edge	A low-cost commander that protects your team from damage and encourages offensive growth.	boros_legion_claim_006;boros_legion_claim_026	src_wotc_guilds_ravnica_mechanics_2018	data/scryfall/indexes/commander-index.json#oracle_id=ae6f21a2-e6b6-4793-8343-e27310c0bea1	data/raw-factions/boros_legion/boros_legion.profile.json#/commander_compass/budget_friendly_commanders/0: A low-cost commander that protects your team from damage and encourages offensive growth.	Tajic is retained only as auxiliary Commander/card support, not as authoritative key-figure proof. Commander/card/product material remains auxiliary and is not authoritative Boros semantic proof. You are playing against decks with lots of targeted 'destroy' effects rather than 'damage' effects.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_wr_aa219936	WR	Feather, the Redeemed	A unique Boros 'spellslinger' engine that turns single-target buffs into recurring value.	boros_legion_claim_009	src_ravnica_novel_2005;src_wotc_gatecrash_boros_lore_2013	data/scryfall/indexes/commander-index.json#oracle_id=aa219936-661b-4ccb-8741-78b70cff2b1a	data/raw-factions/boros_legion/boros_legion.profile.json#/commander_compass/advanced_complexity_commanders/0: A unique Boros 'spellslinger' engine that turns single-target buffs into recurring value.	Feather is retained only through bounded leadership-transition support; story-corpus claims removed. Commander/card/product material remains auxiliary and is not authoritative Boros semantic proof. You dislike tracking many triggers per turn.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_lorehold_61a41cf1	LOREHOLD	Lorehold, the Historian	Directly embodies the 'Eureka' moment of discovery by granting Miracle to all instants and sorceries in hand.	claim_lorehold_figure_0001;claim_lorehold_figure_0002;claim_lorehold_figure_0003;claim_lorehold_figure_0004;claim_lorehold_mechanic_0011;claim_lorehold_mechanic_0012	src_lorehold_0009;src_lorehold_0002;src_lorehold_0005	data/scryfall/indexes/commander-index.json#oracle_id=61a41cf1-60cc-45ba-aa98-493c14e87d9d	data/raw-factions/lorehold/lorehold.profile.json#/commander_compass/native_fit_commanders/0: Directly embodies the 'Eureka' moment of discovery by granting Miracle to all instants and sorceries in hand.	Requires specific top-deck manipulation (Scroll Rack, Sensei's Divining Top) to maximize Miracle. Your deck is primarily permanent-based (artifacts/creatures) rather than instants and sorceries.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_lorehold_5c40a8d4	LOREHOLD	Quintorius, History Chaser	Represents the college's main protagonist in his 2026 iteration, focusing on the spirit-driven historical research.	claim_lorehold_figure_0005;claim_lorehold_figure_0006;claim_lorehold_figure_0007;claim_lorehold_location_0006;claim_lorehold_timeline_0006;claim_lorehold_figure_0021;claim_lorehold_figure_0015	src_lorehold_0009;src_lorehold_0010;src_lorehold_0008;src_lorehold_0006;src_lorehold_0007;src_lorehold_0013	data/scryfall/indexes/commander-index.json#oracle_id=5c40a8d4-6969-4d71-aba5-5c7e4109b7d5	data/raw-factions/lorehold/lorehold.profile.json#/commander_compass/budget_friendly_commanders/0: Represent's the college's main protagonist in his 2026 iteration, focusing on the spirit-driven historical research.	Commander eligibility comes from explicit Oracle text, not from the planeswalker type line alone. You are building a high-power non-creature storm deck.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_lorehold_43832745	LOREHOLD	Velomachus Lorehold	The founder of the college and the original face of Lorehold's spellslinger-aggro identity.	claim_lorehold_figure_0001;claim_lorehold_figure_0002;claim_lorehold_figure_0003;claim_lorehold_figure_0004;claim_lorehold_mechanic_0011;claim_lorehold_mechanic_0012	src_lorehold_0009;src_lorehold_0002;src_lorehold_0005	data/scryfall/indexes/commander-index.json#oracle_id=43832745-5d7d-4957-8e30-2072ad012564	data/raw-factions/lorehold/lorehold.profile.json#/commander_compass/iconic_lore_forward_commanders/0: The founder of the college and the original face of Lorehold's spellslinger-aggro identity.	You want a lower mana-value commander; 7 mana is a steep investment in Boros.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
cardrel_bant_c6e17443	BANT	Rafiq of the Many	Rafiq is the clearest Bant champion expression: one worthy attacker receives the force and recognition of the whole.	bant_claim_0006;bant_claim_0008	src_vm_bant_evidence_ledger_20260528;src_vm_bant_manual_fill_20260529	data/scryfall/indexes/commander-index.json#oracle_id=c6e17443-2379-419d-8c32-13ea9bf52993	data/raw-factions/bant/bant.profile.json#/commander_compass/native_fit_commanders/0: Rafiq is the clearest Bant champion expression: one worthy attacker receives the force and recognition of the whole.	Card data and deck guidance require live verification before runtime Commander Compass use. The player wants broad go-wide tokens, prison control, or ramp with no champion frame.	The preserved Commander guidance sentence is the direct relationship assertion. Certified claim IDs establish the identity-side boundary; the committed Scryfall index establishes only the named card facts. Owner review must confirm that the sentence does not overstate that bridge.	APPROVE
