record_id	question_id	answer_id	change_type	construct_id	documented_gaps	behavioral_observation	naming_role	false_positive_analysis	exclusions	novice_comprehension	routing_eligibility	change_reason	evidence_provenance	status
IC-A-014	b1.hall.pressure.v1	b1.hall.pressure.v1.abundance	RETAINED_OR_ADDED_CONTRACT	C07	NAYA	Prefers abundance-based board pressure rather than one concentrated strike.	Identity-specific trigger only for NAYA; no score bonus and no standalone naming.	Board width may be accidental or mechanically efficient rather than identity-relevant.	A wide board does not establish Naya, Selesnya, tokens, or belonging.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when live candidates agree on proactive play but differ in coordinated, embodied, abundant, burst, restrictive, or engine pressure.	Materially rewritten because the former three-channel item collapsed distinct combat and visible-payoff boundaries needed by VM-555.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-015	b1.hall.pressure.v1	b1.hall.pressure.v1.burst	RETAINED_OR_ADDED_CONTRACT	C07	BR;PRISMARI	Prefers a concentrated exposed payoff during the opening.	Identity-specific trigger only for BR; no score bonus and no standalone naming.	Combo and efficient decks may also concentrate resources into one turn for unrelated reasons.	A large turn does not establish Rakdos, Prismari, spectacle, or appetite.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when live candidates agree on proactive play but differ in coordinated, embodied, abundant, burst, restrictive, or engine pressure.	Materially rewritten because the former three-channel item collapsed distinct combat and visible-payoff boundaries needed by VM-555.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-016	b1.hall.pressure.v1	b1.hall.pressure.v1.resources	RETAINED_OR_ADDED_CONTRACT	C07	WB	Prefers resource-control pressure before attempting to end the game.	Corroborating directional observation only; never a naming trigger.	Removing options can be a tactical prerequisite in any deck.	Resource control does not establish Blue, Azorius, Orzhov, or a control archetype.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when live candidates agree on proactive play but differ in coordinated, embodied, abundant, burst, restrictive, or engine pressure.	Materially rewritten because the former three-channel item collapsed distinct combat and visible-payoff boundaries needed by VM-555.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-017	b1.hall.pressure.v1	b1.hall.pressure.v1.engine	RETAINED_OR_ADDED_CONTRACT	C07	UR;COLORLESS	Prefers engine-based ending pressure instead of combat pressure.	Corroborating directional observation only; never a naming trigger.	Many identities can use engines; the observation describes pressure channel only.	A noncombat engine does not establish Izzet, Blue, Colorless, artifacts, or combo.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when live candidates agree on proactive play but differ in coordinated, embodied, abundant, burst, restrictive, or engine pressure.	Materially rewritten because the former three-channel item collapsed distinct combat and visible-payoff boundaries needed by VM-555.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-018	b1.hall.engine-shape.v1	b1.hall.engine-shape.v1.central	RETAINED_OR_ADDED_CONTRACT	C06	U;ESPER;QUANDRIX	Accepts one designed central dependency after revision.	Corroborating directional observation only; never a naming trigger.	Some decks have a central engine because of card availability or commander design.	Centrality does not establish Blue, Esper, Quandrix, optimization, or skill.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when engine structure remains a live separator and DG_C06 has not been observed.	Materially rewritten because deck-revision context and a stable-purpose/flexible-tool option close more C06 corroboration gaps without adding a second C06 dependency.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-019	b1.hall.engine-shape.v1	b1.hall.engine-shape.v1.replace	RETAINED_OR_ADDED_CONTRACT	C06	COLORLESS;LOREHOLD;YORE	Prefers replaceable functional redundancy.	Corroborating directional observation only; never a naming trigger.	Consistency can be a generic deckbuilding goal rather than identity evidence.	Redundancy, machinery, or artifacts do not establish Colorless or Yore.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when engine structure remains a live separator and DG_C06 has not been observed.	Materially rewritten because deck-revision context and a stable-purpose/flexible-tool option close more C06 corroboration gaps without adding a second C06 dependency.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-020	b1.hall.engine-shape.v1	b1.hall.engine-shape.v1.overlap	RETAINED_OR_ADDED_CONTRACT	C06	UR;BG;WITHERBLOOM	Prefers modular engines whose functions overlap.	Corroborating directional observation only; never a naming trigger.	Overlapping packages may be required by singleton deck construction.	Modularity does not establish Simic, Izzet, Golgari, Witherbloom, or combo.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when engine structure remains a live separator and DG_C06 has not been observed.	Materially rewritten because deck-revision context and a stable-purpose/flexible-tool option close more C06 corroboration gaps without adding a second C06 dependency.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-021	b1.hall.engine-shape.v1	b1.hall.engine-shape.v1.purpose	RETAINED_OR_ADDED_CONTRACT	C06	UB;SULTAI;WUBRG	Prefers a stable purpose with flexible implementation routes.	Corroborating directional observation only; never a naming trigger.	Flexible tools can be a response to a varied metagame rather than a stable preference.	Toolbox play does not establish Dimir, Sultai, WUBRG, secrecy, or opportunism.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when engine structure remains a live separator and DG_C06 has not been observed.	Materially rewritten because deck-revision context and a stable-purpose/flexible-tool option close more C06 corroboration gaps without adding a second C06 dependency.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-022	b1.hall.interaction-window.v1	b1.hall.interaction-window.v1.before	RETAINED_OR_ADDED_CONTRACT	C08	WU	Prefers early prevention before the decisive action becomes visible.	Corroborating directional observation only; never a naming trigger.	Early action may be forced by card timing rather than preferred information use.	Prevention alone does not establish White, Azorius, control, or public procedure.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when information use and interaction timing separate the live frontier and DG_C08 has not been observed.	Narrowly refined to the VM-555 commitment-window scenario and given a split line; it remains one C08 observation rather than a stackable third timing item.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-023	b1.hall.interaction-window.v1	b1.hall.interaction-window.v1.after	RETAINED_OR_ADDED_CONTRACT	C08	U	Prefers more information before committing a held answer.	Identity-specific trigger only for U; no score bonus and no standalone naming.	A player may wait because their card can only answer a visible permanent.	Waiting does not establish Blue, Dimir, knowledge, secrecy, or skill.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when information use and interaction timing separate the live frontier and DG_C08 has not been observed.	Narrowly refined to the VM-555 commitment-window scenario and given a split line; it remains one C08 observation rather than a stackable third timing item.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-024	b1.hall.interaction-window.v1	b1.hall.interaction-window.v1.pressure	RETAINED_OR_ADDED_CONTRACT	C08	UB;GRIXIS;GLINT	Prefers the commitment window where opposing resources are exposed.	Identity-specific trigger only for UB; no score bonus and no standalone naming.	The window may be dictated by rules timing rather than behavioral preference.	Commitment timing does not establish Dimir, Grixis, Glint, leverage, or survival.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when information use and interaction timing separate the live frontier and DG_C08 has not been observed.	Narrowly refined to the VM-555 commitment-window scenario and given a split line; it remains one C08 observation rather than a stackable third timing item.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-025	b1.hall.interaction-window.v1	b1.hall.interaction-window.v1.split	RETAINED_OR_ADDED_CONTRACT	C08	UR;JESKAI	Prefers split commitment between development and one bounded response.	Corroborating directional observation only; never a naming trigger.	Efficient curves can produce this line without a stable interaction preference.	Split mana does not establish Izzet, Jeskai, discipline, or tempo.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when information use and interaction timing separate the live frontier and DG_C08 has not been observed.	Narrowly refined to the VM-555 commitment-window scenario and given a split line; it remains one C08 observation rather than a stackable third timing item.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-026	b1.hall.setup.v1	b1.hall.setup.v1.early	RETAINED_OR_ADDED_CONTRACT	C14	BANT;INK;WG	Requires useful early participation while a longer plan develops.	Corroborating directional observation only; never a naming trigger.	Early utility may be incidental to efficient cards rather than a community preference.	Helpfulness does not establish Selesnya, Ink, Bant, altruism, or politics.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when development horizon separates the live frontier and DG_C14 has not been observed.	Materially rewritten because the former duration preference did not observe whether setup participates in the current game or yields to the board.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-027	b1.hall.setup.v1	b1.hall.setup.v1.staged	RETAINED_OR_ADDED_CONTRACT	C14	G;BG;ABZAN;WITHERBLOOM;UG;NAYA	Prefers staged cultivation where development contributes along the way.	Corroborating directional observation only; never a naming trigger.	Value engines commonly reward staged play for mechanical reasons.	Incremental value does not establish Green, Golgari, Abzan, Witherbloom, or growth philosophy.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when development horizon separates the live frontier and DG_C14 has not been observed.	Materially rewritten because the former duration preference did not observe whether setup participates in the current game or yields to the board.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-028	b1.hall.setup.v1	b1.hall.setup.v1.long	RETAINED_OR_ADDED_CONTRACT	C14	QUANDRIX;WITCH	Accepts concentrated long development before the main payoff.	Corroborating directional observation only; never a naming trigger.	Budget, card speed, and table power can force a longer horizon.	Long setup does not establish Quandrix, Witch, mathematics, or patience as virtue.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when development horizon separates the live frontier and DG_C14 has not been observed.	Materially rewritten because the former duration preference did not observe whether setup participates in the current game or yields to the board.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-029	b1.hall.setup.v1	b1.hall.setup.v1.change	RETAINED_OR_ADDED_CONTRACT	C14	TEMUR;GLINT	Prefers board-responsive development over preserving a stalled long plan.	Corroborating directional observation only; never a naming trigger.	A clearly lost setup can make changing plans tactically mandatory.	Changing plans does not establish Temur, Glint, Red, freedom, or instinct.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask when development horizon separates the live frontier and DG_C14 has not been observed.	Materially rewritten because the former duration preference did not observe whether setup participates in the current game or yields to the board.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-030	b1.crucible.disruption-boundary.v1	b1.crucible.disruption-boundary.v1.preserve	RETAINED_OR_ADDED_CONTRACT	C03		Prioritizes continuity through remaining protection.	Corroborating directional observation only; never a naming trigger.	The remaining protection may simply be the strongest available line.	Protection does not establish White, Selesnya, Abzan, or commander reliance.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask only when disruption response is the highest-value unresolved boundary and DG_C03 detail can change the responsible result.	Net-new targeted C03 item retained because B lacks an identity-specific behavioral trigger and G/RG disruption adaptation cannot be observed by the fixed broad Gate answer alone.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-031	b1.crucible.disruption-boundary.v1	b1.crucible.disruption-boundary.v1.reuse	RETAINED_OR_ADDED_CONTRACT	C03	BG;LOREHOLD	Prefers reclamation and continuity after loss.	Corroborating directional observation only; never a naming trigger.	The deck may contain recursion for efficiency rather than a stable recovery preference.	Recursion and graveyard use do not establish Golgari, Lorehold, or a color identity.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask only when disruption response is the highest-value unresolved boundary and DG_C03 detail can change the responsible result.	Net-new targeted C03 item retained because B lacks an identity-specific behavioral trigger and G/RG disruption adaptation cannot be observed by the fixed broad Gate answer alone.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-032	b1.crucible.disruption-boundary.v1	b1.crucible.disruption-boundary.v1.convert	RETAINED_OR_ADDED_CONTRACT	C03	B	Prefers converting disruption into immediate personal agency.	Identity-specific trigger only for B; no score bonus and no standalone naming.	Many engines convert lost pieces automatically; independent behavior is required.	Conversion, sacrifice, or paying life does not establish Black, Witherbloom, Sultai, or appetite.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask only when disruption response is the highest-value unresolved boundary and DG_C03 detail can change the responsible result.	Net-new targeted C03 item retained because B lacks an identity-specific behavioral trigger and G/RG disruption adaptation cannot be observed by the fixed broad Gate answer alone.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-033	b1.crucible.disruption-boundary.v1	b1.crucible.disruption-boundary.v1.adapt	RETAINED_OR_ADDED_CONTRACT	C03	G;RG	Prefers board-led adaptation over restoring the ideal plan.	Identity-specific trigger only for G; no score bonus and no standalone naming.	Any player may pivot when reconstruction is impossible.	Adaptation does not establish Green, Gruul, Temur, Glint, or resilience as identity.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask only when disruption response is the highest-value unresolved boundary and DG_C03 detail can change the responsible result.	Net-new targeted C03 item retained because B lacks an identity-specific behavioral trigger and G/RG disruption adaptation cannot be observed by the fixed broad Gate answer alone.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-034	b1.crucible.disruption-boundary.v1	b1.crucible.disruption-boundary.v1.act	RETAINED_OR_ADDED_CONTRACT	C03	R	Prefers immediate action after disruption rather than restoration.	Identity-specific trigger only for R; no score bonus and no standalone naming.	The opponent being tapped out can make immediate action tactically correct for any deck.	Urgency does not establish Red, Rakdos, Jund, Grixis, or aggression.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask only when disruption response is the highest-value unresolved boundary and DG_C03 detail can change the responsible result.	Net-new targeted C03 item retained because B lacks an identity-specific behavioral trigger and G/RG disruption adaptation cannot be observed by the fixed broad Gate answer alone.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
IC-A-035	b1.crucible.disruption-boundary.v1	b1.crucible.disruption-boundary.v1.reconstruct	RETAINED_OR_ADDED_CONTRACT	C03	U;ESPER	Prefers returning to a designed system after disruption.	Corroborating directional observation only; never a naming trigger.	Some decks have no functional alternative route, making reconstruction compulsory.	Reconstruction does not establish Blue, Esper, perfection, or central-engine preference.	Plain title plus one behavioral sentence; no color, faction, archetype, or identity slogan appears.	Ask only when disruption response is the highest-value unresolved boundary and DG_C03 detail can change the responsible result.	Net-new targeted C03 item retained because B lacks an identity-specific behavioral trigger and G/RG disruption adaptation cannot be observed by the fixed broad Gate answer alone.	E-VM555;E-CERTIFIED;E-CECOS;E-PLAYER-LANGUAGE	MAPPING_HYPOTHESIS
